#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.188     0.04343        2.15    0.006486   0.0006486
      0.5563      -1.806     0.04343         3.6     0.01564    0.001564
      0.6532      -1.706     0.04343         4.5     0.01968    0.001968
      0.7634       -1.68     0.04343         5.8     0.02087    0.002087
      0.8976      -1.804     0.04343         7.9     0.01569    0.001569
       1.204      -1.329     0.07588          16     0.04686    0.008187
        1.38     -0.7469     0.04343          24      0.1791     0.01791
           2      0.1158       0.116         100       1.306      0.3486
       2.204      0.3784      0.1463         160        2.39      0.8049
       2.544      0.8236      0.1651         350       6.661       2.532
