#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.776     0.04343        2.15     0.01675    0.001675
      0.5563      -1.444     0.04343         3.6     0.03597    0.003597
      0.6532      -1.418     0.04343         4.5     0.03818    0.003818
      0.7634      -1.531     0.04343         5.8     0.02943    0.002943
      0.8976      -1.523     0.04343         7.9     0.03002    0.003002
       1.204     -0.6392     0.04343          16      0.2295     0.02295
        1.38     -0.8024     0.04343          24      0.1576     0.01576
           2      0.6968     0.04343         100       4.975      0.4975
       2.204      0.9859     0.04343         160       9.682      0.9682
       2.398      0.8169      0.1202         250       6.559       1.816
       5.301       -1.44     0.06341       2e+05      0.0363      0.0053
