#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -1.12     0.04343        2.15     0.07586    0.007586
      0.5563      -1.491     0.04343         3.6     0.03226    0.003226
      0.6532      -1.605     0.04343         4.5     0.02483    0.002483
      0.7634      -1.749     0.04343         5.8     0.01781    0.001781
      0.8976      -1.183     0.04343         7.9     0.06554    0.006554
       1.204      -1.159     0.08105          16     0.06939     0.01295
        1.38      -1.075     0.04343          24     0.08407    0.008407
           2      0.4666     0.04563         100       2.928      0.3076
       2.204      0.5815      0.1121         160       3.815      0.9851
       5.301      -2.083      0.1273       2e+05    0.008256     0.00242
