# Merged IRAC+MIPS GOODS-N catalog
# M. Dickinson, R. Chary, + the GOODS team
#
# ra, dec    = RA,Dec from IRAC catalog (d0.35)
# id         = IRAC ID (d0.35)
# eflagsch?  = External bit flag in IRAC catalog for channel ?=1,2,3,4.  Bit values: [0: >50% exptime; 1: <50% exptime; 2: <20% exptime; 16: muxbleed; 64: no data]
# fch?T      = Aperture corrected "total" flux density (microJy) for channel ?; -99 if no data. 
#                 N.B.: The aperture correction assumes compact/point source; this will underestimate flux for substantially extended galaxies.
# dfch?T     = Formal flux error for ch? ; -99 if no data.  N.B.: this includes background shot noise *only* and no term for crowding/confusion.  Use carefully!
# idmips     = ID from MIPS catalog (v0.91 for CDFS; v1.0 for HDFN)  (-1 if no counterpart, CDFS catalog only)
# f24        = 24um flux density in microJy (-1 if no counterpart, CDFS catalog only).  N.B.: Flux is non-negative but may be 0.0
# df24       = 24um flux density uncertainty in microJy (-1 if no counterpart, CDFS catalog only)
# 
#      ra         dec         id  eflagsch1 fch1T     dfch1T  eflagsch2 fch2T     dfch2T  eflagsch3 fch3T     dfch3T  eflagsch4 fch4T     dfch4T  idmips      f24    df24
#
  53.1651300 -27.6407636      31     3    -99.000    -99.000     3      2.185      0.188     3    -99.000    -99.000     3     -0.364      1.130       2    21.40    7.66
  53.1812921 -27.6409540      32     3      2.226      0.170     3      2.521      0.327    67    -99.000    -99.000     3      0.913      1.514      -1    -1.00   -1.00
  53.1492845 -27.6408970      33    67    -99.000    -99.000     3      5.587      0.330    67    -99.000    -99.000     3      2.734      1.414      -1    -1.00   -1.00
  53.1801770 -27.6411788      34     3      3.662      0.161     3      3.766      0.260     3    -99.000    -99.000     3      5.230      1.444   15498    12.00    9.39
  53.1457495 -27.6412646      35     3    -99.000    -99.000     3      1.058      0.341     3    -99.000    -99.000     3      0.283      1.445      -1    -1.00   -1.00
  53.1510631 -27.6413575      36    67    -99.000    -99.000     3      6.422      0.272    67    -99.000    -99.000     3      3.115      1.328      -1    -1.00   -1.00
  53.1716093 -27.6413227      37     3      1.247      0.139     3      0.235      0.202     3    -99.000    -99.000     3     -0.413      1.153      30     4.15    6.60
  53.1839046 -27.6415539      38     3      3.960      0.212     3      3.333      0.352    67    -99.000    -99.000     3     -0.265      1.545   17926    20.40    9.35
  53.1575075 -27.6414344      39     3     -0.699      0.180     3      0.127      0.207    67    -99.000    -99.000     3     -2.566      1.138      18    31.90   20.80
  53.1772500 -27.6417028      40     3     58.982      0.165     3     51.203      0.252     3    -99.000    -99.000     3    103.631      1.295      -1    -1.00   -1.00
  53.1364910 -27.6416581      41    67    -99.000    -99.000     3      7.229      0.522    67    -99.000    -99.000     3      4.365      1.606      -1    -1.00   -1.00
  53.1753202 -27.6418392      42     3     16.934      0.159     3     15.108      0.218     3     14.717      2.062     3     23.229      1.196   19474    45.10    8.65
  53.1853317 -27.6418988      43     3      1.745      0.234     3      1.111      0.426     3    -99.000    -99.000     3      0.653      1.682       9     4.49    7.42
  53.1662037 -27.6421764      44     3      5.197      0.101     3      6.106      0.178     3     10.740      2.151     3      6.804      1.053      15    12.10    5.18
  53.1488613 -27.6421971      45    67    -99.000    -99.000     3     15.479      0.262    67    -99.000    -99.000     3     11.460      1.273      47    65.40   14.20
  53.1524842 -27.6423104      46     3     30.822      0.180     3     22.727      0.209    67    -99.000    -99.000     3     11.108      1.172   20150    23.00   12.20
  53.1677453 -27.6424353      47     3      4.385      0.105     3      3.490      0.175     3     16.671      2.167     3      2.624      1.068      14    18.00    6.03
  53.1686958 -27.6429922      48     3      6.853      0.100     3      5.405      0.168     3     11.934      1.507     1      4.252      1.036      21    11.50    5.64
  53.1400107 -27.6422547      49    67    -99.000    -99.000     3      3.431      0.389    67    -99.000    -99.000     3      2.197      1.468      33    44.20   17.40
  53.1594797 -27.6421790      50     3     -0.501      0.125     3      0.181      0.173     3    -99.000    -99.000     1      3.169      1.082      -1    -1.00   -1.00
  53.1702811 -27.6423293      51     3      1.020      0.114     3      0.901      0.183     3     28.582      1.911     3      1.570      1.084      27     2.02    5.57
  53.1576808 -27.6423462      52     3     -0.382      0.133     3     -0.201      0.180     3    -99.000    -99.000     3     -0.449      1.070      17    49.70   23.20
  53.1795202 -27.6424387      53     3      0.930      0.146     3      0.802      0.237     3     10.260      2.336     3      0.731      1.317   15499    12.30    8.18
  53.1363864 -27.6428506      54    67    -99.000    -99.000     3    -99.000    -99.000    67    -99.000    -99.000     3      3.209      1.531      -1    -1.00   -1.00
  53.1334259 -27.6427241      55    67    -99.000    -99.000     3    -99.000    -99.000    67    -99.000    -99.000     3      5.501      1.659      -1    -1.00   -1.00
  53.1421947 -27.6427440      56    67    -99.000    -99.000     3      2.968      0.311    67    -99.000    -99.000     3      0.135      1.354      -1    -1.00   -1.00
  53.1589098 -27.6426792      57     3     -0.183      0.113     3     -0.216      0.166     3    -99.000    -99.000     3     -0.653      1.036   17157    22.90   24.70
  53.1716975 -27.6428264      58     3     -0.392      0.113     3     -0.122      0.181     3      3.988      1.762     3     -0.285      1.076      29     3.67    6.90
  53.1813379 -27.6427968      59     3      1.335      0.136     3      1.289      0.248     3      4.393      2.096     3     -1.135      1.344   15506    31.10   15.90
  53.1488840 -27.6428481      60     3     12.357      0.181     3     10.112      0.221    67    -99.000    -99.000     3      6.564      1.176      -1    -1.00   -1.00
  53.1875258 -27.6429157      61     3     21.780      0.227    67    -99.000    -99.000     3    -99.000    -99.000     3     60.119      1.952   15208   354.00    7.92
  53.1609113 -27.6430580      62     3      0.319      0.098     1      0.339      0.158     3      4.304      2.076     1     -0.582      1.002      -1    -1.00   -1.00
  53.1699756 -27.6433861      63     3      0.956      0.092     3      1.201      0.169     3     10.236      1.352     3      1.206      1.020      24    13.00    6.10
  53.1823820 -27.6431363      64     3     -0.109      0.136     3      0.127      0.282     3      4.538      2.095     3     -3.216      1.394   15507    22.60   14.80
  53.1614438 -27.6433039      65     3      0.276      0.095     3      0.343      0.155     3      4.701      1.818     3      0.192      0.980      -1    -1.00   -1.00
  53.1633355 -27.6433292      66     3      0.818      0.095     3      0.899      0.153     3      5.784      1.675     1      0.174      0.992      41    12.10   11.70
  53.1667225 -27.6434006      67     3      1.225      0.092     3      0.827      0.163     3      3.311      1.282     1      0.980      0.987      16     5.12    9.10
  53.1579830 -27.6434264      68     3      0.152      0.099     3     -0.005      0.161     3      4.404      2.143     1     -0.568      1.002      10     8.79   18.30
  53.1587789 -27.6434724      69     3      0.449      0.098     3     -0.155      0.160     3      1.058      2.041     3      0.427      0.994      -1    -1.00   -1.00
  53.1742561 -27.6434987      70     3      0.318      0.114     3      0.286      0.175     3      2.868      1.643     3     -0.943      1.073   15307    18.20   10.60
  53.1799123 -27.6437699      71     3      1.685      0.116     3      1.984      0.219     3    -99.000    -99.000     3      0.460      1.259   17927     0.61    8.96
