#         id250           f250           df250
#
           4774        5.84532        1.24053
           4777        2.37907        1.08693
           4779        1.56684        2.99037
           4799        35.4726        1.28636
           4806        1.77684        1.12612
           4826        13.8159        1.65864
           4832        4.32431        1.65761
           4846        3.01901       0.812139
           4858        2.05372        2.56787
           4865        11.6712        2.56723
           4888        6.23172        1.64725
           4905        6.26877        2.06076
           4917        6.37871        2.43683
           4924        1.77714        4.37617
           4937        5.01622        1.13394
           4945        4.60732          1.565
           4954        3.40584        2.19356
           4955        7.73012        1.00582
           4974        4.24522        2.25683
           4986        2.28374        1.82451
           4990        5.83925        1.23632
           4995        5.58464        1.91866
           4997        5.77605        3.17195
           5007        6.48785        1.87355
           5012        5.95417       0.940528
           5023        39.7991        4.50555
           5028        11.6725        1.31043
           5055        8.58154        1.13622
           5067        2.45581        3.90936
           5080        1.55138        2.72259
           5089        8.78094        4.48958
           5090        19.2072        4.94875
           5097        12.7576        4.05702
           5133        4.22847        2.81958
           5138        4.28673       0.838081
           5147        7.78661        1.14774
           5148        5.83373        2.15313
           5156        3.48095        3.59105
           5168        3.69844        2.30493
           5170      0.0592627        1.56121
           5171        3.85939        4.36704
           5177        7.10551        2.04637
           5187        5.43896        3.10702
           5211        6.15109       0.888154
           5215        22.4569        4.60271
           5238        2.42021        3.69982
           5256        4.34915        1.63497
           5265        14.7319         4.4992
           5270        6.60734        2.01373
           5296        2.09014        3.17017
           5321        12.5804        1.25844
           5325        35.9197        1.33147
           5337        9.59516        5.62535
           5346         10.289         1.1782
           5347        3.02882       0.882608
           5348        15.8263        1.06127
           5358        5.56843       0.816682
           5372        2.99274        1.92385
           5375        6.88743        2.17334
           5395        5.14581        1.28998
           5438        4.68103        2.25085
           5446    3.20924e-07        4.01523
           5512        8.94045        1.65888
           5515        1.70401        2.03724
           5518    3.20924e-07        6.93311
           5526        7.40333        1.85618
           5530        11.8117        2.14867
           5543        1.99893        2.73509
           5545        2.04999        1.08755
           5552        4.98187        2.28117
           5588        4.03393        1.00272
           5604        6.47774        1.87244
           5612        3.60552        3.32517
           5627        2.58018       0.882502
           5634        6.45844        5.50109
           5668         2.7164        3.46563
           5685        4.05273        1.07179
           5710        1.51176        2.19869
           5726        2.31132        1.13986
           5730        22.8588       0.956581
           5735        8.51616        1.73246
           5747        5.03188        1.62513
           5766       0.191655        2.44091
           5797        5.91614        2.87493
           5802        4.60749        1.62338
