#         id850           f850           df850
#
          11541        1.38913        1.06369
          11580        10.8446        1.82343
          11688         3.3128        2.46842
          11758    3.45368e-09        1.00484
          11764        1.35993       0.999692
          11793         0.7469       0.808431
          11810        2.66112       0.916437
          11848    8.67525e-41          1e+10
          11933       0.590001        1.21658
          11938    8.67525e-41          1e+10
          11942        1.00798        1.20683
          11966        1.34992       0.669366
          11991       0.990979       0.903915
          12000        4.09882       0.765633
          12119    3.45368e-09       0.945453
          12199       0.550399        1.00509
          12250       0.959043       0.740361
          12388    3.45368e-09        1.76956
          12420    8.67525e-41          1e+10
          12493       0.908294        1.72974
          12508    0.000317894        4.02729
          12560         8.0713        3.58693
          12581        3.37056        1.19904
          12582    8.67525e-41          1e+10
          12625    3.45368e-09        1.06163
          12633        1.22514        1.01647
          12646        7.22845       0.825553
          12694        3.03569       0.755965
          12764       0.943367       0.849299
          12788        3.15836        1.44501
          12838        1.10134         1.2239
          12851        2.88728        1.11913
          12856        1.49378        1.04115
          13009    3.45368e-09       0.834961
          13055    1.33746e-05       0.969956
          13097        2.04236       0.984092
          13107        1.69057       0.857039
          13149    3.45368e-09        1.04725
          13161        3.31571       0.742054
          13207        2.08321         1.1067
          13223    8.67525e-41          1e+10
          13268        2.80468        1.43126
          13385    3.45368e-09        1.11507
          13415        3.90369        4.73772
          13424    3.45368e-09        1.44022
          13445         1.0804       0.703668
          13458    3.45368e-09        1.22032
          13468        1.37152        1.03033
          13474        2.84958       0.930142
          13502       0.751498       0.817384
          13517       0.320682       0.855849
          13592       0.675767       0.929266
          13685    3.45368e-09        1.08403
          13741        2.55045       0.990757
          13792       0.534815       0.805852
          13974        2.56723       0.865516
          13988        1.52345       0.951585
          14003    8.67525e-41          1e+10
          14052        1.22633        1.02344
          14096    8.67525e-41          1e+10
          14186          1.279        1.23089
          14191        2.45678       0.866091
          14283          3.156       0.816218
          14315        0.76214       0.971193
          14396    8.67525e-41          1e+10
          14417        4.09206        1.07229
          14622        2.26069       0.975873
          14630       0.766704       0.799765
          14694    3.45368e-09        1.53873
          14778        0.25167       0.985734
          14806        1.41136        1.35277
          14853         2.7362        1.07146
          14910    8.67525e-41          1e+10
          14914         12.159        1.27757
          14962        3.40862       0.878204
          14980         4.3725        1.13717
          15078        3.32275        1.41776
          15121        3.52238        1.13116
          15213    3.45368e-09        1.25618
          15285        2.05726         1.1049
          15289        2.83816        1.36081
          15360        2.48461       0.981073
          15425        1.69729        1.00622
          15452    3.45368e-09       0.989744
          15524        2.94946        1.08456
          15600    3.45368e-09        1.36686
          15677    8.67525e-41          1e+10
          15681        4.14813       0.960381
          15729    8.67525e-41          1e+10
          15745        3.44016         1.0494
          15765    3.45368e-09       0.938686
          15820        2.38888        1.04504
          15826    8.67525e-41          1e+10
          15828       0.695597       0.965275
          15927       0.385578        1.18379
          15930     0.00089183       0.938638
          15984       0.596449        1.07743
          16121        3.00851       0.940174
          16147        0.28924        1.27085
          16248       0.841674        1.04736
          16297    8.67525e-41          1e+10
          16321         1.5589       0.976721
          16332        6.58528        1.05787
          16466    3.45368e-09        0.87119
          16609       0.498058        1.02687
          16616         2.2763          1.159
          16681          3.501        1.07169
          16775        2.87182       0.940224
          16791       0.812245        1.02296
          16799    3.45368e-09       0.902898
          16810        4.32508        1.04838
          16846    8.67525e-41          1e+10
          16850    3.45368e-09        1.50148
          16886    3.45368e-09        1.24292
          16953       0.895062        1.38266
          16960    8.67525e-41          1e+10
          16967        3.00086       0.941708
          17002       0.392948       0.945417
          17199        3.80542        1.05476
          17236    3.45368e-09        1.11209
          17254         1.1506        1.09656
          17274    3.45368e-09        1.03809
          17295    3.45368e-09         1.1991
          17381        2.33939        1.24243
          17393    3.45368e-09        1.13739
          17446        1.43415       0.920229
          17538       0.549601         1.3943
          17562    8.67525e-41          1e+10
          17566    8.67525e-41          1e+10
          17624        6.01245        1.22863
          17674       0.312786        1.01575
          17758        3.52147        1.22952
          17790    3.45368e-09        1.05964
          17874        1.65866        1.06578
          18021        1.59402        1.14692
          18072        3.20248        1.31692
          18327    3.45368e-09        1.24075
          18341        4.03149        1.44444
          18379    3.45368e-09        1.24882
          18392    8.67525e-41          1e+10
          18406    3.45368e-09        1.60607
          18552    8.67525e-41          1e+10
          18556        3.52447        1.38176
          18578    8.67525e-41          1e+10
          18594        1.87619        1.36437
          18603    8.67525e-41          1e+10
          18636    8.67525e-41          1e+10
          18659    3.45368e-09        1.62785
          18669    8.67525e-41          1e+10
          18792        3.43462        1.51687
          18839        5.05865        1.80994
          18843    8.67525e-41          1e+10
          18855    8.67525e-41          1e+10
          18911    8.67525e-41          1e+10
          18948    8.67525e-41          1e+10
          18983    8.67525e-41          1e+10
          19001    8.67525e-41          1e+10
          19007    8.67525e-41          1e+10
          19119    8.67525e-41          1e+10
          19136    8.67525e-41          1e+10
          19222    8.67525e-41          1e+10
          19304    8.67525e-41          1e+10
          19326    8.67525e-41          1e+10
         850001    8.67525e-41          1e+10
         850002        6.73161        1.09898
         850003        4.45579       0.911971
         850004        4.03842       0.853877
         850005        5.92186        1.07638
         850006        4.38281       0.856695
         850007        3.72151       0.874101
         850008        6.33017       0.667435
         850009        2.87102        1.43455
         850010        3.99568        4.73868
         850011        4.45695        0.92174
         850012    8.67525e-41          1e+10
         850013    8.67525e-41          1e+10
