#            id              z           maxz            snr         maxzsnr
#
            793          2.704            -99      5.692e-05            -99
            804          0.951            -99          1.637            -99
            805          1.504            -99          2.987            -99
            807           2.65           3.17          8.555        5.06091
            808          0.473          0.573          8.095        5.08869
            809          0.476            -99         0.2818            -99
            825          1.022            -99           1.11            -99
            826         0.6233            -99          3.226            -99
            827          1.371          2.211          19.89        5.04413
            837          1.501            -99          2.131            -99
            841          6.601            -99          3.017            -99
            849          1.522            -99          1.101            -99
            860          2.945            -99          1.413            -99
            866           1.27            -99           1.14            -99
            867          1.274            -99          2.581            -99
            870           0.84           1.26           20.7        5.03327
            872          2.057            -99          2.887            -99
            877           1.45            -99          1.409            -99
            878         0.2755            -99          4.696            -99
            881           2.15            -99          2.229            -99
            884           3.53           3.91          7.776        5.06206
            885         0.9032         1.1632          8.456         5.1157
            886          0.475            -99          2.544            -99
            892           1.45            -99          1.574            -99
            893           0.94           1.28          12.17        5.16613
            899         0.4869            -99         0.4822            -99
            902          0.962          1.262          9.966        5.04538
            915          2.635          3.535          10.93        5.06959
            917            1.5           1.88          8.922        5.12011
            922           1.81            -99          2.055            -99
            923           1.92            2.4          9.959        5.08342
            924         0.4641            -99         0.6245            -99
            926            1.6            -99          2.675            -99
            928         0.8281            -99          1.058            -99
            931         0.7425         0.7625          5.341        5.11368
            934         0.7078            -99          3.518            -99
            937          1.032            -99          4.328            -99
            939          0.947          1.307           17.3        5.02657
            950          2.713            -99          3.063            -99
            951         0.2857         0.2857          5.767         5.6368
            960         0.4158            -99          1.112            -99
            965           1.54            -99          3.635            -99
            966          1.303            -99         0.9324            -99
            972         0.3466            -99         0.4759            -99
            974          5.366            -99          2.279            -99
            994          1.119            -99         0.9522            -99
            995          1.306          1.406          5.987        5.10631
           1002          0.948          0.968           5.45        5.04691
           1005          2.815          4.055           14.8        5.03151
           1006          0.946          1.386          30.28        5.14226
           1008          1.029          1.429          12.88        5.08747
           1023           2.24            -99          2.189            -99
           1026          1.811            -99          1.321            -99
           1035         0.7778            -99         0.0238            -99
           1036          4.343            -99         0.3115            -99
           1037         0.7703         0.7703          5.226              0
           1042           1.06            -99          1.924            -99
           1053           2.43            -99          3.703            -99
           1058          1.038            -99          2.124            -99
           1064         0.5869            -99          3.799            -99
           1075          1.055            -99          1.425            -99
           1076            1.6           1.72          5.984        5.12635
           1077          0.938            -99          4.344            -99
           1081         0.2293            -99          2.185            -99
           1084          1.144          1.784          19.46        5.10808
           1089         0.9719            -99          2.541            -99
           1091          2.783            -99         0.4578            -99
           1094           3.53           4.13          7.119        5.04735
           1101          1.082            -99          1.106            -99
           1102         0.4724         0.5524          8.592        5.40805
