#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0463466                   0.0405495
         2                   0.0417167                   0.0337305
         3                   0.0362706                   0.0287638
         4                   0.0420899                   0.0361291
         5                   0.0396599                   0.0312095
         6                   0.0421925                    0.034503
         7                   0.0420895                   0.0374978
         8                   0.0380807                   0.0326293
         9                   0.0405526                   0.0314894
        10                   0.0390876                   0.0320946
        11                   0.0357467                   0.0297853
        12                   0.0396213                   0.0296798
        13                   0.0355784                    0.025661
        14                   0.0376828                   0.0316637
        15                   0.0359281                   0.0288046
        16                   0.0387461                   0.0307358
        17                   0.0392237                   0.0278027
        18                   0.0384869                   0.0322291
        19                   0.0364165                    0.027872
        20                   0.0377216                   0.0284079
        21                   0.0390866                   0.0310136
        22                   0.0406843                   0.0332021
        23                   0.0391524                   0.0316657
        24                   0.0438018                   0.0379273
        25                   0.0417258                   0.0361974
        26                    0.036816                    0.034218
        27                   0.0406824                   0.0343303
        28                   0.0368636                   0.0267508
        29                   0.0345549                   0.0283632
        30                   0.0421263                    0.036021
        31                   0.0411191                   0.0350589
        32                   0.0362902                   0.0321093
        33                   0.0406504                   0.0346711
        34                   0.0359909                   0.0293867
        35                   0.0387868                   0.0329277
        36                   0.0393578                   0.0322319
        37                   0.0372286                    0.030166
        38                    0.038308                   0.0331483
        39                   0.0334139                   0.0291466
        40                   0.0439247                   0.0353234
        41                   0.0360878                   0.0281907
        42                   0.0423749                   0.0331689
        43                   0.0366967                   0.0306969
        44                   0.0363291                   0.0288437
        45                   0.0349227                   0.0313053
        46                   0.0394556                   0.0328182
        47                   0.0385172                   0.0346927
        48                   0.0392346                   0.0331853
        49                    0.037306                   0.0289166
        50                   0.0401069                   0.0344864
        51                   0.0387975                   0.0337797
        52                   0.0434934                   0.0325394
        53                   0.0379931                    0.029404
        54                   0.0392379                   0.0313124
        55                   0.0403325                   0.0321137
        56                   0.0346519                    0.027851
        57                   0.0416257                   0.0357084
        58                   0.0384638                   0.0293793
        59                   0.0380399                   0.0317657
        60                   0.0390787                   0.0346027
        61                   0.0378766                   0.0319563
        62                   0.0395036                    0.030788
        63                   0.0387433                   0.0310163
        64                   0.0364905                   0.0295173
        65                   0.0371843                   0.0292311
        66                   0.0390769                   0.0343681
        67                   0.0363997                   0.0291539
        68                   0.0377065                   0.0321704
        69                   0.0394191                   0.0332339
        70                   0.0411761                   0.0323404
        71                   0.0384959                   0.0311298
        72                   0.0348042                     0.02794
        73                   0.0372249                   0.0312865
        74                   0.0367927                   0.0317877
        75                   0.0412642                   0.0323577
        76                   0.0385368                   0.0290006
        77                   0.0411893                    0.031997
        78                    0.039428                   0.0345535
        79                   0.0337496                   0.0268684
        80                   0.0378729                   0.0342877
        81                   0.0421527                   0.0348399
