#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
       188                     0.05313                   0.0447472
       189                   0.0500726                   0.0413899
       190                   0.0564967                   0.0448395
       191                   0.0560256                    0.044485
       192                   0.0597363                   0.0464603
       193                   0.0555617                   0.0448183
       194                   0.0583609                    0.043798
       195                   0.0542997                   0.0429082
       196                   0.0577719                   0.0442469
       197                   0.0587955                    0.042687
       198                   0.0526633                   0.0394526
       199                   0.0559391                   0.0446743
       200                   0.0537894                   0.0432444
       201                   0.0482939                   0.0383626
       202                   0.0528579                   0.0428638
       203                    0.052166                   0.0416471
       204                   0.0503512                   0.0392276
       205                   0.0585902                   0.0447973
       206                   0.0597502                   0.0456779
       207                   0.0519375                   0.0418196
       208                   0.0524036                   0.0411678
       209                   0.0554614                   0.0442455
       210                   0.0497974                   0.0416473
       211                   0.0570172                   0.0433683
       212                   0.0503815                   0.0402525
       213                   0.0476844                   0.0396466
       214                   0.0550819                   0.0451226
       215                   0.0590826                   0.0457968
       216                   0.0548323                   0.0437376
       217                   0.0541413                   0.0431917
       218                   0.0575815                   0.0420303
       219                   0.0566495                   0.0457447
       220                   0.0549676                   0.0444273
       221                   0.0526164                   0.0421858
       222                   0.0526149                   0.0409054
       223                     0.06111                   0.0513158
       224                   0.0591681                   0.0412478
       225                   0.0542375                    0.043792
       226                   0.0572779                   0.0452945
       227                   0.0491781                    0.037665
       228                   0.0583948                   0.0468273
       229                   0.0611291                   0.0499803
       230                   0.0558661                   0.0417656
       231                   0.0628453                    0.049525
       232                   0.0487155                   0.0390924
       233                   0.0557784                   0.0409169
       234                    0.055059                   0.0438965
       235                   0.0544679                   0.0383902
       236                   0.0521327                   0.0399012
       237                   0.0592916                   0.0484573
       238                   0.0557239                   0.0428195
       239                   0.0542793                    0.045152
       240                   0.0564158                   0.0427045
       241                   0.0567906                   0.0417301
       242                   0.0493698                   0.0380331
       243                    0.060278                   0.0454441
       244                   0.0556612                   0.0444008
