#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
       189                   0.0587449                   0.0541429
       190                   0.0677805                   0.0636627
       191                    0.056574                   0.0513494
       192                   0.0552225                   0.0509411
       193                   0.0597347                   0.0542684
       194                   0.0690472                   0.0641136
       195                   0.0613632                   0.0555177
       196                   0.0633066                   0.0572608
       197                   0.0602418                   0.0542723
       198                   0.0682422                   0.0640413
       199                   0.0600269                   0.0556154
       200                   0.0714842                    0.066396
       201                   0.0565923                   0.0512071
       202                   0.0617559                    0.054637
       203                   0.0596979                   0.0537593
       204                   0.0619868                   0.0555508
       205                   0.0639153                   0.0590353
       206                   0.0641077                   0.0592862
       207                   0.0603472                   0.0545694
       208                   0.0662865                   0.0614497
       209                   0.0600666                   0.0532802
       210                   0.0620261                   0.0557555
       211                   0.0639502                   0.0583248
       212                   0.0588913                   0.0539699
       213                   0.0615769                   0.0571094
       214                   0.0599721                   0.0536226
       215                   0.0588852                   0.0513758
       216                   0.0680454                   0.0628361
       217                   0.0574287                   0.0525548
       218                   0.0665103                   0.0611961
       219                   0.0637414                   0.0588257
       220                   0.0540453                   0.0476049
       221                   0.0713551                   0.0667706
       222                   0.0630812                   0.0567251
       223                   0.0612352                    0.056689
       224                   0.0585968                    0.053856
       225                   0.0610981                   0.0566543
       226                   0.0624424                    0.056044
       227                   0.0657219                   0.0599523
       228                   0.0673077                   0.0641409
       229                   0.0556693                   0.0498555
       230                   0.0634614                   0.0582674
       231                    0.058596                   0.0529601
       232                   0.0704639                   0.0655438
       233                   0.0658311                   0.0594541
       234                   0.0584054                   0.0549279
       235                   0.0590803                   0.0558204
       236                   0.0628684                   0.0562714
       237                   0.0579394                   0.0514897
       238                    0.063356                   0.0595615
       239                   0.0648561                   0.0605866
       240                   0.0621762                   0.0565115
       241                    0.064376                   0.0571681
       242                    0.058693                   0.0549939
       243                   0.0677059                   0.0618822
       244                   0.0721965                    0.067171
       245                   0.0691944                   0.0660602
       246                   0.0718453                   0.0673751
       247                   0.0665187                   0.0620136
       248                   0.0583166                   0.0512893
       249                   0.0589494                   0.0532499
       250                   0.0671038                   0.0618426
       251                   0.0652918                   0.0595661
       252                   0.0688517                   0.0632668
       253                    0.061902                   0.0573483
       254                     0.06105                   0.0567682
       255                   0.0585562                   0.0527821
       256                   0.0633327                   0.0579405
       257                   0.0620389                    0.055311
       258                   0.0648791                   0.0602815
       259                   0.0629556                   0.0583999
       260                   0.0694217                   0.0660348
       261                   0.0694281                   0.0631645
       262                    0.066241                   0.0604046
       263                   0.0658901                   0.0596546
       264                   0.0681325                   0.0609439
       265                   0.0658502                   0.0617847
       266                   0.0591594                   0.0553574
       267                   0.0595361                   0.0529339
       268                   0.0636729                     0.05717
       269                   0.0603785                   0.0541069
       270                   0.0660846                   0.0609912
       271                   0.0626565                   0.0545867
       272                   0.0671842                    0.061245
       273                   0.0579238                   0.0528642
       274                   0.0589319                   0.0544923
       275                   0.0665976                   0.0593857
       276                   0.0743982                   0.0686378
       277                    0.061811                   0.0571753
       278                   0.0637008                   0.0591893
       279                   0.0582402                   0.0534651
       280                   0.0623099                   0.0589589
       281                    0.060472                   0.0562351
       282                   0.0623746                   0.0584658
       283                   0.0640189                   0.0585789
       284                   0.0599319                   0.0549297
       285                   0.0592584                    0.053528
       286                   0.0632073                   0.0578132
       287                   0.0576458                   0.0520872
       288                   0.0689027                    0.064298
       289                   0.0721699                   0.0675344
       290                   0.0562869                   0.0532978
       291                   0.0573205                   0.0514749
       292                    0.057984                   0.0504393
       293                   0.0664997                   0.0616674
       294                   0.0606882                   0.0539485
       295                   0.0670157                   0.0624786
       296                   0.0686719                   0.0641515
       297                   0.0545636                   0.0494037
       298                    0.063272                   0.0589867
       299                   0.0644122                   0.0570422
       300                   0.0563756                   0.0507704
       301                    0.058872                   0.0551365
       302                   0.0685099                   0.0629876
       303                   0.0684238                   0.0636441
       304                   0.0552934                   0.0519679
       305                   0.0650908                   0.0612477
       306                   0.0619694                    0.057127
       307                   0.0605055                   0.0555235
       308                   0.0598752                   0.0556136
       309                   0.0581398                   0.0527187
       310                   0.0624025                   0.0577546
       311                   0.0677242                   0.0630515
       312                   0.0585674                   0.0543204
