#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
              0            530       0.223496       0.896765          1.673          1.673          10.31
             -1            532        1.58252        1.42955          38.24          5.419           10.7
              0            533       0.426674        1.77109          2.671          2.671          11.09
              0            540        1.64768        2.07136          44.43          44.43          10.86
              0            541       0.988336        1.64964          9.735          3.879          11.12
              0            546         2.7485        2.54527          560.4          233.1          11.25
              1            547        2.67191        2.25554          469.8          114.7          10.96
             -1            548        2.37548        2.54829          237.4          61.86          11.59
              0            550        1.17464      0.0471821          14.95          11.13           8.76
             -1            552       0.629919       0.779033          4.265         0.6826          10.29
              0            554       0.518646       0.657071          3.301          2.334           9.97
              0            559        1.89537        1.87512          78.59          35.84          11.06
              0            561        1.07482        1.34716          11.88          11.88          10.31
              0            562        1.60108        2.27794          39.91          39.91          10.95
              1            564        3.41313        2.81738           2589              0          11.49
              0            581        1.17926       0.857775          15.11          15.11           9.74
              0            593        1.90195        1.65268          79.79           35.3          10.63
              0            597        1.45818        1.33111          28.72          28.72           9.89
             -1            598        1.62397        1.72968          42.07          7.169          10.81
              0            604       0.644044       0.661135          4.406          3.022          10.07
              0            606       0.745933        1.03904          5.571          2.062          10.18
              0            620       0.888179       0.985368           7.73          3.345          10.28
              0            621         2.4627        2.20688          290.2          108.5          10.94
              0            622        1.38828        1.41283          24.45          19.21          10.43
              0            628       0.908056        1.09833          8.092           3.52          10.08
              1            631        1.91944        1.06754          83.07          18.32           9.87
              0            637       0.509337        0.98327          3.231          1.361          10.55
             -1            638        1.40278        1.55599          25.28         0.2754          11.08
              0            652        1.51878        1.57162          33.02          12.97           10.4
              1            658        3.73957        2.57232           5490              0          11.18
             -1            659        2.82588        2.94914          669.7          102.7          11.66
              0            661        1.08171       0.771837          12.07          12.07            9.6
              0            664         1.4603        1.58196          28.86          28.86          10.18
              0            669        1.51375         1.3457          32.64          2.478          10.47
              0            672       0.929419        1.87747            8.5          3.279          11.29
              0            689       0.395676       0.720003          2.487          2.487          10.02
             -1            692       0.201943        1.57784          1.592         0.3281          11.53
              0            697         1.7303       0.541475          53.74          18.08           9.01
              0            702        1.63215        1.18933          42.87          42.87           9.73
              0            710       0.526081       0.338614          3.358          3.358           9.35
             -1            713       0.432809       0.454146          2.709         0.7558          9.628
              1            714        3.02284         2.1223           1054              0          10.61
              0            718          0.931        1.26199          8.531           8.15          10.49
              0            719        1.36605        1.55735          23.23          23.23          10.26
              0            721     -0.0191788       0.713717         0.9568         0.9568          10.12
              0            729       0.627878       0.610243          4.245          4.245          9.718
             -1            737        1.29403        1.34593          19.68          1.067          10.93
              0            740      -0.147703       0.511572         0.7117         0.7117          10.04
              0            748        1.07664       0.998507          11.93           10.5           9.89
             -1            749       0.623663       0.985077          4.204         0.8781          10.36
              0            753      -0.837137       0.892585         0.1455         0.1455          10.61
              0            760       0.803867       0.844465          6.366          3.044          10.05
              0            762       0.817698        2.04297          6.572          3.057           11.7
              0            768        1.75846        1.49842          57.34          57.34          10.03
              0            776       0.229938       0.440991          1.698          1.698            9.8
              0            779        2.33284        2.11777          215.2          8.923          11.25
              0            786        1.43965        1.43783          27.52          27.52           9.98
              1            793        1.81889       0.874238           65.9          20.98          9.198
              0            804       0.446382       0.882677          2.795          2.795          10.05
