#            id              z           maxz            snr         maxzsnr
#
            825          1.022            -99          0.981            -99
            826         0.6233            -99          2.741            -99
            827          1.381          2.181          18.55        5.04666
            837          1.901            -99          2.283            -99
            841          6.201            -99          3.094            -99
            849          1.579            -99          1.328            -99
            860          2.868            -99          1.157            -99
            866           1.27            -99          0.892            -99
            867          1.263            -99          2.072            -99
            870           0.84           1.26          19.09        5.05441
            872          2.057            -99          2.989            -99
            877          1.483            -99          3.698            -99
            878         0.2755            -99          4.668            -99
            881           2.15            -99          2.397            -99
            884           3.53           3.87          6.777        5.04841
            885         0.9032         1.1032          7.767        5.15531
            886          0.475            -99          2.164            -99
            892           1.45            -99            1.1            -99
            893           0.94           1.26          11.59        5.10798
            899         0.4869            -99          0.619            -99
            902          0.962          1.222          9.337        5.08068
            915          2.635          3.415          9.756        5.02219
            917          1.579          1.999          9.033        5.06823
            922          1.772            -99          1.795            -99
            923          1.893          2.353          9.553        5.08763
            924         0.4641            -99          0.291            -99
            926            1.6            -99          2.326            -99
            928         0.8281            -99          1.142            -99
            931         0.7425            -99          4.922            -99
            934         0.7078            -99          3.297            -99
            937          1.032            -99          4.347            -99
            939          0.947          1.267          15.84        5.11616
            950          2.888            -99          2.719            -99
            951         0.3357            -99          4.939            -99
            960         0.3758            -99          0.777            -99
            965           1.54            -99          2.683            -99
            966          1.303            -99          1.074            -99
            972         0.3466            -99          0.737            -99
            974           5.73            -99          2.311            -99
            994          1.119            -99          0.922            -99
            995          1.306          1.346          5.317        5.13042
           1002          0.948          0.968          5.433        5.00121
           1005          2.608          3.688           13.2        5.05009
           1006          0.946          1.386          27.66         5.2026
           1008          1.029          1.389          11.96        5.16433
           1023           2.24            -99           1.78            -99
           1026          1.751            -99          0.973            -99
           1035         0.7778            -99          0.023            -99
           1036           4.18            -99          0.573            -99
           1037         0.7703         0.7703           5.42         5.0563
           1042           1.06            -99           2.14            -99
           1053           2.43            -99          3.494            -99
           1058          1.038            -99          1.457            -99
           1064         0.5869            -99          3.478            -99
           1075          1.055            -99          1.228            -99
           1076          1.527          1.607          5.737        5.11728
           1077          0.938            -99           3.94            -99
           1081         0.2293            -99          2.065            -99
           1084          1.144          1.804          18.34        5.12269
           1089         0.9719            -99          2.239            -99
           1091          2.506            -99          0.674            -99
           1094           3.53           4.13          7.135        5.04126
           1101         0.9119            -99          1.097            -99
           1102         0.4724         0.5924          8.653        5.23762
           1103          1.363          1.763          11.37        5.08866
           1104         0.5948         0.6748          7.062        5.20334
           1105         0.9441         1.2441          10.28        5.05404
           1109          2.201          2.521          7.947        5.05107
           1113          1.457            -99          2.829            -99
           1118         0.3866         0.4466          7.497        5.10622
           1121         0.7997            -99          2.366            -99
           1123          3.078            -99          1.732            -99
           1125          1.023            -99              0            -99
           1129           2.62            -99          3.406            -99
           1133         0.2538            -99          2.285            -99
           1135          0.121          0.181          16.31        5.07001
           1140         0.4768            -99          1.775            -99
           1141          1.174            -99           3.28            -99
           1143         0.2804         0.4204          13.73        5.03152
           1144          1.319            -99          1.311            -99
           1146          4.351            -99           0.13            -99
           1147           1.26           1.28          5.071        5.03312
           1148          3.218          3.298          5.772        5.03039
           1150          1.364          1.384          5.013        5.07803
           1159          3.199          4.539          9.557        5.01885
           1160          2.388            -99          0.666            -99
           1167           2.92            -99          3.597            -99
           1168          1.451          1.731          8.319        5.08699
           1172          1.298            -99          1.278            -99
           1181          1.772            -99              0            -99
           1186           1.46            -99          1.487            -99
           1202          1.712            -99          2.238            -99
           1208          1.453            -99          3.571            -99
           1221          1.116            -99          3.424            -99
           1222         0.9219            -99          1.174            -99
           1225         0.5341         0.6141          8.732        5.39626
           1235         0.8919         1.0519          7.823        5.16264
           1239          0.836          1.436          23.73        5.01425
           1248          1.229          1.749          13.36        5.08458
