#       id             ra             de         z     snrIR                 Mstar      SFR     eSFR      sSFR    flagSB    flagAGN
#
     18603    189.0650787     62.1119728     3.655    16.011               1.1e+11    558.4     33.2      5.07        -1         1
      8053    189.1226654     62.2535820     3.663    13.166               2.6e+10    280.3     27.5     10.61        -1         0
     10898    189.4432983     62.2238007     3.680    6.5842               9.4e+10    173.2     64.8      1.85        -1         0
       185    189.2730255     62.3870239     3.701    10.791              -9.9e+01    348.5     43.6    -99.00        -1         0
      4601    189.2586517     62.2927017     3.710    5.7989               7.4e+07    109.9     41.5   1482.67         1         1
      2697    189.1904602     62.3205147     3.712    5.4238               4.9e+10    181.5     42.6      3.69        -1         0
     14191    189.2033386     62.1876640     3.712    12.253               7.3e+09    270.9     23.5     37.23         1         0
      3276    189.3112183     62.3109398     3.715    9.1278               1.2e+11    152.7     21.8      1.32        -1         0
        38    189.3673859     62.3982124     3.716    8.1909               5.8e+09    349.0     60.1     60.38         1         0
     16846    188.9942474     62.1498032     3.741     11.57               8.5e+10    343.0     44.3      4.01        -1         0
     17295    189.2127075     62.1415367     3.742    6.3277               5.5e+10    251.5     41.4      4.56        -1         0
      9642    189.3790131     62.2369652     3.766    5.0026               3.5e+10    163.4     39.9      4.69        -1         0
      2320    189.1834564     62.3273430     3.768    14.792               1.3e+11    631.3     19.0      4.99        -1         0
     11234    188.9145203     62.2199287     3.792    14.387               8.5e+10    477.8     10.2      5.59        -1         0
       884    189.2482452     62.3602180     3.797    7.8273               4.7e+10    222.9     65.2      4.74        -1         0
      7577    189.4591980     62.2587166     3.812    7.7065               5.8e+09    266.3     32.5     46.28         1         0
      9988    189.5629883     62.2335358     3.851    7.9646              -9.9e+01    376.9    168.2    -99.00        -1         0
     15078    189.3021393     62.1765747     3.860     14.63               2.3e+11    554.5     32.6      2.41        -1         0
      1945    189.3174133     62.3344574     3.878    13.438               2.6e+10    373.2     40.2     14.45         0         0
      1284    189.2981720     62.3483315     3.878    6.3918               3.1e+10    362.2     41.6     11.67        -1         0
     17674    189.1421204     62.1340942     3.901     11.59              -9.9e+01    272.9     51.0    -99.00        -1         0
      1921    189.1569672     62.3346710     3.929    7.4098               8.5e+09    250.5     35.6     29.30         1         0
      1735    189.1885529     62.3387527     3.935    9.6952               5.8e+11    692.3     90.7      1.20        -1         0
    350093    189.0935160     62.0900845     3.951    10.043              -9.9e+01    195.5    195.5    -99.00        -1         0
       130    189.3960114     62.3908005     3.956    19.653               4.7e+10    651.7     49.2     13.87         0         0
       498    189.3556824     62.3726234     4.022     10.57               2.2e+10    320.3     21.4     14.24        -1         0
    250034    189.2980414     62.1883879     4.051    10.666              -9.9e+01    106.9    106.9    -99.00        -1         0
       658    189.2865448     62.3671722     4.051    10.788               8.7e+10    669.0     73.6      7.65        -1         1
     18911    189.1133881     62.1015778     4.051    22.511              -9.9e+01    857.1     63.2    -99.00        -1         0
       564    189.2994995     62.3700371     4.055    41.882               1.8e+11   1909.0     13.3     10.69         0         0
       659    189.2905884     62.3672562     4.056    5.3501               2.6e+11    417.7    108.9      1.58        -1         0
     16121    189.1436768     62.1616745     4.110    16.386               1.7e+11    357.3     14.7      2.05        -1         0
      3532    189.3077393     62.3073006     4.150    26.707               2.9e+11    880.4    206.3      3.04        -1         1
     17538    189.0441437     62.1363144     4.170    5.4857               7.8e+10    212.8     53.7      2.73        -1         1
    250025    189.4863624     62.2299023     4.201    23.243              -9.9e+01    292.9    292.9    -99.00        -1         0
       516    189.3721008     62.3720360     4.201    5.1629              -9.9e+01    324.3     92.8    -99.00        -1         1
     10336    189.5502472     62.2297173     4.251     15.22              -9.9e+01    368.8    111.1    -99.00        -1         0
      4990    189.1330261     62.2873993     4.252     23.04               2.1e+10    755.8     17.4     36.01         1         0
     13207    189.1504059     62.1984062     4.300    11.852               1.5e+11    576.6     38.5      3.88        -1         0
    500029    189.4399025     62.2051596     4.301    11.528              -9.9e+01    557.2    131.4    -99.00        -1         0
     18392    189.0688019     62.1174965     4.304    13.429               1.1e+12    647.2     66.2      0.60        -1         0
     13097    189.3085632     62.1991196     4.514    12.506               4.9e+11    672.0     40.7      1.37        -1         0
    500014    189.4558821     62.2673635     4.551    11.062              -9.9e+01    345.1     23.2    -99.00        -1         0
      2337    189.1522675     62.3268738     4.622    6.2929               5.5e+10    301.5     72.2      5.46        -1         0
     15425    189.0589294     62.1715660     4.670    10.999               3.7e+11    449.0     44.4      1.20        -1         0
   1160054    189.4478640     62.1881236     4.701    10.627              -9.9e+01    323.1    323.1    -99.00        -1         0
    500017    189.5453083     62.2514815     4.701    13.539              -9.9e+01    495.5     65.8    -99.00        -1         0
      2592    189.3670044     62.3222733     4.715    19.036               2.4e+11   1063.0     42.9      4.51        -1         0
      8377    189.2568359     62.2502975     4.751    5.6423              -9.9e+01    237.0    100.4    -99.00        -1         0
      4004    189.1095581     62.3002663     4.965     8.101               2.5e+10    243.0     74.6      9.85        -1         0
     18839    189.1441803     62.1039581     4.990    8.1648               1.0e+10    434.7    117.6     42.29         1         0
     13161    189.1562958     62.1990509     5.010    7.6287               4.4e+11    422.4     89.7      0.96        -1         0
     11499    189.2606049     62.2172966     5.040    23.424               2.8e+11    938.7     45.9      3.39        -1         0
     11758    189.0360870     62.2141380     5.050     20.32               3.9e+11    439.2     99.8      1.12        -1         1
     14914    188.9597931     62.1782951     5.067    25.729               3.6e+12   1614.0     92.6      0.45        -1         0
       974    189.2309418     62.3574486     5.154    9.0899               7.3e+10    555.6     24.9      7.63        -1         0
      6406    189.0919495     62.2710724     5.237    15.211               2.8e+11    952.1     77.6      3.44        -1         0
    350056    189.2167444     62.2069073     5.451    13.459              -9.9e+01    639.0    164.2    -99.00        -1         0
       394    189.2457886     62.3770752     5.701    6.3055              -9.9e+01    123.3    123.3    -99.00        -1         0
      6782    189.3915558     62.2673302     6.451    9.2517              -9.9e+01    390.2     86.6    -99.00        -1         0
    250003    189.2999192     62.3419392     6.451    10.198              -9.9e+01    273.7    165.9    -99.00        -1         0
     12646    189.1147461     62.2050095     6.551    11.674               2.0e+11    631.3    192.6      3.12        -1         1
   1160053    189.1764690     62.1918700     6.551    10.845              -9.9e+01    505.3    123.7    -99.00        -1         0
   1160066    189.0927672     62.1399769     6.701    10.772              -9.9e+01    482.7    160.1    -99.00        -1         0
    250035    189.1806959     62.1856831     7.051     11.82              -9.9e+01    190.2    161.6    -99.00        -1         0
    250002    189.3118278     62.3487894     7.051     14.49              -9.9e+01    224.7    222.6    -99.00        -1         0
   1160006    189.2154333     62.3404380     7.301    10.605              -9.9e+01    547.2    171.4    -99.00        -1         0
   1160007    189.2579852     62.3320878     7.601    11.234              -9.9e+01    444.7     29.8    -99.00        -1         0
