#      Type_AGN        SAVEDid          radio         eradio          xfRad           xeRad
#
              0            604          12.05           3.88       0.008727       0.002342
              0            606          3.079           3.46       0.003415       0.001373
              0            620          7.507          3.329       0.008157       0.003843
              0            621          21.15          3.275         0.0203       0.003585
              0            622          7.149          3.361       0.006394       0.004085
              0            628        -0.1178          4.039       0.002963        0.00135
              0            631          16.84          3.459        0.01829       0.003795
              0            637          11.21          3.647        0.01088        0.00502
              1            638          51.61          3.986        0.03852       0.000425
              0            652        -0.1132          3.858       0.004995       0.002015
              0            658          142.2          4.888         0.1424              0
              0            659          10.71          3.671        0.01376        0.00092
              0            661        -0.1127          4.074       0.002796       0.002796
              0            664        -0.1205          3.803       0.002655       0.002655
              0            669          22.13          3.751         0.0152       0.001145
              0            672          11.04          3.653       0.006449       0.002632
              0            689          3.488          3.856       0.003765       0.003765
              0            692          14.46          3.451        0.01747       0.003455
              0            697          3.309          3.315       0.005364       0.002228
              0            702          1.889          3.425       0.003288       0.003287
              0            710          1.021          3.509       0.001872       0.001872
              0            713          2.514          3.083       0.003057      0.0009885
              0            714          11.49          3.216        0.02093              0
              0            718           5.35          3.499       0.005284       0.004976
              0            719        -0.1122          3.542       0.002332       0.002332
              0            721         0.2708          3.007       0.002092       0.002092
              0            729          4.063          3.698       0.003632       0.003631
              0            737          48.53          3.098        0.04771        0.00259
              0            740        -0.1177          3.827        0.00242        0.00242
              0            748           6.67          3.695       0.003115       0.002555
              0            749          11.18          3.578       0.006473       0.001352
              0            753        -0.1128          3.561       0.001334       0.001334
              0            760          7.544          3.223       0.005938       0.003121
              0            762          10.15          3.542       0.009905       0.004975
              0            768          3.031          3.225        0.00359       0.003589
              0            776         0.8703          3.235       0.002609       0.002609
              0            779          59.41          3.378        0.05963        0.00247
              0            786        -0.1234          4.371       0.002169       0.002168
              0            793          10.45          3.554        0.00418       0.001076
              0            804        -0.1218          3.719       0.002348       0.002348
              0            805          1.531           3.09         0.0029         0.0029
              0            807          17.24          3.557        0.01724       0.004195
              0            808          19.79          2.855        0.01828        0.00191
              0            809        -0.1108          3.371        0.00243        0.00243
              0            825          6.796          3.829       0.005415       0.003159
              0            826          3.667          3.791        0.00457        0.00457
              1            827          121.9          5.935        0.09935        0.00047
              0            837          6.315          3.194       0.005494       0.004002
              0            841          11.17           3.37       0.009668       0.001613
              0            849          13.49          3.593       0.009493       0.001638
              0            860          4.401          3.249        0.00468       0.004379
              0            866          7.509          3.184       0.008158       0.004132
              0            867        -0.1152           3.27       0.002436      0.0008085
              0            870           27.4          3.279        0.02654       0.003085
              0            872          8.438          3.077       0.007417       0.003573
              0            877          5.186          3.553       0.004098       0.004098
              0            878          1.251          3.155       0.004917       0.002332
              0            881          1.924          3.974       0.003675       0.003675
              0            884        -0.1105          3.178        0.01463              0
              0            885          18.81          2.947        0.01835        0.00341
              0            886          5.731           3.46       0.003973       0.001056
              0            892          4.715          2.824       0.004477       0.003915
              0            893          18.67          3.465        0.01528       0.002295
              0            899           5.85          3.803       0.002169       0.002125
              0            902          7.966          3.227       0.007319       0.003231
              0            915          26.49          4.301        0.02685        0.00329
              0            917          10.38          3.454        0.01036       0.004738
              0            922         -0.121           3.71       0.001406       0.001406
              0            923          31.15          3.854        0.03108       0.002665
              0            924        -0.1095          3.685       0.002004       0.002004
              0            926        -0.1108          3.802       0.002083       0.002083
              1            928          14.37          3.378       0.001055      0.0007578
              0            931        -0.1094          3.107       0.002265       0.002265
              0            934          5.046          3.641       0.005327       0.004482
              0            937          7.132          3.598       0.006255       0.004484
              0            939          32.87          2.841        0.03109        0.00248
              0            950        -0.1096          3.323        0.00228        0.00228
              0            951          16.52          2.903       0.008172       0.002478
              0            960        -0.1271          3.817       0.001778       0.001778
              0            965          6.016          3.189       0.005243       0.004094
              0            966          5.193          3.268       0.007703       0.002848
              0            972         -0.109          4.016       0.001624       0.001624
              0            974          15.18          2.816        0.01431       0.001435
              0            994        -0.1273          3.791       0.002627       0.002627
              0            995          13.45           3.33        0.01003       0.001933
              0           1002          20.72          3.085        0.01342        0.00059
              0           1005           22.7           3.41        0.02168        0.00342
              0           1006          37.52          3.316        0.03713        0.00296
              0           1008          7.104          2.983        0.01093       0.002544
              0           1023        -0.1223          3.734       0.001699       0.001699
              0           1026         0.2929           3.25       0.002159       0.002158
              0           1035        -0.1134          3.787       0.002467       0.001723
              0           1036          2.252          3.557       0.009263       0.000638
              0           1037          5.982          2.965       0.007117       0.003393
              0           1042          2.048          3.478       0.001376       0.001376
              0           1053           4.97          3.312        0.00498       0.004757
              0           1058          4.711          3.414       0.002439       0.002439
              0           1064          7.617          3.132       0.006367       0.003415
              0           1075           2.92          3.192       0.005021       0.002877
              0           1076        -0.1109          3.332       0.002419       0.002418
              0           1077          13.75          3.313        0.01363        0.00401
              0           1081          9.441          4.188       0.005826       0.002738
              0           1084          27.73          3.288        0.02745       0.003955
              0           1089          5.453          3.307        0.00515       0.004521
              0           1091        -0.1124          4.572       0.003046       0.003045
              0           1094          15.91          3.232        0.01764       0.002065
              0           1101          6.619          3.657       0.004346       0.004345
              0           1102          13.51          3.416        0.01187       0.003815
              0           1103          12.57          3.201       0.009728       0.001823
              0           1104          4.678          3.061       0.005228       0.004284
              0           1105           8.23           3.31       0.005849        0.00262
              0           1109          4.242           3.26       0.004485       0.004485
              0           1113          5.209          3.036       0.003381       0.001691
              0           1118          2.707          3.446       0.003957       0.003956
              0           1121         -127.4      1.287e+10       0.004512       0.004512
              0           1123          3.353          3.202       0.003466       0.003465
              0           1125          4.747          3.773       0.004678       0.004678
              0           1129           7.44          3.123        0.00644       0.003342
              0           1133          1.659           3.52       0.002535       0.000792
              1           1135          26.76          3.612        0.01339        0.00182
              0           1140        -0.1219          3.428       0.002509       0.002508
              0           1141          8.763          3.323       0.008418       0.004572
              0           1143          7.058          3.633        0.01185       0.003115
              0           1144        -0.1147          3.879       0.002626       0.002626
              0           1146          14.61          3.803        0.01339       0.001235
              0           1147         0.1325          3.157       0.002211        0.00221
              0           1148          17.14           3.27        0.01673       0.004175
              0           1150          6.971          3.361       0.006562       0.001912
              0           1159          32.71          2.925        0.03197        0.00205
              0           1160         0.8083          3.172       0.002394       0.002393
              0           1167          15.27           3.31        0.01528       0.002375
              0           1168          36.41          3.367        0.03596       0.003255
              0           1172         0.9275          3.648       0.002838       0.002838
              0           1181           3.22          3.219       0.003941       0.003202
              0           1186          3.908          3.201       0.004288       0.004288
              0           1202       -0.04585          3.632        0.00201        0.00201
              0           1208          2.366          2.873       0.003191        0.00319
              0           1221          6.201          3.578       0.006484       0.002099
              0           1222          7.583          3.279       0.002842       0.001526
              0           1225          14.38          3.896        0.01414       0.005312
              0           1235          23.57          3.104        0.02268       0.003035
              0           1239           51.5          3.242        0.05114        0.00248
              0           1248          35.68          3.379        0.03588       0.002575
              0           1252         -0.107          3.279       0.002267       0.002267
              0           1253          2.342          3.046        0.00453       0.002126
              0           1262          20.48           3.06        0.01997       0.000385
              0           1269           2.81          2.762       0.003352       0.003351
              0           1270          4.557          3.306       0.006024       0.004016
              0           1273           6.61          3.018       0.005737       0.002905
              0           1278           1.33          3.131        0.00283        0.00283
              0           1284          11.18          3.003        0.01002       0.002631
              0           1285          18.62          3.927        0.01021       0.000383
              0           1293          14.15          3.207       0.008165       0.001428
              0           1303        -0.1077          3.397       0.002711       0.002678
              0           1306          1.617          3.179       0.000989       0.000989
              0           1313           23.2          3.931        0.01705        0.00128
              0           1315          2.774          3.269       0.004993       0.003307
              0           1320          12.08          3.223       0.006184       0.001335
              0           1334          11.99          3.284       0.003725      0.0007875
              0           1335          1.004          3.116        0.00542       0.001594
              0           1337          7.108          3.557       0.007092       0.005057
              0           1338          10.29          2.921       0.008214       0.002526
              0           1341          6.372          3.439       0.009212       0.002309
              0           1342        -0.1099          3.327      0.0001901      0.0001901
              0           1348          4.247          3.198       0.002406       0.002406
              0           1350          9.676          2.889       0.009437       0.004063
              0           1355          3.484          3.499       0.004042       0.004041
              0           1357        -0.1057          3.016       0.002658        0.00213
              0           1367          7.095          2.868       0.005394       0.002724
              0           1368          22.51          2.822        0.02201       0.003035
              0           1369         0.7485          3.285        0.00281        0.00281
              0           1371        -0.1091          3.499       0.003048      0.0008745
              0           1384          8.814          3.564       0.008685       0.004995
              0           1387          20.08           4.08        0.01964        0.00541
              0           1391          3.617           3.15       0.002914       0.001926
              0           1393            7.3          3.574       0.006545       0.004525
              0           1394           7.97          3.727        0.01243       0.004172
              0           1396       -0.02969          3.318       0.002425       0.002425
              0           1401          13.15          3.174       0.005027       0.003001
              0           1402          9.094          3.553       0.008171       0.004318
              0           1416          3.494           3.06       0.003297       0.003296
              0           1419          2.968          3.534       0.003777       0.001188
              0           1420          6.652          3.058       0.006615       0.004335
              0           1434          4.823          3.142       0.008815       0.003086
              0           1437        -0.1188          3.372       0.002454       0.002453
              0           1445          28.21           3.34        0.02842        0.00241
              0           1449          2.453           2.69       0.002611        0.00253
              0           1452           20.2          3.446        0.01992        0.00431
              0           1458          7.246          3.211       0.007382       0.003429
              0           1469         -0.105          3.693       0.001785       0.001785
