#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0998144                   0.0676008
         2                   0.0960334                   0.0617977
         3                   0.0640499                   0.0590253
         4                   0.0923145                   0.0591554
         5                   0.0619925                   0.0582905
         6                   0.0653596                    0.060919
         7                   0.0931021                   0.0586778
         8                   0.0649723                   0.0594934
         9                    0.129238                   0.0666067
        10                   0.0735103                   0.0687924
        11                    0.118324                   0.0592483
        12                   0.0577957                   0.0539011
        13                   0.0708525                   0.0655718
        14                    0.123413                   0.0600218
        15                   0.0670813                   0.0650994
        16                   0.0618923                   0.0589883
        17                   0.0709666                   0.0624702
        18                    0.115982                    0.057904
        19                     0.17431                    0.060219
        20                    0.097633                   0.0642416
        21                   0.0908351                   0.0584898
        22                    0.171664                   0.0523792
        23                    0.118858                   0.0597293
        24                   0.0977634                   0.0640516
        25                    0.124448                   0.0649247
        26                    0.102044                   0.0715555
        27                   0.0724086                   0.0688748
        28                   0.0632104                   0.0582087
        29                     0.14221                   0.0532273
        30                    0.126057                   0.0641834
        31                   0.0928173                      0.0607
        32                    0.116929                   0.0568728
        33                    0.121198                   0.0594547
        34                    0.123796                   0.0653932
        35                    0.118231                   0.0594033
        36                    0.117173                   0.0583791
        37                   0.0644791                   0.0592265
        38                   0.0665652                   0.0623914
        39                    0.123109                   0.0619478
        40                    0.153397                   0.0640333
        41                   0.0629118                   0.0582015
        42                   0.0992815                   0.0696985
        43                   0.0907104                   0.0600878
        44                   0.0612458                   0.0572552
        45                   0.0645282                   0.0616256
        46                   0.0925514                    0.061758
        47                    0.119159                   0.0573775
        48                    0.088022                   0.0580159
        49                    0.123618                   0.0664356
        50                   0.0868649                   0.0547099
        51                   0.0983484                   0.0664204
        52                    0.143587                   0.0548535
        53                   0.0635919                     0.05791
        54                    0.115929                   0.0544967
        55                   0.0908243                   0.0588556
        56                    0.126855                   0.0675099
        57                   0.0700211                   0.0656289
        58                   0.0978536                     0.06783
        59                   0.0944364                   0.0630884
        60                     0.15328                    0.065203
        61                   0.0940216                   0.0629395
        62                    0.124198                   0.0648555
        63                   0.0909381                   0.0588528
        64                   0.0927465                   0.0606311
        65                   0.0949749                     0.06215
        66                    0.066925                   0.0639777
        67                   0.0913892                   0.0583735
        68                    0.063214                   0.0606721
        69                    0.065383                   0.0602355
        70                    0.140111                    0.050856
        71                   0.0935126                     0.06224
        72                   0.0916681                   0.0580524
        73                   0.0753998                   0.0708438
        74                    0.121283                   0.0639679
        75                   0.0922847                   0.0613296
        76                    0.064363                   0.0590454
        77                   0.0693364                   0.0642857
        78                   0.0906286                   0.0593059
        79                    0.095016                   0.0639961
        80                   0.0755194                   0.0719927
        81                    0.149592                    0.063701
        82                    0.092011                   0.0603604
        83                    0.113907                   0.0544978
        84                   0.0611127                   0.0574263
        85                   0.0686327                   0.0649988
        86                    0.122807                   0.0607738
        87                   0.0612352                   0.0591029
        88                   0.0927779                   0.0617156
        89                    0.102648                   0.0707277
        90                    0.127759                   0.0661623
        91                    0.125278                   0.0634424
        92                    0.104986                   0.0732109
        93                   0.0900365                   0.0585984
        94                   0.0641562                   0.0582919
        95                   0.0714052                   0.0659963
        96                   0.0602767                   0.0571554
        97                    0.054962                   0.0512707
        98                   0.0986813                   0.0669886
        99                   0.0728819                   0.0690289
       100                    0.150673                   0.0635138
       101                    0.095062                   0.0625368
       102                     0.11662                    0.055651
       103                   0.0658053                   0.0597993
       104                    0.063351                   0.0607749
       105                   0.0913275                   0.0558335
       106                   0.0917148                   0.0578203
       107                   0.0640727                   0.0588123
       108                   0.0904307                   0.0587666
       109                    0.121155                   0.0611722
       110                   0.0870268                   0.0542181
       111                   0.0620753                   0.0578492
       112                   0.0698466                   0.0635832
       113                   0.0694325                     0.06387
       114                   0.0987286                   0.0677329
       115                   0.0665251                   0.0622788
       116                   0.0642578                   0.0591141
       117                    0.119698                   0.0584044
       118                   0.0970585                   0.0668262
       119                    0.101246                   0.0706167
       120                   0.0918673                   0.0607245
       121                    0.125446                   0.0599136
       122                   0.0585924                   0.0524424
       123                    0.067517                   0.0615427
       124                    0.124753                   0.0638503
       125                   0.0644166                   0.0588123
       126                    0.122807                    0.062414
       127                    0.116126                   0.0549787
       128                    0.151291                   0.0615621
       129                   0.0666777                   0.0583485
       130                   0.0938934                   0.0617239
       131                    0.094204                   0.0609767
       132                    0.121852                   0.0623615
       133                    0.067943                   0.0661757
       134                   0.0942441                   0.0617822
       135                   0.0944669                   0.0625321
       136                    0.119553                   0.0591391
       137                   0.0634918                   0.0592165
       138                    0.174427                   0.0602818
       139                   0.0960528                   0.0614329
       140                   0.0971725                   0.0655931
       141                   0.0926534                   0.0621682
       142                   0.0642814                   0.0614605
       143                   0.0697717                   0.0634948
       144                    0.140984                   0.0535693
       145                    0.132339                   0.0692624
       146                   0.0614096                   0.0580683
       147                   0.0708203                   0.0662576
       148                   0.0905514                   0.0567486
       149                    0.104537                   0.0717654
       150                   0.0725903                   0.0669918
       151                    0.121886                   0.0613127
       152                   0.0628447                   0.0598141
       153                   0.0942463                   0.0592002
       154                     0.14875                   0.0631856
       155                   0.0632104                    0.058878
       156                   0.0906644                   0.0597845
       157                    0.118719                   0.0570651
       158                   0.0568642                   0.0510873
       159                   0.0871071                   0.0545115
       160                    0.123587                   0.0632156
       161                    0.176621                    0.063477
       162                    0.141037                   0.0542309
       163                   0.0907538                   0.0591325
       164                    0.106326                   0.0749347
       165                   0.0633551                   0.0598097
       166                   0.0961626                   0.0645956
       167                    0.102692                   0.0710033
       168                   0.0652657                   0.0605402
       169                   0.0628372                    0.057255
       170                   0.0678758                   0.0627146
       171                   0.0930021                   0.0609065
       172                   0.0864836                   0.0527369
       173                    0.093638                   0.0604996
       174                   0.0933045                   0.0602186
       175                    0.068379                   0.0649519
       176                   0.0636013                   0.0595533
       177                    0.101715                   0.0680453
       178                   0.0616071                    0.058759
       179                   0.0636475                   0.0607202
       180                    0.117447                   0.0577878
       181                   0.0989602                   0.0665023
       182                   0.0624787                   0.0575466
       183                    0.113125                   0.0542503
       184                   0.0935577                   0.0609661
       185                   0.0902134                   0.0551944
       186                   0.0668401                   0.0627604
       187                   0.0627391                   0.0591268
       188                    0.090598                   0.0598996
       189                   0.0648485                   0.0612373
       190                   0.0960702                   0.0606036
       191                    0.115999                   0.0552997
       192                   0.0955388                   0.0639699
       193                   0.0916401                   0.0587401
       194                   0.0659005                   0.0601228
       195                   0.0965139                   0.0665044
       196                    0.122574                   0.0630156
       197                   0.0889032                   0.0563673
       198                   0.0887228                   0.0565751
       199                   0.0617082                    0.057186
       200                    0.090209                   0.0589757
       201                    0.062781                   0.0577023
       202                   0.0679862                   0.0640766
       203                   0.0679094                   0.0606264
       204                   0.0970662                    0.063065
       205                   0.0684604                   0.0629606
       206                   0.0656633                   0.0614874
       207                    0.072691                   0.0683881
       208                    0.131177                   0.0725591
       209                   0.0911977                   0.0604637
       210                   0.0668551                   0.0634601
       211                   0.0690377                   0.0641168
       212                    0.148488                   0.0596612
       213                    0.125967                   0.0629464
       214                   0.0726303                   0.0679136
       215                   0.0936034                   0.0591244
       216                   0.0690605                    0.063479
       217                   0.0741982                   0.0695947
       218                   0.0916504                   0.0569425
       219                    0.067321                   0.0637787
       220                   0.0956853                    0.064135
       221                    0.121803                   0.0584269
       222                    0.119814                   0.0599415
       223                   0.0930393                   0.0614557
       224                   0.0710764                   0.0663364
       225                   0.0610598                   0.0547719
       226                   0.0690752                   0.0665302
       227                    0.185171                   0.0699281
       228                   0.0908488                   0.0610136
       229                    0.122057                   0.0642915
       230                   0.0969389                   0.0652358
       231                    0.149708                   0.0623709
       232                   0.0920711                   0.0586529
       233                   0.0719712                   0.0680911
       234                    0.116342                   0.0576697
       235                    0.062491                   0.0581109
       236                   0.0889503                   0.0565721
       237                   0.0752017                   0.0701407
       238                   0.0882452                   0.0576795
       239                   0.0937965                   0.0614594
       240                   0.0958588                   0.0648315
       241                   0.0894389                   0.0569109
       242                   0.0996324                    0.067568
       243                   0.0924759                   0.0607424
       244                   0.0970353                   0.0658604
       245                   0.0629125                   0.0561792
       246                   0.0667448                   0.0624564
       247                   0.0740881                   0.0702841
       248                   0.0637121                   0.0594647
       249                   0.0672615                    0.062818
       250                   0.0626717                   0.0581119
       251                    0.143799                   0.0566384
       252                   0.0899244                   0.0572613
       253                   0.0962225                   0.0640376
       254                    0.146481                   0.0592505
       255                    0.098647                   0.0659255
       256                    0.107013                   0.0753324
       257                   0.0690131                   0.0645496
       258                    0.143178                   0.0564173
       259                   0.0882809                   0.0561638
       260                    0.123752                     0.06267
       261                   0.0601993                   0.0540738
       262                   0.0935551                   0.0622959
       263                   0.0693542                    0.065454
       264                    0.153387                   0.0647181
       265                    0.124253                   0.0645502
       266                   0.0577766                   0.0504518
       267                   0.0919409                   0.0597447
       268                   0.0956773                   0.0639282
       269                    0.119095                   0.0578483
       270                   0.0624429                   0.0590187
       271                   0.0986015                    0.066662
       272                   0.0930331                   0.0612124
