#   coo_zmin    coo_zmax    coo_zcen    coo_zdis         coo_zvol
#
      5.0000      5.0000      5.0000      0.0000               0
      5.0000      5.0400      5.0200      0.0400       15835.169
      5.0000      5.0800      5.0400      0.0800       31601.708
      5.0000      5.1200      5.0600      0.1200        47299.76
      5.0000      5.1600      5.0800      0.1600       62929.479
      5.0000      5.2000      5.1000      0.2000       78491.593
      5.0000      5.2400      5.1200      0.2400       93985.674
      5.0000      5.2800      5.1400      0.2800       109412.72
      5.0000      5.3200      5.1600      0.3200       124771.94
      5.0000      5.3600      5.1800      0.3600       140064.36
      5.0000      5.4000      5.2000      0.4000       155290.56
      5.0000      5.4400      5.2200      0.4400       170450.23
      5.0000      5.4800      5.2400      0.4800       185543.88
      5.0000      5.5200      5.2600      0.5200       200571.24
      5.0000      5.5600      5.2800      0.5600        215534.4
      5.0000      5.6000      5.3000      0.6000        230430.6
      5.0000      5.6400      5.3200      0.6400          245263
      5.0000      5.6800      5.3400      0.6800       260030.65
      5.0000      5.7200      5.3600      0.7200       274734.22
      5.0000      5.7600      5.3800      0.7600       289373.69
      5.0000      5.8000      5.4000      0.8000       303949.78
      5.0000      5.8400      5.4200      0.8400       318462.92
      5.0000      5.8800      5.4400      0.8800       332912.48
      5.0000      5.9200      5.4600      0.9200       347299.79
      5.0000      5.9600      5.4800      0.9600       361624.69
      5.0000      6.0000      5.5000      1.0000       375886.44
      5.0000      6.0400      5.5200      1.0400       390088.15
      5.0000      6.0800      5.5400      1.0800       404228.56
      5.0000      6.1200      5.5600      1.1200       418308.07
      5.0000      6.1600      5.5800      1.1600       432325.73
      5.0000      6.2000      5.6000      1.2000       446285.15
      5.0000      6.2400      5.6200      1.2400       460182.77
      5.0000      6.2800      5.6400      1.2800       474022.33
      5.0000      6.3200      5.6600      1.3200       487802.91
      5.0000      6.3600      5.6800      1.3600       501523.39
      5.0000      6.4000      5.7000      1.4000       515186.38
      5.0000      6.4400      5.7200      1.4400       528790.77
      5.0000      6.4800      5.7400      1.4800       542335.26
      5.0000      6.5200      5.7600      1.5200       555824.31
      5.0000      6.5600      5.7800      1.5600       569255.85
      5.0000      6.6000      5.8000      1.6000       582633.81
      5.0000      6.6400      5.8200      1.6400       595951.59
      5.0000      6.6800      5.8400      1.6800        609213.9
      5.0000      6.7200      5.8600      1.7200       622420.26
      5.0000      6.7600      5.8800      1.7600       635573.01
      5.0000      6.8000      5.9000      1.8000       648668.68
      5.0000      6.8400      5.9200      1.8400       661710.58
      5.0000      6.8800      5.9400      1.8800       674696.06
      5.0000      6.9200      5.9600      1.9200       687631.77
      5.0000      6.9600      5.9800      1.9600       700510.77
      5.0000      7.0000      6.0000      2.0000       713334.39
