#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
             -1            521       0.976488        1.18274          9.473           1.63          10.34
              0            530       0.485437       0.896765          3.058          1.326          10.31
              0            532         1.6248        1.42955          42.15          1.761           10.7
              0            533       0.652343        1.77109          4.491          3.292          11.09
              0            540        1.65686        2.07136          45.38          29.34          10.86
             -1            541        1.05729        1.64964          11.41         0.9436          11.12
              0            546        2.75228        2.56923          565.3          183.3          11.25
              0            547        2.66801        2.27536          465.6            171          10.96
              0            548        2.07262        2.52166          118.2          47.97          11.59
              0            550       0.563837     -0.0941988          3.663          1.289           8.76
             -1            552        0.65089       0.779033          4.476         0.2952          10.29
             -1            554       0.641276       0.657071          4.378         0.4792           9.97
              0            559        1.74718        1.87512          55.87          25.07          11.06
              0            561         1.1089        1.34716          12.85          10.15          10.31
              0            562        1.64276        2.26303          43.93          31.19          10.95
              1            564        3.23578        2.81722           1721          18.27          11.49
              0            581       0.963835       0.857775          9.201          7.534           9.74
              0            593        1.82204        1.62797          66.38           27.6          10.63
              0            597        1.59956        1.33111          39.77          32.36           9.89
              0            598        1.52453        1.72968          33.46          14.55          10.81
              0            604       0.592177       0.661135           3.91          3.034          10.07
             -1            606       0.729489        1.03904          5.364          1.151          10.18
             -1            620       0.866937       0.985368          7.361         0.8421          10.28
              0            621        2.32552        2.20688          211.6          96.02          10.94
              0            622        1.11394        1.41283             13           10.2          10.43
             -1            628       0.979366        1.09833          9.536          2.525          10.08
              0            631        1.47436       0.999558          29.81          13.34           9.87
             -1            637       0.465532        0.98327          2.921         0.2588          10.55
             -1            638        1.35889        1.55599          22.85         0.4284          11.08
             -1            652        1.49457        1.57606          31.23          6.764           10.4
              0            658        2.92438        2.57232          840.2          43.98          11.18
             -1            659        2.92376        2.95172            839          67.96          11.66
              0            661       0.913602       0.771837          8.196          6.615            9.6
              0            664        1.42012        1.58196          26.31          19.69          10.18
              0            669        1.65772         1.3457          45.47          3.804          10.47
             -1            672       0.723538        1.87747          5.291         0.4031          11.29
              0            689       0.534026       0.720003           3.42          1.978          10.02
             -1            692        0.43664        1.57784          2.733        0.02656          11.53
              1            697        1.86392       0.607692           73.1          7.362           9.01
              0            702        1.41913        1.18933          26.25          18.85           9.73
              0            710       0.375115       0.338614          2.372          1.754           9.35
              0            713       0.393926       0.454146          2.477         0.8272          9.628
              0            714        2.47305         2.1223          297.2          11.76          10.61
              0            718       0.927268        1.26199          8.458          5.247          10.49
              0            719        1.17955        1.55735          15.12          10.79          10.26
              0            721       0.102434       0.713717          1.266         0.4706          10.12
             -1            729       0.589838       0.610243          3.889         0.6144          9.718
             -1            737        1.07335        1.34593          11.84         0.4942          10.93
              0            740     0.00130093       0.511572          1.003         0.6768          10.04
              0            748       0.704579       0.982266          5.065          2.988           9.89
             -1            749       0.472464       0.985077          2.968          0.505          10.36
              0            753      -0.623971       0.892585         0.2377         0.1132          10.61
              0            760       0.704665       0.844465          5.066          1.821          10.05
             -1            762       0.763653        2.04297          5.803          1.027           11.7
              0            768        1.24773        1.48841          17.69          13.09          10.03
              0            776       0.259116       0.440991          1.816          1.227            9.8
             -1            779        1.45773        2.11777          28.69          1.848          11.25
              0            786        1.25672        1.43783          18.06          9.756           9.98
              1            793        1.94438       0.871574          87.98          14.79          9.198
              0            804       0.688953       0.882677          4.886          3.524          10.05
              0            805        1.36418        1.41986          23.13          14.08          10.38
              0            807        2.50907        1.54546          322.9          178.9          10.06
             -1            808       0.535294        1.20477           3.43         0.5149          10.86
              0            809      -0.132297        1.15972         0.7374         0.2812           10.8
             -1            825       0.807467        1.07903          6.419          1.171          10.22
              0            826       0.547405       0.813435          3.527          2.393          10.22
             -1            827        2.12024        2.02226          131.9          4.441          11.17
              0            837        2.02776       -84.8022          106.6          106.4            -99
              0            841        2.60788       -84.4761          405.4          49.53            -99
              0            849         1.4621        1.17103          28.98          15.25           9.98
             -1            860        1.90832        2.62497          80.97          17.36          11.38
              0            866        1.03181        1.93557          10.76          8.124          11.13
              0            867       0.872913        1.07877          7.463          3.241          10.05
              0            870         1.5407        1.21745          34.73          5.412          10.54
              0            872        1.61658        1.83104          41.36          14.21           10.6
              0            877         1.5293        1.49281          33.83          15.94          10.44
              0            878      -0.311402      -0.545568         0.4882        0.05459          8.848
              0            881        1.31639        1.23365          20.72          12.19           9.81
              1            884        2.71642         2.3286          520.5          55.99          10.91
              0            885        1.12516      -0.433705          13.34          6.675          8.398
             -1            886      0.0930713       0.993041          1.239         0.3415          10.59
              0            892        1.08314        1.43837          12.11          6.545          10.39
             -1            893        1.36003        1.38442          22.91          1.206          10.67
              0            899      -0.187153        1.41315         0.6499         0.4223          11.11
             -1            902        1.22891        1.16109          16.94          1.951          10.37
              0            915        2.42325        2.15097            265          24.13          10.83
              0            917         2.0103        1.74773          102.4           24.7          10.71
              0            922        1.06371        1.84724          11.58          6.036          10.74
              0            923        2.24428        1.39204          175.5          59.91          10.11
              0            924      -0.150581       0.352475          0.707          0.464           9.79
              0            926        1.20493       0.909599          16.03          6.483          9.638
              0            928       0.303844       0.182572          2.013          1.505           9.24
              0            931       0.715669       0.764331          5.196          3.224          10.05
             -1            934       0.453012       0.455636          2.838         0.7435           9.69
              0            937       0.980594        1.16398          9.563          3.556          10.32
             -1            939        1.57646        1.49939          37.71          5.719          10.81
              0            950        2.05767         2.8966          114.2          61.81          11.72
              0            951     -0.0571985      -0.285235         0.8766         0.6887          9.188
              0            960      -0.140862        1.82223          0.723         0.5681          11.74
              0            965        1.24452        1.47834          17.56          6.158          10.39
             -1            966        1.00988        1.25716          10.23          1.711          10.25
              0            972      -0.392223      -0.802357         0.4053         0.1862          8.448
              0            974        2.72697        2.51482          533.3          145.2           11.1
              0            994        0.99791       0.969418          9.952          5.891          10.01
             -1            995        1.30984        1.21917          20.41          1.751           10.2
             -1           1002         1.0667        1.44471          11.66          1.732          10.74
              0           1005        2.43854        2.24066          274.5          92.66          10.95
             -1           1006        1.68296        1.91746          48.19          2.297          11.34
             -1           1008        1.44201         1.5888          27.67          2.718          10.86
              0           1023        1.03743        2.26894           10.9          6.084          11.09
              0           1026        1.16967        1.31808          14.78          8.371          10.08
              0           1035       0.187239      0.0602374          1.539         0.6112          9.128
              1           1036        2.44138        1.97659          276.3          50.22          10.42
             -1           1037       0.738225       0.996794          5.473          0.661          10.32
             -1           1042       0.395501        0.80758          2.486         0.4425          9.848
              0           1053        1.89343        2.23551          78.24          52.49          10.99
              0           1058       0.666799        1.53883          4.643           2.45          10.79
              0           1064       0.409426        0.62055          2.567          1.693          10.01
              0           1075       0.954677        1.55674          9.009          5.586           10.8
              0           1076        1.77048        1.19622          58.95          21.77          10.04
             -1           1077        1.14333        1.24887          13.91          2.243           10.5
              0           1081      -0.285419       -1.12827         0.5183         0.4641           8.16
             -1           1084        1.78297        1.88401          60.67          2.208          11.15
              0           1089        1.01787        1.45159          10.42          6.513          10.73
              0           1091        1.17202        1.57247          14.86          10.38          10.13
              1           1094         2.5001         2.0284          316.3          32.85          10.53
              0           1101        0.70757        1.02701            5.1          3.457          10.24
              0           1102       0.409257       0.231021          2.566         0.2191          9.628
              0           1103        1.76953        1.51589          58.82          5.609          10.54
              0           1104       0.699578       0.435265          5.007         0.8386          9.768
             -1           1105        1.23045        1.66348             17          1.612          11.02
              0           1109        2.31027       -84.7124          204.3          136.4            -99
              0           1113        1.17696       0.943863          15.03          4.606           9.76
              0           1118       0.286007    -0.00179021          1.932         0.1091           9.42
             -1           1121       0.771146        1.87787          5.904          1.782          11.41
              0           1123        1.72156        1.85625          52.67          33.36          10.37
              0           1125       0.685921        1.78272          4.852           2.49          11.11
              0           1129        1.94374        1.80845          87.85          40.83           10.4
             -1           1133      -0.667562      -0.175226          0.215        0.04731           9.34
              1           1135      -0.713768       -2.99235         0.1933        0.03304          5.908
              0           1140      0.0338257      -0.482848          1.081         0.8555           8.72
              0           1141        1.35044        1.18162          22.41          11.59          10.24
             -1           1143      0.0937718       0.558236          1.241         0.0781          10.24
              0           1144       0.674402        1.92087          4.725          3.859          11.08
              0           1146        2.46731       -84.4605          293.3          126.6            -99
              0           1147        1.24576        1.33792          17.61          7.688          10.38
              0           1148        2.67843        2.71802          476.9          225.9          11.44
             -1           1150        1.41731        1.50848          26.14          8.171          10.53
             -1           1159        2.65292        2.61321          449.7          24.53          11.31
              0           1160        1.37273        1.88632          23.59          13.79          10.56
              1           1167         2.3189        1.63733          208.4          7.758          10.12
              0           1168        2.24551       -84.9793            176          153.9            -99
              0           1172       0.853637        1.56274          7.139          4.188          10.64
              0           1181       0.982407        1.59444          9.603          5.649          10.42
              0           1186        1.32325        1.60883          21.05          14.82           10.6
              0           1202         1.1186        1.19908          13.14          5.391          9.948
             -1           1208        1.23147        1.21618          17.04          3.842          10.14
              0           1221         1.0976        1.22052          12.52          4.889          10.33
