#      id           ra           de         z        ez      z_sp        z_op          fK         dfK        fch1       dfch1        fch2       dfch2        fch3       dfch3        fch4       dfch4         f24        df24         f16        df16        f100       df100        f160       df160        f250       df250        f350       df350        f500       df500        f850       df850       f1160      df1160       f20cm      df20cm         SNR       Mstar         SFR        eSFR        sSFR    goodArea    Type_AGN    Type_SED    Type_FIR
#
107        189.3130188   62.3921814    0.6233      0.14        -1      0.63      0.01047    0.001047    0.009735    0.000118    0.007961     0.00011     0.00913    0.001574     0.01198    0.000814      0.0463    0.004928         -99       1e+10       1.905      0.4609     0.09537       1.214         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.003706    0.003103       4.133   4.385e+09       3.232       2.089      0.7371           0           0           0           0
112        189.2936859   62.3917084     1.045    0.1798        -1      1.05     0.007244   0.0007244         -99       1e+10     0.01253    0.000139         -99       1e+10     0.01141    0.000975     0.06521    0.006772         -99       1e+10       1.062      0.4726        2.65       1.531         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.007197    0.003186       2.837   1.387e+10        11.2       7.219      0.8077           0           0           0           0
123        189.3483124   62.3914108     2.418    0.2795        -1      2.45    0.0007311   7.311e-05    0.001229     6.3e-05    0.000907     0.00012     0.00174    0.000794   -0.000995    0.000864     0.02785    0.009119     0.01167     0.01401      0.3916      0.6957   1.745e-05       2.756         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10  -0.0004518    0.002997       0.563   1.355e+09       27.69       49.18       20.43           0           0           0           0
126        189.2962036   62.3910942     1.616     0.033        -1      1.43      0.01459    0.001459     0.02348    0.000227     0.02512    0.000129     0.03879    0.002777     0.02078    0.000914     0.06239    0.005965         -99       1e+10   1.687e-05       0.529   1.642e-05       1.568         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.007244    0.003123           0   5.272e+10       21.71       21.71      0.4118           0           0           0           0
127        189.3196411   62.3907661     0.582        -1     0.582      1.13      0.07379    0.007379     0.08046       9e-05     0.05977     0.00011     0.05533    0.001002     0.04165    0.000759      0.2327    0.008327       0.138    0.006533       4.436      0.4629       8.945       1.393       12.94         1.6       8.376       3.574         -99       1e+10         -99       1e+10         -99       1e+10     0.01861    0.003128       14.28   1.629e+11       10.52      0.7366     0.06457           0           0          -1           1
130        189.3960114   62.3908005     4.127     0.195        -1      4.42     0.001803   0.0001803    0.003019    0.000261         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10   1.792e-05      0.9078       1.955       2.409       10.27       3.158       18.32       4.079       23.66       2.494   5.194e-42       1e+10    2.13e-10       1.358    0.009296    0.003198       11.02   4.698e+10        1085       98.47       23.09           0           0           1           1
132        189.3355255   62.3906975      1.47     0.149        -1      1.55    0.0007943   7.943e-05    0.001881     6.9e-05    0.002136    0.000107    0.003959    0.000854   -0.000486    0.000787     0.02825    0.006021   1.903e-10     0.01244     0.01347      0.4563   1.745e-05       1.364         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10   -0.000398    0.003031        0.03   2.965e+09       10.68         356       3.603           0           0           0           0
135        189.3549194   62.3903694      1.39     0.215        -1      1.39     0.002355   0.0002355    0.003247     6.2e-05    0.003743    0.000125     0.00317    0.000811    0.002803    0.000886     0.02697    0.004438         -99       1e+10      0.5959      0.5312   1.745e-05       1.459         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.001483    0.003041       1.122   6.486e+09        11.4       10.16       1.758           0           0           0           0
142        189.3594208   62.3898582     2.352    0.1605        -1      2.25     0.002729   0.0002729    0.007134     6.2e-05    0.009875    0.000134     0.01065    0.000778    0.009045    0.000941      0.1774    0.006007         -99       1e+10      0.8184      0.5416   1.642e-05       1.681       4.381       1.931       2.157       4.155         -99       1e+10   5.194e-42       1e+10    2.13e-10       0.985    0.005694    0.003131       2.775    1.18e+10       71.72       30.32       6.077           0           0           0           0
145        189.3486023   62.3896980      0.28        -1      0.28      0.28       0.1294     0.01294     0.05014     6.8e-05     0.04414    0.000116     0.03155    0.000744     0.06153    0.000816      0.1331     0.00544     0.08793    0.009752       2.441      0.5578       5.821       1.551       4.943       2.927         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.005104    0.003065       6.008   9.375e+09      0.9268      0.1543     0.09886           0           0          -1           1
152        189.3703461   62.3893394    0.4677      0.13        -1      0.47      0.07586    0.007586     0.04793     7.2e-05     0.04117    0.000166     0.03336    0.000866     0.05225    0.001131      0.1518    0.007089         -99       1e+10       4.175      0.5971       6.852       2.027        4.77       1.594       3.968       3.364         -99       1e+10         -99       1e+10         -99       1e+10    0.004315    0.003197       8.406   3.564e+10       5.275       3.396       0.148           0           0           0           1
158        189.3103485   62.3889732     1.827     0.166        -1      1.84     0.005808   0.0005808     0.01162     9.1e-05     0.01495    0.000102      0.0201    0.001146     0.01443    0.000733      0.2087    0.008672     0.04337    0.008616       4.094       0.418       7.056        1.12       11.37       1.914       9.284       3.615         -99       1e+10   5.194e-42       1e+10       2.034       1.227      0.0423      0.0112       13.43   3.251e+10       147.8       38.71       4.547           0           0           1           1
162        189.2877197   62.3886566     1.256        -1     1.256      1.26      0.02333    0.002333         -99       1e+10     0.04667    0.000136     0.05622     0.00316     0.04795    0.000947      0.2516    0.008178         -99       1e+10       24.88      0.3442       36.17       1.472       29.21       2.372       18.35       3.877       9.236       4.014   5.194e-42       1e+10    2.13e-10       1.054      0.1764      0.0139       77.52   4.385e+10       228.6       5.938       5.213           0           0           1           1
169        189.3772278   62.3882370      2.04     0.274        -1      2.04     0.002377   0.0002377    0.000966     6.8e-05    0.000675    0.000231     0.00285    0.001007   -0.000575    0.001378     0.01895    0.006986         -99       1e+10   1.792e-05      0.6588         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10  -0.0004582    0.002994           0   7.797e+09       13.52       13.52       1.734           0           0           0           0
