#      Type_AGN        SAVEDid          radio         eradio          xfRad           xeRad
#
              0            606            2.2          2.873       0.003609       0.000816
              0            620          7.954           2.88       0.008086        0.00049
              0            621           33.6            9.3        0.01877       0.004195
              0            622           3.68            2.9       0.004175       0.002689
              0            628          2.167          2.921       0.004243       0.001219
              0            631          12.46          2.956        0.01076       0.001738
              0            637           9.11          3.039       0.008327       0.000715
              0            638           42.8            8.4         0.0307       0.000575
              0            652          1.154          2.916       0.006557       0.001471
              1            658          172.9              9        0.03907       0.005035
              0            659          11.81          2.971        0.03408       0.004595
              0            661          1.741          2.892       0.002501         0.0017
              0            664          2.607          3.032         0.0028       0.002012
              0            669             34            6.7        0.02398       0.001215
              1            672          14.84          2.955       0.004326      0.0003225
              0            689          7.315          3.184       0.005233       0.003242
              0            692           36.8            6.8         0.0258        0.00025
              0            697           2.24          2.883        0.01165       0.001175
              0            702         0.8757          2.897       0.003057       0.002147
              0            710          3.402          2.976       0.001951       0.001364
              0            713          1.269          2.975       0.002984       0.001084
              0            714          10.61           2.86        0.01478        0.00058
              0            718          3.125          2.989       0.005348       0.002441
              0            719        -0.3481          2.915       0.002145       0.001605
              0            721          4.346          2.849       0.002624       0.001047
              0            729          2.823          2.878       0.003484       0.000545
              0            737           45.1            3.5        0.02593       0.001525
              0            740         0.1986          2.995       0.003729       0.001568
              0            748          3.338          3.105       0.001908       0.000929
              0            749          11.44          3.068       0.004328       0.000875
              0            753        -0.3587          2.895       0.001864      0.0009918
              0            760          5.129          2.957       0.004953       0.001878
              0            762          10.66          2.999       0.008674       0.001586
              0            768          1.629          2.885       0.001836       0.001313
              0            776          3.658          2.919       0.003462       0.001088
              1            779           46.3            6.4       0.009212      0.0005935
              0            786          2.089          2.955       0.001967       0.001083
              0            793          8.093          2.959        0.00926      0.0009605
              0            804          3.642              3       0.004358       0.003241
              0            805          4.288          2.955       0.007137       0.003123
              0            807          14.97          3.048        0.02426       0.008965
              0            808          18.14          2.831        0.01134       0.001383
              0            809          1.658          2.866       0.002321      0.0007065
              0            825          10.19          3.004       0.004319      0.0009395
              0            826          6.678           2.95       0.005534       0.002022
              1            827          115.4            4.9        0.04655        0.00109
              0            837          10.09          2.911       0.007681       0.006299
              0            841          10.57          2.858        0.01033       0.002948
              0            849          10.97           2.96       0.007169       0.004041
              0            860          6.458          2.974        0.00657       0.001924
              0            866          4.401          2.861       0.003832       0.002273
              0            867         0.4727          2.885       0.003139       0.001038
              0            870           37.8            6.8        0.03513        0.00502
              0            872          4.956          2.867       0.005665       0.002282
              0            877          10.64          3.116       0.009736       0.004084
              0            878          1.755          2.819       0.005857       0.000655
              0            881         0.7412          2.918       0.002535       0.001514
              0            884        -0.3632          2.851        0.03322       0.002825
              0            885           16.9            3.2        0.01201       0.005679
              0            886          5.695          2.852       0.003994        0.00109
              0            892          5.426          2.775       0.004018       0.002219
              0            893           20.7            3.3         0.0176        0.00093
              0            899          5.643          2.941       0.002437         0.0016
              0            902          8.783          2.808        0.01245        0.00137
              0            915           29.2            5.6        0.02848       0.001935
              0            917          6.334          3.022        0.02624       0.003705
              0            922          1.461          2.952       0.003063       0.002111
              0            923          25.46           3.05        0.03328        0.00434
              0            924          7.044          2.773       0.002401       0.001076
              0            926          2.952          2.874        0.00384       0.001831
              0            928          8.824          2.892       0.001844       0.001385
              0            931        -0.1894          2.784        0.00567       0.001545
              0            934          2.526          2.882       0.004163       0.001207
              0            937          6.176          3.056       0.006552       0.002437
              0            939           32.5            3.2        0.02946        0.00337
              0            950          2.051          2.801       0.007657       0.002963
              0            951          13.14          2.791       0.007198       0.001054
              0            960          3.219           3.09       0.002805       0.001611
              0            965          3.371          2.835        0.00474        0.00176
              0            966          5.154          2.804       0.004202      0.0008005
              0            972          2.696          2.821       0.002724        0.00114
              0            974          10.55          2.818        0.01282        0.00149
              0            994          1.448          3.147       0.004912       0.001716
              0            995          8.712          2.803       0.008298       0.000513
              1           1002          18.46          2.818       0.009224       0.001147
              0           1005          16.61          2.858        0.02621        0.00535
              0           1006           35.2            3.3        0.03651        0.00174
              0           1008          9.291          2.836         0.0182       0.001105
              0           1023          1.355          3.049       0.001296      0.0006323
              0           1026           2.88          2.861        0.00369       0.002028
              0           1035        -0.3559          2.907       0.001834      0.0008025
              0           1036          3.104          3.031        0.01312         0.0008
              0           1037          10.17          2.807       0.006515       0.000436
              0           1042          7.018          2.805       0.001556      0.0003355
              0           1053          5.659          2.836       0.006766       0.003494
              0           1058          7.221          2.784       0.003199       0.001831
              0           1064          4.779          2.809       0.005632       0.002268
              0           1075          2.325          2.809       0.005277       0.002226
              0           1076         -0.349          2.867        0.01872       0.005785
              0           1077          10.08          2.843         0.0108       0.001656
              0           1081          5.506          3.369       0.004945       0.002655
              0           1084           34.6            7.5        0.03089       0.001125
              0           1089          7.505          3.007       0.006513       0.002745
              0           1091           1.67          2.854        0.00152       0.001058
              0           1094           17.5            3.2         0.0174         0.0028
              0           1101          6.223          3.013       0.004588       0.003211
              0           1102          10.48          2.769        0.00876       0.000775
              0           1103          12.55          2.799        0.02373       0.002265
              0           1104          6.636          2.813        0.01058      0.0009325
              0           1105          12.14           2.82        0.01322       0.000945
              0           1109          5.783          2.848        0.02467         0.0068
              0           1113          4.616          2.933       0.004949       0.001609
              0           1118          5.009          2.762       0.009877      0.0007635
              1           1121          367.1            4.8       0.007262       0.002192
              0           1123          2.806          2.856       0.003792        0.00243
              0           1125          4.681          2.984       0.003301       0.001783
              0           1129          6.405          2.821       0.007645       0.003865
              0           1133          1.868          2.896       0.002602       0.000599
              1           1135             26            3.2       0.008913      0.0002015
              0           1140        -0.4001          2.996       0.003216       0.001782
              0           1141          10.82          2.995        0.01024       0.002649
              0           1143          4.034          2.935        0.01198        0.00095
              0           1144        -0.3549          2.955        0.00177       0.001309
              0           1146          10.42          2.971        0.01295        0.00158
              0           1147          2.849          2.785       0.007686       0.002174
              0           1148          12.93          2.786        0.02888        0.01211
              0           1150          9.916          2.848       0.009861       0.002619
              0           1159             32            3.1        0.03088        0.00118
              0           1160         0.2583          2.882       0.002668        0.00155
              0           1167          12.22          2.867        0.01893         0.0007
              0           1168           43.2            7.3        0.03813        0.01511
              0           1172         0.1934              3       0.002825       0.001256
              0           1181           2.55           2.82       0.002361       0.001441
              0           1186          5.805          2.801       0.005887       0.003123
              0           1202        -0.3481          2.742       0.003372       0.001658
              0           1208          1.142          2.833        0.00639       0.000973
              0           1221          5.974          2.914       0.006258      0.0009915
              0           1222          6.029          2.914       0.002677       0.002138
              0           1225          11.98          2.976        0.01524        0.00218
              0           1235           24.5              3        0.01898        0.00724
              0           1239           54.3            6.7        0.03441        0.00308
              0           1248           40.2            7.5        0.03315       0.003655
              0           1252          1.095           2.84       0.001497      0.0009242
              0           1253          2.478          2.841        0.00523       0.001118
              0           1262           23.4            6.1        0.03112        0.00104
              0           1269          4.313          2.821        0.01876        0.00395
              0           1270          2.561          2.935        0.00411       0.001451
              0           1273          3.822          2.738       0.002937       0.001073
              0           1278          1.707          2.833       0.004069       0.001349
              0           1284          9.021          2.754        0.02272          0.002
              0           1285          12.57           2.83       0.005415      0.0004115
              0           1293          12.74          2.807       0.009691      0.0009095
              0           1303          2.547          2.839       0.003923       0.001347
              0           1306         0.7262          2.872       0.001427       0.000348
              1           1313           36.7            7.1       0.007321       0.002573
              0           1315          3.068          2.768       0.009599       0.001912
              0           1320          11.44          2.896       0.007531       0.001053
              0           1334          9.358          2.843       0.003802       0.002521
              0           1335          3.557          2.881       0.006338       0.001508
              0           1337          6.208          2.975        0.01388       0.003888
              0           1338          11.24          2.833        0.01245       0.001415
              0           1341           15.9            3.1        0.01455       0.001015
              0           1342        -0.3415          2.856       0.001009      0.0003756
              0           1348          2.437          2.843       0.002674       0.001735
              0           1350          9.916          2.857       0.007323       0.002958
              0           1355          1.798          3.009       0.003947       0.002095
              0           1357          3.933          2.737       0.004712       0.001697
              0           1367          6.888          2.766       0.003243        0.00071
              0           1368           24.4            3.2        0.02043        0.00199
              0           1369          1.196          2.768        0.01032       0.002301
              0           1371        0.02032          2.816       0.002984       0.000636
              0           1384          12.85          2.966        0.01964       0.003885
              0           1387          13.32          2.996        0.01513       0.003765
              0           1391          1.946          2.771       0.004058       0.001979
              0           1393           5.71          2.973       0.007274       0.002936
              0           1394          9.508          2.991         0.0337       0.000715
              0           1396           1.87          2.768        0.00214       0.001251
              0           1401          7.821          2.875       0.004145       0.002825
              0           1402          10.01           2.89        0.00833       0.001401
              0           1416          1.688           2.68       0.002621       0.001285
              0           1419          1.491          2.894        0.00436        0.00143
              0           1420          3.992          2.937        0.01835       0.005265
              0           1434          7.449          2.888        0.01148       0.001425
              0           1437          3.534          2.944        0.01079        0.00046
              0           1445           30.4            3.4        0.03782       0.003795
              0           1449          2.569          2.757       0.005526       0.000697
              0           1452           28.2            8.2        0.01776       0.004485
              0           1458          5.239          2.786        0.01212       0.002948
              0           1469        -0.2309          3.135       0.001632        0.00053
              0           1475           21.7            3.5        0.03108       0.001565
              0           1476          5.581          2.893       0.005856       0.001265
              0           1477          1.319          2.883       0.003728       0.001342
              0           1479          2.399          3.019       0.003525       0.001922
              0           1480         0.7201           3.08       0.002928       0.002124
              0           1490          12.79          2.831        0.02712       0.004725
              0           1491          12.36           2.88        0.01727        0.00411
              0           1495          2.633          3.353       0.007837       0.007583
              0           1497          8.412          2.767       0.006764       0.003024
              0           1501          10.84          2.785        0.01652       0.000305
              0           1502          8.721          2.807        0.00365       0.002671
              1           1513         1716.9           51.6       0.004585       0.002995
              0           1515          9.822          2.796         0.0151       0.000345
              0           1520          1.963          2.826       0.003574       0.001143
              0           1524         0.3669          2.908       0.002908       0.001417
              0           1525        -0.2841          2.877       0.002712       0.001468
              0           1532          1.422          3.115       0.002122       0.001007
              0           1533           39.8            7.4        0.02159        0.00049
              0           1543        -0.3588          2.841       0.001115      0.0004627
              0           1544          2.658           2.91       0.004439       0.001866
              0           1545          1.403          2.966       0.004418       0.002922
              0           1548        -0.3303          2.739       0.001467      0.0007947
              0           1551           1.77          2.738       0.001745       0.000675
              0           1556          6.356          2.913        0.00573        0.00497
              0           1558          2.025          2.972        0.00459       0.001918
              0           1563          1.617          3.098       0.003195       0.001863
              0           1567          4.988          2.851       0.009096      0.0004355
              0           1569          7.695          2.968       0.007463       0.002423
              0           1579          6.642          2.866       0.003645       0.001324
              0           1592          2.879           2.86       0.009334      0.0008165
              0           1593          5.172          2.874       0.003929       0.001444
              0           1602          3.052          2.733       0.002381       0.001179
              0           1604        0.07828          3.039       0.003902         0.0024
              1           1606           34.4            3.2        0.01102       0.002014
              0           1616          1.308          2.951       0.006205       0.002731
              0           1618             16            2.9        0.01558       0.000795
              0           1622          10.28          2.828       0.004019      0.0009435
              0           1626          4.584          2.676       0.001273      0.0005228
              0           1629         0.9343          2.734       0.003486       0.001846
              0           1631           6.26          2.877       0.007293       0.003096
              0           1633           36.5            8.5        0.02899        0.00087
              0           1634          1.459          2.941        0.00179       0.000469
              0           1638           3.18          2.794       0.004012       0.001534
              0           1644          2.401          2.708       0.003567       0.000874
              1           1648           91.3            8.5        0.03174        0.00429
              0           1650        -0.4093          2.985       0.004911       0.004844
              1           1651           63.8            4.6        0.02546        0.00296
              0           1662         0.1492          2.745        0.00191      0.0008115
              0           1673          9.164          2.963       0.002916      0.0006505
              0           1693          10.88          2.781       0.006291       0.001439
              0           1702         -0.331          2.729       0.001801       0.001387
              0           1709        -0.3349          2.712        0.00437       0.001692
              0           1710          1.882          2.701       0.003462       0.001335
              0           1711         0.9017          2.724       0.001272      0.0006512
              0           1712          12.62          2.742        0.01443        0.00424
              0           1717           16.4            5.4       0.002027       0.000886
              0           1724          4.651          2.884       0.008048       0.001546
              0           1734          2.369          2.889       0.004803       0.001823
              0           1735           28.9            6.5        0.03273        0.00417
              0           1737          12.03           2.84       0.009586        0.00041
              0           1740          2.409          2.807       0.003126       0.001633
              0           1741          9.787          2.696       0.005288        0.00061
              0           1747         0.9677          2.913       0.003212       0.001968
              0           1753          8.747          2.923        0.01052       0.001318
              0           1762           47.7            5.6         0.0294       0.001775
              0           1764        -0.3362           2.69      0.0003515      0.0003124
              0           1775          11.08          2.854       0.004144       0.001743
              0           1779          1.296          2.765       0.002552      0.0007315
              0           1813         0.0644          2.983       0.002959       0.001629
              0           1814          2.684          3.128       0.004237       0.003165
              0           1818          1.714          2.647        0.00506       0.001607
              0           1822          6.133           2.91       0.002852        0.00161
              0           1824          1.394          2.987       0.003017        0.00254
              0           1836        -0.3477          2.728       0.002263       0.000498
              0           1843          2.656          2.738       0.004095       0.001463
              0           1847          3.354          2.721       0.004612        0.00155
              0           1850           4.36           2.74       0.004909       0.003329
              0           1855           8.12          2.659       0.004116       0.000514
              0           1859          3.557          2.871       0.002442       0.000691
              0           1865          3.086          2.852       0.001893      0.0009227
              0           1866          9.248           2.86        0.01254       0.001175
              0           1870          2.468          2.749       0.003205       0.001665
              1           1880           23.6            3.1       0.009998       0.002822
              0           1886          1.812          2.742       0.003863       0.002019
              0           1894          3.294          2.712       0.003227       0.000874
              0           1899          8.367          2.759       0.002671       0.001571
              0           1907          7.543           2.86       0.002534      0.0004955
              0           1908          6.296          2.856       0.004397       0.000834
              0           1918          2.283          2.807       0.002022       0.001157
              0           1919          1.202          2.923       0.001508      0.0006757
              0           1921          4.442          2.887        0.01535         0.0005
              0           1930           35.8            3.2        0.03583       0.000745
              0           1937          1.332          2.737       0.001962       0.000139
              0           1938           1.03          2.796       0.002062      0.0003645
              0           1944          6.494          2.662       0.006411       0.001404
              0           1945          6.505          2.705        0.02089       0.001445
              0           1951           3.96           2.69       0.006353       0.001729
              0           1960          6.705          2.903       0.003711        0.00195
              0           1961        -0.3255          2.775       0.003147       0.000434
              0           1968          2.462          2.665       0.003995       0.001544
              0           1973          6.011          2.847       0.007273       0.001424
              0           1990         0.3233          2.724       0.005756       0.001971
              0           1999          2.126           2.75       0.003467        0.00224
              0           2007        -0.3326          2.749       0.001179       0.000653
              0           2022          2.256           2.84        0.00306       0.001188
              0           2025          4.788            2.9       0.009546       0.001255
              0           2032          3.457          2.924       0.002592       0.001815
              0           2046          1.444          2.647        0.00123      0.0006785
              0           2052           2.54          2.677       0.003477      0.0005695
              0           2054          6.417          2.702       0.007592      0.0008465
              0           2056          6.204          2.668       0.007955        0.00019
              0           2059         0.8449          2.923        0.00329       0.002099
              0           2061           25.5            6.1        0.01663       0.004255
              0           2089          2.337          2.904       0.001972       0.001104
              0           2094           48.9            5.9         0.0469       0.003695
              0           2099          10.89          2.866        0.01352       0.000315
              0           2101          2.368           2.95       0.003655       0.002069
              0           2106          6.626          2.787       0.006285       0.003825
              0           2115          11.14           2.68       0.002794       0.001136
              0           2124         0.1165          2.676       0.003798       0.001445
              0           2129          3.705          2.718       0.005063       0.002737
              0           2135             73            3.6        0.08738        0.00168
              0           2137          4.727          2.822       0.002475        0.00183
              0           2140          4.442          2.943       0.005831       0.001992
              0           2141          16.38          2.926        0.01818       0.000695
              0           2144          7.282          3.011       0.009744       0.000306
              0           2147          4.815          2.677       0.003719      0.0006715
              0           2150           4.12          2.665        0.00782       0.001735
              0           2152          2.879          2.823       0.006684      0.0005065
              0           2160         0.6035          2.742       0.004357       0.001317
              0           2163          1.331          2.673       0.002197      0.0004725
              0           2175          3.142          2.668         0.0133         0.0002
              0           2181          4.798          3.036       0.002393       0.001311
              0           2185          3.461          2.693       0.007093       0.001375
              0           2189        -0.2328          2.816      0.0009304      0.0002946
              0           2192        -0.3314          2.655       0.001637      0.0009235
              0           2195          9.662          2.782       0.003062        0.00219
              0           2196          3.545          2.862       0.003735       0.002402
