#        cooFIR         snrFIR             id         snr100         snr160         snr250         snr350         snr500         snr1160
#
              0        2.37998            418        2.28399       0.669078            -99            -99            -99            -99
              0       0.418283            421    2.81128e-05       0.418283            -99            -99            -99            -99
              0        1.42273            428    3.28468e-05        1.42273            -99            -99            -99            -99
              0        2.32685            429        2.32685    1.43564e-05            -99            -99            -99            -99
              0        2.16868            430        2.14231       0.337132            -99            -99            -99            -99
              0        2.61483            431        2.47776       0.835486            -99            -99            -99            -99
              0        2.60537            432        2.60475      0.0565479            -99            -99            -99            -99
              0        1.53332            433        1.48531       0.380704            -99            -99            -99    2.79242e-10
              0        3.82754            437        2.61326        1.14822            -99            -99            -99           2.55
              1        20.7915            438         18.615        9.16678        1.06391       0.779387            -99            -99
              0       0.673391            439    3.17647e-05       0.673391            -99            -99            -99            -99
              1        10.0426            442        6.05236        7.67812        1.87262        1.32748            -99            -99
              1        14.8221            449         10.464        9.53017        4.12213        1.54348            -99            -99
              0        3.30831            450        2.93608         0.5514        1.29214    4.86527e-08       0.592181    3.05628e-10
              0         1.0638            451      0.0788118        1.06087            -99            -99            -99            -99
              0        2.24584            468       0.997744       0.026626    1.51776e-07        1.07045       0.688833        1.55796
              0        3.63751            481        3.35346        1.40919            -99            -99            -99            -99
              0    3.48223e-05            482    3.19036e-05    1.39554e-05            -99            -99            -99            -99
              0    4.11717e-05            490    4.02289e-05    8.76045e-06            -99            -99            -99            -99
              0        4.43831            498       0.956248        1.39182         3.7814       0.903546       0.737545        1.08978
              0        2.84081            501        1.77455        2.21837     7.9872e-08            -99            -99            -99
              0    5.40655e-05            502      4.919e-05    2.24372e-05            -99            -99            -99            -99
              0     4.3639e-05            503    4.11394e-05     1.4557e-05            -99            -99            -99            -99
              0    4.68351e-05            505     4.5428e-05    1.13939e-05            -99            -99            -99            -99
              0         2.3386            506         2.3386    2.33673e-05            -99            -99            -99            -99
              0        1.37474            509        1.28576       0.486538            -99            -99            -99            -99
              1        20.9209            510          16.72        11.4505        4.97888        1.49032            -99            -99
              0        3.31545            512        3.19006       0.903207            -99            -99            -99            -99
              0        3.00614            516    3.57583e-05      0.0596952        2.01949       0.467421        2.07975       0.641182
              0         1.4568            521        1.15221       0.891452            -99            -99            -99            -99
              0        3.30242            530        2.36399        2.30598            -99            -99            -99            -99
              1        19.5353            532        12.5471        12.7182        7.75466        1.52001            -99            -99
              0        2.06041            533        1.70932        1.15044            -99            -99            -99            -99
              0        2.31285            540        1.72521       0.679023         1.3827            -99            -99            -99
              1        9.50174            541        5.86367        7.20058        2.01294            -99            -99            -99
              1        6.57408            546        3.86859        4.63419         1.5636        1.20694        1.52665       0.737915
              1         9.7047            547        6.78921        5.85758        3.10056         1.2183        1.23358        1.07571
              1        8.47024            548        5.55911        3.91592         4.8192        1.51066              0    2.22052e-10
              0    3.82979e-05            550     3.5392e-05    1.46334e-05            -99            -99            -99            -99
              1        12.8213            552        11.0931        5.69565        2.92803       0.560739            -99            -99
              1        5.09071            554         2.7854        4.26108    6.38631e-08            -99            -99            -99
              1        8.94183            559        4.60835        6.98372        2.98449         1.0197            -99            -99
              0       0.545228            561       0.545228    1.27846e-05            -99            -99            -99            -99
              0        3.51309            562        3.15666       0.717727        1.36461            -99            -99            -99
              1        19.9337            564        2.79938        9.08417         10.004        5.39536        7.60399        10.9537
