#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050      xf10cm      xe10cm      xf20cm      xe20cm
#
2896       0.093        0.04      0.1722      0.0342      0.4592      0.2324      0.7895      0.5474      0.8112      0.6048      0.5948      0.4592      0.1864      0.1469     0.07419     0.05872     0.06675     0.05286     0.05865     0.04645     0.01291     0.01025     0.01192    0.009458    0.001247   0.0009226    0.002172    0.001606
2901      0.7001      0.2755       1.333      0.2335       2.701      0.1715       3.774       0.723       3.573       0.895       2.468       0.731      0.7347      0.2413      0.2882     0.09715       0.259     0.08745      0.2276     0.07705     0.05003     0.01714     0.04618     0.01582    0.005777    0.001315     0.01006     0.00229
2920      0.3396      0.2247      0.6581      0.3949       0.988       0.452      0.7889      0.3201      0.4285      0.1821      0.1692     0.07982      0.0317     0.01552     0.01176    0.005911     0.01056    0.005327    0.009288    0.004703    0.002078    0.001061    0.001921   0.0009783    0.001712   0.0008764     0.00298    0.001526
2925       1.092      0.1542       2.214      0.2495       10.53      0.9015       22.12        1.21       25.67        0.69       20.58        0.94       7.227      0.5245       2.999       0.248       2.702      0.2255       2.379      0.2005       0.527     0.04775      0.4863      0.0442     0.03852     0.00157     0.06707    0.002725
2947      0.2549     0.05765      0.5394      0.1073      0.9083      0.3157      0.7408      0.3332      0.4102       0.205      0.1661     0.08894     0.03419     0.01934     0.01296    0.007456     0.01165     0.00671     0.01024    0.005907    0.002273     0.00132    0.002102    0.001219    0.001214   0.0002997    0.002115   0.0005225
2957     0.09817     0.03373      0.1971     0.04405      0.5991      0.3561       1.129      0.8542       1.232       1.004      0.9501      0.8089      0.3179      0.2798      0.1296       0.115      0.1167      0.1036      0.1027     0.09129     0.02273     0.02024     0.02098     0.01868    0.001864    0.001463    0.003246    0.002547
2973      0.1741     0.09165      0.5193      0.3365       1.168      0.8142       1.455       1.008       1.244      0.8882       0.683       0.492      0.1703      0.1241     0.06477     0.04754     0.05817     0.04273     0.05106     0.03754     0.01131    0.008376     0.01045    0.007738    0.002333    0.001641    0.004063    0.002858
2979      0.1246     0.03964       0.278     0.09515      0.5106      0.1425      0.4634      0.1359       0.271     0.08405      0.1214     0.04266     0.02537    0.009855    0.009536    0.003824     0.00856     0.00344    0.007519    0.003031    0.001666   0.0006909    0.001539   0.0006379   0.0008159   0.0002521     0.00142   0.0004387
2992      0.1451      0.0265      0.4342       0.111       1.054      0.1812        1.27        0.27           1      0.2555      0.5073       0.146      0.1178     0.03745     0.04426     0.01452     0.03972     0.01306     0.03485     0.01149    0.007694    0.002586    0.007106    0.002388    0.002021    0.000321    0.003518    0.000559
2994      0.4634      0.2425        1.13      0.4516        2.87        0.42       4.614        0.78        4.51       1.077       3.128      0.9055      0.9242      0.3088      0.3613      0.1263      0.3248      0.1139      0.2855      0.1007       0.063     0.02295     0.05817     0.02121    0.007442    0.000997     0.01295    0.001735
3001       1.792      0.7255        3.75      0.3825       8.643       1.037       12.37       2.579        10.7       2.994        5.84       2.054       1.453      0.6071      0.5572      0.2387      0.5008       0.215      0.4401      0.1893     0.09825     0.04305     0.09079     0.03982     0.01687     0.00417     0.02938    0.007255
3012      0.4259      0.0478       1.164       0.076       2.967       0.029       3.974       0.327       3.319      0.4195       1.765      0.2785      0.4284      0.0802      0.1628     0.03215      0.1463       0.029      0.1285      0.0256     0.02859    0.005925     0.02641     0.00548    0.005863   0.0002205     0.01021    0.000383
3022       1.025      0.1821       2.149       0.177       4.253       0.292       4.353       0.815       2.816         0.7       1.301      0.3831      0.2769     0.09285      0.1043     0.03641     0.09363     0.03277     0.08228     0.02893     0.01824     0.00667     0.01685     0.00616    0.006664     0.00057      0.0116    0.000995
3028      0.5164       0.106      0.9333      0.1747       1.687       0.393       2.106      0.5735       1.796      0.5585       1.072      0.3708      0.2826      0.1053      0.1071     0.04075     0.09616     0.03664     0.08438     0.03222     0.01846     0.00712     0.01705     0.00658    0.003122    0.000809    0.005435    0.001409
3029      0.3028      0.0559       0.775      0.1079       1.373      0.3445        1.24      0.4378      0.7992      0.3508      0.3555      0.1712     0.07318     0.03802     0.02664     0.01393     0.02384     0.01246     0.02086     0.01091     0.00452    0.002352    0.004175    0.002171     0.00251   0.0006715     0.00437    0.001169
3037       1.332       0.258       2.861      0.1165       4.428      0.5165       3.345      0.7665        1.79      0.5135      0.7039      0.2322      0.1425     0.05226     0.05382     0.02036     0.04834     0.01834     0.04247     0.01616    0.009428    0.003602    0.008717    0.003322    0.005798   0.0003945     0.01009   0.0006855
3039      0.1649      0.0539      0.3421      0.1027      0.4781      0.1961       0.309      0.1515       0.155     0.08201     0.05882     0.03272      0.0119    0.006886    0.004496    0.002632    0.004036    0.002365    0.003542    0.002079   0.0007887   0.0004613   0.0007299   0.0004261   0.0005892   0.0001755    0.001026   0.0003054
3063      0.5164      0.1268       1.156       0.263       1.768      0.4145       1.157      0.3346      0.5827       0.186      0.2215     0.07545     0.04485      0.0161     0.01695     0.00618     0.01521    0.005556     0.01335    0.004881    0.002971    0.001085     0.00275    0.001002    0.001978    0.000463    0.003444   0.0008065
3066      0.1224     0.07334       0.355      0.2216       1.006      0.7982       1.476       1.259       1.365       1.184      0.9157      0.7993      0.3008      0.2689      0.1232       0.111      0.1109         0.1     0.09768     0.08812     0.02165     0.01957     0.01999     0.01806    0.002324    0.002033    0.004046     0.00354
3069       2.761      0.3595        6.03       0.539       10.74       0.145       9.805      0.8455       6.008      0.7775       2.649      0.4295      0.5379      0.1028      0.1988      0.0398      0.1782      0.0358      0.1563      0.0315     0.03401      0.0072     0.03143      0.0066     0.01781     0.00099     0.03101    0.001725
3071      0.2106     0.03685      0.3913      0.0711      0.5069      0.1576      0.3029      0.1196      0.1457      0.0636     0.05424     0.02525     0.01085     0.00531     0.00408    0.002027    0.003657    0.001821    0.003208    0.001599   0.0007168   0.0003542   0.0006639   0.0003272   0.0006371   0.0001088    0.001109   0.0001896
3074      0.1096     0.05338      0.2561      0.1031      0.5811      0.3388       1.061      0.8052       1.137       0.923      0.8631      0.7289      0.2821       0.246       0.114      0.1002      0.1026     0.09022     0.09028     0.07943     0.01994     0.01758     0.01841     0.01622    0.001717    0.001376     0.00299    0.002395
3075       1.545       0.211       3.207       0.106       5.591       0.114       4.931      0.1645       2.811       0.102       1.171      0.0435      0.2436      0.0091     0.09248    0.003435     0.08314     0.00309     0.07311    0.002715     0.01617    0.000685     0.01494     0.00063     0.00743    0.000315     0.01294    0.000545
3078      0.2602      0.1028       0.558      0.2775       1.107      0.5125       1.253      0.6124      0.9848      0.5643      0.4971      0.3176      0.1155     0.08013     0.04378     0.03086     0.03932     0.02774     0.03454      0.0244    0.007687    0.005493    0.007096    0.005074    0.001881   0.0009819    0.003275    0.001709
3081      0.7663       0.104       1.642       0.104       3.103       0.399       3.043       0.857       1.865      0.6685      0.8372      0.3468      0.1771     0.08199     0.06713     0.03214     0.06032     0.02897     0.05305     0.02555     0.01181    0.005827     0.01092    0.005383    0.004737    0.000359    0.008248    0.000625
3083       1.128      0.5469       2.236      0.4285       4.969       0.302       6.507       1.266        5.46       1.605       2.979       1.134      0.7443      0.3417      0.2846      0.1361      0.2556      0.1227      0.2246      0.1082     0.05009     0.02467     0.04628     0.02281    0.009115    0.001975     0.01587     0.00344
3084      0.3765      0.1334      0.8061       0.244       1.371      0.5607       1.095      0.5505       0.601      0.3297      0.2413      0.1403     0.04953     0.03015     0.01878     0.01159     0.01687     0.01043     0.01483    0.009178    0.003292    0.002045    0.003044    0.001889    0.001798   0.0005805    0.003129    0.001011
3085      0.2771      0.1864      0.5461       0.362      0.7898      0.4222       0.605      0.2599      0.3266      0.1212      0.1358      0.0463     0.02832     0.01036     0.01062    0.004018    0.009541    0.003619    0.008381     0.00319    0.001858   0.0007225    0.001717    0.000667    0.001372   0.0008199    0.002389    0.001428
3087       3.139      0.3255       6.683      0.1595       13.69        0.12       14.21       0.215       8.969       0.146       4.094       0.069      0.8708      0.0148      0.3298      0.0056      0.2964     0.00505      0.2606      0.0044     0.05799    0.001115     0.05357     0.00103     0.02069      0.0004     0.03602    0.000695
3089      0.1649     0.07467      0.2449      0.0972      0.2527       0.118      0.1357     0.07454     0.06168     0.03634     0.02257     0.01376    0.004488    0.002802     0.00166    0.001047    0.001489   0.0009389    0.001306   0.0008239   0.0002939   0.0001827   0.0002725    0.000169   0.0003378   0.0001414    0.000588   0.0002461
3093       1.491       0.146       2.168      0.1645       3.697       0.233       4.988       0.977       4.494       1.195       2.886       0.919      0.8084      0.2926      0.3121      0.1172      0.2805      0.1057      0.2465     0.09315     0.05439     0.02103     0.05024     0.01943    0.007165    0.001332     0.01247    0.002315
3099      0.2565       0.112      0.5574      0.3095        1.08      0.5773       1.165      0.6538      0.8726      0.5474      0.4296      0.2864     0.09804     0.06997     0.03746     0.02721     0.03367     0.02449     0.02961     0.02157    0.006638    0.004922    0.006137    0.004543    0.001821    0.001062    0.003171     0.00185
3101       1.058      0.4486        2.05      0.2895       3.804      0.5685       4.057       1.555       2.996       1.597       1.484      0.9083        0.34      0.2299      0.1285     0.08867      0.1154     0.07976      0.1014     0.07014     0.02252     0.01583     0.02081     0.01462    0.006558    0.001636     0.01142     0.00285
3103       0.255     0.02225      0.7191      0.0883       1.637      0.1555       1.863       0.352        1.41       0.364      0.6935      0.2158      0.1566     0.05661     0.05863     0.02191      0.0526      0.0197     0.04614     0.01734     0.01018     0.00389    0.009405    0.003595    0.003017     0.00037    0.005252   0.0006445
3112      0.4665      0.1288           1      0.2271       1.535      0.2075       1.233      0.2608      0.6805      0.1835      0.2779      0.0869     0.05644      0.0198     0.02124     0.00772     0.01909    0.006955     0.01677     0.00613    0.003717    0.001376    0.003437    0.001271     0.00239   0.0004355    0.004163    0.000758
3114        0.21      0.0984       0.454      0.2001      0.9118      0.2893      0.9138      0.5052      0.6472      0.4499      0.3097      0.2381     0.06941     0.05579     0.02609     0.02105     0.02341      0.0189     0.02055     0.01659    0.004553    0.003674    0.004206    0.003392    0.001554   0.0006461    0.002706    0.001125
3119      0.7714      0.1915       1.633      0.5185        3.16       0.921       3.344       1.271        2.21      0.9665       1.036       0.496      0.2233      0.1146     0.08444     0.04426     0.07586     0.03984     0.06665     0.03505     0.01474    0.008058     0.01363     0.00743    0.004957    0.001714    0.008628    0.002982
3121      0.3034      0.0411      0.6747      0.0694      0.9837      0.1193       0.633      0.0978      0.3161     0.05425      0.1199      0.0221     0.02429     0.00473    0.009174    0.001816    0.008235    0.001634    0.007226    0.001438    0.001609   0.0003195    0.001489   0.0002955    0.001127    0.000122    0.001963   0.0002125
3125       1.857      0.4765       4.849      0.3865       10.28       1.491       11.92       4.145       9.548       4.582       5.012       2.838       1.213      0.7743      0.4618      0.3025      0.4148      0.2723      0.3645      0.2398     0.08129     0.05422     0.07511      0.0501     0.01919    0.004165      0.0334    0.007255
3140       0.375     0.07265      0.9506      0.2505       2.304      0.5295       2.786      0.8905       2.302      0.9505       1.224      0.5883      0.2978      0.1615      0.1133     0.06328      0.1018     0.05699     0.08943     0.05017     0.01994     0.01136     0.01842     0.01051      0.0043    0.001132    0.007488     0.00197
3143     0.06724     0.01056      0.2133     0.02815      0.6231      0.1371      0.9432      0.2789      0.8721       0.305      0.5541      0.2158      0.1531     0.06507     0.05883     0.02572     0.05284     0.02316      0.0464      0.0204     0.01021    0.004577    0.009431    0.004229    0.001481   0.0003875    0.002578    0.000674
3145       4.027      0.4535       8.974       0.108       14.62       0.225        10.6       0.215       5.625       0.121       2.208      0.0485      0.4571     0.01005      0.1741     0.00385      0.1564     0.00345      0.1374       0.003     0.03046    0.000745     0.02816     0.00069      0.0158    0.000385     0.02753    0.000675
3165       0.477      0.1066      0.7842      0.2328       1.383      0.4812       1.685      0.7004       1.577       0.741       1.123      0.5808      0.3535      0.2049      0.1424     0.08569      0.1282      0.0773      0.1128     0.06817     0.02511     0.01538     0.02319      0.0142    0.002239   0.0008795    0.003897    0.001532
3171      0.4003      0.2519      0.7511       0.423      0.9867      0.3953      0.7107      0.2189      0.4109      0.1519      0.1719     0.07606     0.03512     0.01766     0.01321    0.006905     0.01187     0.00622     0.01043    0.005482    0.002322    0.001232    0.002146    0.001136    0.001764    0.000868    0.003072    0.001512
3188     0.09764     0.04036      0.2845      0.1269      0.6618      0.4083       0.897       0.609      0.8567      0.6164      0.6162      0.4669      0.1885       0.148     0.07461     0.05919     0.06712     0.05328     0.05907     0.04693     0.01313     0.01049     0.01213    0.009691    0.001344   0.0009289    0.002341    0.001617
3196       5.047      0.1445       11.54       0.045       17.59        0.06       11.67       0.055       5.917      0.0315       2.269       0.012       0.464      0.0025      0.1758     0.00095      0.1579     0.00085      0.1384      0.0009     0.03079    0.000195     0.02849     0.00018     0.01908     0.00012     0.03322    0.000205
3207     0.08144     0.03456      0.2641      0.1226      0.6691      0.3409      0.9282      0.5039      0.8251      0.4729      0.4785      0.2765      0.1245     0.07323     0.04776     0.02859     0.04295     0.02575     0.03776     0.02269    0.008393    0.005127    0.007752    0.004737    0.001408   0.0007181    0.002452    0.001251
3220      0.6851      0.4769       1.097      0.4309       2.299       0.481       3.328      0.6985       3.259      0.9795        2.32       0.892      0.7221      0.3349      0.2871      0.1413      0.2581      0.1275       0.227      0.1124     0.05002     0.02516     0.04617     0.02322    0.005005    0.001083    0.008715    0.001885
3229      0.6563     0.08545       1.451      0.2305       2.217       0.385       1.762       0.316       1.004       0.182      0.4169      0.0759     0.08018     0.01458     0.02903     0.00526     0.02598     0.00471     0.02273     0.00412    0.004928   0.0009175    0.004547    0.000855    0.003921   0.0007365    0.006828    0.001282
3236      0.7277      0.3833       1.593       0.361       3.189      0.2995       3.395      0.8415       2.619      0.9155       1.346       0.566      0.3205      0.1535      0.1216     0.06018      0.1092     0.05418     0.09595     0.04775     0.02141     0.01086     0.01978     0.01003    0.005331    0.001316     0.00928     0.00229
3247      0.1868     0.05205      0.5143      0.1721       1.219      0.4814       1.689      0.7269       1.478      0.7053      0.8394      0.4297      0.2154      0.1172     0.08213     0.04568     0.07378     0.04112     0.06481     0.03619     0.01434    0.008136     0.01325    0.007518    0.002511    0.001011    0.004372    0.001761
3263      0.0565     0.02276      0.1364     0.04454      0.3841      0.1788      0.6324      0.3776      0.6629      0.4361      0.4917      0.3481      0.1568      0.1181     0.06286     0.04814     0.05656     0.04337     0.04976     0.03818     0.01097    0.008459     0.01012    0.007805    0.001026   0.0006237    0.001787    0.001086
3265      0.6209      0.2458       1.353       0.287       2.726        0.13       2.961       0.712       2.222        0.83       1.116      0.5153      0.2592      0.1395       0.098     0.05451     0.08801     0.04909     0.07728     0.04322     0.01719    0.009783     0.01588    0.009042    0.004688   0.0007915    0.008163    0.001378
3267      0.4836     0.09095       0.922       0.193       2.081      0.5165       2.885       1.195       2.514       1.279       1.412      0.8189      0.3618      0.2306      0.1391     0.09055       0.125     0.08152      0.1099     0.07181     0.02458     0.01624     0.02272     0.01501    0.004258     0.00145    0.007413    0.002525
3276      0.9335      0.3055       1.432       0.432        2.71       0.472       4.668      0.4775       5.709       1.185       5.112       1.422       2.307       0.802       1.065      0.3922      0.9682      0.3588      0.8609      0.3211      0.1969      0.0756      0.1817     0.06985    0.007962    0.001697     0.01387    0.002955
3280      0.3848      0.2634      0.6431         0.4      0.8084      0.4396      0.6922      0.4328      0.3914      0.2597      0.1596      0.1131     0.03291     0.02459     0.01249    0.009472     0.01123    0.008525    0.009868    0.007502    0.002196    0.001671    0.002031    0.001543    0.001345   0.0008077    0.002342    0.001406
3281      0.1765      0.0437      0.3815      0.0866      0.6272      0.1286      0.5242      0.1512        0.29      0.0962      0.1182     0.04304     0.02407    0.009455    0.009073    0.003647    0.008155    0.003286    0.007167    0.002893    0.001588   0.0006468    0.001468   0.0005975   0.0009023   0.0001787    0.001571    0.000311
3288       0.555      0.3585      0.8937      0.4664       1.359      0.8195       1.106      0.8489      0.7058      0.6002      0.3119      0.2754     0.06447     0.05753     0.02349     0.02097     0.02102     0.01877     0.01839     0.01642    0.003994    0.003546     0.00369    0.003273    0.002343    0.001502     0.00408    0.002615
3289       1.675       0.612       3.461       0.459       8.508      0.2135          13       0.715       12.11       1.025       7.323       1.022       1.977      0.3655      0.7664      0.1457      0.6892      0.1311      0.6062      0.1154      0.1356     0.02555      0.1253      0.0236     0.01826     0.00166     0.03178    0.002895
3296      0.6585      0.1787       1.627       0.221       3.859      0.1115       5.133      0.7815       4.363       1.003       2.436      0.6945      0.6166      0.2056      0.2344     0.08185      0.2104      0.0737      0.1847     0.06495     0.04083     0.01476     0.03772     0.01365     0.00769   0.0009355     0.01339     0.00163
3304       0.497      0.1578       1.068      0.4365       2.102      0.7655       2.106      0.7835       1.413      0.6275      0.6676      0.3319      0.1448     0.07852     0.05474     0.03047     0.04917     0.02743      0.0432     0.02416     0.00959     0.00553    0.008836    0.005134     0.00337    0.001413    0.005868    0.002461
3306      0.2067      0.0901      0.6264      0.3196        1.32      0.6308       1.429      0.6401       1.072      0.4671      0.5704      0.2662      0.1385     0.06843     0.05242     0.02637     0.04706     0.02371     0.04132     0.02084    0.009143    0.004657    0.008447    0.004304     0.00245    0.001194    0.004265    0.002077
3307      0.1875     0.05415      0.3279     0.06385      0.6386      0.2389      0.8807      0.4413      0.8368      0.4733      0.5793      0.3537      0.1733      0.1121     0.06835     0.04495     0.06149      0.0405     0.05411     0.03569     0.01204    0.008027     0.01112    0.007411    0.001353   0.0007439    0.002356    0.001295
3310      0.3198      0.1037      0.8872      0.1758        2.27      0.3835        3.02       0.543       2.603      0.5365       1.561      0.3705      0.4154      0.1123      0.1575       0.044      0.1413      0.0396       0.124     0.03485     0.02704    0.007725     0.02496    0.007135    0.004879    0.000794    0.008495    0.001383
3316      0.3281      0.1818      0.5568      0.2401      0.6798       0.165      0.5084      0.1907      0.2646      0.1264      0.1026     0.05606     0.02064     0.01236    0.007781    0.004779    0.006989    0.004301    0.006141    0.003787    0.001373   0.0008332    0.001271   0.0007681    0.001152    0.000467    0.002005   0.0008135
3326      0.1951     0.08995      0.3272      0.1039      0.3771     0.09905      0.2504      0.1125      0.1272     0.06882     0.04836     0.02904    0.009663    0.006237    0.003638    0.002396    0.003268    0.002155    0.002869    0.001895   0.0006419   0.0004151   0.0005946   0.0003829   0.0006465   0.0002175    0.001125   0.0003786
3332       0.517      0.1064       1.246      0.3907       2.647      0.7065       2.978       0.977       2.235       0.869       1.096      0.4728      0.2469      0.1155     0.09297     0.04453     0.08345     0.04005     0.07326     0.03524     0.01627    0.007937     0.01503     0.00733    0.004646    0.001408    0.008089    0.002452
3337      0.7527      0.1862       1.536        0.47       2.882       0.673        2.95      0.8985       1.908       0.688      0.8829      0.3552      0.1882      0.0827     0.07101     0.03209     0.06376     0.02888     0.05602     0.02544     0.01244    0.005773     0.01149    0.005333     0.00456    0.001237    0.007938    0.002152
3347      0.6353      0.1496       1.444      0.3565       2.625      0.5995       2.371        0.63       1.461       0.456      0.6615      0.2346      0.1389     0.05451     0.05224     0.02114     0.04691     0.01904     0.04122     0.01678    0.009121    0.003839    0.008425    0.003545    0.004246    0.001005    0.007392     0.00175
3349      0.2305      0.0597      0.4957      0.1003      0.7401     0.09935      0.5881      0.1209      0.3233      0.0852      0.1315     0.04032     0.02666     0.00919     0.01003    0.003587    0.009011     0.00323    0.007915    0.002845    0.001755    0.000639    0.001623   0.0005895    0.001176   0.0001871    0.002048   0.0003255
3355      0.1031     0.03545      0.2811      0.1173      0.6689      0.3532      0.9404      0.5397      0.8332      0.5119       0.478      0.3087      0.1237     0.08337     0.04732     0.03233     0.04251     0.02908     0.03734     0.02558    0.008284    0.005726     0.00765    0.005289    0.001383   0.0007725    0.002409    0.001345
3358      0.1338     0.06994        0.33      0.1563      0.7442      0.4788       1.322       1.047       1.442       1.215       1.113      0.9694      0.3707      0.3322      0.1509      0.1361      0.1358      0.1226      0.1195       0.108     0.02646     0.02393     0.02442     0.02209    0.002165    0.001798    0.003769    0.003131
3367      0.2676      0.1464      0.6999      0.3851       1.682      0.9614       2.158       1.346       1.811       1.173       1.121       0.742      0.3195      0.2193      0.1258     0.08767      0.1131     0.07883     0.09943     0.06938     0.02188     0.01528      0.0202      0.0141    0.003177    0.002195     0.00553    0.003822
3376      0.9845      0.0635       1.619       0.167       1.711      0.3635       1.006      0.3148      0.4674      0.1645      0.1677      0.0651     0.03028     0.01202     0.01095    0.004336    0.009809    0.003882    0.008591    0.003399    0.001919    0.000733    0.001782   0.0006765     0.00345    0.000517    0.006007    0.000901
3380      0.4065      0.2424      0.6145      0.2656      0.8579      0.4382       0.631      0.4191      0.3357      0.2466      0.1326      0.1031     0.02713     0.02191     0.01029    0.008393    0.009243    0.007547    0.008122    0.006637    0.001812    0.001467    0.001677    0.001354    0.001188   0.0005331    0.002069   0.0009285
3393      0.5872      0.4027      0.9969      0.4361       2.738      0.3945       4.363       0.553       4.328        0.87       3.124      0.8705      0.9724      0.3696      0.3879      0.1598      0.3489      0.1443      0.3068      0.1275     0.06761     0.02872      0.0624     0.02651    0.007003   0.0008275     0.01219     0.00144
3401      0.4581     0.06675      0.8925      0.1985       1.841      0.4455       1.988      0.5845       1.316      0.4231      0.6184       0.212      0.1335     0.04834     0.05053     0.01863     0.04539     0.01677      0.0399     0.01476    0.008884    0.003347    0.008206    0.003094    0.002867   0.0007355    0.004991    0.001281
3403       1.211      0.1305       2.689       0.098       6.599      0.0765       8.411       0.208        6.53       0.182       3.345      0.0975      0.7811       0.023         0.3      0.0088      0.2698      0.0079      0.2374     0.00695     0.05356    0.001555     0.04947    0.001435     0.01127     0.00036     0.01962     0.00063
3413      0.1661     0.07546      0.3612      0.1142      0.8445      0.3356       1.203      0.6009       1.177       0.652      0.8486      0.5154      0.2621      0.1763      0.1041     0.07194      0.0936      0.0648     0.08227     0.05703     0.01814     0.01267     0.01675     0.01169    0.001843   0.0009343    0.003209    0.001627
3417       3.123      0.2675       3.986       0.305       5.063      0.2235       5.308       0.326       4.307       0.299       2.639       0.196      0.7124      0.0552       0.272     0.02135      0.2441      0.0192      0.2142      0.0168     0.04682    0.003705     0.04323     0.00342    0.006984   0.0003265     0.01216     0.00057
3429      0.4738     0.03055       1.117      0.0355       1.819      0.1495       1.519       0.186      0.9086      0.1484       0.386      0.0702     0.07577     0.01505     0.02747    0.005485     0.02458     0.00491     0.02151    0.004295    0.004671     0.00093    0.004314    0.000859     0.00326   0.0002815    0.005676     0.00049
3441      0.1635      0.0704      0.3604      0.1933      0.7518      0.3992      0.8486      0.4785       0.607      0.3756      0.2882      0.1899     0.06377     0.04453     0.02407     0.01705     0.02161     0.01532     0.01898     0.01347    0.004214    0.003028    0.003895    0.002794    0.001304   0.0007578    0.002271     0.00132
3442      0.2659      0.1879      0.8026      0.5554       1.829       1.137       2.087       1.279       1.556      0.9885      0.7807      0.5173      0.1823      0.1263     0.06747     0.04684     0.06044     0.04195     0.05291     0.03671     0.01142    0.007886     0.01054    0.007276    0.003614     0.00224    0.006291    0.003899
3444      0.4216     0.09895      0.8869      0.2872       1.796      0.5835        1.83        0.66       1.182      0.4693      0.5464      0.2321      0.1167     0.05232     0.04412     0.02007     0.03964     0.01806     0.03484     0.01589    0.007761     0.00359    0.007167    0.003314    0.002726   0.0008975    0.004746    0.001563
3452      0.1542     0.04275      0.3014       0.108      0.8359      0.3031       1.248      0.5229       1.442      0.7204         1.2      0.6685      0.4617      0.2864      0.1999      0.1286      0.1805      0.1163      0.1593      0.1029     0.03583     0.02346     0.03308     0.02167    0.002115   0.0009425    0.003681    0.001641
3455      0.4722      0.2525      0.9211       0.308       3.502      0.5055       6.026       0.558         6.3       0.985       4.609       1.155       1.476      0.5166      0.5947      0.2275      0.5351      0.2056      0.4708      0.1817      0.1038     0.04138      0.0958      0.0382     0.01019   0.0009025     0.01773     0.00157
3460       0.368      0.1273      0.8361       0.348       1.733      0.5815       2.086       0.822       1.645      0.8045      0.8328      0.4702      0.1938      0.1222     0.07344     0.04726     0.06598     0.04253     0.05795     0.03741     0.01291    0.008424     0.01191    0.007798    0.002975    0.001164    0.005179    0.002026
3463      0.2564     0.08745       0.693      0.2345        2.05      0.5345       3.292           1       3.263       1.276       2.285       1.069      0.6871       0.365      0.2702      0.1486      0.2429      0.1338      0.2134      0.1179     0.04719     0.02648     0.04358     0.02447    0.005327    0.001589    0.009275    0.002765
3484       1.145      0.3517       1.955       0.114       3.229      0.6905       3.022       1.091       1.835      0.7735      0.8161      0.3779      0.1702     0.08428     0.06408     0.03232     0.05756     0.02907     0.05058     0.02559     0.01104    0.005948      0.0102    0.005498    0.004702    0.001293    0.008188    0.002253
3487       0.243      0.1603      0.5855      0.3964       1.033      0.5707      0.9362      0.4008      0.5859      0.2108      0.2519     0.08605     0.05246     0.01916     0.01987     0.00769     0.01785     0.00694     0.01568    0.006127    0.003508     0.00142     0.00324    0.001312    0.001826    0.001049    0.003179    0.001828
3492      0.2132      0.0928       0.469      0.2053      0.8566      0.2685      0.8209      0.2261      0.5247       0.152      0.2402     0.07655     0.05225     0.01891     0.01981     0.00736     0.01779    0.006635     0.01562    0.005858    0.003479    0.001347    0.003214    0.001244    0.001374   0.0004481    0.002392     0.00078
3500      0.1388     0.05037      0.2829        0.13      0.5188      0.2192      0.5091      0.2091      0.3342      0.1456      0.1564     0.07105     0.03348     0.01607     0.01263     0.00621     0.01134    0.005588    0.009968    0.004922    0.002212    0.001113    0.002043    0.001028   0.0008188   0.0003662    0.001426   0.0006375
3526      0.9163      0.1078       2.091       0.042       3.559       0.065       2.876       0.076       1.595       0.045      0.6434     0.01865      0.1335     0.00385     0.05079     0.00147     0.04565     0.00132     0.04013     0.00116    0.008881     0.00029     0.00821   0.0002675    0.004288     0.00014    0.007467   0.0002435
3527      0.2712     0.06395      0.5859       0.124      0.9348      0.2153      0.7765      0.2425      0.4286      0.1521      0.1741     0.06735     0.03545     0.01469     0.01337     0.00566     0.01201    0.005091     0.01056    0.004485    0.002339    0.001002    0.002162   0.0009255    0.001368   0.0002595    0.002383    0.000452
3532       0.815      0.2871        1.33      0.4083       4.101      0.8325       8.522       0.412        11.2        0.81       10.71       0.969       5.282      0.7255       2.519      0.4065       2.301      0.3805       2.058      0.3485      0.4827      0.0921      0.4457     0.08515     0.01649      0.0015     0.02871     0.00261
3535        0.13      0.0282      0.3405     0.08965       1.831      0.2985       3.912       0.193       4.471      0.4355       3.649       0.652       1.395      0.4196      0.6038      0.2095      0.5457       0.191      0.4819      0.1702      0.1073     0.03922     0.09894     0.03616    0.006881   0.0004575     0.01198      0.0008
3560      0.5938        0.09       1.351      0.1645       2.701      0.1475         2.8      0.5835       1.863       0.541      0.8731       0.306       0.188       0.076     0.07083     0.02988     0.06361     0.02693     0.05588     0.02375     0.01243    0.005449     0.01147    0.005052    0.004486    0.000201    0.007811     0.00035
3568      0.5273      0.3354      0.8384      0.4316       1.051      0.5405      0.8474      0.5986      0.4727      0.3666      0.1939      0.1586     0.04035     0.03408     0.01535     0.01308      0.0138     0.01177     0.01214     0.01035     0.00271    0.002299    0.002506    0.002123    0.001659   0.0008741    0.002889    0.001522
3570       0.452      0.2895      0.7453      0.4427       0.855       0.425      0.7224      0.4256      0.4057      0.2576      0.1644      0.1129     0.03385     0.02459     0.01284    0.009483     0.01154    0.008533     0.01014    0.007509    0.002255    0.001673    0.002086    0.001544    0.001524   0.0009136    0.002655    0.001591
3572       5.417      0.4115       10.13       0.125       13.36       0.195        9.51      0.2215       4.927      0.1255       1.935       0.051      0.3598     0.00925        0.13     0.00325      0.1164      0.0029      0.1019    0.002505     0.02211    0.000765     0.02046     0.00071     0.02388    0.000825     0.04158    0.001435
