#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050      xf10cm      xe10cm      xf20cm      xe20cm
#
175      0.5173      0.1504       1.176      0.3265       2.668      0.8645        3.78       1.333       3.319       1.297       1.963       0.868      0.5265      0.2631      0.2025      0.1046       0.182     0.09425      0.1599     0.08304     0.03547      0.0188     0.03277     0.01738    0.005492    0.001823    0.009565    0.003175
179      0.4189      0.0404       1.194      0.0565       2.938       0.175       3.991      0.2265       3.325      0.2565       1.848       0.176      0.4589     0.05235      0.1719     0.02065      0.1541      0.0186      0.1351     0.01635     0.02943    0.003685     0.02717     0.00341     0.00631   0.0003355     0.01098    0.000585
180      0.2525      0.1022      0.5784      0.3104       1.235      0.6675        1.47      0.8587       1.118      0.7218       0.568      0.3977      0.1344      0.1007     0.05108     0.03878     0.04588     0.03487     0.04031     0.03067    0.008991     0.00689    0.008291    0.006379     0.00221    0.001321    0.003848    0.002301
185      0.7875      0.4265       1.177      0.5579       1.811      0.8808       1.519       1.012       1.076      0.8569      0.5804      0.5066      0.1677      0.1545     0.06603     0.06127     0.05934     0.05506     0.05212     0.04838     0.01143      0.0106     0.01056    0.009784    0.002326    0.001265     0.00405    0.002203
186       0.438      0.1187      0.9496      0.3795       1.915       0.728       2.236       0.798       1.748      0.6275      0.8554      0.3447      0.1925     0.08475     0.07246     0.03274     0.06505     0.02945     0.05711     0.02592     0.01269    0.005849     0.01172      0.0054    0.003285    0.001311    0.005719    0.002281
207      0.1012     0.02745      0.3525      0.1154      0.9853      0.3157       1.468      0.5286       1.335      0.5297      0.8064      0.3426      0.2248      0.1073     0.08679     0.04281     0.07801     0.03859     0.06857     0.03403     0.01522     0.00774     0.01406    0.007153    0.002234    0.000688    0.003889    0.001198
208      0.1137     0.04117      0.3724      0.1494       0.962       0.424       1.396      0.6941        1.24      0.6564      0.7203      0.3848      0.1904      0.1052      0.0738      0.0419     0.06635     0.03775     0.05835     0.03328     0.01296    0.007535     0.01198    0.006964    0.002104    0.000953    0.003664    0.001659
213       18.26       0.485       28.56        0.09       27.98       0.255       15.39         0.2       6.923       0.098       2.403       0.034      0.4303      0.0058      0.1559     0.00205      0.1396      0.0018      0.1223     0.00155     0.02735     0.00056     0.02543    0.000525      0.0574     0.00118     0.09994     0.00206
214      0.3802      0.1265      0.7763      0.2967       1.817      0.8245       2.399       1.181       2.536       1.405       1.969       1.178      0.6785      0.4326      0.2803      0.1823      0.2525      0.1644      0.2225      0.1451      0.0495     0.03258      0.0457     0.03008    0.003927    0.002103    0.006837    0.003662
216        2.49      0.9125       3.537       0.111       3.575       1.167       1.893      0.9639      0.8651       0.508       0.315      0.2001     0.06221     0.04179     0.02301     0.01614     0.02066     0.01447     0.01812      0.0127    0.004118    0.002761    0.003823    0.002546     0.00591    0.001277     0.01029    0.002222
