# id    SFR_total   SFR_IR/SFR_total     
  6     36.5275     0.9754294709465471   
  18    4.42872     0.8110695641178489   
  35    0.607095    0.9015063540302588   
  36    5.28694     0.8174861072756642   
  38    500.871     0.6993816771184597   
  44    270.456     0.8389534711746087   
  48    38.5684     0.9761877599278166   
  50    17.1571     0.931975683536262    
  56    80.2179     0.8910729400794586   
  64    17.6804     0.8110676229044592   
  65    18.5117     0.9340039002360668   
  91    0.777383    0.817486361291667    
  95    10.6397     0.7957931144675132   
  106   120.373     0.9595174997715434   
  107   5.2771      0.6124575998180819   
  112   12.6135     0.8879375272525468   
  123   33.8721     0.8174869582931085   
  126   22.1326     0.980905993873291    
  127   10.5622     0.9960046202495692   
  130   1109.82     0.9776360130471609   
  132   13.0644     0.8174887480481309   
  135   15.57       0.7321772639691715   
  142   83.0703     0.8633651256827048   
  145   1.12921     0.8207507903755722   
  152   5.45263     0.9674230600645928   
  158   216.174     0.9631130478225873   
  162   234.359     0.9754265891218173   
  169   17.3419     0.7796146904318443   
  175   47.4163     0.9359650584292744   
  179   56.5396     0.9136958874841703   
  180   9.311       0.9877564171410159   
  185   28.5079     0.9015044952451776   
  186   16.8235     0.770945403750706    
  207   23.615      0.9273766673724327   
  208   20.822      0.7957929113437711   
  213   31.6095     0.9595216627912494   
  214   89.1804     0.9831756753726155   
  216   0.356703    0.8174868167635261   
  217   100.002     0.9096818063638727   
  227   4.03554     0.8174866312810677   
  239   97.8092     0.9595211902356833   
  242   12.3519     0.9277924853666237   
  245   3.55969     0.8174869159954941   
  247   0.190238    0.02494769709521757  
  248   16.0219     0.8207515962526293   
  254   25.7252     0.8174863557912087   
  255   30.6487     0.9015064260474343   
  256   338.353     0.9809282022030246   
  257   287.63      0.9015054062510865   
  262   1.04967     0.6684005449331694   
  264   84.2541     0.96968574823065     
  270   26.3558     0.5892441132502144   
  277   71.0091     0.8432722003236205   
  288   1.99955     0.6576479707934285   
  289   445.164     0.9580738783908852   
  309   410.757     0.9015062433506915   
  314   0.724565    0.9015064210940357   
  316   18.349      0.9542754373535344   
  317   1.54558     0.9711564590639112   
  330   69.9612     0.7625655363258491   
  337   48.2254     0.5793627424552207   
  339   3.54371     0.7257930248242661   
  340   13.1972     0.765313854453975    
  343   8.0066      0.8356855594134838   
  356   36.1284     0.7008336931610589   
  365   8.25854     0.6700942297306788   
  368   2.6031      0.8174868426107335   
  371   0.354518    0.9015057063393114   
  374   11.4287     0.9607391916840936   
  375   22.4536     0.8876082231802472   
  376   452.053     0.995458497123125    
  379   306.061     0.8678008632266119   
  381   349.095     0.9538950715421303   
  385   246.968     0.9879822487123838   
  390   2.98279     0.9015049668263606   
  391   32.9511     0.5632588896880529   
  394   16.0731     0.9015062433506915   
  398   1.98658     0.8174853265410907   
  399   125.633     0.9527751466573273   
  401   13.6689     0.6402856118634273   
  407   194.317     0.9921931688941267   
  409   5.97404     0.9932976679098232   
  413   2.61289     0.8174856193716536   
  414   10.4142     0.9851932937719653   
  416   0.969313    0.8174861989883557   
  418   9.74768     0.9659734418856589   
  421   11.6853     0.6937776522639555   
  428   7.25517     0.8174860134221528   
  429   8.59016     0.6644812203730781   
  430   14.0663     0.5107242131903912   
  431   2.85434     0.9024853381166925   
  432   4.7655      0.6664568250970517   
  433   0.366387    0.9015057848668211   
  437   69.2559     0.9706032265843055   
  438   57.0251     0.9993844815703962   
  439   30.6238     0.9851814601715007   
  442   42.572      0.9776378840552474   
  449   0.850996    0.9162205227756652   
  450   362.615     0.7854060091281386   
  451   3.99151     0.705998481777573    
  468   361.255     0.9729969135375289   
  481   0.137984    0.8174860853432282   
  482   35.4567     0.8300264830060328   
  490   8.69128     0.817486031976878    
  498   399.589     0.9009257011579398   
  501   34.2547     0.8159464248701638   
  502   30.4777     0.8671914219248829   
  503   29.8843     0.7187720642611672   
  505   84.8332     0.8174865500770924   
  506   0.416414    0.9015066736468995   
  509   1.57678     0.8174888063014497   
  510   19.8292     0.9642345631694673   
  512   11.0548     0.9163440315519051   
  516   379.476     0.9015062876176623   
  521   11.4192     0.8295677455513522   
  530   4.08362     0.7488453871809816   
  532   43.647      0.9657021101106605   
  533   4.6481      0.9662012435188571   
  540   46.5996     0.9738281015287685   
  541   11.5426     0.9885121203195121   
  546   569.62      0.9924159966293318   
  547   474.662     0.9809085201680354   
  548   120.465     0.981197858299091    
  550   4.48081     0.817486124160587    
  552   5.35119     0.8364494626428888   
  554   6.45047     0.6787102335178677   
  559   56.6578     0.9860954714090557   
  561   14.8836     0.8633663898519176   
  562   44.8131     0.980293708759269    
  564   1812.36     0.9523494228519721   
  581   11.2552     0.8174888051744972   
  593   70.1232     0.9466196636776416   
  597   64.1378     0.6200711592851642   
  598   36.9978     0.9043780981571878   
  604   5.25113     0.7446016381236039   
  606   6.65447     0.8060747136886934   
  620   8.64461     0.8515132550803333   
  621   215.994     0.9796568423196941   
  622   14.3313     0.9071054265837711   
  628   12.2867     0.7761237761156372   
  631   49.2919     0.6047646773607834   
  637   3.1342      0.9319762618850105   
  638   23.1521     0.9869515076386159   
  652   34.9267     0.8941583373178686   
  658   920.514     0.912750919594922    
  659   855.035     0.9812463817270638   
  661   10.0259     0.8174827197558323   
  664   32.6396     0.8060760548536133   
  669   49.7649     0.913696199530191    
  672   5.69941     0.92834170554496     
  689   4.79806     0.7127880851844286   
  692   3.40555     0.8025135440677718   
  697   89.4205     0.8174859232502613   
  702   32.1106     0.8174870603476734   
  710   2.90158     0.817485645751625    
  713   3.68272     0.6726006864491462   
  714   439.34      0.6764692493285382   
  718   9.20726     0.9186229127883866   
  719   17.9302     0.8432700137198693   
  721   2.05116     0.6172117240975838   
  729   4.19807     0.9263780737338824   
  737   12.0939     0.9790059451459      
  740   1.14731     0.8742188249034697   
  748   8.16842     0.620070956194711    
  749   3.36778     0.8812927210209692   
  753   0.293671    0.8094091687636845   
  760   6.88187     0.7361371255196625   
  762   5.8134      0.9982110296900265   
  768   24.5919     0.7193425477494623   
  776   2.22144     0.817487755690003    
  779   54.0516     0.5307890978250412   
  786   26.3395     0.6856622183412744   
  793   93.3055     0.9429240505650793   
  804   6.67325     0.7321769752369535   
  805   26.0492     0.8879351381232437   
  807   437.269     0.7384470428957918   
  808   3.52218     0.9738287083567564   
  809   0.761443    0.9684244257285182   
