# id    id_3DHST   SNR_IR   goodArea   z_IR     dL        Mstar           SFR_IR     eSFR_IR    SFR_UV      SFR_UV1400   SFR_UV1700   SFR_total            eSFR_total           
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  340   38179      1.769    1          1.435    10131.5   9.3749996E9     10.1       6.382      5.35813     5.35813      6.53407      15.45813             9.76770155049505     
  343   38158      2.242    1          0.8728   5445.06   1.32400005E10   6.691      3.565      2.27599     2.27599      2.47107      8.96699              4.777659445523837    
  356   38175      6.769    0          1.259    8604.25   3.02E9          25.32      9.18       18.6986     18.6986      20.3211      44.0186              15.959350236966824   
  365   38155      0.961    1          1.174    7884.47   4.3650002E9     5.534      5.759      4.71346     4.71346      5.65897      10.24746             10.664098688109867   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  375   38127      5.291    1          1.199    8094.88   3.5640001E10    19.93      8.011      4.36588     4.36588      4.9591       24.29588             9.765895367787255    
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  379   38161      1.125    1          4.259    38280.4   9.8160005E9     265.6      236.1      69.998      69.998       83.3142      335.598              298.3233727409638    
  381   38169      3.084    1          3.999    35512.6   5.15199992E11   333.0      108.0      27.8445     27.8445      30.8813      360.8445             117.03064864864865   
  385   38150      9.685    1          2.458    19717.7   3.8189998E10    244.0      69.93      5.13398     5.13398      8.05642      249.13398            71.40139025163936    
  390   38140      0.0      1          1.961    14934.0   3.02E9          2.689      2.689      9.39098     9.39098      11.1119      12.07998             12.07998             
  391   38143      0.537    1          2.32     18369.8   1.07599995E10   18.56      34.56      24.8967     24.8967      31.3799      43.4567              80.91937241379311    
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  401   38129      0.852    1          1.251    8535.99   2.042E9         8.752      10.27      8.50627     8.50627      9.23815      17.258270000000003   20.25164909734918    
  407   38099      19.78    1          1.521    10894.0   7.2770003E10    192.8      26.82      2.62416     2.62416      4.25071      195.42416            27.185041344398343   
  409   38106      2.034    1          0.6897   4067.56   5.3699999E9     5.934      3.354      0.0692688   0.0692688    0.109124     6.0032688            3.393151930434782    
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  414   38102      2.471    1          1.12     7433.83   2.14799995E10   10.26      4.284      0.266799    0.266799     0.480389     10.526799            4.395400284210526    
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  418   38108      2.38     1          1.292    8886.94   2.52300001E10   9.416      4.496      0.573798    0.573798     0.991368     9.989798             4.769980013593883    
  421   38101      0.418    1          1.24     8442.29   3.71500006E9    8.107      19.39      6.19039     6.19039      7.06046      14.29739             34.19592846922413    
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  430   38091      2.169    1          1.253    8553.04   7.9789998E9     7.184      3.312      11.9064     11.9064      13.0677      19.0904              8.801142093541202    
  431   38065      2.615    1          0.676    3968.35   3.63000013E9    2.576      0.9851     0.48152     0.48152      0.726916     3.0575200000000002   1.1692402763975156   
  432   38078      2.605    0          0.7425   4455.09   1.738E9         3.176      2.247      2.74984     2.74984      3.16033      5.92584              4.192494483627204    
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  437   38081      3.828    1          2.851    23627.0   9.1609997E10    67.22      32.55      3.5221      3.5221       3.87924      70.7421              34.25550959535852    
  438   38093      20.79    1          1.229    8348.81   1.52E10         56.99      12.32      0.0607355   0.0607355    0.0689703    57.0507355           12.333129695736096   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  450   38068      3.308    1          4.27     38398.0   1.78599997E10   284.8      86.09      134.62      134.62       161.909      419.42               126.7832436797753    
