#     _id       snrFIRSMM         zFIRSMM           snr24        snrRadio           snr16          snr100          snr160          snr250          snr350          snr500          snr850          snr1160
#
6                   7.593           1.035          29.865           3.588           0.000           3.343           1.097           5.685           3.034           1.940           0.000           0.000
18                  2.058           0.928           9.712           0.000           0.000           0.085           2.056           0.000           0.000           0.000           0.000           0.000
35                  1.650           0.401           3.045           0.911           0.000           1.650           0.000           0.000           0.000           0.000           0.000           0.000
36                 10.502           0.357          11.267           5.401           0.000           8.550           5.389           2.852           0.000           0.000           0.000           0.000
38                  3.947           3.780           0.000           4.012           0.000           0.000           1.060           2.728           1.700           1.912           0.000           0.682
44                  1.409           3.783           2.977           0.758           0.000           1.407           0.000           0.000           0.000           0.065           0.000           0.000
48                  0.000           2.260           7.133           1.347           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
50                  1.812           1.400           3.720           0.195           0.000           1.812           0.000           0.000           0.000           0.000           0.000           0.000
56                  0.000           2.410           0.355           2.449           1.156           0.000           0.000           0.000           0.000           0.000           0.000           0.000
64                  1.819           1.370           3.854           1.151           2.571           0.685           1.685           0.000           0.000           0.000           0.000           0.000
65                  0.000           2.070           4.581           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
91                  0.857           0.455           6.434           0.269           0.000           0.857           0.000           0.000           0.000           0.000           0.000           0.000
95                  0.498           2.160           3.298           0.000           1.082           0.498           0.000           0.000           0.000           0.000           0.000           0.000
106                 5.206           2.051          12.350           6.230           0.000           3.007           0.001           3.523           2.233           0.000           0.000           0.813
107                 4.133           0.623           9.395           1.194           0.000           4.132           0.079           0.000           0.000           0.000           0.000           0.000
112                 2.837           1.045           9.629           2.259           0.000           2.248           1.731           0.000           0.000           0.000           0.000           0.000
123                 0.563           2.418           3.054           0.000           0.833           0.563           0.000           0.000           0.000           0.000           0.000           0.000
126                 0.000           1.616          10.459           2.320           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
127                14.281           0.582          27.945           5.949          21.124           9.584           6.421           8.085           2.344           0.000           0.000           0.000
130                11.019           4.127           0.000           2.907           0.000           0.000           0.812           3.253           4.492           9.487           0.000           0.000
132                 0.030           1.470           4.692           0.000           0.000           0.030           0.000           0.000           0.000           0.000           0.000           0.000
135                 1.122           1.390           6.077           0.488           0.000           1.122           0.000           0.000           0.000           0.000           0.000           0.000
142                 2.775           2.352          29.532           1.819           0.000           1.511           0.000           2.269           0.519           0.000           0.000           0.000
145                 6.008           0.280          24.467           1.665           9.017           4.376           3.754           1.688           0.000           0.000           0.000           0.000
152                 8.406           0.468          21.413           1.350           0.000           6.992           3.381           2.992           1.180           0.000           0.000           0.000
158                13.426           1.827          24.066           3.777           5.034           9.794           6.300           5.941           2.568           0.000           0.000           1.658
162                77.515           1.256          30.765          12.691           0.000          72.289          24.567          12.313           4.733           2.301           0.000           0.000
169                 0.000           2.040           2.713           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
175                 4.740           1.762          24.452           2.000           3.377           2.513           0.694           3.761           1.238           0.000           0.000           0.000
179                 2.924           1.767          29.723           0.793           0.977           2.227           1.895           0.000           0.000           0.000           0.000           0.000
180                 0.539           1.210           6.796           1.622           0.000           0.082           0.533           0.000           0.000           0.000           0.000           0.000
185                 3.544           1.501          11.072           0.000           0.000           3.254           1.403           0.000           0.000           0.000           0.000           0.000
186                 2.436           1.259          14.506           1.651           0.000           1.987           1.409           0.000           0.000           0.000           0.000           0.000
207                 0.944           1.929           4.423           0.899           1.045           0.733           0.595           0.000           0.000           0.000           0.000           0.000
208                 1.404           1.829           8.807           0.985           0.000           1.404           0.000           0.000           0.000           0.000           0.000           0.000
213                36.037           0.504          35.275          17.680           0.000          32.282          12.912           8.103           2.798           3.954           0.000           0.820
214                 1.888           2.684           8.736           1.552           0.000           1.705           0.056           0.000           0.000           0.000           0.000           0.809
216                 6.163           0.159          24.342           1.449           0.000           5.532           2.662           0.544           0.000           0.000           0.000           0.000
217                 3.167           2.611          22.170           1.843           1.654           1.867           1.596           0.964           1.112           0.000           0.000           1.352
227                 2.144           0.921           7.163           1.069           0.000           0.000           2.144           0.000           0.000           0.000           0.000           0.000
239                 3.221           3.242           5.299           0.243           0.000           0.000           0.000           0.000           0.000           0.000           0.000           3.221
242                 0.000           1.310           3.755           0.462           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
245                 2.492           0.765           7.201           1.527           0.000           0.551           2.430           0.000           0.000           0.000           0.000           0.000
247                 0.000           0.041           4.358           0.325           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
248                 2.767           1.363           6.299           0.943           0.000           2.338           1.480           0.000           0.000           0.000           0.000           0.000
254                 0.000           1.500           2.314           3.927           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
255                10.193           1.304          33.001          31.851          23.213           8.666           5.367           0.000           0.000           0.000           0.000           0.000
256                12.122           2.352          36.152           9.456           7.733           6.524           7.424           4.721           2.070           4.642           0.000           1.073
257                15.966           2.431          30.787           8.856           0.000          12.525           7.430           6.105           2.357           0.000           0.000           0.000
262                 1.376           0.371          15.624           0.000           6.126           0.055           1.375           0.000           0.000           0.000           0.000           0.000
264                 4.153           2.515          12.575           2.344           0.000           3.367           0.064           2.429           0.000           0.000           0.000           0.000
270                 1.144           1.400           5.291           1.994           0.000           1.144           0.000           0.000           0.000           0.000           0.000           0.000
277                 2.199           2.230           3.180           2.558           0.000           1.510           0.041           1.197           1.057           0.000           0.000           0.000
288                 4.466           0.401          18.401           2.021           3.446           4.457           0.290           0.000           0.000           0.000           0.000           0.000
289                 5.571           3.075           7.681           2.703           0.732           2.246           0.475           4.653           1.947           0.568           0.000           0.000
309                 1.331           4.851           1.602           3.080           0.000           0.000           0.000           0.677           0.910           0.697           0.000           0.000
314                 1.489           0.401          13.430           0.636           0.000           0.000           1.489           0.000           0.000           0.000           0.000           0.000
316                 1.308           1.999           6.745           0.000           0.649           0.000           1.308           0.000           0.000           0.000           0.000           0.000
317                 4.775           0.379          19.270           1.588           8.380           4.484           1.641           0.000           0.000           0.000           0.000           0.000
330                 1.145           2.380           4.238           2.571           0.000           0.043           0.991           0.573           0.000           0.000           0.000           0.000
337                 0.591           2.964           4.895           0.000           2.601           0.591           0.000           0.000           0.000           0.000           0.000           0.000
339                 0.390           0.972           7.393           0.670           0.000           0.013           0.390           0.000           0.000           0.000           0.000           0.000
340                 1.769           1.435           7.191           0.362           2.152           0.756           1.600           0.000           0.000           0.000           0.000           0.000
343                 2.242           0.873          20.828           1.265           5.220           1.508           1.659           0.000           0.000           0.000           0.000           0.000
356                 6.769           1.259          25.422           2.890           4.040           5.701           3.561           0.798           0.000           0.000           0.000           0.000
365                 0.961           1.174           6.184           0.236           2.437           0.385           0.881           0.000           0.000           0.000           0.000           0.000
368                 0.000           0.761           4.463           0.413           0.879           0.000           0.000           0.000           0.000           0.000           0.000           0.000
371                 1.927           0.201           0.033           3.103           0.000           0.000           0.474           1.582           0.477           0.000           0.000           0.871
374                 9.587           0.818          34.825           2.260           0.000           6.529           5.442           4.283           1.152           0.000           0.000           0.000
375                 5.291           1.199          19.938           1.761           7.500           3.458           3.212           2.391           0.000           0.000           0.000           0.000
376                 8.440           2.830          25.849           7.868           0.000           2.510           3.173           5.712           4.058           2.333           0.000           0.582
379                 1.125           4.259           5.157           0.000           0.000           0.000           0.000           1.033           0.000           0.446           0.000           0.000
381                 3.084           3.999           8.804           1.063           0.000           1.587           0.380           1.924           1.687           0.079           0.000           0.544
385                 9.685           2.458          22.350           5.472           0.426           3.798           2.879           6.067           4.881           2.880           0.000           1.473
390                 0.000           1.961           3.551           0.000           0.996           0.000           0.000           0.000           0.000           0.000           0.000           0.000
391                 0.537           2.320           4.047           0.000           0.000           0.537           0.000           0.000           0.000           0.000           0.000           0.000
394                 2.502           1.101          13.159           0.882           0.000           1.724           1.814           0.000           0.000           0.000           0.000           0.000
398                 0.444           0.984          10.388           0.515           0.000           0.444           0.000           0.000           0.000           0.000           0.000           0.000
399                 3.504           2.901          10.556           3.414           0.123           2.228           1.493           1.751           1.421           0.000           0.000           0.000
401                 0.852           1.251          10.161           0.138           2.690           0.000           0.852           0.000           0.000           0.000           0.000           0.000
407                19.784           1.521          23.222           7.014          27.291          14.516           7.412           9.890           5.165           0.058           0.000           1.116
409                 2.034           0.690          13.422           5.162           3.278           1.557           1.310           0.000           0.000           0.000           0.000           0.000
413                 3.161           0.623           8.682           0.796           2.301           1.393           2.361           1.574           0.000           0.000           0.000           0.000
414                 2.471           1.120           4.703           1.071           0.000           2.465           0.181           0.000           0.000           0.000           0.000           0.000
416                 1.371           0.416           5.364           0.479           0.000           0.652           1.206           0.000           0.000           0.000           0.000           0.000
418                 2.380           1.292           3.676           0.758           5.070           2.284           0.669           0.000           0.000           0.000           0.000           0.000
421                 0.418           1.240           4.078           0.000           0.648           0.000           0.418           0.000           0.000           0.000           0.000           0.000
428                 1.423           1.269           5.365           0.496           0.000           0.000           1.423           0.000           0.000           0.000           0.000           0.000
429                 2.327           1.147           6.236           0.215           0.000           2.327           0.000           0.000           0.000           0.000           0.000           0.000
430                 2.169           1.253           7.281           1.306           2.347           2.142           0.337           0.000           0.000           0.000           0.000           0.000
431                 2.615           0.676           9.505           3.524           6.408           2.478           0.835           0.000           0.000           0.000           0.000           0.000
432                 2.605           0.743           6.899           0.339           1.320           2.605           0.057           0.000           0.000           0.000           0.000           0.000
433                 1.533           0.201           4.146           0.000           0.000           1.485           0.381           0.000           0.000           0.000           0.000           0.000
437                 3.828           2.851           6.082           1.796           0.000           2.613           1.148           0.000           0.000           0.000           0.000           2.550
438                20.792           1.229          29.230           6.098           8.248          18.615           9.167           1.064           0.779           0.000           0.000           0.000
439                 0.673           1.590          26.193           0.467           0.000           0.000           0.673           0.000           0.000           0.000           0.000           0.000
442                10.043           1.174           8.852           3.166           0.000           6.052           7.678           1.873           1.327           0.000           0.000           0.000
449                14.822           0.189          29.685           1.799          16.659          10.464           9.530           4.122           1.543           0.000           0.000           0.000
450                 3.308           4.270           5.749           0.834           0.992           2.936           0.551           1.292           0.000           0.592           0.000           0.000
451                 1.064           1.019           6.001           0.000           2.577           0.079           1.061           0.000           0.000           0.000           0.000           0.000
468                 2.246           4.632           3.179           0.651           0.000           0.998           0.027           0.000           1.070           0.689           0.000           1.558
481                 3.638           0.179          19.256           1.885           0.000           3.353           1.409           0.000           0.000           0.000           0.000           0.000
482                 0.000           2.270          10.034           1.363           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
490                 0.000           1.119           6.545           2.855           3.576           0.000           0.000           0.000           0.000           0.000           0.000           0.000
498                 4.438           4.360           9.110           3.495           1.038           0.956           1.392           3.781           0.904           0.738           0.000           1.090
501                 2.841           2.410           5.286           0.235           0.113           1.775           2.218           0.000           0.000           0.000           0.000           0.000
502                 0.000           2.360           8.527           1.915           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
503                 0.000           2.260           8.778           1.208           0.593           0.000           0.000           0.000           0.000           0.000           0.000           0.000
505                 0.000           2.833           6.897           2.118           0.750           0.000           0.000           0.000           0.000           0.000           0.000           0.000
506                 2.339           0.401           6.354           0.031           0.280           2.339           0.000           0.000           0.000           0.000           0.000           0.000
509                 1.375           0.452          16.185           2.184           0.000           1.286           0.487           0.000           0.000           0.000           0.000           0.000
510                20.921           0.680          27.750           9.639           0.000          16.720          11.451           4.979           1.490           0.000           0.000           0.000
512                 3.315           1.137          16.412           0.877           7.898           3.190           0.903           0.000           0.000           0.000           0.000           0.000
516                 3.006           2.201           1.647           4.169           0.000           0.000           0.060           2.019           0.467           2.080           0.000           0.641
521                 1.457           1.037          15.578           1.864           6.551           1.152           0.891           0.000           0.000           0.000           0.000           0.000
530                 3.302           0.640          16.233           0.405           5.989           2.364           2.306           0.000           0.000           0.000           0.000           0.000
532                19.535           0.975          31.838           4.225          21.260          12.547          12.718           7.755           1.520           0.000           0.000           0.000
533                 2.060           1.030           6.979           0.294           0.355           1.709           1.150           0.000           0.000           0.000           0.000           0.000
540                 2.313           2.180          11.286           1.274           0.000           1.725           0.679           1.383           0.000           0.000           0.000           0.000
541                 9.502           0.801          14.574           3.957           5.740           5.864           7.201           2.013           0.000           0.000           0.000           0.000
