#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
6           0       7.207       7.207       37.25       35.63       1.615          43       5.756       1.035           0
18      0.8496       1.088       1.088       2.071       3.592       2.167        4.18       1.682      0.9281      0.0899
35           0    0.005515    0.005515      0.4604      0.5473      0.1269      0.5526      0.1216       0.401           0
36     0.01541        1.86        1.86       2.545       4.322       2.898       5.734       4.247      0.3567        0.11
38           0       22.41       22.41       328.3       350.3       72.47       370.4       88.61        3.78        0.43
44       37.84       54.86       36.29       215.6       226.9       40.61       282.1       59.82       3.783      0.3505
48       0.876        10.9        10.9        39.7       37.65       28.27       42.73       23.19        2.26       0.293
50       1.742       2.401       2.401        7.54       15.99       8.454       17.71       8.927         1.4       0.216
56           0       4.084       4.084        9.28       15.43       15.43       17.81       13.06        2.41       0.307
64           0      0.8762      0.8762        9.88       14.34       9.797       14.55       9.578        1.37       0.213
65       5.371       4.181       4.181       7.957       17.29        10.4       18.98       8.703        2.07       0.276
91     0.05553      0.0822      0.0822      0.2819      0.6355      0.4486      0.6866      0.4459       0.455        0.09
95       1.766       1.287       1.287       4.323       8.467       4.709       9.065       4.111        2.16       0.284
106       24.02       42.08       32.94       128.5       115.5       25.83       157.9       52.48       2.051       0.149
107     0.05635      0.2908      0.2908       1.649       3.232       2.089       3.463       2.196      0.6233        0.14
112     0.08219       1.726       1.726          14        11.2       7.219       12.23       7.494       1.045      0.1798
123       4.094       3.587       3.587       13.78       27.69       14.62        30.3       14.03       2.418      0.2795
126       4.948        5.77        5.77       21.19       21.71       11.71       26.33       9.003       1.616       0.033
127           0       1.089       1.089       10.76       10.52      0.2395        11.7       0.944       0.582           0
130           0       75.97       75.97        1032        1085       93.73        1137       105.7       4.127       0.195
132        1.56        2.07       1.926       4.948       10.68        5.95        11.5       5.288        1.47       0.149
135       4.199        2.25        2.25       7.696        11.4       9.091       11.97        8.56        1.39       0.215
142       40.07       37.21        27.5       61.64       71.72       30.32         118       23.79       2.352      0.1605
145           0      0.1387      0.1387      0.9627      0.9268     0.03588        1.06      0.1321        0.28           0
152      0.3406       1.689       1.689       2.528       5.275       3.396       6.556       4.416      0.4677        0.13
158       11.08       9.616       8.971       140.5       147.8       38.71       155.4       39.18       1.827       0.166
162       40.99        39.6       18.31       226.9       228.6       5.938       267.2       13.44       1.256           0
169           0       1.221       1.221       9.449       13.52       6.063       14.03       5.544        2.04       0.274
175       11.93       15.88       9.018       48.66       44.38       13.27       56.26       12.22       1.762      0.0945
179       5.618       4.618       2.624       49.13       51.66        2.99       56.51       2.642       1.767       0.023
180     0.06199       2.159       2.159       8.104       9.197       6.805        10.1       6.619        1.21        0.19
185      0.2019       25.71       25.65      0.8473        25.7       25.16       46.72       45.89       1.501         1.1
186       4.872       4.072       2.807       11.78       12.97       4.951       16.97       4.295       1.259           0
207           0      0.5521      0.5521        18.8        21.9       5.805       22.14       5.567       1.929      0.1665
208           0       1.416       1.416        15.8       16.57        5.54       17.54       4.561       1.829      0.1475
213           0       3.754       3.754       30.95       30.33      0.6235       34.31       3.356      0.5044           0
214       38.03        24.2        24.2       84.04       87.68       50.77       112.5       45.13       2.684      0.1095
216     0.01006      0.1184      0.1184      0.3069      0.2916      0.0359      0.4059      0.1162       0.159           0
217       29.28        34.8        34.8       89.26       90.97       44.66       132.9       28.59       2.611       0.053
227           0      0.4647      0.4647       3.183       3.299       2.147       3.952       2.089       0.921        0.01
239       10.16       11.34       11.34       89.41       93.85       59.89       108.6       62.96       3.242       0.293
242       1.527       1.297       1.297       13.04       11.46       7.995        12.4       8.309        1.31       0.208
245           0      0.2737      0.2737       3.002        2.91       1.219       3.083       1.119      0.7653         0.1
247           0   0.0002464   0.0002464   1.597e-06    0.004746    0.004745    0.004746    0.004745       0.041        0.04
248      0.4657       1.546       1.546       14.67       13.15       7.095       15.32       6.692       1.363           0
254           0      0.1838      0.1838       29.47       21.03       9.099       21.03       9.099         1.5       0.225
