#           _id            _ra            _de           zp_X            f24           df24            f16           df16           f100          df100           f160          df160           f250          df250           f350          df350           f500          df500           f850          df850          f1160         df1160          radio         eradio          _fch1         _dfch1          _fch2         _dfch2          _fch3         _dfch3          _fch4         _dfch4          KtotX          MassX          distX          spezX             zq         source   source_radio          distz            idz       goodArea
# 
           4945    189.5048981     62.2877388           1.76          112.8          5.701          15.79          11.11       0.721273       0.323839        1.84209       0.725374        4.59271        1.41707            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          9.664          3.039          7.072          0.043          8.702          0.073           8.93          0.473          8.203          0.516          22.48          10.63         0.0529             -1            -99            -99              1          4.482            -99              1
           4954    189.1867981     62.2877350           2.09          177.1          6.047          14.47          7.887       0.380297       0.307648        4.20349       0.598443        3.06466        2.05507          4.547        3.88039            -99          1e+10       0.545255        1.00274        0.63855       0.869764          9.304          2.561          12.36          0.032          14.02          0.051          15.54          0.316           11.2          0.356          21.67          11.03        0.09613          2.032              1             34              1        0.09695          15820              1
           4955    189.2498169     62.2876854            0.3          238.8          6.964          225.4          7.693        4.16797       0.346504        8.09829       0.763511        7.90579        1.08488        4.22157        1.05996      0.0955426        1.80827            -99          1e+10            -99          1e+10          11.01          2.556          90.78          0.057          77.34          0.075          56.78          0.401          90.05          0.453          18.37           10.7        0.07326         0.3551              1             21              1        0.03751          21840              1
           4974    189.3796234     62.2874336           0.97          207.9          7.079          180.7          6.986        2.29179       0.322156        5.66741       0.679759        4.31335        1.96499            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          13.76          2.628          32.89          0.044          24.48           0.07          18.54          0.412          18.14          0.472          20.29          10.64         0.0529          1.013              1             21              1          0.029          32790              1
           4986    189.0558929     62.2873230           1.42          90.92           3.55          28.89          11.85        2.05668       0.400644        4.62689       0.889327         2.0904        1.77442            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          17.11           2.62           27.8          0.066          33.04          0.098          30.23          0.663          20.94          0.709           20.7          11.08          0.203             -1            -99            -99              1          13.64            -99              0
           4990    189.1330261     62.2873993           4.07          48.05           4.26          5.544          6.553       0.843185       0.349172       0.951054         1.2236        5.67226         1.3926        14.5623        2.10015        12.5655        2.32674        5.93749        0.93437        4.16185       0.588112             22            2.8          6.621           0.03          11.01          0.049          17.13          0.314          25.39          0.355          23.18          10.56         0.1989             -1            -99            -99              2          3.426            -99              1
           4991    189.1334076     62.2863235           0.38          29.89          5.314          21.55          5.771       0.593169        0.44827        1.83644        1.30415            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10        -0.2699          2.621          7.395           0.03          6.256          0.048          5.121          0.309          8.214          0.353           21.1          9.488          0.541         0.3948             -1             81              1         0.5274          10980              1
           4993    189.2453308     62.2872734           0.89          22.79          2.549      1.903e-07          8.172    1.50602e-05       0.299978      0.0731228        0.74642            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.207          2.545          21.85          0.041          16.21          0.063          13.32          0.383          11.68          0.438          21.12          11.34         0.2048          3.127              1             34              1         0.2062          21390              1
           4995    189.3477783     62.2874985           3.39          46.73          2.438      1.903e-07          6.425       0.554518       0.341327        1.34312        1.28478        5.56763        1.69234        5.44981        2.06247        6.11779        3.12122        2.84102         1.4046        1.17257       0.617548           26.2            5.3          4.598          0.039          6.426          0.065          8.266           0.39          11.64          0.457           23.3          11.05          0.207             -1            -99            -99              3          1.052            -99              1
           4996    189.3574219     62.2873497           0.88          106.2          4.885          84.66          7.579        1.76113       0.373331        1.50289        1.42643            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          8.094          2.581          15.04          0.039          10.63          0.066          9.664          0.396          9.273          0.457          21.25          10.03        0.05109          0.915              1             72              1         0.1058          31030              1
           4997    189.3756256     62.2873383           2.42          60.79          3.952          10.49          7.617       0.514826       0.299937      0.0680039       0.743872        6.13661        2.77914        5.70098         4.2393            -99          1e+10        1.27243        1.04784    2.12993e-10       0.647261          7.453           2.62           5.19          0.037           5.62          0.067          6.106          0.407          5.315          0.467          22.48           10.5        0.02747             -1            -99            -99              1          3.864            -99              1
           4999    189.0705566     62.2872200            1.6          49.85          5.854          15.29          6.319        1.00607       0.317437       0.464057       0.710407            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          8.102          2.657          6.182          0.045          6.594          0.071          6.003          0.485          4.575          0.538          22.33          10.15         0.1337          1.588              1             72              1         0.1712           6037              0
           5000    189.0950470     62.2872467           1.66          20.73          4.402      1.903e-07            6.9       0.162392       0.290898       0.797569       0.854502            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10           5.52          2.662          1.942          0.032          2.095          0.054          0.996          0.357          0.935          0.404          23.57          9.958         0.2076             -1            -99            -99              1          8.106            -99              1
           5007    189.3644104     62.2872162           0.78          188.7          5.775          154.6          6.099         3.1958       0.309985        7.63453        1.26424        6.33338        1.68439        4.91234        2.83851            -99          1e+10            -99          1e+10            -99          1e+10             27            4.5          26.77          0.042          19.52          0.068          22.33          0.406          18.14           0.46          20.66          10.24         0.0412         0.7783              1             21              3        0.06563          31570              1
           5010    189.4331055     62.2871895            1.6          29.31          3.885          11.36           7.73       0.579349       0.281327        0.40737       0.544539            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10           6.28          3.355          3.609          0.039          3.799          0.068          3.141          0.425          4.341          0.487          23.15          10.11         0.3103          1.812              1             72              1         0.2941          36080              1
           5012    189.4423828     62.2872009           1.47          37.83          4.988          71.05          7.498       0.685606       0.407039        2.84475       0.765642        6.23745         1.0597        3.75595        1.72221            -99          1e+10            -99          1e+10            -99          1e+10           28.5            7.1          12.87          0.044           13.1           0.07          12.24          0.425          9.937          0.487          22.03           10.7         0.1532             -1            -99            -99              2          4.235            -99              1
           5016    189.3606567     62.2870674            0.6          36.11          4.086          6.508          6.466       0.743179       0.377323          1.026        2.45797            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.225          2.604          56.35          0.049          37.51           0.07          31.04          0.402          18.73           0.46          19.46          10.75        0.08701         0.5643              1             25              1         0.2492          31320              1
           5023    189.5151215     62.2865105           0.43           1404           31.9           1306          50.88        37.9196       0.511887        57.2726        1.01901        39.6082        4.52902        19.8926        5.40028        11.5413        3.31604     5.1941e-42          1e+10       0.794313       0.810012          203.2           10.5          207.1           0.08          221.6          0.103          163.9          0.524          721.5          0.564          17.35          11.18         0.0529          0.278              1             72              2        0.05801          38910              1
           5026    189.1636200     62.2869263           3.06          13.16          3.892          7.373          6.734       0.171971       0.293381       0.546353       0.689804            -99          1e+10            -99          1e+10            -99          1e+10        1.47823        1.18773            -99          1e+10          6.826          2.506          2.541          0.028          2.753          0.047           3.06          0.307          3.267          0.351          23.25          10.26         0.1262          2.936              1             34              1        0.09695          13730              1
           5028    189.2757416     62.2867661            0.3          588.5           16.2            462          20.67        11.5524       0.300273        20.3938       0.792208        11.5937        1.28125        2.07777        3.29197            -99          1e+10            -99          1e+10            -99          1e+10           33.6            8.1          147.1          0.067          128.4          0.084          86.63          0.413          234.3          0.469          17.41           10.7         0.1128         0.2537              1             21              2        0.09947          24190              1
           5029    189.2882080     62.2869301            0.3          29.23          2.602          20.45           5.07        1.32377       0.289507       0.752026       0.667203            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          3.524          2.527          12.85          0.039          10.68          0.064           8.18            0.4          11.87          0.445          20.44          9.688        0.05801         0.3215              1             21              1        0.06563          25220              1
           5033    189.4080658     62.2870102           1.24          26.72          4.083          14.63          7.419       0.128999       0.294726       0.848814        0.56957            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          3.511          2.706          8.155          0.039          8.098          0.069          6.809          0.421          5.601           0.48          22.55          10.28         0.3921             -1              3             72              1         0.3607          34670              1
           5034    189.4519653     62.2867889           1.97          21.25          3.014      1.903e-07          10.59       0.135595       0.286037    -0.00319004       0.664553            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10           4.38          4.408          4.665          0.039          4.218          0.068          4.283          0.424          2.509          0.488          22.82          10.09        0.05801             -1            -99            -99              1          8.664            -99              1
           5042    189.2119446     62.2867928           2.26           31.6          2.705          8.366          7.888    1.50602e-05       0.259281            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          4.921          2.542          5.522          0.032          5.546          0.052          4.591          0.334          3.648          0.377          22.43          10.29          0.029          2.133              1             34              1        0.01373          18090              1
           5050    189.2059784     62.2866364           0.99          28.98          2.794          49.09           6.86    1.50602e-05       0.250672            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          3.626          2.555          829.2          0.139          584.9          0.125          392.4          0.385          227.5          0.384          15.66          13.05        0.03751             -1              1             72              1          0.029             -1              1
           5055    189.3976288     62.2864685           0.76          200.9          6.764          146.5          8.293        3.47987       0.313041        7.57847       0.707528        8.76717        1.05692        3.00996        2.16833            -99          1e+10            -99          1e+10            -99          1e+10           16.4            2.9          45.81          0.049          32.72          0.074          35.89          0.418          29.12           0.48          19.79          10.55        0.08701          0.639              1             72              2        0.08701          34060              1
           5057    189.4230194     62.2863083           2.19          20.14          3.615      1.903e-07          7.439       0.138177        0.28942       0.465757       0.552877            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          1.262          2.726          2.901          0.038          2.929          0.068          3.596          0.419          1.796          0.485          23.18          10.22         0.6723             -1            -99            -99              1          9.521            -99              1
           5064    189.5530243     62.2859154           0.37          91.21          10.15            -99          1e+10       0.864379       0.381963      0.0138302        1.08237            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          4.815          3.065          7.641          0.072          7.248          0.111          8.269          0.952          8.789          0.798          21.36          9.028        0.07502             -1            -99            -99              1          12.85            -99              0
           5067    189.1758118     62.2864342           2.22          109.6          5.689          49.77          6.205        1.54867       0.341901        3.19619       0.804161        3.04332        3.79581        2.13455        6.51097            -99          1e+10       0.805675         2.7604    2.12993e-10        1.27513           14.9            2.6          12.41          0.032           15.3           0.05          21.24          0.311          30.94          0.353          21.97          10.72        0.09429             -1              2             72              2         0.2626          14870              1
           5070    189.1802368     62.2866364           0.03          15.29          5.082          17.49          6.802       0.246914       0.342937            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10        0.06261          2.551          0.406          0.028          0.608          0.047          0.468          0.308          2.685          0.353          26.94          4.908         0.1465             -1            -99            -99              1          7.249            -99              1
           5080    189.3502197     62.2857628            1.2          34.74          3.887          39.99          6.502       0.294204       0.274443        2.26613       0.567019        1.54726        2.54957            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.004          2.658          9.658          0.039          8.771          0.065          6.288          0.389          6.755          0.451          21.96          10.15        0.03751          1.249              1             72              1        0.02555          30490              1
           5089    189.0874176     62.2860031           2.14          277.7          14.64          16.66          13.31        3.30818       0.627107        4.66665        1.93266        9.87545        4.18496        25.5995        8.81747        8.80913        9.00168        4.76276        2.02747            -99          1e+10           41.3              4          14.96          0.039          18.84          0.059           25.1          0.386          18.93          0.423          21.76          10.75         0.1595          1.988             -1             81              2         0.6264           7312              1
           5090    189.0886078     62.2856178           2.31          111.4          15.65          32.92          14.37       0.507915       0.691586         8.7831        2.05086        19.8807        4.83799        2.84863        8.74138        14.5504         8.9083        3.21529         2.0742        1.33932       0.687742          148.6            4.1          14.38          0.038          19.55          0.059          26.05          0.375          19.54          0.417          22.14          11.37         0.1595             -1             -1             42              2         0.1712             -1              1
           5095    189.3581543     62.2861481           1.82          46.29           6.18      1.903e-07          7.118       0.466092       0.702663         1.7855        2.40619            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10        -0.3084          2.601          6.947          0.037          6.952          0.066          6.531          0.399          6.404          0.459          22.49          10.13        0.09429          1.808              1             34              1        0.05109          31090              1
           5097    189.5183868     62.2857895           0.48          206.2          9.831          178.3          10.18        4.14858       0.381305        3.41992         1.4929        12.6219        3.94412        5.06244        5.71691            -99          1e+10            -99          1e+10            -99          1e+10          16.42          3.101          83.48          0.061          68.15          0.085          58.12          0.519          76.63          0.543           18.8          10.87        0.06058         0.4844              1             21              1        0.02747          38970              1
           5101    189.1509247     62.2858200           0.92          96.96          3.271           77.1           7.53        1.05096       0.296681        1.11599        0.73416            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.851          2.547           22.6          0.035          15.15           0.05          13.57          0.308          9.874          0.349          20.72          10.37         0.1824          0.945              1             12              1         0.1712          12540              1
           5114    189.1056213     62.2856026           1.69          44.37          5.372          18.11          7.803        0.72492       0.282246       0.872006       0.581026            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          4.192          2.627          10.18          0.033          9.888          0.052          8.776          0.334           5.86          0.376          21.98          10.31         0.2548          1.787              1             34              1          0.232           8754              1
           5122    189.0475006     62.2855263           1.57          118.1          6.456          38.64          15.06       0.529104       0.408114      0.0827977       0.977815            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          6.715          2.643           9.36          0.073          10.84          0.117          9.669          0.768          7.044          0.837          22.12          10.52         0.2675             -1            -99            -99              1           14.2            -99              0
           5125    189.1155243     62.2856369           1.25          37.02          6.109          59.26          7.007       0.547086       0.285342        1.19112       0.569115            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.929          2.606          12.53          0.033          11.45          0.051          7.814           0.32          8.254          0.364          21.49          10.47         0.1236          1.333              1             72              1         0.1262           9569              1
           5129    189.2346191     62.2855225            0.9           27.8           2.91          22.73          11.16      0.0902757       0.278573       0.572813       0.713267            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10        -0.2503          2.584          6.443          0.035          4.922          0.056          3.337          0.359          3.173          0.409          22.46          9.938          0.029             -1            -99            -99              1          2.089            -99              1
           5133    189.3715668     62.2856026           1.14          127.4          6.015          156.1          5.873        2.20989       0.309063        4.68695       0.659025        3.97052        2.69393        1.73202        4.96325            -99          1e+10            -99          1e+10            -99          1e+10          12.47          2.645          19.06          0.041           16.9          0.068          11.78          0.406          14.78          0.466          21.24          10.52        0.04848          1.145             -1             81              1        0.05801          32100              1
           5138    189.4614563     62.2853279           0.78          100.8          4.413          74.49          7.071        1.18193       0.314117        2.34668       0.696254        4.98798         1.0859        3.13492        1.35961            -99          1e+10            -99          1e+10            -99          1e+10          6.766          2.836          76.02          0.055          47.34          0.075           43.8          0.432          26.16           0.49          19.03          11.21        0.08627         0.7041              1             21              1         0.1031          37500              1
           5146    189.2828979     62.2856445           1.88          15.62          3.544      1.903e-07          5.823    1.50602e-05        0.40317            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10         0.9481          2.529          0.784          0.036          0.736          0.064          0.137          0.397          0.743          0.457          26.78          8.858         0.2568             -1            -99            -99              1          7.218            -99              1
           5147    189.3411407     62.2853088           0.55          120.2          3.622          78.54          7.173        3.61521       0.382445        5.94022        0.73524        7.88502        1.08776        4.88394        1.55959       0.154909        2.35482            -99          1e+10            -99          1e+10           12.4          2.662          24.13          0.042          18.63          0.067          20.96          0.389          23.23          0.457          20.23          9.988         0.1978          0.563             -1             81              1         0.2542          29770              1
           5148    189.3564148     62.2853737           2.09          142.3          7.613          25.77          6.168       0.677819       0.396492        3.42219        1.24619         5.3382        2.22085        5.17041        2.21361            -99          1e+10        1.29859        1.68835       0.684063       0.646963          9.925          2.606          12.66          0.039          15.87          0.068          20.41          0.401          20.34          0.459          22.18          10.97        0.08559             -1            -99            -99              1          3.813            -99              1
           5155    189.1251678     62.2852211           1.52          53.62           4.31          15.85          8.023    1.50602e-05       0.342981        0.87325       0.687579            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.269          2.636          7.401          0.031          8.042          0.049          6.391          0.312          6.588          0.355          22.16          10.34         0.1229             -1            -99            -99              1          5.606            -99              1
           5156    189.1884766     62.2853889           3.35           10.2          2.676      1.903e-07          9.233       0.417428       0.278511    1.46628e-05        1.09894        3.35859        3.38836    2.90529e-07        3.98744            -99          1e+10    2.06781e-10         1.2814       0.932082        0.73768          10.38          2.519          1.545          0.028          1.942          0.048          2.016          0.311          2.869          0.354          23.71          10.44        0.07786         3.3203              1            104              1            8.5            -99              1
           5162    189.3590546     62.2852325           0.78          15.49          5.431          15.67          7.752        1.31761       0.370082        1.96353        1.52898            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          1.896          2.612          7.655          0.037          5.854          0.066          5.529          0.403          4.597          0.458          21.82          9.848         0.1342         0.7779              1             21              1        0.08141          31160              1
           5168    189.0943146     62.2849884           0.58          152.7            5.9          113.4          7.135        4.05114       0.313457        7.72227       0.727977        3.28242        2.25805            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10           17.8            2.7          51.11          0.046          39.14           0.06          33.66          0.356          41.67          0.398          19.26          10.77         0.1465          0.514              1             72              2         0.1212           7845              1
           5170    189.1614227     62.2851219           0.66            118          3.932          78.49          7.447        2.08253       0.285107         3.3225       0.645829     -0.0859486        1.47698            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10           14.7            2.6          21.46          0.034          14.92           0.05          16.72          0.308          13.67          0.349          20.53          10.03        0.09695         0.6821              1             21              2        0.07326          13520              1
           5171    189.1782379     62.2851524           2.53          16.69          3.508      1.903e-07          9.262    1.50602e-05       0.390062        1.58022        1.06828        4.32735        4.20684    2.90529e-07        6.22474            -99          1e+10        2.08403        1.90428       0.568968        1.12669          7.489          2.558          11.31          0.032          12.62          0.049          14.03          0.309          11.36          0.352           21.9          11.16         0.0824             -1            -99            -99              1          6.179            -99              1
           5177    189.3652802     62.2849808           1.87          169.8          6.435          43.98           6.82        1.53516       0.313295        3.60649       0.781154        6.57288        1.97443         6.0055        3.95908        1.12788        2.12676       0.844759        1.39419      0.0921715       0.702711           14.6            2.9           6.74          0.037          8.816          0.067          9.438          0.405          9.595          0.461          22.67           10.7         0.1595             -1            -99            -99              2          7.309            -99              1
           5185    189.0761414     62.2848625           0.65          21.98          6.342           28.7          9.687    1.50602e-05       0.315248       0.243921       0.755558            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10              2          2.603          6.293           0.04          4.273          0.062           3.35          0.427          3.308           0.47          21.61          9.798         0.1532           0.68              1             72              1         0.1532           6442              0
           5187    189.1829529     62.2848816           0.54          215.4           7.07          132.4          9.408        7.50276       0.293746        9.96584       0.819774        5.36915        2.72215            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10           34.6            5.7          31.83          0.038          25.84          0.052          23.77          0.312          45.51          0.355          19.99          10.24         0.0824         0.5024              1             21              2        0.06866          15480              1
           5205    189.1283722     62.2847595           0.17          240.6          8.297          90.23          6.581        1.39474       0.343874       0.166528        0.89883            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.593          2.615          72.06          0.048          52.61          0.058          33.67          0.315          41.54          0.356          18.17          10.14         0.1262          0.173             -1             81              1         0.1262          10590              1
           5206    189.2199554     62.2848244           0.91             21          2.364          16.82          6.515        0.31316       0.282436       0.504903       0.648072            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.556          2.535          11.47          0.034          8.835          0.053          7.483          0.342          4.892          0.382          21.79          10.29         0.1229             -1            -99            -99              1          9.061            -99              1
           5211    189.4091034     62.2842216           2.56          256.1          9.636          43.39          6.212        1.01151       0.318163        2.18954       0.654203        6.60699        1.13348        6.24002        1.41123        7.97604        1.92588        1.12187        2.25789    2.12993e-10       0.658798           17.6            2.8          11.22           0.04          14.07           0.07          15.23          0.418          13.67          0.484          22.61          11.12        0.07786             -1            -99            -99              2          7.796            -99              1
           5215    189.5788574     62.2843933           2.09          192.6          10.77            -99          1e+10        3.10415       0.438502        8.41625        1.26359        32.4955        4.09525        37.4689        4.27229        35.8823        2.83475     5.1941e-42          1e+10        3.47465        1.17428           46.7            6.7            -99            -99           26.9          0.289            -99            -99          23.84          1.559          22.15          10.95         0.1809             -1            -99            -99              3          20.15            -99              0
           5218    189.3387756     62.2846107           1.14          35.97          3.467          18.78          8.781       0.172613       0.386332       0.915794       0.937265            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          6.291          2.608          12.38          0.039          9.218          0.065          8.236          0.386          6.608          0.452          21.86          10.35        0.06058             -1            -99            -99              1          3.772            -99              1
           5225    189.0549011     62.2843628           1.78          88.91          5.378          11.91          8.022        1.07024        0.46754       0.801264        1.32313            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          0.428          2.627          8.102          0.059          8.634          0.091          9.091          0.625          8.055          0.659          21.68          10.37         0.1777             -1            -99            -99              1          4.974            -99              0
           5238    189.5179749     62.2841682           0.79          158.4            6.2          119.2          10.78        3.61117       0.309965          2.348        1.74356        2.52592        3.57706            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10           6.48          3.039          18.06          0.047          13.99          0.077          13.36          0.504          17.18          0.532          21.14          10.12          0.029          0.909              1             72              1        0.04848          38960              1
           5242    189.1394196     62.2842102           0.44          37.82          4.294          13.31          6.461       0.361431       0.289709    1.46628e-05       0.930848            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          3.064          2.607          23.31          0.035          17.49          0.051          13.42          0.309           10.2           0.35          19.97          10.22        0.06866         0.4543              1             21              1        0.09695          11510              1
           5245    189.3819122     62.2842941            0.6          107.3          5.058          28.25          6.548    1.50602e-05       0.363592    1.46628e-05        1.23497            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10        -0.3019          2.657          6.356          0.037          7.835          0.067           8.82           0.41          18.23           0.47          23.45          9.018         0.3991             -1            -99            -99              1          6.154            -99              1
           5255    189.1206360     62.2840309           0.93          49.93          3.197          43.08          6.784       0.872926       0.327621    1.46628e-05        1.27586            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10         0.4161          2.588          11.33          0.032          7.561          0.049          6.307          0.314          5.128          0.358          21.25          9.988         0.1089         0.8508             -1             81              1        0.08559           9941              1
           5256    189.1968842     62.2841034           2.27          69.05          2.515          4.631           6.39        0.94706       0.266322        1.56621       0.619549        4.13375        1.49545            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          4.401          2.544          5.232           0.03          6.645          0.049          8.731          0.316          7.038          0.358          22.98          10.82        0.03751         2.3188              1            104              1          8.872            -99              1
           5258    189.2832184     62.2843361           3.37          19.33          4.203          3.655          6.399       0.451468       0.545681    1.46628e-05        1.89529            -99          1e+10            -99          1e+10            -99          1e+10        1.12783        1.89242        0.31898       0.768159          5.082          2.493          3.151          0.036          3.114          0.064          3.249          0.397          12.51          0.457          24.81           10.2         0.4984             -1            -99            -99              1          4.648            -99              1
           5265    189.5437317     62.2837067           2.36          174.4           10.5            -99          1e+10        2.15599        0.53797        3.59238        1.48194        15.9036        4.32228        12.2451        6.90451        12.0907        7.83074     5.1941e-42          1e+10    2.12993e-10        2.19603          14.45          3.017          10.48          0.055          13.94          0.094          19.36          0.677          14.29          0.662          22.21          11.36          0.029             -1            -99            -99              1          15.33            -99              0
           5270    189.2786255     62.2839127           0.65          876.2           21.8          565.5           24.8        4.83767       0.250156        5.09041       0.994572        6.61918        1.76287         5.6258        4.95617            -99          1e+10            -99          1e+10            -99          1e+10          16.55          2.566          159.7          0.069          192.7          0.091          251.8           0.43          328.5          0.472          19.09          10.43        0.04848           1.02              1             34              1        0.05493          24430              1
           5273    189.4158783     62.2838211           0.46          41.51          3.158          49.39          8.541       0.711172       0.301509        1.08121       0.638601            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          7.192          2.752          48.47          0.049          36.33          0.074          28.81          0.425           23.9          0.486          19.11          10.88        0.08559         0.4579              1             25              1        0.05291          35090              1
           5293    189.0614929     62.2833862           1.23          69.72          4.226          78.51          7.216       0.259074       0.338677        1.72205       0.750694            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          1.555          2.616          20.68          0.053          18.86          0.078          12.14          0.531          13.19          0.575          20.86          10.57         0.2459          1.261              2             23              1         0.2308             -1              0
           5296    189.1916962     62.2835388           1.08           90.1          3.049          57.63          7.791        1.14436       0.293861        1.98348       0.612241        2.47813         2.9242            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            7.4          2.701          30.09          0.038          23.76          0.053          19.12          0.314          16.41          0.355          20.77          10.79        0.07326          0.956              1             72              1         0.1128          16240              1
           5309    189.0833588     62.2834167           0.88          34.73          4.508           26.1          6.883       0.550301       0.359467    1.46628e-05         1.1015            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          3.974          2.622          5.329          0.035          4.115          0.057          3.717          0.382          3.158          0.428          22.07          9.688         0.1712             -1            -99            -99              1          3.667            -99              1
