# Origin_20cm     z_phot   ref_z_phot     z_spec   ref_z_spec                id__     chisq_tot        nfit_tot      chisq_star       nfit_star      chisq_dust        nfit_dust
  1               1.14     1              -99.0    -99                     1320         5.33383              11        0.377841               4         4.95599               5
  1               1.68     1              -99.0    72                      1334         9.92953              11        0.852995               4         9.07654               5
  1               1.02     1              -99.0    -99                     1335         10.7066              11          1.0025               4         9.70412               5
  1               0.99     2              -99.0    -99                     1337          2.4515               7       0.0982043               3          2.3533               3
  1               1.36     1              1.358    81                      1338          3.9553               9        0.364903               4          3.5904               3
  2               1.0      1              1.008    81                      1341         2.22155              10        0.450534               4         1.77102               4
  1               0.01     1              -99.0    -99                     1342         11.8928               9      1.5527e-19               1         11.8928               5
  1               0.63     1              -99.0    81                      1348         6.08997               9         2.08939               2         4.00058               5
  1               1.16     2              -99.0    -99                     1350         3.25649               8       0.0252824               3         3.23121               4
  1               1.2      2              -99.0    -99                     1355         2.15052               9          1.3103               4        0.840221               4
  1               1.43     1              1.365    81                      1357         1.78028              11        0.166581               4          1.6137               5
  1               1.74     1              1.787    34                      1367         5.17034              11         3.02884               5          2.1415               5
  2               2.54     1              -99.0    -99                     1368          9.3143              13         6.17331               5         3.14099               6
  1               2.11     1              -99.0    -99                     1369          1.2425              11        0.495221               5        0.747283               4
  1               1.06     1              1.037    81                      1371         5.14296              11         2.58295               4         2.56002               5
  1               1.32     2              -99.0    -99                     1384         2.52372              10       0.0931108               4         2.43061               5
  1               -99.0    -99            -99.0    -99                     1387         2.57816              12       0.0261942               2         2.55197               8
  1               0.92     1              1.038    21                      1391         7.19468              11         1.05536               4         6.13932               5
  1               1.22     2              -99.0    -99                     1393         4.78598              10        0.341705               4         4.44427               5
  1               0.24     2              0.2995   81                      1394         9.84008               8         6.47003               2         3.37005               4
  1               0.72     1              -99.0    81                      1396         1.67904              10        0.318429               3         1.36061               5
  1               1.94     1              -99.0    -99                     1401         6.74589              12          3.3956               5         3.35029               5
  1               1.84     1              -99.0    -99                     1402          7.3258              12         1.56931               5         5.75649               6
  1               2.25     1              2.291    81                      1416        0.953763              11        0.352946               5        0.600818               4
  1               1.13     1              1.148    72                      1419         3.29384              11         1.60006               4         1.69378               5
  1               1.54     2              -99.0    -99                     1420         13.6055              10        0.355244               4         13.2502               5
  1               0.48     1              0.4852   21                      1434        0.948775               7       0.0342759               2        0.914499               3
  1               1.18     2              -99.0    -99                     1437         15.3884              11         1.11189               4         14.2765               5
  2               2.3      1              -99.0    -99                     1445         10.4768              13         7.70201               5          2.7748               6
  1               0.58     1              0.513    81                      1449         2.52626              10       0.0576012               3         2.46866               5
  2               1.34     2              -99.0    -99                     1452         15.6104              11         1.20979               4         14.4006               6
  1               1.59     1              -99.0    -99                     1458         3.40364              10         0.26588               4         3.13776               4
  1               1.03     2              1.102    72                      1469        0.563159               6        0.174245               2        0.388914               3
  2               1.98     1              -99.0    -99                     1475         11.0049              13         9.52046               5         1.48445               7
  1               0.82     1              0.8411   21                      1476         4.66985              11        0.476394               3         4.19345               6
  1               0.06     2              -99.0    -99                     1477         4.48656               9     3.67215e-19               1         4.48656               5
  1               0.93     2              -99.0    -99                     1479         2.37621               8        0.698338               3         1.67787               4
  1               2.73     2              -99.0    -99                     1480          2.5065              11         2.12805               5        0.378452               4
  1               1.9      1              -99.0    81                      1490         3.47673              13         1.01498               5         2.46175               7
  1               0.81     1              0.837    72                      1491         1.45235               9        0.320936               3         1.13142               4
  1               -99.0    -99            -99.0    -99                     1495         12.7358              12       0.0148674               2         12.7209               7
  1               2.18     1              -99.0    -99                     1497         6.10582              13          2.4315               5         3.67433               6
  1               1.52     1              1.433    72                      1501         8.42103              11        0.789459               4         7.63157               5
  1               2.03     1              -99.0    -99                     1502         8.55299              12         2.80297               5         5.75002               5
  2               1.01     2              1.011    72                      1513         99.7351               8        0.106186               3         99.6289               4
  1               1.2      1              1.195    72                      1515         13.8732              11          1.1026               4         12.7706               5
  1               0.56     1              0.5325   25                      1520         1.45784              10        0.110026               3         1.34782               5
  1               0.79     1              -99.0    -99                     1524         5.31375              10         1.22485               3          4.0889               5
  1               0.75     1              -99.0    -99                     1525         36.0932              11         16.7683               3         19.3249               6
  1               0.99     2              -99.0    -99                     1532        0.544518               8      0.00901239               3        0.535506               4
  2               0.82     1              0.746    72                      1533         1.90523               9       0.0434204               3         1.86181               4
  1               1.14     1              1.148    21                      1543         7.55926              11         2.83699               4         4.72227               5
  1               1.83     1              -99.0    -99                     1544         1.83946              12        0.842925               5        0.996535               5
  1               1.16     2              -99.0    -99                     1545          3.4338               9        0.306382               4         3.12742               4
  1               0.9      1              0.8894   21                      1548         1.82732               9         0.76423               3         1.06309               4
  1               1.39     1              1.358    81                      1551         5.23657              11        0.213268               4          5.0233               5
  1               -99.0    -99            -99.0    -99                     1556           4.997              13         3.03896               4         1.95803               8
  1               0.84     2              -99.0    -99                     1558         4.91223               9         0.59804               3         4.31419               5
  1               0.93     2              -99.0    -99                     1563         1.18639               7      0.00015909               2         1.18623               4
  1               0.64     1              0.6338   21                      1567        0.589826               8        0.312105               3         0.27772               3
  1               0.88     2              0.879    72                      1569        0.813202               9       0.0234221               3         0.78978               5
  1               1.27     1              1.303    72                      1579         4.25208              11        0.134367               4         4.11771               5
  1               0.94     1              0.9376   21                      1592        0.766194               9        0.521312               4        0.244881               3
  1               0.63     1              0.6813   21                      1593         9.34327              10        0.319987               3         9.02328               5
  1               1.71     1              1.782    34                      1602         4.76056              11         4.32995               5        0.430614               5
  1               1.51     2              -99.0    -99                     1604         2.95737               9       0.0555122               4         2.90185               4
  2               1.0      1              -99.0    -99                     1606         70.1726              11         1.25908               4         68.9136               5
  1               1.73     2              -99.0    -99                     1616         11.9752              10         6.65975               4         5.31548               5
  2               0.97     2              1.014    23                      1618         20.7732              11        0.272184               4         20.5011               6
  1               1.01     1              1.02     21                      1622           11.26              11        0.701144               4         10.5589               5
  1               2.06     1              -99.0    -99                     1626         12.9269              10         11.1867               5         1.74023               4
  1               2.31     1              -99.0    -99                     1629         1.51283              12        0.281624               5         1.23121               5
  1               1.77     1              -99.0    -99                     1631         5.27723              12         1.57942               4         3.69781               6
  2               0.27     1              0.32     72                      1633         3.90578               9     9.27405e-05               2         3.90569               5
  1               0.89     1              -99.0    -99                     1634         7.99258               9         6.86925               3         1.12334               4
  1               0.76     2              -99.0    -99                     1638         4.56182              10         1.16279               3         3.39903               5
  1               0.62     1              0.6337   21                      1644         3.56157              10        0.793077               3          2.7685               5
  2               1.84     1              1.76     45                      1648         16.3276              13         13.5843               5         2.74334               7
  1               3.21     2              -99.0    -99                     1650         16.5133              12         5.20839               5         11.3049               5
  2               2.99     1              -99.0    72                      1651         5.12457              13         1.46365               5         3.66093               7
  1               1.0      1              -99.0    -99                     1662         2.86478              10        0.439439               3         2.42534               5
  1               0.37     1              0.04     72                      1673         7.92512               7       1.956e-19               1         7.92512               4
  1               0.33     1              -99.0    -99                     1693         5.48942               9        0.005413               2         5.48401               5
  1               2.63     1              -99.0    -99                     1702         14.2599              10          14.102               4        0.157925               4
  1               1.21     2              -99.0    -99                     1709         5.36596              11        0.297711               4         5.06825               5
  1               1.71     1              -99.0    -99                     1710         5.64183              12         2.92811               5         2.71372               5
  1               0.81     1              -99.0    -99                     1711         4.78279              10         2.06872               3         2.71407               5
  1               2.26     1              2.216    81                      1712         5.77502              13         1.96381               5         3.81121               6
  2               0.99     1              1.012    72                      1717         8.45861              11        0.429498               4         8.02911               5
  1               0.99     1              -99.0    -99                     1724         1.18588               8       0.0549584               3         1.13092               3
  1               2.92     2              -99.0    -99                     1734         2.63305              10         0.54174               3         2.09131               5
  2               4.37     1              -99.0    -99                     1735         15.8524              14         1.17801               5         14.6744               7
  1               1.15     1              1.142    21                      1737         4.04685               9        0.434317               4         3.61253               3
  1               0.88     1              -99.0    -99                     1740          2.2343              10         0.40749               3         1.82681               5
  1               1.02     1              1.024    72                      1741         12.5658              11        0.543934               4         12.0219               5
  1               2.04     2              -99.0    -99                     1747         6.01839               9         3.48047               4         2.53792               4
  1               1.33     1              1.2      72                      1753        0.950453              10      0.00369224               4        0.946761               4
  2               2.04     1              -99.0    -99                     1762         16.7772              14         11.8371               5         4.94003               7
  1               0.41     1              0.2985   23                      1764         21.2804              11       0.0180306               2         21.2624               6
  1               1.71     1              -99.0    -99                     1775         9.24935              11        0.845937               5         8.40341               5
  1               0.95     1              -99.0    -99                     1779         16.5266              10        0.250748               3         16.2759               5
  1               1.57     2              -99.0    -99                     1813         3.64262               9         1.12494               4         2.51768               4
  1               1.63     2              -99.0    -99                     1814         1.52343               6     3.82295e-18               1         1.52343               4
  1               1.54     1              1.569    72                      1818         2.77957              11        0.124216               4         2.65535               5
  1               0.43     1              -99.0    -99                     1822         3.48716               9     1.37498e-05               2         3.48715               5
  1               -99.0    -99            -99.0    -99                     1824         2.03494               7      2.5896e-21               1         2.03494               5
  1               0.24     1              0.2544   21                      1836         4.92169              11       0.0223159               2         4.89938               6
  1               0.62     1              0.6348   21                      1843         6.16549              10         1.18668               3         4.97881               5
  1               0.88     1              0.903    72                      1847         0.50593              10       0.0641886               3        0.441741               5
  1               2.4      1              -99.0    -99                     1850         8.09139              12        0.377171               5         7.71422               5
  1               1.04     1              -99.0    -99                     1855         37.1079              10         18.3571               3         18.7508               5
  1               0.56     1              0.5856   21                      1859         1.37846              10        0.022545               3         1.35592               5
  1               1.16     1              1.153    81                      1865         4.52997              11        0.457499               4         4.07247               5
  1               1.05     1              1.083    21                      1866         3.44726               9        0.314792               4         3.13247               3
  1               1.8      1              -99.0    -99                     1870         4.23501               9          3.1255               4         1.10951               4
  2               0.99     1              0.858    72                      1880        0.787874               8         0.14039               3        0.647485               3
  1               3.19     1              -99.0    -99                     1886         4.88811              13         2.84554               5         2.04258               7
  1               0.98     1              1.011    21                      1894         4.94734              11        0.805582               4         4.14176               5
  1               0.99     1              1.015    72                      1899         14.1467              11         2.75292               4         11.3937               5
  1               0.64     1              0.5857   21                      1907         13.3047              10       0.0359857               3         13.2687               5
  1               0.54     1              0.5857   21                      1908         3.21534              10       0.0684214               3         3.14691               5
  1               0.25     1              0.2768   21                      1918         5.73347              11        0.037112               2         5.69635               6
  1               0.98     1              -99.0    -99                     1919         7.31475               8         6.69116               2        0.623587               4
  1               4.26     2              -99.0    -99                     1921          31.386              14         12.1078               5         19.2782               7
  2               0.98     1              0.937    81                      1930         18.4477              11       0.0957157               4          18.352               5
  1               0.27     1              0.2777   21                      1937         26.8862              10      0.00657171               2         26.8796               5
  1               0.26     1              0.2771   21                      1938         10.4804              10      0.00354984               2         10.4769               5
  1               1.38     1              -99.0    -99                     1944         8.47812              11         0.59348               4         7.88464               5
  1               4.06     1              -99.0    -99                     1945         31.3445              14         25.3027               5          6.0417               7
  1               0.97     1              1.012    21                      1951         2.90161              11       0.0815299               4         2.82008               5
  1               1.05     1              -99.0    -99                     1960         6.82863               8         3.47686               3         3.35178               4
  1               0.57     1              0.5574   23                      1961         11.2934              10         3.76619               3          7.5272               5
  1               1.15     1              1.145    81                      1968         1.70325              11        0.703922               4        0.999327               5
  1               1.45     1              1.491    72                      1973         1.95862               9         1.94253               4       0.0160874               3
  1               3.31     1              -99.0    -99                     1990         18.0727              13         10.1878               5         7.88495               7
  1               3.11     1              -99.0    -99                     1999         64.5422              13         63.0223               5         1.51986               6
  1               2.37     1              -99.0    -99                     2007          24.424              12         19.1105               5         5.31347               5
  1               1.78     1              -99.0    -99                     2022         4.33311              11         2.31531               5         2.01779               5
  1               0.75     1              1.2      21                      2025          3.0423               9         2.86382               4        0.178478               3
  1               1.63     1              -99.0    -99                     2032         4.74229              11         3.63639               5          1.1059               5
  1               0.83     1              -99.0    81                      2046          5.3153               9         1.75855               3         3.55675               4
  1               1.19     1              -99.0    -99                     2052         12.6695               9         8.88661               4         3.78286               4
  1               1.17     1              -99.0    -99                     2054         2.59629              12         0.38113               4         2.21516               6
  1               0.78     1              0.7781   81                      2056         6.83539               9        0.574383               3         6.26101               4
  1               1.2      1              -99.0    -99                     2059         1.22674               9        0.757811               4        0.468927               4
  2               0.88     1              0.9015   23                      2061          1.6983               7        0.942371               3        0.755926               3
  1               0.8      1              0.71     72                      2089         2.16342              10        0.693634               3         1.46979               5
  2               0.34     1              0.4379   21                      2094         1.59779               9       0.0177208               2         1.58007               5
  1               4.25     1              -99.0    -99                     2099         25.0147              17         5.04813               5         19.9666              10
  1               1.49     1              -99.0    -99                     2101         1.79055               9         0.68491               4         1.10564               4
  1               2.29     1              -99.0    -99                     2106         2.70446              12         1.41053               5         1.29393               5
  1               1.03     1              -99.0    -99                     2115         15.5621              11        0.822206               4         14.7399               5
  1               0.94     1              -99.0    -99                     2124         8.69376               9       0.0557102               3         8.63805               5
  1               1.22     1              -99.0    -99                     2129          6.4874               9         3.54115               4         2.94626               4
  2               1.15     1              -99.0    81                      2135         1.49087              11        0.838105               4        0.652763               5
  1               2.39     1              -99.0    -99                     2137          1.6574              12         0.12402               5         1.53338               5
  1               3.03     1              2.962    72                      2140          4.1513              12         1.84632               5         2.30498               5
  1               0.19     1              0.284    72                      2141         5.86163               8         0.67679               2         5.18484               3
  1               0.36     2              0.3772   81                      2144         4.22821               6          1.4071               2         2.82111               3
  1               0.47     1              0.4737   81                      2147        0.409283              10      0.00223406               2        0.407049               6
  1               0.97     1              1.016    21                      2150         4.62104              12        0.203936               4          4.4171               6
  1               2.04     1              -99.0    -99                     2152         18.6109              12         13.2644               5         5.34648               6
  1               1.0      1              1.036    72                      2160         6.98816              11        0.980591               4         6.00756               5
  1               0.28     1              0.3196   21                      2163         5.05414              10      0.00338302               2         5.05075               6
  1               0.09     1              3.239    34                      2175         37.1969              14         17.7442               5         19.4527               8
  1               0.75     2              -99.0    -99                     2181         2.31125               8       0.0380681               3         2.27318               4
  1               1.83     1              -99.0    -99                     2185         6.90059              13        0.908004               5         5.99259               6
  1               0.29     1              0.2778   21                      2189         3.54386              10        0.010202               2         3.53366               5
  1               0.62     1              -99.0    -99                     2192         13.3713               8         8.40357               2         4.96769               4
  1               0.94     1              -99.0    -99                     2195         24.6287              10         3.06402               3         21.5647               5
  1               1.17     1              -99.0    -99                     2196         3.67405              11          1.1274               4         2.54666               5
  2               1.18     1              1.147    72                      2197         23.7133              11         2.89653               4         20.8167               5
  1               0.96     1              1.016    21                      2202         3.66771              12        0.279244               4         3.38847               6
  1               1.05     1              1.01     81                      2229         13.9563              11        0.810525               4         13.1458               5
  1               2.08     1              -99.0    -99                     2231         1.22934              11        0.810867               5        0.418475               4
  1               0.49     1              0.5072   21                      2234          1.2881               8         0.19681               3         1.09129               3
  1               0.25     1              0.247    72                      2239         8.27465              10       0.0397559               2          8.2349               5
  1               1.66     1              -99.0    -99                     2252         5.00472              11         2.94325               5         2.06146               5
  2               0.3      1              0.2775   21                      2256         14.3507              10         3.44625               2         10.9045               5
  1               0.96     1              -99.0    72                      2262         89.0464               9         28.4123               3         60.6341               4
  2               0.29     1              0.2712   21                      2266         1.52009               8      0.00643193               2         1.51366               3
  1               1.88     1              -99.0    -99                     2268         4.10059               9         1.51149               4         2.58909               4
  1               2.04     1              1.948    72                      2272         10.2752              13         1.75151               5         8.52364               6
  1               0.82     1              0.981    72                      2290         13.8485              11        0.273351               4         13.5752               5
  3               0.24     1              0.2767   21                      2295         23.1336               9        0.545359               2         22.5882               4
  1               1.03     1              1.017    72                      2296         9.09739              12         2.17991               4         6.91747               6
  1               0.8      1              0.8042   21                      2297         3.61335              10         1.32811               3         2.28524               5
  1               1.11     1              -99.0    -99                     2314         4.74555              10         2.00964               3          2.7359               5
  1               0.94     2              -99.0    -99                     2318         5.08901               6     3.23768e-19               1         5.08901               4
  2               3.41     2              -99.0    -99                     2320         24.6131              14          10.621               5         13.9922               7
  1               2.23     1              -99.0    -99                     2323         5.46519              13        0.588321               5         4.87687               6
  2               2.15     1              2.29     45                      2324         61.5701              11         46.7088               5         14.8613               4
  1               0.26     1              0.2733   21                      2327         9.85822               8         1.46161               2         8.39661               3
  2               0.55     2              -99.0    81                      2328        0.715543               7        0.517191               2        0.198352               4
  1               1.14     1              1.157    72                      2330         4.45892              11         1.79392               4           2.665               5
  1               1.34     1              1.146    81                      2331         12.8942              11        0.747485               4         12.1467               5
  2               1.06     1              1.013    23                      2336         2.79189               9        0.118489               4          2.6734               4
  1               4.38     1              -99.0    -99                     2337         44.2916              15          28.762               5         15.5297               8
  1               0.79     1              0.8392   21                      2342         1.19524              10       0.0748358               3         1.12041               5
  1               1.01     2              -99.0    -99                     2347         1.30912               8        0.816969               3        0.492147               4
  1               2.21     1              2.103    72                      2357         3.40825              12         2.50386               5        0.904387               5
  1               0.32     1              0.3186   21                      2359         2.97623               9        0.426171               2         2.55006               5
  1               1.45     1              1.491    72                      2360         7.66365               8         1.54124               4         6.12241               2
  1               1.61     1              -99.0    -99                     2365         22.2903              12          5.9098               4         16.3805               6
  1               2.7      1              -99.0    -99                     2369         10.1661              12         8.00572               5         2.16041               6
  1               1.58     2              -99.0    -99                     2374         3.55771               8     4.23087e-05               2         3.55766               5
  1               0.49     1              -99.0    -99                     2376         1.39189               7        0.006489               2          1.3854               4
  1               0.29     1              0.2775   25                      2378         10.4132              11       0.0255514               2         10.3876               6
  1               2.26     1              -99.0    -99                     2387         7.22865              12          6.5875               5        0.641148               5
  1               0.48     1              -99.0    -99                     2395         1.93924               7      0.00644152               2          1.9328               4
  1               2.29     1              -99.0    -99                     2399         6.67217              13         1.97047               5          4.7017               6
  1               0.53     1              0.5287   21                      2408       0.0237155               7       0.0237093               3     6.20303e-06               2
  1               0.89     1              0.836    21                      2412         1.30102              10        0.023661               3         1.27736               5
  1               1.14     1              -99.0    -99                     2417         7.28101              11         0.61787               4         6.66314               5
  1               1.08     1              1.052    21                      2418         6.41828              12        0.369137               4         6.04914               6
  1               1.27     2              -99.0    -99                     2432         2.23568               9       0.0736547               4         2.16203               4
  1               0.86     1              -99.0    -99                     2433         1.74697               8         0.58339               3         1.16358               4
  1               0.83     2              -99.0    -99                     2440         1.85838               8      0.00603717               3         1.85234               4
  1               0.61     1              0.5476   23                      2449         2.66946               9          1.8118               3        0.857665               5
  2               1.15     1              1.145    21                      2455         3.60593              12        0.519291               4         3.08664               6
  2               0.31     1              0.2113   21                      2463        0.109358               9     0.000439683               2        0.108918               4
  2               0.83     1              0.875    72                      2488         8.98134               9       0.0876208               3         8.89372               5
  3               2.31     1              -99.0    -99                     2489         12.3027              14         7.78827               5         4.51443               7
  1               1.66     1              -99.0    -99                     2500         2.16982              11        0.663129               5          1.5067               5
  1               1.09     1              -99.0    -99                     2509        0.892623               9       0.0526313               4        0.839992               4
  1               0.65     1              0.6823   21                      2510          2.7831               9        0.174575               3         2.60853               4
  1               0.94     1              1.028    21                      2513         2.74458              10        0.980355               4         1.76422               4
  1               0.63     1              0.6342   21                      2518        0.286672               8         0.12795               3        0.158722               3
  1               1.45     1              1.423    72                      2524         8.16716              11         2.35688               4         5.81028               5
  2               1.17     1              1.142    72                      2525         5.31925              10        0.457464               4         4.86178               4
  1               2.39     1              2.295    34                      2540         6.09625              12         1.18476               5          4.9115               5
  1               0.91     1              0.9365   21                      2543         2.76715              11         0.67711               4         2.09004               5
  1               1.09     2              -99.0    -99                     2544         1.76559               9        0.720285               3          1.0453               4
  1               4.01     1              -99.0    -99                     2552         21.1065              11         8.29296               4         12.8135               6
  1               1.27     1              -99.0    -99                     2561         2.39577              10        0.197121               4         2.19865               5
  1               0.43     2              -99.0    -99                     2569         2.45589               7       0.0743135               2         2.38158               4
  1               0.58     2              -99.0    -99                     2574         2.04986               7      0.00035644               2          2.0495               4
  1               1.81     1              -99.0    -99                     2577         2.92139              13        0.620419               5         2.30097               6
  1               2.14     1              -99.0    -99                     2578        0.838886              13        0.034844               5        0.804042               6
  1               2.52     1              -99.0    -99                     2587         14.4766              12         13.5267               5        0.949982               5
  1               0.59     1              -99.0    -99                     2588         1.70624              10        0.180098               3         1.52614               5
  1               2.33     1              2.123    85                      2591         5.76446              12         3.97133               5         1.79313               5
  2               5.25     1              -99.0    -99                     2592         49.1852              15         3.95341               6         45.2318               7
  1               0.76     1              1.152    21                      2594          2.1719               9       0.0531267               4         2.11877               3
  1               2.29     1              2.179    72                      2596          4.8476              12         2.36122               5         2.48638               5
  1               1.27     1              -99.0    -99                     2605         1.13394              11        0.263443               4        0.870497               5
  2               1.11     1              1.255    72                      2608         100.045              11        0.112108               4         99.9333               5
  1               0.87     1              0.944    81                      2615         1.76789              11         1.00699               4        0.760906               5
  1               2.17     1              -99.0    -99                     2619         1.90965              12         1.12024               5        0.789417               5
  1               -99.0    -99            -99.0    -99                     2622          16.184               8     1.21942e-19               1          16.184               5
  2               0.82     1              0.8352   21                      2625         1.13822               9        0.266849               3        0.871373               4
  1               1.28     1              -99.0    -99                     2643         3.58015               9        0.464909               4         3.11524               3
  1               0.89     1              -99.0    -99                     2648         2.37241              10       0.0338911               3         2.33852               5
  1               1.21     1              1.224    72                      2652         1.41707              10        0.795335               4        0.621738               4
  1               3.56     1              -99.0    -99                     2655         12.8824              12          12.412               5        0.470343               6
  1               0.84     1              0.8751   21                      2660         3.83952              10        0.770768               3         3.06876               5
