#       id       zspec       zbest       ubest       chi2_min     S_chi2_min     R_chi2_min
# 
       437    -1.00000     2.72190      50.000       12.26191       3.122659       9.139248
       438    -1.00000     1.06570     101.000       3.699163      0.2284415       3.470721
       439    -1.00000     1.61331       9.700       19.35404       8.837186       10.51685
       442    -1.00000     1.18380       9.700      0.9163912   0.0001429264      0.9162483
       449    -1.00000     0.19930       2.200        13.8452   2.778668e-20        13.8452
       450    -1.00000     3.98542     101.000       33.26033       9.939527       23.32081
       451     1.01900     1.01900       6.100        1.51685      0.4307202        1.08613
       468    -1.00000     4.63255     101.000       39.30281       20.23474       19.06808
       481     0.17900     0.17900     101.000       8.540092   3.306216e-18       8.540092
       482    -1.00000     2.00513      25.000       1.164495      0.3003307      0.8641639
       490    -1.00000     1.08920       6.100       5.911547      0.7975885       5.113958
       498    -1.00000     4.26352     101.000       10.20505       4.845927       5.359118
       501    -1.00000     2.10310      18.000       16.45579       9.897906       6.557887
       502    -1.00000     2.11808      14.500       25.31557       23.35237       1.963196
       503    -1.00000     2.26000      25.000       7.160535       6.507113      0.6534223
       505    -1.00000     3.03300      25.000       10.17274       9.473024      0.6997154
       506    -1.00000     0.40100     101.000       2.342798   1.436805e-20       2.342798
       509     0.45200     0.45200       9.700       2.093677      0.5546994       1.538978
       510     0.67980     0.67980       6.100       4.999175     0.01475684       4.984419
       512    -1.00000     0.94740       9.700        4.29216       1.909496       2.382664
       516    -1.00000     0.10100       2.200       26.77311              0       26.77311
       521     1.03700     1.03700       6.100       3.795596       1.007807        2.78779
       530     0.64000     0.64000       4.900        2.16835      0.2353685       1.932981
       532     0.97460     0.97460       6.100         1.3722      0.1547523       1.217447
       533     1.03000     1.03000     101.000       8.517279       1.017263       7.500016
       540    -1.00000     2.03690      35.000       2.989224      0.4558003       2.533423
       541     0.80100     0.80100       4.900       0.827082      0.6154989      0.2115831
       546    -1.00000     3.39270      50.000       11.51188       8.905745       2.606131
       547    -1.00000     2.83776      40.000       2.788649        1.31407       1.474579
       548    -1.00000     1.93012      25.000       2.060858     0.08566442       1.975194
       550    -1.00000     0.92920       6.100       14.23086       12.41904       1.811826
       552     0.50450     0.50450       9.700     0.02074821    0.005402665     0.01534554
       554     0.68000     0.68000       4.900       2.268985    0.004649793       2.264335
       559    -1.00000     1.44306       9.700      0.4139199    0.001232459      0.4126874
       561    -1.00000     1.43302       9.700       5.756499      0.9886354       4.767863
       562    -1.00000     2.65820      50.000       12.02229       3.921505       8.100788
       564     4.05100     4.05100     101.000       28.18321       17.71941        10.4638
       581    -1.00000     1.18526       6.100       2.437048     0.08171272       2.355335
       593    -1.00000     1.62640      12.100       9.794637       1.418452       8.376185
       597    -1.00000     2.42760     101.000       36.38725       30.87172       5.515533
       598     1.36400     1.36400       9.700       2.046168      0.6484303       1.397737
       604    -1.00000     0.43780     101.000       1.349629   3.746317e-18       1.349629
       606     1.00800     1.00800       6.100       3.264947      0.3697804       2.895167
       620     0.80000     0.80000       4.900      0.2226732     0.06353392      0.1591393
       621    -1.00000     2.19812      40.000       2.590073      0.4011415       2.188932
       622    -1.00000     1.14127     101.000       4.323683      0.4443921       3.879291
       628     1.25500     1.25500       9.700       4.361049       1.386972       2.974077
       631    -1.00000     1.60510     101.000       10.38068       1.955092       8.425589
       637     0.50300     0.50300       3.300       1.047198    0.002084388       1.045113
       638     0.71100     0.71100       4.900       39.31333   5.360893e-18       39.31333
       652    -1.00000     1.82310      25.000       8.718957      0.9280137       7.790943
       658     4.05100     4.05100     101.000       31.76839       10.26023       21.50816
       659     4.05600     4.05600      45.000       11.69425        2.51163       9.182618
       661    -1.00000     1.14760       6.100      0.6012596      0.0684016       0.532858
       664    -1.00000     2.15769      40.000       1.735392      0.9946669      0.7407248
       669     1.14200     1.14200       6.100      0.4169587     0.07906607      0.3378926
       672     0.94520     0.94520      14.500        15.6108      0.7298924       14.88091
       689     0.71300     0.71300      12.100       1.293554   2.775795e-19       1.293554
       692     0.28100     0.28100       2.200       22.66542       2.340449       20.32497
       697    -1.00000     2.17190     101.000       37.45024       14.51096       22.93929
       702    -1.00000     2.16204      30.000       30.47792       28.66293       1.814987
       710    -1.00000     0.86540       6.100       2.096153    0.001083124        2.09507
       713     0.77620     0.77620       4.900       5.521146      0.4552472       5.065898
       714     4.05800     4.05800      45.000       18.65267       10.97685       7.675826
       718    -1.00000     0.88180       6.100       2.133544     0.03956747       2.093977
       719    -1.00000     1.98528      35.000       1.690788      0.5302196       1.160568
       721     0.59530     0.59530       4.900        2.80552      0.1603407        2.64518
       729     0.90500     0.90500      14.500       3.026801     0.09185749       2.934943
       737     0.58500     0.58500      12.100       2.103866     0.02285303       2.081013
       740    -1.00000     0.35580       9.700       2.130373   0.0003796796       2.129993
       748    -1.00000     1.20220       9.700       2.360758       1.375645      0.9851135
       749     0.70800     0.70800      12.100        6.52562     0.07487606       6.450744
       753     0.33080     0.33080     101.000       7.756918       5.215413       2.541505
       760     0.86150     0.86150      14.500      0.8631179      0.1935025      0.6696154
       762     0.70700     0.70700      12.100       1.526994     0.02670406        1.50029
       768    -1.00000     2.21230      25.000       4.992947       4.500164      0.4927833
       776    -1.00000     0.68870       4.900       3.562375     0.05071205       3.511663
       779     1.45000     1.45000       9.700       60.40509       4.709248       55.69584
       786    -1.00000     2.35008      40.000       28.18042       26.74433       1.436099
       793    -1.00000     2.78230     101.000       15.62804        8.11803       7.510014
       804    -1.00000     0.91100       6.100       8.732008      0.3717495       8.360259
       805    -1.00000     1.43786       9.700       5.501955      0.7878612       4.714094
       807    -1.00000     2.97850      50.000       10.37264       7.849882       2.522757
       808     0.47300     0.47300       9.700       1.064588   3.373538e-20       1.064588
       809    -1.00000     0.45600       4.900       2.290352   1.782655e-18       2.290352
       825     1.02200     1.02200      12.100       5.336016      0.8830498       4.452966
       826    -1.00000     0.76330       4.900      0.7472654      0.2126167      0.5346488
       827    -1.00000     1.39110       9.700         15.025     0.06224616       14.96275
       837    -1.00000     2.50100     101.000       11.17721       3.329452       7.847758
       841    -1.00000     6.70100     101.000       22.17622       13.30054        8.87568
       849    -1.00000     1.68000      12.100       6.761042      0.1251909       6.635851
       860    -1.00000     2.84930      25.000       12.97823       6.974244       6.003985
       866    -1.00000     1.16785       6.100       9.916391      0.3477772       9.568613
       867    -1.00000     1.22069       9.700        8.34556       5.058996       3.286565
       870     0.84000     0.84000      14.500      0.2535776      0.2189671     0.03461049
       872    -1.00000     2.17837      40.000       3.099131      0.4722163       2.626915
       877    -1.00000     1.67050     101.000       11.84553   5.956616e-18       11.84553
       878     0.27550     0.27550     101.000       2.559114    0.005115071       2.553998
       881    -1.00000     1.92320      35.000       4.504426        1.35952       3.144906
       884    -1.00000     3.48630     101.000       33.00834       13.68659       19.32175
       885     0.90320     0.90320      12.100       4.620485       1.871988       2.748497
       886     0.47500     0.47500       4.900       2.170314      0.5998758       1.570439
       892     1.45000     1.45000       9.700        2.61962      0.1520793       2.467541
       893     0.94000     0.94000       6.100       3.278123      0.1307033       3.147419
       899    -1.00000     0.44690       9.700        4.70843      0.9329137       3.775516
       902     0.96200     0.96200       6.100      0.7152669      0.1662213      0.5490456
       915     2.63500     2.63500      18.000       17.19622       14.25711       2.939104
       917    -1.00000     1.61250       9.700       7.597674     0.02184821       7.575826
       922    -1.00000     1.68355      25.000       3.887743       1.540773        2.34697
       923    -1.00000     1.84116      12.100       1.062347      0.4710627      0.5912843
       924    -1.00000     0.37410       9.700       6.152527     0.03059501       6.121932
       926    -1.00000     1.78720      25.000        22.7089       9.487304       13.22159
       928    -1.00000     0.85810       6.100       20.52015       1.283107       19.23704
       931    -1.00000     0.59250       4.900       4.025541     0.07512922       3.950412
       934     0.70780     0.70780       4.900       1.190885    0.002600781       1.188284
       937     1.03200     1.03200     101.000       6.146262      0.3120774       5.834185
       939     0.94700     0.94700       9.700       3.458185      0.2189848         3.2392
       950    -1.00000     3.21830      45.000       16.93436        6.30836         10.626
       951    -1.00000     0.37570       3.300       11.04849     0.04349819       11.00499
       960    -1.00000     0.49580       4.900       1.185832   1.604838e-19       1.185832
       965    -1.00000     1.60510       9.700       5.634102       1.435822        4.19828
       966     1.30300     1.30300       9.700       12.13131      0.8413512       11.28996
       972    -1.00000     0.32660     101.000       5.168898   0.0004749787       5.168423
       974    -1.00000     5.12430      50.000       24.73042       12.81263       11.91779
       994    -1.00000     0.94920       6.100        1.71176   9.257063e-20        1.71176
       995     1.30600     1.30600       9.700       1.127457       0.325627      0.8018303
      1002     0.94800     0.94800      14.500       1.813336      0.5378705       1.275465
