# id    ra            dec          zSpec    zQuality   zssn  
  482   189.4001007   62.373436    -1.0     -99        -99   
  490   189.3794098   62.372921    -1.0     -99        -99   
  498   189.3556824   62.3726234   -1.0     -99        -99   
  501   189.3748474   62.3725014   -1.0     -99        -99   
  502   189.265564    62.3723221   -1.0     -99        -99   
  503   189.2879944   62.3723145   -1.0     -99        -99   
  505   189.3832092   62.3722649   -1.0     -99        -99   
  506   189.2587738   62.3723564   -1.0     -999       -99   
  509   189.406601    62.371994    0.452    1          72    
  510   189.2344666   62.3719101   0.6798   1          23    
  512   189.3144989   62.3719177   -1.0     -99        -99   
  516   189.3721008   62.372036    -1.0     -999       -99   
  521   189.3558807   62.371479    1.037    2          72    
  530   189.2914734   62.3712006   0.64     1          72    
  532   189.306427    62.3711739   0.9746   1          21    
  533   189.3378601   62.3711395   1.03     1          21    
  540   189.4091949   62.3711014   -1.0     -99        -99   
  541   189.2628021   62.3708839   0.801    1          72    
  546   189.2455139   62.370842    -1.0     -99        -99   
  547   189.2478333   62.3703156   -1.0     -1         81    
  548   189.2892303   62.3707123   -1.0     3          72    
  550   189.3953552   62.3708954   -1.0     -99        -99   
  552   189.3175201   62.3705864   0.5045   1          21    
  554   189.2380066   62.3705254   0.68     1          72    
  559   189.2335205   62.370388    -1.0     -99        -99   
  561   189.3757019   62.3700027   -1.0     -99        -99   
  562   189.4066467   62.3701706   -1.0     -99        -99   
  564   189.2994995   62.3700371   4.051    1          1001  
  581   189.3711243   62.3696136   -1.0     -99        -99   
  593   189.3899994   62.3689957   -1.0     2          72    
  597   189.2703552   62.3690376   -1.0     -99        -99   
  598   189.2923431   62.3685188   1.364    -1         81    
  604   189.4406281   62.368679    -1.0     3          72    
  606   189.2661896   62.3686371   1.008    2          21    
  620   189.2494202   62.3682442   0.8      1          72    
  621   189.2638092   62.3682137   -1.0     -99        -99   
  622   189.2983856   62.368309    -1.0     -99        -99   
  628   189.3333435   62.3680763   1.255    1          21    
  631   189.3711548   62.3680801   -1.0     -99        -99   
  637   189.4125824   62.3677406   0.503    1          72    
  638   189.4360352   62.3677368   0.711    1          72    
  652   189.2431946   62.3675156   -1.0     -99        -99   
  658   189.2865833   62.3671667   4.051    1          1001  
  659   189.2905417   62.3673889   4.056    1          1001  
  661   189.2207794   62.3671074   -1.0     -99        -99   
  664   189.3692932   62.3670883   -1.0     -99        -99   
  669   189.3904724   62.3668671   1.142    1          72    
  672   189.3344116   62.3666763   0.9452   1          21    
  689   189.4340057   62.3663406   0.713    1          72    
  692   189.3514557   62.3660202   0.281    1          21    
  697   189.2570953   62.3653221   -1.0     -99        -99   
  702   189.2340546   62.366127    -1.0     -99        -99   
  710   189.3928223   62.3654709   -1.0     -99        -99   
  713   189.2927246   62.3653564   0.7762   1          21    
  714   189.2978668   62.3654289   4.058    1          72    
  718   189.4120331   62.3653946   -1.0     -99        -99   
  719   189.2402649   62.3652687   -1.0     -99        -99   
  721   189.3066711   62.3652992   0.5953   1          21    
  729   189.3027191   62.3649254   0.905    1          72    
  737   189.231308    62.3645592   0.585    1          23    
  740   189.350174    62.3647537   -1.0     -99        -99   
  748   189.4193115   62.3644028   -1.0     -99        -99   
  749   189.437088    62.364666    0.708    1          72    
  753   189.2745361   62.3641701   0.3308   1          21    
  760   189.3511047   62.363884    0.8615   1          21    
  762   189.4369507   62.3637657   0.707    1          72    
  768   189.2251434   62.3636818   -1.0     -99        -99   
  776   189.2289734   62.3625717   -1.0     -99        -99   
  779   189.2812195   62.3632851   1.45     1          21    
  786   189.4096069   62.363018    -1.0     -99        -99   
  793   189.3426666   62.3626747   -1.0     -99        -99   
  804   189.398468    62.3624687   -1.0     -99        -99   
  805   189.3976135   62.3615646   -1.0     -99        -99   
  807   189.4239502   62.3625374   -1.0     -99        -99   
  808   189.209549    62.3623848   0.473    1          72    
  809   189.2190857   62.3621979   -1.0     1          72    
  825   189.4113617   62.3613853   1.022    1          72    
  826   189.4153748   62.3620033   -1.0     -99        -99   
