#            id      dis_to_MS        name_SB           LTIR           MSIR            SFR    lgSFR_MS_Sargent                Mstar
#
              6       0.131716             MS      3.563e+11    2.63087e+11          35.63              1.4201              10.642
             18      -0.254362             MS      3.592e+10    6.45205e+10          3.592            0.809698             9.95195
             35            -99        unknown      5.473e+09            -99         0.5473                 -99                 -99
             36       0.589221             MS      4.322e+10    1.11292e+10          4.322           0.0464638             9.51195
             38        1.10567             SB      3.503e+12    2.74644e+11          350.3             1.43877             9.76195
             44       0.719389             SB      2.269e+12    4.32958e+11          226.9             1.63645              10.012
             48      -0.352242             MS      3.765e+11    8.47241e+11          37.65             1.92801              10.652
             50      -0.149598             MS      1.599e+11    2.25656e+11          15.99             1.35345              10.312
             56       0.243596             MS      7.148e+11    4.07933e+11          71.48             1.61059              10.152
             64        0.10183             MS      1.434e+11    1.13428e+11          14.34             1.05472             9.95195
             65      -0.377435             MS      1.729e+11    4.12316e+11          17.29             1.61523              10.322
             91      -0.164523             MS      6.355e+09    9.28195e+09         0.6355           -0.032361             9.31195
             95      -0.397121             MS      8.467e+10    2.11276e+11          8.467             1.32485             9.92195
            106       0.326589             MS      1.155e+12    5.44494e+11          115.5             1.73599              10.482
            107       0.152693             MS      3.232e+10    2.27394e+10          3.232            0.356779             9.64195
            112      0.0182109             MS       1.12e+11    1.07401e+11           11.2             1.03101              10.142
            123       0.677349             SB      2.769e+11    5.82068e+10          27.69            0.764974             9.13195
            126      -0.435845             MS      2.171e+11     5.9225e+11          21.71             1.77251              10.722
            127      -0.544412             MS      1.052e+11    3.68491e+11          10.52             1.56643              11.212
            130       0.861593             SB      1.085e+13    1.49223e+12           1085             2.17384              10.672
            132       0.306368             MS      1.068e+11    5.27476e+10          10.68            0.722203             9.47195
            135       0.103203             MS       1.14e+11     8.9888e+10           11.4            0.953702             9.81195
            142       0.363264             MS      7.172e+11    3.10725e+11          71.72             1.49238              10.072
            145      -0.379157             MS      9.268e+09    2.21893e+10         0.9268            0.346143             9.97195
            152      -0.235029             MS      5.275e+10    9.06258e+10          5.275            0.957252              10.552
            158       0.572464             MS      2.082e+12    5.57207e+11          208.2             1.74602              10.512
            162       0.816288             SB      2.286e+12     3.4897e+11          228.6             1.54279              10.642
            169      -0.135616             MS      1.352e+11    1.84754e+11          13.52             1.26659             9.89195
            175       0.125986             MS      4.438e+11    3.32048e+11          44.38              1.5212              10.332
            179        0.26911             MS      5.166e+11       2.78e+11          51.66             1.44404              10.232
            180      -0.728744             MS      9.197e+10    4.92482e+11          9.197             1.69239              10.862
            185            -99        unknown       2.57e+11            -99           25.7                 -99                 -99
            186      -0.131202             MS      1.297e+11    1.75445e+11          12.97             1.24414              10.262
            207       0.124523             MS       2.19e+11    1.64407e+11           21.9             1.21592             9.87195
            208    -0.00214258             MS      1.657e+11    1.66519e+11          16.57             1.22147             9.92195
