#   SAVEDid       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160       xfRad       xeRad      xf2000      xe2000
#
2192       0.267      0.2527      0.2501      0.2446      0.1794      0.1777      0.1012      0.1005     0.04144     0.04121    0.008658    0.008612    0.003301    0.003282    0.000951    0.000951   0.0005765   0.0005765
2195      0.1398      0.1335      0.2268       0.224      0.1907      0.1897       0.115      0.1145     0.04902     0.04888    0.009644    0.009616    0.003495    0.003483   0.0005995   0.0005995   0.0005894   0.0005926
2196      0.3589      0.3187      0.6321      0.6109      0.5856      0.5774      0.3891      0.3857      0.1755      0.1743      0.0366     0.03636     0.01334     0.01325    0.001578    0.001578    0.002257    0.002237
2197      0.6754      0.2386      0.8081       0.579      0.8667      0.7783      0.6478      0.6112      0.3275      0.3144     0.07618     0.07352     0.02928     0.02824    0.001565    0.001565    0.005238    0.005032
2202       1.596       0.475       2.996       0.785       3.101       1.359       2.065       1.097       0.974       0.576      0.2117      0.1348     0.08013     0.05207    0.007029    0.002296     0.01396    0.009464
2229      0.7609      0.3861       1.119      0.5994       0.959       0.568      0.6015      0.3785      0.2707      0.1769     0.05919     0.04066     0.02246     0.01563    0.002784    0.001831    0.003884    0.002822
2231      0.1907      0.1537      0.5196      0.4786      0.7005      0.6815      0.5869      0.5781      0.3449      0.3415      0.0889      0.0882     0.03337      0.0331     0.00136    0.001359    0.005642    0.005588
2234       1.111      0.1198       2.088      0.2695        1.74      0.3555      0.9695      0.2355      0.3947      0.1073     0.08142     0.02419     0.03089     0.00943    0.004769   0.0005385    0.005424    0.001676
2239     0.02174     0.01418    0.008654    0.006026    0.002722     0.00195    0.001004   0.0007203   0.0003443   0.0002471   7.009e-05   5.031e-05   2.766e-05   1.986e-05   4.344e-13   1.235e-13   4.344e-13   1.235e-13
2252      0.2561      0.1924      0.5611      0.5239      0.7543      0.7387      0.6459      0.6391       0.356      0.3536     0.08985     0.08935     0.03434     0.03415    0.001462    0.001461    0.006019    0.005981
2256       24.71        1.21       38.03        1.07       25.96        1.64       13.36        1.09       5.138      0.4875       1.049      0.1113      0.3974      0.0436     0.08785     0.00434     0.06988    0.007725
2262     0.01615     0.01615     0.01088     0.01088    0.004704    0.004704    0.002047    0.002047    0.000738    0.000738   0.0001503   0.0001503    5.91e-05    5.91e-05   1.461e-13   1.461e-13    6.75e-07    6.75e-07
2266       7.016      0.5065       10.22       0.726       6.694      0.8495       3.389      0.5415        1.29       0.237      0.2612     0.05325     0.09875     0.02075     0.02473    0.002055     0.01738    0.003645
2268      0.4264      0.2636      0.8873      0.6727       1.215      0.9798       1.072      0.8862      0.7307      0.6293      0.2137      0.1889     0.08348     0.07422     0.00229    0.001908     0.01463     0.01304
2272      0.7374      0.1069       1.713      0.3615       2.336        0.63       2.125       0.711       1.336      0.5182      0.3711      0.1624      0.1435     0.06529    0.004291    0.001021     0.02514     0.01184
2290      0.3765      0.3069      0.4888      0.4547      0.3637      0.3512      0.2011       0.196     0.08229     0.08051     0.01576     0.01539    0.005721    0.005579    0.001229    0.001229   0.0009399   0.0009551
2295       1.685       0.378       2.721      0.6245       1.849      0.5075      0.9446      0.2885      0.3616      0.1185     0.07351     0.02548     0.02782    0.009805    0.005931    0.001394    0.004893    0.001728
2296      0.7959       0.203        1.72      0.3335       1.791      0.2865       1.203      0.1975      0.5788      0.1083      0.1271      0.0266     0.04819     0.01045     0.00432    0.000903    0.008495    0.001905
2297       1.117      0.6445       1.607      0.6865       1.379      0.6327      0.8586      0.4525      0.3857      0.2281     0.08181     0.05269     0.03102      0.0205    0.004594    0.002228     0.00547    0.003683
2314       1.191      0.5267       2.282        0.89       2.148       0.816       1.418      0.5478      0.6342      0.2449      0.1314     0.05158     0.04904     0.01979    0.005879    0.002318     0.00849     0.00349
2318       1.134      0.5312       1.806      0.8615       1.966       1.203        1.38      0.9984      0.6718      0.5272      0.1514      0.1245     0.05773     0.04797    0.003907    0.002451     0.01017    0.008662
2320      0.5966      0.1715       2.528      0.1385       6.905       0.203       9.772       0.214       9.293       0.531       4.372      0.4245       2.036      0.2245     0.01346    0.000475      0.3781     0.04575
2323      0.6503      0.2301        1.32        0.27       1.914       0.524       1.805       0.629       1.204      0.5071      0.3463      0.1655      0.1345     0.06658    0.003337   0.0009945     0.02344     0.01189
2324       7.945       0.794       11.41        0.61       10.57        0.45        7.66      0.7675       4.348       0.654       1.163       0.223      0.4576      0.0925    0.008982    0.003558     0.08291     0.01679
2327       1.197       0.342       1.877      0.5295       1.291      0.3976       0.659      0.2228      0.2521      0.0907     0.05126     0.01938     0.01941    0.007445    0.004194    0.001265    0.003413     0.00131
2328       9.191      0.1525       15.84       0.235       12.61        0.35       6.942      0.2325        2.78       0.105      0.5749      0.0228      0.2186      0.0088     0.03634     0.00049     0.03839    0.001555
2330      0.4904      0.3718      0.8045      0.6185      0.7429      0.5292      0.5294      0.3859      0.2673      0.2036     0.06172     0.04868     0.02361     0.01882    0.002023    0.001638    0.004195    0.003372
2331      0.6433      0.3977       1.064      0.6657      0.9131      0.5669      0.5968      0.3782      0.2798      0.1833     0.06009      0.0404     0.02242     0.01517    0.002669    0.001828    0.003888    0.002642
2336       3.684       0.695         6.4       0.488       5.756       1.139       3.603      0.9885       1.613      0.5295      0.3327      0.1242      0.1236     0.04794     0.01576     0.00152     0.02123    0.008655
2337      0.7043      0.5957       1.234      0.7964       2.795      0.7755       3.614      0.6025       3.469      0.8455       1.962      0.7615      0.9881      0.4329    0.004365    0.001413      0.2033      0.0995
2342      0.6305      0.4026      0.8815      0.4965      0.7508      0.4062       0.447      0.2666      0.1982      0.1275      0.0412     0.02805     0.01549     0.01073    0.002458    0.001545    0.002708    0.001908
2347      0.6456      0.4334       1.098      0.6973      0.9863      0.5627      0.6744      0.3987      0.3265      0.2033     0.07546     0.05014     0.02883     0.01953    0.002778    0.001835    0.005114    0.003523
2357      0.4793      0.1078       1.357       0.099       2.174      0.0815       2.041       0.199       1.335      0.1965      0.3758     0.07255      0.1449     0.03025    0.004082           0     0.02504    0.005645
2359      0.8649      0.3941       1.196      0.6216      0.8342      0.5188      0.4363      0.2914      0.1694      0.1182     0.03472     0.02505     0.01319    0.009605    0.003109    0.001475    0.002308    0.001694
2360       1.215      0.2293       2.278       0.379       2.399      0.4655       1.766       0.425      0.8636      0.2294      0.1943     0.05525     0.07195     0.02073    0.005316    0.001193      0.0123    0.003576
2365      0.5184      0.2621       0.845      0.6031      0.8348      0.6952      0.6368      0.5662      0.3364      0.3077     0.08227     0.07623     0.03145     0.02906    0.001643    0.001642    0.005552    0.005088
2369      0.1558      0.0851       0.501      0.1173      0.8597      0.0049      0.9561      0.1159      0.7662      0.1579      0.2777     0.08225      0.1172     0.03862    0.001575    2.05e-05     0.02069    0.007215
2374      0.9409      0.4161       1.998      0.7725       2.801       1.375       2.394        1.39       1.314      0.8423      0.3294      0.2293      0.1262     0.08957    0.005297    0.002481     0.02225       0.016
2376      0.6846      0.5114       1.009      0.7944      0.8416      0.7384       0.474      0.4303      0.1946        0.18      0.0406     0.03802     0.01547     0.01453    0.002515     0.00195    0.002723    0.002558
2378      0.3138      0.3005      0.4935      0.4889      0.3471      0.3458      0.1816      0.1811     0.07069     0.07051     0.01458     0.01454    0.005542    0.005528    0.001169    0.001169   0.0009735   0.0009735
2387      0.4694      0.1498       1.489      0.1075        2.39      0.3585       2.365       0.617       1.661      0.6085      0.5069       0.231      0.2005     0.09665    0.004471   0.0004805     0.03474     0.01712
2395      0.3906      0.3781      0.4744      0.4698      0.4303       0.429      0.2499      0.2493       0.105      0.1048     0.02218     0.02214    0.008477    0.008463    0.001437    0.001437    0.001493    0.001493
2399      0.5194      0.3931      0.8307      0.2753      0.8937      0.3263      0.7917      0.4373      0.5511      0.3951      0.1735      0.1384     0.07007     0.05623    0.001162    0.001162     0.01241    0.009715
2408       1.331      0.1325       2.421       0.355       2.006      0.5255       1.114       0.358      0.4536      0.1658     0.09329     0.03762     0.03534     0.01468    0.005734   0.0004935    0.006206    0.002612
2412      0.3772      0.3431      0.4911      0.4755      0.3775       0.372      0.2306      0.2284       0.105      0.1042      0.0223     0.02215    0.008445    0.008385    0.001415    0.001415    0.001481    0.001481
2417      0.4574      0.2827      0.8858      0.4592      0.8645      0.3686       0.606      0.2808      0.2964      0.1507     0.06652     0.03658     0.02493     0.01395     0.00228    0.001208    0.004324    0.002449
2418       1.026       0.381       1.978       0.586       2.104      0.7875       1.449      0.6533      0.6937      0.3503      0.1523     0.08383     0.05765     0.03257    0.004772    0.001625     0.01016    0.005855
2432       2.406      0.6855       5.415      0.9135       6.091       0.524       4.742        0.68       2.401       0.492      0.5584      0.1453      0.2092     0.05805     0.01411     0.00203     0.03608      0.0106
2433      0.4426      0.3934      0.6128      0.5902       0.562       0.554      0.3624      0.3592      0.1685      0.1675     0.03681     0.03658     0.01409     0.01401    0.001681     0.00168    0.002494    0.002495
2440       3.366       0.491        6.99      0.6325       7.298       1.173       4.597       0.925       2.091       0.496      0.4445      0.1225      0.1683     0.04885     0.01681    0.001745     0.02958    0.009015
2449        1.77       0.424       2.979       0.858       2.438       0.895       1.338      0.5469      0.5407      0.2374      0.1099     0.05108     0.04146     0.01961    0.007269    0.001978    0.007235    0.003485
2455       4.032      0.2595       9.758      0.3825       12.11        0.68       9.148       0.808       4.583        0.52       1.047      0.1445      0.3992      0.0584     0.02445    0.001365     0.07067      0.0109
2463       12.92       0.115       19.27        0.18       12.44       0.115       6.208      0.0575       2.365       0.022      0.4819     0.00445      0.1823      0.0017     0.04371     0.00041     0.03213      0.0003
2488       3.653       0.759       6.795       1.221       6.653       1.943       4.114       1.434        1.85       0.722      0.3871       0.165      0.1456     0.06374     0.01702    0.003515     0.02536     0.01154
2489       2.811       0.616        9.99        0.24       18.79        0.99       19.86        1.98       14.69        2.19        4.66      0.9375       1.866       0.404      0.0331     0.00256       0.327     0.07025
2500      0.6216      0.1895       1.418      0.4358       1.823       0.531       1.658       0.599       1.021      0.4277      0.2786      0.1314      0.1075     0.05239    0.003476    0.001196     0.01885     0.00942
2509      0.3464      0.2877      0.6203      0.5907      0.7206      0.7094      0.5438      0.5392      0.2675      0.2658     0.06026     0.05994     0.02266     0.02253    0.001566    0.001565    0.003946    0.003919
2510      0.3399      0.3014      0.3882      0.3672      0.2668      0.2589      0.1608      0.1575     0.07071     0.06959     0.01505     0.01482     0.00574     0.00565    0.001221    0.001221    0.001005    0.001005
2513       2.032       0.548       3.755      0.4285       3.664       0.791       2.415      0.7655       1.127      0.4385      0.2421      0.1093      0.0911       0.043    0.009224    0.001297     0.01596     0.00781
2518       1.625      0.5555       2.198       0.249       1.658       0.413      0.9044      0.3176      0.3696      0.1563     0.07472     0.03608     0.02806     0.01409    0.006583    0.001607    0.004925    0.002501
2524      0.3378      0.2397      0.6779      0.6201      0.8596      0.8354      0.6997      0.6893      0.3648       0.361     0.08704     0.08626     0.03296     0.03266    0.001728    0.001728    0.005815    0.005755
2525       2.702      0.3225        5.42      0.3715       5.532      0.7755       3.747      0.6895       1.731      0.3735      0.3665      0.0896       0.136      0.0345     0.01343     0.00125     0.02351    0.006125
2540       1.618       0.629       3.129      0.3535       4.549       0.487       4.379       0.873       3.058      0.8005      0.9164      0.2856      0.3606      0.1182     0.00792    0.001186     0.06301     0.02151
2543      0.3423      0.3126      0.4837      0.4694      0.3658      0.3607      0.1996      0.1976     0.08571     0.08499      0.0187     0.01856    0.007109    0.007051    0.001331    0.001331    0.001252    0.001251
2544      0.3007      0.1255      0.6584      0.2283      0.7791      0.2609      0.5731      0.2147      0.2742      0.1138      0.0602     0.02729     0.02247     0.01041    0.001686    0.000599    0.003892    0.001831
2552   1.706e-09   1.706e-09   2.202e-09   2.202e-09   2.456e-09   2.456e-09   2.131e-09   2.131e-09   1.324e-09   1.324e-09    4.18e-10    4.18e-10   1.801e-10   1.801e-10   2.793e-20   2.793e-20    3.53e-11    3.53e-11
2561      0.7642      0.3848       1.488      0.6046       1.773      0.8288       1.421      0.7588      0.7323      0.4307      0.1718      0.1112     0.06478     0.04272    0.003683    0.001576     0.01126    0.007518
2569      0.6776      0.4705      0.7691       0.568      0.5781      0.4879      0.3122      0.2749      0.1237      0.1115      0.0254     0.02323     0.00964     0.00885    0.002491    0.001821    0.001697    0.001552
2574      0.4235       0.408      0.5029       0.497       0.451      0.4491      0.2606        0.26      0.1091      0.1088     0.02299     0.02295    0.008784    0.008766    0.001555    0.001555    0.001546    0.001546
2577       1.061       0.311       2.417       0.407        3.51      0.7765       3.219       0.957       1.996      0.7365       0.549      0.2353      0.2121     0.09465    0.006303    0.001371     0.03715     0.01711
2578      0.7177      0.4404       1.659      0.8739       2.385       1.115       2.195        1.05       1.548      0.8386      0.4665      0.2752      0.1839       0.111    0.004619    0.002265     0.03225     0.01975
2587      0.2499      0.2086      0.3995      0.1986      0.3524      0.1688      0.3094      0.2192      0.2357      0.1992     0.08256     0.07474     0.03455     0.03148   0.0004389   0.0004388    0.006155    0.005555
2588      0.2388      0.2238      0.2854       0.279      0.2157      0.2135      0.1337      0.1329     0.06024     0.05996     0.01294     0.01289    0.004943     0.00492    0.000881    0.000881   0.0008725   0.0008725
2591      0.3569     0.08085        1.02      0.0767       1.648       0.059       1.557        0.15       1.027      0.1506      0.2909       0.056      0.1123      0.0234    0.003086           0     0.01942     0.00438
2592       1.403       0.147       4.579       0.206       10.11       0.105       12.98        0.08       13.63         0.2       8.096      0.2265       4.087      0.1325     0.01768     0.00047      0.8429      0.0307
2594       2.054      0.3685       3.525      0.4215       3.115      0.2625       1.941       0.192      0.8516      0.0998      0.1723     0.02245      0.0629    0.008445    0.008982    0.001228     0.01072    0.001466
2596      0.4365      0.1599       1.044      0.0721       1.592       0.211       1.501      0.3345       1.011      0.2872      0.2923     0.09705      0.1137     0.03942    0.002829    0.000418      0.0198      0.0071
2605      0.7534      0.3297       1.574       0.569       1.957      0.8465       1.545      0.8045      0.7887      0.4654      0.1851      0.1198      0.0698       0.046    0.003999    0.001638     0.01213    0.008095
2608      0.3664      0.3287      0.6463      0.6257      0.5901      0.5819      0.3856      0.3822       0.171      0.1698     0.03505      0.0348     0.01297     0.01287    0.001649    0.001649    0.002258    0.002239
2615       1.163       0.389       2.264      0.6415       2.305      0.6145       1.489       0.482      0.6877      0.2521      0.1463     0.05928     0.05514     0.02305    0.005615    0.001717    0.009653    0.004157
2619      0.2231     0.09315      0.7169      0.1874       1.056      0.3501      0.9672      0.3708       0.611      0.2575      0.1705     0.07878     0.06682     0.03234    0.001953    0.000575     0.01163    0.005775
2622      0.8224      0.4047       0.749       0.511      0.3934      0.3122      0.1774      0.1482     0.06464     0.05546     0.01283      0.0112    0.004798    0.004208    0.003231    0.001408   0.0008724   0.0007307
2625       3.473       0.274       6.494      0.4255       6.521      0.5615       3.996       0.453       1.784       0.241      0.3723      0.0578      0.1401      0.0227     0.01511      0.0015     0.02446     0.00413
2643       2.198      0.2525       3.882       0.366       3.502       0.476       2.349      0.4685       1.077      0.2667      0.2284      0.0667     0.08351     0.02479     0.00952    0.001191     0.01414    0.004173
2648      0.4877        0.42      0.6576      0.6074      0.5961      0.5759      0.4017      0.3932      0.1994      0.1965     0.04521      0.0446     0.01728     0.01705    0.001768    0.001768    0.003049    0.003049
2652      0.2997      0.2361      0.5238      0.4308      0.4802      0.3806      0.3226      0.2484       0.157      0.1209     0.03469     0.02716     0.01299     0.01022    0.001334    0.001141    0.002255    0.001781
2655      0.1814      0.1188      0.6624      0.3174       1.237       0.184       1.606       0.078       1.379      0.1695      0.6108      0.1622      0.2804     0.08875    0.002359   0.0002155     0.05183     0.01838
2660      0.3461      0.3229      0.4719       0.461      0.3448       0.341      0.1822      0.1806     0.07247     0.07193     0.01448     0.01437    0.005491    0.005449    0.001344    0.001344   0.0009639   0.0009641
2667       1.223       0.155        2.22      0.3115       2.042      0.2955       1.339      0.1965      0.5948     0.08775      0.1221     0.01805     0.04441     0.00654    0.005692    0.000864    0.007508    0.001101
2668      0.2798      0.1445      0.8339      0.1801        1.41      0.0295       1.501      0.1805        1.16       0.227      0.3964      0.1075      0.1631     0.04865    0.002599    1.15e-05     0.02857    0.009005
2670       1.098      0.3697       2.019      0.5915       2.064      0.6265       1.339      0.4777        0.62       0.247      0.1322     0.05759     0.04985     0.02234     0.00499    0.001604    0.008711    0.004019
2671      0.3426      0.3309      0.4947      0.4907       0.327      0.3258      0.1656      0.1651     0.06347     0.06333     0.01298     0.01294    0.004917    0.004905    0.001357    0.001357    0.000865    0.000865
2674      0.0781      0.0781      0.1851      0.1851      0.2496      0.2496      0.2105      0.2105       0.124       0.124     0.03197     0.03197     0.01199     0.01199   0.0004939   0.0004939    0.002025    0.002025
2677      0.2454     0.04955      0.6942      0.0443       1.102      0.1964       1.067      0.2635        0.73      0.2167      0.2132     0.07255     0.08304     0.02957    0.002057    0.000279     0.01444     0.00535
2681       0.251       0.127      0.8228      0.1107       1.502      0.2675       1.744       0.561       1.475      0.6385      0.5857      0.3265      0.2572      0.1544    0.002815    0.000482     0.04634     0.02877
2682       1.287      0.3231       1.791       0.478       1.352       0.365      0.7402      0.2005      0.3009     0.08205     0.05708     0.01551     0.02067    0.005595    0.004778    0.001408    0.003438    0.001009
2683      0.8224      0.2067       2.174        0.51       3.295      0.7175        2.89      0.7545       1.617       0.465      0.4083       0.131       0.156      0.0524    0.006134    0.001468     0.02732     0.00962
2687       0.477      0.2877      0.5782      0.3771      0.3974      0.3019      0.2058      0.1652     0.07909     0.06562     0.01598     0.01359     0.00604     0.00517    0.001774    0.001148    0.001063   0.0009044
2697       0.829      0.6331       1.569      0.5555       2.876       0.394       3.343       0.835       3.038       1.056       1.403      0.5994      0.6516       0.293    0.004472    0.001393      0.1209     0.05628
2705      0.2955      0.2663      0.4875      0.4721      0.4194      0.4134      0.3244      0.3219      0.1647      0.1639     0.03831     0.03813     0.01446     0.01439    0.001262    0.001262    0.002521    0.002508
2715       1.718       0.283       3.271      0.6015       3.178      0.8375       2.179      0.7045       1.007      0.3689      0.2146      0.0869     0.07838     0.03202    0.008392    0.001545     0.01323    0.005378
2716      0.4112     0.05975       1.228       0.215       1.958       0.569       1.941       0.725       1.364      0.6009      0.4088      0.2028      0.1607     0.08262    0.003645   0.0008885     0.02809     0.01482
2720      0.4074      0.3479      0.6686      0.6364      0.5878      0.5752      0.3997      0.3943       0.194       0.192     0.04315     0.04275      0.0162     0.01604    0.001654    0.001654    0.002819     0.00279
2722      0.6126      0.3222       1.335      0.3373       1.862       0.235       1.809      0.4075       1.253      0.3829      0.3728      0.1375      0.1464     0.05668    0.003135   0.0006905     0.02555     0.01029
2725      0.5312      0.3635      0.8992      0.6328       1.018      0.7965      0.8019      0.6672        0.41      0.3529     0.09634     0.08497     0.03663     0.03242    0.002116    0.001727    0.006441    0.005729
2728       6.162      0.1775       14.54        0.49       17.49        0.97       13.52       0.985        6.76        0.57       1.549       0.147      0.5834     0.05615     0.03686    0.002025      0.1017    0.009815
2738       1.563      0.1235       3.986      0.2745       6.179       0.688       5.635       0.909       3.519       0.716      0.9601      0.2319      0.3677      0.0937     0.01121    0.001263     0.06364     0.01695
2739       2.195      0.4375        4.13      0.4885       4.323      0.9005       2.825       0.766       1.314       0.417      0.2812      0.1006       0.106     0.03937     0.01003    0.001537     0.01846    0.007235
2740      0.5657      0.4337      0.9513      0.7468      0.8242      0.6578      0.5192      0.4114      0.2271      0.1771     0.05038     0.03991      0.0193     0.01544    0.002295    0.002063    0.003438    0.002766
2741      0.7708      0.3942       1.244      0.6103       1.062      0.4964      0.6577      0.3052       0.305      0.1503     0.06508     0.03353     0.02422     0.01268    0.003015    0.001687    0.004259    0.002282
2746       4.509         0.2        8.02      0.4165       7.217       0.397       4.642       0.261        2.04       0.116       0.414      0.0235      0.1505      0.0085     0.02073     0.00123     0.02545     0.00143
2758      0.4535      0.2133       0.882       0.356      0.9101      0.3769      0.5921      0.2735       0.284      0.1472     0.06241     0.03539     0.02363     0.01376    0.002213    0.000945    0.004162    0.002479
2767       1.124      0.3738       2.366       0.494       2.307       0.462       1.567      0.3225      0.7517      0.1856      0.1683     0.04925     0.06281      0.0193    0.006007     0.00131     0.01084    0.003471
2769      0.3393      0.1316       1.056       0.076       1.746      0.3425       1.822        0.59       1.357      0.5801      0.4436      0.2332      0.1799      0.1001    0.003266    0.000521     0.03143     0.01788
2776      0.5024      0.4325      0.6894      0.6286      0.4371      0.4126       0.217      0.2073     0.08237     0.07923     0.01674     0.01618    0.006332    0.006128    0.002005    0.001809    0.001116    0.001079
2778       0.459      0.1061       1.352       0.106       2.186      0.4535       2.175      0.6025       1.527       0.513      0.4565      0.1767      0.1792      0.0725    0.004039    0.000696     0.03126     0.01311
2785      0.2297      0.1674      0.5223      0.4847      0.7175      0.7015       0.633       0.626      0.3586      0.3561     0.09196     0.09144     0.03521     0.03501    0.001357    0.001357    0.006175    0.006135
2794      0.3873      0.3814      0.4413      0.4394      0.5648      0.5642      0.6891      0.6889      0.6835      0.6835      0.4479      0.4479      0.2772      0.2772    0.001453    0.001453     0.08445     0.08445
2805      0.3216      0.1247      0.9881      0.0709       1.687      0.2455       1.792      0.4165       1.363      0.3949      0.4527      0.1541       0.184     0.06575    0.003111    0.000387     0.03206     0.01187
2806       1.305      0.3103       3.038      0.3375       4.389       0.336       4.065      0.5045        2.57      0.4615      0.7081      0.1602      0.2719     0.06555    0.008001   0.0006445      0.0471     0.01192
2813      0.8712      0.1588       1.651      0.3815       2.241       0.689       2.031      0.7765       1.275      0.5645      0.3535      0.1745      0.1367     0.06976    0.004003     0.00121     0.02397     0.01256
2818       5.196      0.4615       6.449       0.581       3.564      0.3725       1.625      0.1915      0.5963     0.07345       0.119       0.015     0.04452     0.00571     0.01635    0.001445    0.007945    0.000995
2822       1.313      0.2085        2.98       0.406       3.537       0.564       2.688       0.513       1.369      0.3145      0.3161     0.08335      0.1166     0.03123    0.007752    0.001135     0.01965     0.00525
2825       2.205      0.2675       4.264      0.3835       4.165      0.4875       2.465        0.35       1.068       0.172       0.224      0.0399     0.08498     0.01562     0.01022    0.001122     0.01494     0.00282
2831      0.4405     0.09875       1.241      0.0895       1.981       0.075       1.855      0.1815       1.208      0.1785      0.3393     0.06555      0.1306     0.02725    0.003725           0     0.02258    0.005095
2841       5.134       0.619       9.371       1.809       7.854       2.276       4.399       1.473       1.799       0.665      0.3725      0.1476      0.1415      0.0572     0.02157    0.003525     0.02486     0.01016
2856       1.207      0.2887       1.664       0.361       1.215      0.3201       0.638      0.1956      0.2525     0.08475     0.04718     0.01643     0.01705     0.00594    0.004711    0.001126    0.002906    0.001011
2870      0.3662      0.1113      0.8823      0.3847       1.245      0.5909       1.122      0.5862      0.6731       0.378      0.1825      0.1103     0.07038     0.04342    0.002348     0.00112     0.01232    0.007733
2874       1.271      0.1205       2.745       0.332       3.027       0.418       2.254       0.325       1.124      0.1648       0.256     0.03775     0.09427     0.01383    0.006796    0.001063     0.01591     0.00231
2877      0.9783      0.4077       2.048        0.78       2.394       1.079        1.85      0.9197      0.9271      0.4879      0.2131      0.1173     0.08016     0.04464    0.005091    0.002213     0.01401    0.007891
2878       2.904       0.266       5.285       0.424       4.954      0.5615        3.03      0.3975       1.335      0.1935      0.2714     0.04255      0.1005      0.0161      0.0134     0.00113     0.01727      0.0029
2880      0.2399     0.08165      0.7079      0.2714       1.083      0.4839       1.039      0.5145       0.679      0.3491      0.1926      0.1045      0.0747      0.0416     0.00202    0.000832     0.01309     0.00747
2884      0.2959      0.2563      0.5604      0.5386      0.7117      0.7033      0.6113      0.6077      0.3348      0.3336     0.08378     0.08352     0.03197     0.03187    0.001404    0.001404      0.0056     0.00558
2888      0.3264      0.2751      0.4954      0.4727      0.5169      0.5091       0.324       0.321      0.1474      0.1464     0.03184     0.03162     0.01217     0.01208    0.001247    0.001247    0.002146    0.002146
2890     0.00833     0.00833     0.00565     0.00565    0.002454    0.002454     0.00107     0.00107   0.0003865   0.0003865    7.87e-05    7.87e-05   3.096e-05   3.096e-05    7.53e-14    7.53e-14   1.774e-06   1.774e-06
2893       9.314       0.189       8.631       0.146       4.516      0.0905       1.994      0.0415      0.6813      0.0142      0.1217     0.00245     0.04414    0.000855     0.03368     0.00093    0.007818    0.000216
2895       0.731       0.379       1.183      0.5387      0.9738      0.4092      0.5676      0.2285      0.2428     0.09675     0.04999     0.02111     0.01852     0.00796    0.003141    0.001508    0.003195    0.001393
2896      0.1261     0.04992      0.3627      0.0461      0.5957      0.0166      0.5973      0.0508      0.4301      0.0523      0.1326        0.02     0.05242    0.008425    0.001103           0    0.009059    0.001541
2901       1.131      0.6817       2.829      0.5175       4.767      0.4255        5.18      0.9905       4.127       1.155       1.482      0.5561      0.6235      0.2555    0.008047    0.001321      0.1101     0.04713
2920      0.5874      0.2874      0.9087      0.3324       0.738      0.2176       0.406      0.1203      0.1655     0.04915     0.03125     0.00945     0.01129    0.003417    0.002469    0.000994    0.001917    0.000588
2925       2.993       0.766       7.404       1.065       13.84       0.765       16.07        0.32        13.3         0.6        5.47       0.525       2.444      0.2795     0.01958    0.001105      0.4434     0.05535
2947      0.6167      0.4534      0.6813      0.4697      0.5675      0.4425      0.3171      0.2611      0.1295      0.1101     0.02689     0.02342     0.01023    0.008971    0.002264    0.001738    0.001798    0.001582
2957      0.6536      0.3168       1.893       0.352       3.105       0.106       3.188       0.418       2.356       0.482       0.754        0.21      0.3027     0.09185    0.005779           0     0.05262     0.01669
2973      0.3628      0.2285      0.7667      0.5913      0.9342      0.7439      0.7429      0.5941      0.4059      0.3252     0.09945     0.07975     0.03704     0.02967    0.001844    0.001526    0.006265    0.005005
2979      0.8254      0.1188       1.145      0.1716      0.8407      0.1271      0.4445     0.06755      0.1769     0.02695     0.03306     0.00503     0.01194    0.001815    0.003281   0.0005115    0.002033    0.000317
2992        0.31      0.2472      0.5688      0.5322      0.5731      0.5579      0.4642      0.4576       0.241      0.2386     0.05725     0.05675     0.02167     0.02147    0.001404    0.001403    0.003784    0.003745
2994       1.176      0.3534       3.176       0.209       5.396       0.243        5.27       0.579        3.63       0.595       1.066      0.2253       0.416      0.0948    0.009156   0.0009745     0.07221     0.01772
3001       2.286       0.447       5.681       0.812       8.255       1.174        7.22       1.342       3.992       0.897       1.006      0.2669      0.3851      0.1067     0.01513     0.00245     0.06771     0.01946
3012       1.047     0.09105       2.651      0.1945       3.501      0.2435       2.858        0.26       1.492      0.1605       0.356      0.0439      0.1344      0.0173    0.007055    0.000498     0.02338    0.003125
3022       1.935        0.43       3.745       0.538       3.641       0.604        2.35      0.5295       1.085      0.2935      0.2304      0.0719     0.08672     0.02828     0.00911    0.001651     0.01511    0.005158
3028      0.7933       0.172       1.265      0.3824       1.448      0.5132        1.21      0.4787      0.7477      0.3383      0.2041      0.1013     0.07845     0.03985    0.002508    0.000913     0.01368    0.007075
3029      0.4862      0.2167      0.9757      0.3823      0.9476      0.3795      0.6403      0.2697      0.2911      0.1255     0.06093     0.02704     0.02225     0.00983    0.002512   0.0009805    0.003768    0.001646
3037       2.289      0.2515         4.1       0.476        3.31      0.4935       1.828       0.304      0.7349      0.1315      0.1515      0.0288     0.05752     0.01114    0.009322    0.001088      0.0101    0.001973
3039      0.2651      0.2568      0.3624      0.3595      0.2469       0.246      0.1271      0.1267     0.04905     0.04894     0.01007     0.01005    0.003822    0.003813    0.001039    0.001039    0.000672    0.000672
3063      0.9274      0.3596       1.366      0.5965      0.8863      0.4557      0.4456      0.2459      0.1693     0.09783     0.03428     0.02055     0.01296     0.00785    0.003221     0.00129    0.002283     0.00138
