#   SAVEDid       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160       xfRad       xeRad      xf2000      xe2000
#
179       1.165       0.358       2.112      0.5905       2.596       1.075       2.089       1.018       1.124      0.6276      0.2748      0.1676      0.1032     0.06345    0.005133    0.002086     0.01773     0.01087
180      0.7022      0.3659       1.432      0.6224       1.593      0.6083       1.256      0.5295       0.638      0.2871      0.1464     0.07261     0.05487     0.02799     0.00364    0.001539    0.009503    0.004957
185       1.763      0.3005       3.682       0.831       5.717       1.037       7.113       1.265       6.938       1.398       3.651      0.7215       1.891      0.4045    0.003068    0.003067      0.4377      0.1063
186      0.8969      0.3831       1.416      0.6045       1.442      0.7548       1.039      0.5991      0.4994      0.3029      0.1109     0.06959      0.0416     0.02627    0.003123      0.0018    0.007274    0.004605
207       0.299     0.07245      0.7653      0.1733       1.152      0.3465       1.085         0.4      0.7092      0.3028      0.2005       0.095     0.07743     0.03787    0.002159   0.0005555     0.01346    0.006744
208      0.3037      0.0959       0.787       0.303       1.127      0.4915       1.017      0.4899      0.6291      0.3262      0.1766     0.09968     0.06845     0.03965    0.002131     0.00088     0.01201     0.00712
213       17.45       0.175       33.29       0.365       29.47        0.33       16.93        0.19       7.042      0.0795        1.48      0.0165      0.5652      0.0064     0.07494    0.000855     0.09955    0.001155
214       1.979      0.5155       2.941       0.688       3.075      0.6475       2.474       0.569       1.562       0.423      0.4409      0.1456      0.1716     0.05875    0.003792    0.001023     0.03019     0.01039
216       2.606      0.6285       3.352       1.059       1.901       0.755      0.8884      0.3886      0.3269       0.152       0.065      0.0317     0.02436     0.01206    0.008544    0.002196    0.004333     0.00211
217      0.9665      0.6145       2.276      0.4785       3.382       0.572       3.668       1.112       2.893       1.145       1.025      0.4962      0.4296      0.2201    0.005744    0.001486     0.07615     0.03995
227      0.7837      0.5743       1.185      0.7944      0.9343      0.5727      0.5167      0.3051       0.212      0.1212     0.04381     0.02618     0.01649     0.01011    0.003239    0.002321    0.002876    0.001824
239      0.3258      0.1676       1.357      0.4451       2.646      0.1165        3.38       0.254       3.065      0.4515       1.375      0.2995      0.6303       0.152    0.004985    7.85e-05      0.1154     0.03003
