#   fcut    ncut    nsou    rsou   gnsou   grsou
#
   0.000       0    3306   0.337    2344   0.345
   0.010      13    3293   0.336    2335   0.343
   0.020      17    3289   0.335    2332   0.343
   0.030      23    3283   0.335    2326   0.342
   0.040      26    3280   0.334    2323   0.341
   0.050      28    3278   0.334    2321   0.341
   0.060      29    3277   0.334    2320   0.341
   0.070      31    3275   0.334    2318   0.341
   0.080      34    3272   0.334    2316   0.340
   0.090      36    3270   0.333    2314   0.340
   0.100      38    3268   0.333    2313   0.340
   0.110      40    3266   0.333    2311   0.340
   0.120      43    3263   0.333    2308   0.339
   0.130      44    3262   0.333    2307   0.339
   0.140      47    3259   0.332    2305   0.339
   0.150      54    3252   0.332    2299   0.338
   0.160      58    3248   0.331    2295   0.337
   0.170      63    3243   0.331    2291   0.337
   0.180      65    3241   0.331    2290   0.337
   0.190      69    3237   0.330    2286   0.336
   0.200      74    3232   0.330    2282   0.335
   0.210      78    3228   0.329    2279   0.335
   0.220      83    3223   0.329    2275   0.334
   0.230      86    3220   0.328    2272   0.334
   0.240      94    3212   0.328    2265   0.333
   0.250      98    3208   0.327    2261   0.332
   0.260     100    3206   0.327    2259   0.332
   0.270     103    3203   0.327    2257   0.332
   0.280     108    3198   0.326    2253   0.331
   0.290     111    3195   0.326    2251   0.331
   0.300     115    3191   0.325    2247   0.330
   0.310     121    3185   0.325    2241   0.329
   0.320     127    3179   0.324    2235   0.329
   0.330     132    3174   0.324    2231   0.328
   0.340     140    3166   0.323    2224   0.327
   0.350     147    3159   0.322    2219   0.326
   0.360     150    3156   0.322    2216   0.326
   0.370     158    3148   0.321    2210   0.325
   0.380     164    3142   0.320    2205   0.324
   0.390     179    3127   0.319    2192   0.322
   0.400     185    3121   0.318    2187   0.321
   0.410     191    3115   0.318    2181   0.321
   0.420     196    3110   0.317    2176   0.320
   0.430     206    3100   0.316    2168   0.319
   0.440     211    3095   0.316    2164   0.318
   0.450     224    3082   0.314    2154   0.317
   0.460     235    3071   0.313    2146   0.315
   0.470     251    3055   0.312    2135   0.314
   0.480     258    3048   0.311    2131   0.313
   0.490     266    3040   0.310    2126   0.313
   0.500     273    3033   0.309    2120   0.312
