# _id    _ra           _de          zp_X   f24        df24    radio      eradio   _fch1    _dfch1   _fch2    _dfch2   _fch3    _dfch3   _fch4    _dfch4   spezX   KtotX   MassX   zq    source   distz     idz     goodArea  
# 
  1375   189.4144592   62.3466759   2.61   3.722      7.206   3.766      2.93     2.74     0.043    2.668    0.085    0.851    0.504    0.837    0.587    -1.0    23.66   10.12   -99   -99      11.66     -99     1         
  1380   189.2917938   62.3466301   4.61   10.49      9.842   2.324      2.799    2.822    0.039    2.805    0.069    4.571    0.432    4.417    0.489    -1.0    24.21   11.24   -99   -99      6.815     -99     1         
  1422   189.2042694   62.3457565   3.21   9.608      4.607   3.048      2.752    1.702    0.063    2.086    0.092    1.115    0.742    1.413    0.682    -1.0    23.83   10.31   -99   -99      13.11     -99     1         
  1461   189.3768768   62.3444328   3.15   4.731      6.103   0.9537     2.863    1.999    0.039    2.146    0.071    2.451    0.431    1.706    0.496    -1.0    23.8    10.42   -99   -99      7.714     -99     1         
  1586   189.4217072   62.3420029   3.18   0.1061     8.439   0.09757    2.937    3.006    0.042    3.499    0.081    3.493    0.504    3.684    0.563    -1.0    23.25   10.81   -99   -99      6.031     -99     1         
  1821   189.307724    62.3368034   2.98   12.97      5.435   2.035      2.715    1.755    0.038    2.207    0.069    2.707    0.424    3.318    0.488    -1.0    23.97   10.21   -99   -99      5.338     -99     1         
  1983   189.4161835   62.3331299   5.73   5.858      8.826   3.131      2.931    0.887    0.039    0.881    0.07     1.019    0.441    0.939    0.493    -1.0    24.34   10.63   -99   -99      9.817     -99     1         
  1990   189.1918182   62.3334312   3.31   45.47      7.76    0.3233     2.724    1.405    0.046    1.872    0.078    2.778    0.563    1.74     0.565    -1.0    23.28   11.19   -99   -99      2.666     -99     1         
  2067   189.3326569   62.3321648   3.38   0.9022     7.34    0.3134     2.679    0.715    0.038    0.78     0.069    0.515    0.425    0.166    0.488    -1.0    24.54   10.8    -99   -99      6.223     -99     1         
  2098   189.3667908   62.3315811   4.25   10.19      7.971   2.699      2.862    1.598    0.038    1.436    0.068    1.8      0.42     2.504    0.489    4.152   24.21   10.49   2     72       0.01373   31728   1         
  2099   189.3667145   62.3308868   4.25   -0.553     10.61   10.89      2.866    2.605    0.039    2.247    0.069    2.837    0.419    3.625    0.485    -1.0    23.59   10.5    -99   -99      2.489     -99     1         
  2224   189.1746216   62.3293991   4.21   4.493      7.011   -0.3188    2.674    1.163    0.052    4.856    0.085    0.993    0.605    -0.018   0.621    -1.0    23.95   11.07   -99   -99      8.368     -99     1         
  2269   189.1779327   62.3280983   4.88   5.082      5.104   0.9643     2.673    1.447    0.048    0.841    0.078    1.578    0.553    0.646    0.568    -1.0    24.98   11.1    -99   -99      5.281     -99     1         
  2278   189.4534454   62.3278999   4.43   0.7145     6.837   0.3574     2.897    0.554    0.045    0.69     0.081    0.338    0.517    0.883    0.577    -1.0    25.13   10.4    -99   -99      7.861     -99     1         
  2294   189.1732635   62.3269463   3.32   -0.553     8.982   0.4555     2.64     12.03    0.05     6.793    0.079    8.156    0.555    3.001    0.567    -1.0    -99.0   10.71   -99   -99      3.927     -99     1         
  2382   189.1855621   62.3258934   3.14   12.12      5.486   -0.3073    2.678    1.491    0.043    1.769    0.071    0.738    0.5      2.099    0.513    -1.0    23.75   10.41   -99   -99      4.675     -99     1         
  2386   189.377182    62.3258247   2.87   9.24       8.618   3.893      2.763    3.817    0.039    4.009    0.068    4.239    0.424    4.408    0.484    -1.0    23.72   10.19   -99   -99      5.01      -99     1         
  2415   189.1735535   62.3255577   3.01   3.31       5.412   2.147      2.652    3.285    0.047    0.92     0.077    5.103    0.536    3.129    0.547    -1.0    -99.0   10.35   -99   -99      3.297     -99     1         
  2447   189.4529877   62.3247299   4.04   9.702      4.622   4.193      3.315    0.749    0.042    0.209    0.076    0.54     0.489    0.666    0.547    -1.0    25.85   10.6    -99   -99      9.361     -99     1         
  2450   189.1582489   62.324749    3.75   0.3568     6.82    -0.3479    2.575    2.428    0.076    1.417    0.083    9.081    0.594    1.714    0.613    -1.0    -99.0   10.36   -99   -99      14.08     -99     1         
  2456   189.3717041   62.3245468   4.63   6.876      6.152   3.08       2.752    2.749    0.038    2.66     0.068    2.917    0.423    3.146    0.486    -1.0    23.61   10.71   -99   -99      5.971     -99     1         
  2462   189.254303    62.3246155   2.99   1.775      6.445   -0.3089    2.66     1.139    0.036    1.161    0.066    1.108    0.402    1.27     0.465    -1.0    24.25   10.25   -99   -99      4.258     -99     1         
  2479   189.3194275   62.3242035   3.57   8.379      5.344   0.7271     2.69     0.802    0.038    0.796    0.068    0.455    0.424    0.706    0.488    -1.0    24.56   10.57   -99   -99      7.054     -99     1         
  2499   189.2600861   62.3238182   2.82   7.668      8.06    2.994      2.686    8.286    0.038    10.79    0.068    13.02    0.405    13.95    0.471    -1.0    22.67   11.33   3     72       0.1449    22850   1         
  2645   189.3716888   62.3207893   4.51   5.977      6.539   1.855      2.723    1.862    0.037    1.443    0.067    1.625    0.419    1.812    0.477    -1.0    23.9    10.44   -99   -99      7.942     -99     1         
  2649   189.1950531   62.3212585   2.98   10.38      6.077   3.136      2.686    1.248    0.039    1.296    0.066    1.265    0.45     0.323    0.479    -1.0    23.97   10.14   -99   -99      8.246     -99     1         
  2655   189.4661407   62.3211403   3.56   22.72      4.62    0.3442     2.912    1.577    0.043    1.218    0.083    1.718    0.516    1.201    0.593    -1.0    24.59   10.56   -99   -99      5.308     -99     1         
  2664   189.3950043   62.3211403   2.71   11.78      6.085   0.3054     2.76     8.198    0.039    6.227    0.067    9.3      0.415    9.472    0.475    -1.0    22.67   10.68   -99   -99      4.039     -99     1         
  2668   189.1734009   62.3202171   2.53   24.5       8.003   2.673      2.662    6.186    0.041    6.866    0.064    6.991    0.441    6.586    0.467    -1.0    22.28   10.3    -99   -99      2.386     -99     1         
  2675   189.4389038   62.3204575   3.96   1.103      7.014   -0.3651    2.849    1.828    0.038    1.877    0.067    4.311    0.425    1.929    0.483    -1.0    24.67   10.44   -99   -99      5.689     -99     1         
  2897   189.3947906   62.3168259   4.04   11.11      4.624   4.238      2.804    1.026    0.037    1.062    0.066    1.806    0.414    2.734    0.469    -1.0    24.18   10.77   -99   -99      11.52     -99     1         
  2898   189.438385    62.3170929   2.93   0.762      6.67    -0.3882    2.759    1.29     0.037    1.484    0.067    0.511    0.419    0.037    0.479    -1.0    25.22   10.28   -99   -99      15.19     -99     1         
