# SAVEDid  xf100      xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160
#
256       1.569      0.1015       6.706       0.703       14.46       0.635       16.79        1.54       13.72       1.955       4.826       0.926       2.004      0.4225
257       1.865      0.0795       7.683       0.328       12.96        0.55        12.5        0.53        8.62      0.3675       2.547       0.109      0.9936      0.0424
262      0.4348      0.4348      0.7465      0.7465       0.595       0.595      0.3276      0.3276      0.1313      0.1313     0.02713     0.02713     0.01032     0.01032
264      0.3057     0.09965       1.426      0.5315       3.125       1.136        3.75       1.522       3.148       1.417       1.156      0.5782      0.4881      0.2532
270      0.3527      0.3527       0.857       0.857       1.185       1.185        1.02        1.02      0.5625      0.5625      0.1417      0.1417     0.05415     0.05415
277      0.3729      0.2331       1.168      0.6127       2.115      0.9975       2.041       1.046       1.392      0.7906      0.4123       0.253      0.1613      0.1009
288       1.573      0.5585       1.969        0.96       1.421      0.9657       0.759        0.57      0.2995      0.2376     0.06123     0.05027     0.02321     0.01923
289      0.3068     0.03805       1.627      0.2845       4.263      0.5905       6.035       0.749       5.782      0.7645       2.611       0.439       1.199      0.2164
309      0.3655       0.263       1.158      0.8513       2.422       1.163        3.61       1.048       4.385       2.807       4.876       4.456       3.754       3.595
314       0.501       0.501       0.824       0.824        0.64        0.64      0.3484      0.3484      0.1384      0.1384      0.0285      0.0285     0.01083     0.01083
316      0.1706     0.06845      0.5673      0.2358      0.9907      0.4113       1.069      0.5433      0.8213      0.4947      0.2717      0.1836      0.1108     0.07724
317       1.818       0.465       2.774       0.856       2.052        0.78       1.104      0.4617      0.4358      0.1935     0.08927     0.04103     0.03385     0.01571
330      0.2244      0.1336       0.875        0.49       1.687       0.848       1.787      0.8569       1.334       0.618       0.428      0.2016      0.1694     0.08402
337      0.1027     0.01754      0.4921      0.1248       1.206      0.3929       1.561      0.6455       1.433      0.7192      0.6186      0.3791        0.28      0.1824
339      0.2121      0.2121      0.4095      0.4095       0.437       0.437      0.3347      0.3347      0.1714      0.1714     0.03997     0.03997     0.01534     0.01534
340       0.354      0.3156      0.7085      0.6066      0.9691      0.8309      0.8346      0.7194      0.4575      0.3968       0.114      0.0994     0.04347      0.0379
343      0.6439      0.4162       1.425        0.88       1.723       1.128       1.209      0.8125      0.5897      0.4134      0.1309     0.09718     0.05006     0.03786
356       1.428       0.241        2.69       0.454       2.545       0.429       1.703       0.287      0.7663      0.1293      0.1592     0.02685     0.05795     0.00977
365      0.2256      0.2256      0.4559      0.4559       0.567       0.567       0.504       0.504      0.2797      0.2797      0.0709      0.0709     0.02759     0.02759
368     0.00154     0.00154    0.001999    0.001999     0.00139     0.00139    0.000704    0.000704   0.0002719   0.0002719   5.015e-05   5.015e-05   1.811e-05   1.811e-05
