# SAVEDid  xf100      xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160
#
4363      0.2478      0.0906      0.8388      0.2883       1.451       0.447        1.48      0.5182       1.046      0.4026      0.3153       0.132      0.1244     0.05364
4367      0.2273      0.2273      0.2904      0.2904      0.2565      0.2565      0.1637      0.1637     0.07545     0.07545      0.0164      0.0164    0.006275    0.006275
4371      0.8254      0.2496       1.269      0.3838       1.008      0.3051      0.5715      0.1729      0.2367      0.0716     0.04538     0.01372     0.01642    0.004965
4379      0.4398      0.1976         1.4      0.4911       2.422       0.606        2.47      0.6705       1.776       0.631      0.5676       0.268      0.2298      0.1163
4389      0.1722      0.1722      0.4217      0.4217      0.5955      0.5955      0.5155      0.5155      0.2862      0.2862     0.07285     0.07285     0.02787     0.02787
4404      0.4615      0.1591      0.4317      0.1488      0.2252      0.0776     0.09927     0.03423      0.0338     0.01165    0.006023    0.002076    0.002184   0.0007525
4419      0.6585      0.4055       1.089      0.5575      0.9465      0.4696      0.5775      0.3132      0.2568      0.1486     0.05418     0.03362     0.02014     0.01271
4432      0.4121      0.1645       1.178      0.4141       1.963       0.579       1.891      0.5725       1.159       0.417      0.3146      0.1295      0.1212     0.05171
4442      0.2718      0.0948       1.211      0.4269       2.501       0.842       2.722       1.125       2.129       1.075      0.7307      0.4344      0.3023      0.1884
4449       33.49           0       115.3           0       176.5           0       158.3           0       101.2           0       27.73           0       10.56           0
4451      0.3747      0.2663      0.7126      0.4115      0.8566      0.4354      0.6764      0.3657      0.3584      0.2137     0.08673     0.05687     0.03328     0.02246
4456       1.048      0.2147       3.605      0.4555       6.167      0.4615       6.002      0.5295       4.037        0.55       1.164      0.2111      0.4522      0.0886
4469       1.208      0.2259       2.058      0.3845       1.775       0.332       1.095      0.2046       0.472     0.08825     0.09378     0.01753     0.03401     0.00636
4474     0.09885     0.09885      0.2839      0.2839      0.4472      0.4472      0.4131      0.4131      0.2414      0.2414       0.064       0.064      0.0248      0.0248
4480      0.1489      0.1489      0.4695      0.4695      0.7805      0.7805      0.7885      0.7885      0.5375      0.5375      0.1585      0.1585      0.0623      0.0623
4486       7.689      0.2815       12.68       0.465       9.533      0.3485       5.118       0.187       2.012      0.0735      0.4127      0.0151      0.1566      0.0057
4499       1.789      0.0785       1.689       0.074      0.8893     0.03895      0.3935     0.01725      0.1344      0.0059     0.02396     0.00105    0.008684     0.00038
4500      0.6771     0.01965       4.087      0.1185       9.111      0.2645          11        0.32       9.116       0.264       3.518       0.102       1.522      0.0445
4503      0.2806      0.2107      0.6162      0.4418      0.6837      0.4844      0.5053      0.3654      0.2522      0.1853     0.05735     0.04275      0.0219     0.01641
4504      0.3793      0.2034       0.868       0.411       1.023      0.4666      0.8093      0.3967      0.4165      0.2142     0.09833     0.05307     0.03773     0.02065
4520      0.1676     0.09195      0.4838      0.2505       0.791      0.3661      0.7624      0.3336      0.4842      0.2154      0.1334     0.06368     0.05156     0.02521
4528       1.303      0.2715       2.546      0.4805        2.41       0.561       1.415       0.362      0.6085      0.1666      0.1273     0.03687     0.04829     0.01425
4531       0.413      0.1242       1.339      0.3355       2.382      0.4725       2.435       0.592       1.719      0.5055      0.5083      0.1848      0.1998     0.07695
4537       0.511      0.3979      0.6902      0.4469      0.6062      0.3911       0.373      0.2545      0.1655      0.1204       0.035     0.02675     0.01329     0.01031
4542      0.4185       0.269      0.3464      0.2226      0.1592      0.1023     0.07849     0.05471     0.02953      0.0217    0.005893    0.004508    0.002218    0.001715
4546      0.5038      0.3118      0.8608      0.4032       0.751      0.2591      0.4524      0.1243      0.1963     0.04335     0.04118     0.01179     0.01542     0.00479
4550       0.224     0.03845       1.009      0.2932       2.246      0.7015       2.683       1.113       2.243       1.146      0.8367      0.5123      0.3572      0.2307
4558      0.2037      0.1482       0.566      0.3715      0.9009      0.5231      0.8582      0.4938      0.5803      0.3342      0.1749      0.1043     0.06949     0.04221
4563      0.2988      0.2988        0.67        0.67       0.819       0.819       0.574       0.574      0.2829      0.2829       0.064       0.064     0.02465     0.02465
4564      0.5909      0.2479       1.609      0.6203       2.381      0.8505       2.031       0.809       1.111      0.4816       0.277      0.1305      0.1052     0.05079
4575      0.2041      0.2041      0.4781      0.4781       0.665       0.665       0.587       0.587       0.352       0.352      0.1013      0.1013     0.03961     0.03961
4580       2.307       0.186       5.756      0.4645       7.141      0.5765        5.32      0.4295       2.672      0.2155      0.6111      0.0493      0.2339      0.0189
4589       1.709      0.1985       2.129      0.2475       1.432      0.1665       0.709     0.08235       0.269     0.03125     0.04928    0.005725      0.0178     0.00207
4592       22.25         0.1       23.65        0.11       13.93       0.065       6.421      0.0295       2.284      0.0105      0.4112      0.0019      0.1487      0.0007
4598      0.6602      0.3093      0.9254      0.3117      0.6528      0.2685       0.375      0.1928      0.1613     0.09472     0.03355     0.02148     0.01269    0.008324
4601      0.3775     0.05705       1.941       0.302       5.103       0.572       7.027       0.733       6.618       0.876       2.968      0.5125       1.359      0.2555
4603      0.1147      0.1147      0.1629      0.1629      0.1228      0.1228     0.06635     0.06635     0.03126     0.03126    0.007065    0.007065    0.002722    0.002722
4612      0.4589      0.0901       1.433      0.2865       2.569      0.4245       2.565      0.3675       1.675        0.23      0.4788      0.0642      0.1875      0.0248
4625       7.657      0.2475       7.465       0.241       4.052      0.1305       1.813      0.0585      0.6258      0.0202      0.1118      0.0036     0.04051     0.00131
4627      0.4487      0.1648      0.8674      0.2877      0.8892      0.3668       0.551      0.2509      0.2485      0.1212     0.05296     0.02735     0.02013     0.01059
4633      0.8537      0.2303       2.171      0.4605       2.788      0.5495       2.291      0.6035       1.202      0.3751      0.2888      0.1042      0.1111     0.04134
4654       1.889      0.0805        3.46       0.147       3.189      0.1355        2.09       0.089      0.9281      0.0395      0.1903     0.00805     0.06919     0.00294
4656       5.738        0.18       7.824       0.245       5.651      0.1775       2.948       0.092       1.163      0.0365      0.2163     0.00675     0.07811    0.002445
4663        6.96      0.3065        10.5       0.465       7.112      0.3135       3.642      0.1605       1.391      0.0615      0.2813      0.0124      0.1063      0.0047
4676      0.3847       0.334      0.4619      0.3814      0.3663      0.3159      0.1988      0.1763     0.07919     0.07141     0.01609     0.01471    0.006082    0.005578
4681       0.158       0.158      0.5035      0.5035      0.7785      0.7785      0.7635      0.7635      0.5505      0.5505      0.1744      0.1744      0.0701      0.0701
4694      0.4088      0.1846       1.453      0.6541         2.4       0.879       2.232      0.7445       1.475      0.4545      0.4308      0.1337      0.1711      0.0558
4701      0.4806      0.2246      0.5827      0.1683      0.4296      0.1938      0.2263        0.12     0.08867     0.05174     0.01772     0.01111    0.006657    0.004263
4703      0.5613      0.3419       1.093      0.5682        1.06      0.4761      0.7082      0.3018      0.3135      0.1356     0.06594     0.03006     0.02456     0.01152
4707      0.6399      0.3427       1.212      0.5251       1.143      0.4051      0.7677      0.2494      0.3671       0.124     0.07999     0.02851     0.02968     0.01098
4722       1.237       0.154       2.305      0.1565       2.129       0.336       1.236      0.2554      0.5279      0.1288      0.1093     0.03037     0.04132     0.01194
4738       1.069       0.257       1.558       0.375       1.186      0.2853      0.6462      0.1554      0.2619       0.063     0.04948      0.0119     0.01788      0.0043
4744      0.2193      0.0995      0.9853      0.5047       1.891      0.7995       2.005       0.737       1.481      0.5038       0.472      0.1514       0.189     0.05945
4751       1.035      0.2899       1.219      0.3414      0.7836      0.2194      0.3772      0.1057      0.1396     0.03915     0.02542    0.007115     0.00918     0.00257
4759      0.5063      0.0782      0.4002      0.0618      0.1753     0.02705     0.07164     0.01106     0.02335    0.003605    0.004124    0.000637    0.001501   0.0002315
4760      0.2998      0.0268       1.269       0.213       2.758       0.444       3.232      0.6245        2.59       0.635      0.8949      0.2711      0.3691      0.1196
4762      0.5472      0.0681       2.478      0.4255       5.395       0.881        6.47       1.415        5.49       1.569       2.064       0.758      0.8812      0.3508
4774      0.9551      0.0909       3.289      0.3125       5.032       0.478       4.512      0.4285       2.886       0.274      0.7907      0.0751      0.3012      0.0286
4777       2.363       0.354       3.962       0.656       3.042      0.7205       1.643      0.4485       0.649      0.1948      0.1322     0.04276     0.05006     0.01657
4779      0.7463     0.07085       2.802      0.2135       5.667       0.518       6.277       0.848       4.842      0.9095       1.589      0.3765      0.6454       0.163
4787      0.3531       0.118       1.237      0.4161        2.27       0.685       2.345      0.8195       1.683      0.6555      0.5131      0.2193      0.2031      0.0896
4789      0.3885       0.043       1.389       0.161        2.47      0.2555       2.556       0.399       1.847       0.372       0.566      0.1388      0.2243     0.05865
4793      0.3731      0.3731      0.5175      0.5175      0.4106      0.4106      0.2256      0.2256     0.09025     0.09025     0.01865     0.01865     0.00709     0.00709
4799       16.96        0.08       33.48        0.16       32.22       0.155       19.07        0.09       8.234        0.04       1.738      0.0085      0.6611      0.0032
4804       1.047      0.4274       1.176      0.6188      0.7138      0.4682      0.3486      0.2479      0.1295     0.09663     0.02568     0.01988    0.009651    0.007539
4806       1.907       1.002       3.457       0.951       3.281      0.9395       2.341       1.053       1.191      0.6655      0.2818      0.1823       0.108     0.07206
4815      0.1203      0.1203      0.3347      0.3347      0.4942      0.4942      0.4374      0.4374      0.2432      0.2432      0.0615      0.0615     0.02363     0.02363
4826       2.199       0.081       7.118       0.263        10.5        0.39        9.19       0.339       5.675       0.235       1.512      0.0685      0.5717      0.0264
4828      0.4489      0.3238      0.6188      0.4162      0.5151      0.3663      0.2809      0.2134       0.113     0.08933     0.02298     0.01874    0.008678    0.007143
4832        3.97      0.3735        3.77       1.352        1.84       0.924      0.7993      0.4527      0.2823      0.1718     0.05444     0.03495     0.02024     0.01312
4839      0.5116      0.2467       1.094      0.4367       1.134      0.4167      0.7964      0.2926      0.3763      0.1409     0.08681     0.03619     0.03254     0.01404
4846       1.373      0.2765       2.536       0.511       2.246       0.488       1.263      0.3029      0.5212      0.1338      0.1072     0.02913     0.04053     0.01122
4847      0.3009      0.3009      0.3896      0.3896      0.3174      0.3174      0.1764      0.1764     0.07115     0.07115     0.01476     0.01476     0.00562     0.00562
4849     0.07981      0.0672      0.3998      0.3379       1.002      0.8288       1.405       1.151       1.364       1.116      0.6258      0.5072      0.2888      0.2334
4858      0.5495      0.3328       1.124      0.5238       1.344      0.6246       1.037      0.5398      0.5387      0.3073      0.1309     0.08438     0.05035     0.03346
4860       0.535      0.1741       1.369       0.369       1.969       0.552        1.73       0.608      0.9581      0.3879      0.2428      0.1109     0.09421     0.04419
4865       4.842      0.2135       6.619      0.2915       4.791       0.211       2.503        0.11      0.9877      0.0433      0.1839      0.0081     0.06643    0.002925
4868      0.7473      0.2072       2.462      0.4275       3.829      0.5585       3.511       0.568       2.264      0.4505      0.6188      0.1524       0.236     0.06105
4874      0.5182       0.057       1.845       0.213       3.432       0.212       3.536      0.4065       2.544      0.4095      0.7762      0.1593      0.3071      0.0681
4887      0.2676      0.2021      0.6964      0.4946       1.045      0.6797      0.9499      0.5811       0.573      0.3385      0.1547     0.09915     0.06057     0.04013
4888       1.521      0.0405       4.099      0.1115       5.736       0.204       4.898      0.2165       2.664      0.1415      0.6591     0.04015      0.2509      0.0156
4891           0           0           0           0           0           0           0           0           0           0           0           0           0           0
4901      0.3855      0.1935       1.087      0.4919       1.587      0.6544       1.388       0.571      0.8475      0.3656      0.2246      0.0993     0.08494     0.03756
4905       1.853      0.1255       4.398      0.1715       5.172       0.331       3.934      0.3305       1.941       0.193      0.4386     0.04995      0.1645     0.01955
4912      0.9819      0.2911       1.375      0.1975       1.054      0.3506      0.5635      0.2395      0.2251        0.11     0.04519     0.02448     0.01697    0.009474
4916      0.4275       0.346      0.4527      0.3212      0.3447      0.2554      0.1872      0.1469     0.07487     0.06084     0.01521     0.01269     0.00574     0.00483
4917       1.487      0.2385       2.891      0.4635       2.781      0.4455       1.715       0.275      0.7618      0.1221      0.1559       0.025      0.0579     0.00928
4919      0.5368      0.3516        1.06       0.561       1.096      0.4443      0.8337      0.3243      0.4193      0.1623     0.09916     0.04194      0.0379     0.01662
4924      0.5649      0.3748       1.208      0.7357       1.504       0.914       1.273      0.8046      0.6934      0.4506      0.1721       0.115     0.06537     0.04413
4937       2.478      0.1545       4.423       0.276       3.822      0.2385       2.156      0.1345       0.888      0.0554      0.1835     0.01145     0.06962    0.004345
4945      0.6801      0.1135       2.174        0.33       3.713       0.471       3.578      0.6485       2.344      0.5365      0.6663      0.1832      0.2587      0.0753
4954       1.015      0.1343       3.284      0.3915       5.646      0.5695       5.489       0.837       3.648      0.7135       1.048      0.2481      0.4079      0.1028
4955       4.357      0.2425       7.007      0.3905        5.12       0.285       2.714       0.151       1.058     0.05885      0.2162     0.01205     0.08192     0.00456
4974       2.301       0.298       5.271       0.475       5.987      0.8145       4.136       0.681       1.986      0.3725      0.4357      0.0914      0.1652      0.0359
4986       2.081       0.234       4.991       0.324       5.758       0.374        4.42      0.3625        2.26       0.249      0.5256      0.0708      0.1948     0.02755
4990      0.4939     0.03265        2.61       0.384       8.472       0.441       12.76         0.3       13.13       0.795       6.874      0.8605        3.31       0.476
4991      0.4037      0.2306      0.6662      0.4009       0.503      0.3193      0.2627      0.1834      0.1017     0.07503     0.02055     0.01581    0.007764    0.006046
4993      0.1624      0.0018      0.8072      0.0381       1.998      0.0345        2.67       0.038       2.424       0.108        1.01      0.0773      0.4488      0.0399
4995      0.4905      0.0632       2.878      0.3765       7.654      0.5615       10.38       0.465        9.63      0.7905       4.317      0.5105       1.977      0.2585
4996        1.53       0.379        3.09      0.5455       3.067       0.566       2.031      0.5135      0.9607      0.2933      0.2096     0.07385     0.07973     0.02937
4997      0.2868       0.111        1.32      0.5409       2.858       1.078       3.412       1.361       2.825       1.213       1.013      0.4698       0.423      0.2026
4999      0.8049      0.2711        1.97       0.444       2.713       0.581       2.241       0.648       1.205      0.4118      0.2952      0.1148      0.1115      0.0452
5000      0.4092      0.2651      0.9775      0.5834       1.239      0.7295      0.9904      0.5825      0.5303      0.3239      0.1261     0.08166     0.04672     0.03047
5007       3.312       0.278       7.006       0.322       7.324      0.6865       4.585       0.549       2.083       0.291      0.4461     0.07055      0.1698      0.0279
5010        0.34      0.1099      0.8814      0.2846       1.119      0.3614      0.8964      0.2896      0.4885      0.1578      0.1191     0.03847     0.04427      0.0143
5012       1.177      0.1445       2.994      0.4295       3.952      0.7725       3.283      0.7795       1.745       0.479      0.4233      0.1303      0.1607      0.0502
5016      0.4641      0.4264      0.4994      0.4377      0.2985      0.2485      0.1393      0.1121        0.05     0.03907    0.009109    0.006911    0.003311    0.002485
5023       42.98       0.285       63.13        0.42       41.58       0.275       20.99        0.14       7.957       0.053       1.604       0.011      0.6053     0.00405
5026       0.223     0.05515       1.171       0.385       2.534        0.63       2.963       0.595       2.391       0.398      0.8648      0.1183      0.3638      0.0461
5028       9.039       0.333       12.89       0.475       8.216       0.303        4.08      0.1505       1.535       0.057      0.3082      0.0114      0.1161      0.0043
5029      0.9625      0.1114      0.7991     0.09265      0.3683      0.0427      0.1542      0.0179     0.05078    0.005885    0.008988    0.001043    0.003266   0.0003785
5033      0.2395      0.2395       0.478       0.478       0.626       0.626      0.5175      0.5175      0.2913      0.2913      0.0762      0.0762     0.02979     0.02979
5034      0.1394      0.1278      0.4859      0.4435      0.7521      0.6779      0.6808      0.6082      0.4429      0.3931      0.1331      0.1186     0.05341     0.04779
5042      0.1935     0.03945       0.659      0.1324       1.176        0.18       1.184      0.2421      0.8254      0.2046      0.2458     0.07115     0.09657     0.02944
5050           0           0           0           0           0           0           0           0           0           0           0           0           0           0
5055       3.803       0.185       7.495      0.3645         7.2      0.3505       4.258      0.2075       1.837      0.0895      0.3875     0.01885      0.1475     0.00715
5057      0.2169      0.1821      0.6649      0.5331       1.143      0.8879       1.124      0.8635      0.7852      0.6038      0.2351      0.1817     0.09217     0.07134
5064      0.6467      0.4234      0.9172      0.6529       0.703        0.59      0.3837      0.3381      0.1536      0.1388     0.03169     0.02907     0.01204     0.01109
5067      0.9732      0.1258       3.151      0.3755       4.667       0.575       4.087      0.5215       2.538       0.338      0.6794      0.0933      0.2571      0.0356
5070      0.2391      0.2391      0.2821      0.2821      0.1522      0.1522     0.06895     0.06895     0.02501     0.02501    0.004922    0.004922    0.001838    0.001838
5080      0.4829      0.1873       1.148      0.3513       1.393      0.3565       1.047      0.2685       0.528      0.1576      0.1236     0.04275     0.04714      0.0171
5089       4.417      0.0675       12.97         0.2          18       0.275       15.17       0.235       8.914      0.1365       2.295       0.035      0.8607      0.0132
5090       4.857       0.007        22.7        0.03       40.98       0.065       41.77       0.065       30.23       0.045       9.496      0.0145       3.784      0.0055
5095      0.1392      0.1392      0.3601      0.3601      0.4559      0.4559      0.3945      0.3945       0.244       0.244     0.06705     0.06705     0.02599     0.02599
5097       3.601       0.384       5.666       0.738       4.412       0.757       2.379      0.4605      0.9417      0.1973      0.1903      0.0426     0.07175     0.01641
5101      0.8696      0.3174       1.875       0.479       2.194       0.745       1.513      0.5885      0.7353      0.3137      0.1636     0.07566     0.06249     0.02982
5114      0.4122      0.1295       1.179      0.3264       1.877      0.3845       1.703       0.427       1.012      0.2919      0.2685     0.08715      0.1029     0.03471
5122      0.6192      0.0969       1.861      0.2805       3.257       0.467       3.232      0.4635       2.059       0.299      0.5814     0.08695      0.2278     0.03425
5125      0.6757      0.2073       1.685      0.3855       2.178      0.3605       1.745       0.258      0.9355      0.1626      0.2244      0.0507     0.08582     0.02099
5129      0.2256      0.1796      0.4322      0.3186      0.4571      0.3277      0.3327      0.2429      0.1652      0.1224     0.03736     0.02808     0.01426     0.01077
5133       2.082      0.2155       4.656      0.4815       5.107       0.528       3.602      0.3725        1.71       0.177       0.371      0.0384      0.1388     0.01435
5138       1.507      0.2645       3.159      0.5545       3.171      0.6285       1.906       0.424      0.8366      0.2014      0.1766      0.0455     0.06707     0.01766
5146      0.1694      0.1694      0.4694      0.4694      0.6995      0.6995       0.616       0.616      0.3854      0.3854      0.1038      0.1038     0.03932     0.03932
5147       3.349      0.7465       4.239        0.51        3.19       1.015       1.697      0.6983      0.6748      0.3212      0.1352      0.0716     0.05074     0.02772
5148       0.716       0.136       2.421      0.4485       4.256      0.5645        4.26       0.785       2.966      0.6895      0.8831      0.2459       0.347      0.1024
5155      0.2247      0.1427      0.6213      0.3768      0.9748      0.5562      0.8691       0.551      0.5065      0.3468       0.133     0.09642     0.05114     0.03768
5156       0.176     0.03165      0.9935      0.2835        2.59      0.6205       3.541       0.719        3.49      0.7785       1.701       0.445      0.8023      0.2208
5162       1.016       0.186       1.305       0.239      0.8993      0.1647      0.4527      0.0829       0.174      0.0319     0.03202    0.005865     0.01156    0.002116
5168       3.573        0.14       5.805      0.2405       4.663       0.393       2.544       0.272       1.019      0.1265      0.2067     0.02875     0.07795     0.01124
5170       2.309      0.2595       4.074      0.5045       3.785      0.8035       2.205      0.5735      0.9442      0.2798      0.1961     0.06455     0.07414     0.02521
5171      0.3254      0.0074       1.633      0.0775       3.098      0.2715       3.294      0.3985       2.471       0.365       0.817      0.1517      0.3322      0.0665
5177       1.011      0.1554       3.317       0.398       5.902      0.4185       5.819      0.8065       3.964      0.8115       1.162      0.3047      0.4549       0.128
5185      0.2784      0.1827      0.5059      0.3257      0.4807      0.3511      0.2826      0.2203      0.1222     0.09917     0.02565     0.02146    0.009738    0.008222
5187       7.884       0.447       7.807       0.443       4.302       0.244       1.936        0.11      0.6715      0.0381      0.1202     0.00685     0.04351     0.00247
5205       1.104       0.275      0.7871      0.1959      0.3132     0.07795      0.1216     0.03028     0.03902    0.009715    0.006883    0.001713    0.002511   0.0006245
5206      0.3075      0.3075       0.444       0.444      0.3529      0.3529      0.2478      0.2478      0.1222      0.1222     0.02764     0.02764     0.01065     0.01065
5211      0.7406      0.0577       3.261       0.311       6.891      0.3965        8.05      0.4605       6.442      0.5505       2.244       0.278       0.928       0.129
5215       3.681      0.1455       14.46        0.57       23.78        0.94       22.48        0.89       15.22         0.6       4.403       0.174       1.706      0.0675
5218       0.408      0.3313      0.7633      0.5637      0.7452      0.5009       0.517      0.3398      0.2553      0.1705     0.05768     0.03917     0.02167     0.01477
5225      0.2887      0.1224      0.9164      0.3966       1.597      0.6152       1.604      0.6464       1.077      0.4734      0.3114       0.149      0.1215     0.05978
5238       2.087       0.398       3.921      0.7895        3.39       1.038       1.972       0.705      0.8511       0.341      0.1716     0.07562     0.06358      0.0289
5242      0.3706      0.3706      0.3499      0.3499       0.227       0.227      0.1229      0.1229     0.04866     0.04866    0.009895    0.009895    0.003741    0.003741
5245      0.1159      0.1159      0.1096      0.1096      0.0578      0.0578     0.02558     0.02558     0.00874     0.00874    0.001558    0.001558   0.0005645   0.0005645
5255      0.4285      0.2977      0.8546      0.5755      0.9651      0.6959      0.6385      0.4765      0.3003      0.2332     0.06545     0.05294     0.02498     0.02046
5256      0.5618      0.2456       1.821      0.7445       2.936       0.908       2.955       1.043       2.242      0.9865       0.733      0.3811       0.297      0.1619
5258       0.197      0.0086      0.9678     0.06915       2.514       0.227       3.448      0.5025       3.159      0.6555       1.366      0.4141       0.617      0.2092
5265       0.937      0.1521       4.242       0.827       8.611       1.302       9.661       2.189       7.622       2.221        2.61      0.9165       1.073      0.3995
5270       2.955      0.5205       5.477        0.46       5.082      0.9335       3.142      0.7615       1.387      0.3952      0.2817      0.0907      0.1039     0.03479
5273      0.8031      0.1174       1.241       0.187       0.937       0.179      0.4992       0.106      0.1955     0.04455     0.03932     0.00951     0.01481     0.00365
5293      0.7184      0.1649        1.87       0.372       2.518       0.504       2.061      0.4755       1.078      0.2752      0.2577       0.072     0.09893     0.02848
5296       1.051      0.2428       1.563       0.361       1.208      0.2787      0.6684      0.1543      0.2732     0.06305     0.05188     0.01197     0.01875     0.00433
5309      0.3478       0.316      0.6159      0.5361      0.6685      0.5825      0.4276      0.3747      0.2081      0.1845     0.04704     0.04215      0.0181     0.01628
5321        5.54      0.2925       11.36         0.6       11.37         0.6        6.88       0.363        3.03        0.16      0.6448      0.0341      0.2458       0.013
5325       17.25        0.32       30.48        0.57        24.8       0.465       13.78        0.26       5.557      0.1045       1.153      0.0215      0.4387      0.0082
5329      0.3817      0.0783       1.252      0.2567       1.863       0.382       1.639       0.336       1.023      0.2098      0.2752     0.05645      0.1042     0.02137
5337       2.337       0.503       6.165       0.735       8.088         1.4       6.651       1.605       3.615       1.075      0.8962      0.3138      0.3382      0.1237
5342      0.1843      0.1843       0.237       0.237      0.1406      0.1406     0.06715     0.06715     0.02484     0.02484    0.004945    0.004945    0.001856    0.001856
5346       13.14        0.12       19.18       0.175       13.79       0.125       7.153      0.0655       2.743       0.025      0.5421     0.00495       0.203     0.00185
5347       1.871      0.2155       4.179      0.4805       4.575       0.526        3.22        0.37       1.527      0.1755      0.3311     0.03805      0.1238      0.0142
5348       4.936       0.217       11.53        0.51       13.31       0.585       9.173      0.4035       4.428      0.1945      0.9779     0.04305      0.3724     0.01635
5350       0.463      0.1411       1.475         0.4       2.493       0.589       2.452      0.6995       1.657      0.5595      0.4808      0.1873      0.1878     0.07635
5358       1.657      0.2995       2.806       0.524       2.239      0.5095       1.219      0.3038       0.487      0.1291      0.0988      0.0276     0.03728     0.01059
5359      0.8814      0.2505       1.642       0.443       1.526       0.477       1.007      0.3551      0.4509      0.1691     0.09318     0.03702     0.03391     0.01354
5363       0.219      0.1265      0.7899      0.4521       1.324      0.6413       1.265      0.5679      0.8519      0.3722      0.2553      0.1155      0.1024     0.04818
5366        0.31      0.2094      0.8291       0.529       1.237      0.7235       1.085      0.6496      0.5887      0.3916      0.1459      0.1048     0.05546     0.04048
5371      0.4507      0.3744      0.5765      0.4516      0.4735      0.3854      0.2589      0.2192      0.1041     0.09023     0.02121     0.01873    0.008014    0.007116
5372      0.3254       0.118      0.8825      0.2755       1.336      0.3388       1.193      0.3236      0.6749      0.2073      0.1722      0.0588     0.06558     0.02319
5374      0.4884       0.376        0.72        0.46      0.5508      0.3018      0.3442      0.1946      0.1598     0.09784     0.03432      0.0228     0.01305    0.008884
5375       1.477       0.099       2.379      0.1445       1.855       0.191       1.001      0.1253      0.3962     0.05625     0.08002     0.01254     0.03016     0.00487
5382      0.2967      0.1024       1.074      0.3541       2.075      0.5585       2.274      0.6535       1.688      0.6035      0.5331      0.2245      0.2136     0.09455
5395       1.191      0.3708       3.198      0.6915       4.462       0.558       3.932       0.576       2.331       0.506      0.6102        0.18      0.2331     0.07395
5402       0.489      0.3803      0.6092      0.4148      0.4817      0.3193      0.2847      0.2002      0.1225     0.09121      0.0256      0.0199    0.009699    0.007641
5411      0.5575     0.08745       1.764        0.26       3.144      0.4525       3.005      0.5785       1.938       0.453      0.5455      0.1493      0.2114     0.06085
5424      0.5907      0.2967        1.56      0.7117       2.237       1.077        1.98       1.143       1.114      0.7126      0.2877      0.1992      0.1116     0.07925
5426      0.8348      0.3143       1.729      0.5345       1.924       0.664       1.407      0.6116      0.6791       0.335      0.1509     0.08229     0.05639     0.03149
5427      0.3515      0.1913      0.7513      0.3667      0.8448      0.4233       0.592      0.3094      0.2874      0.1551     0.06366     0.03538     0.02421     0.01359
5435      0.5328      0.3307       1.235      0.6884       1.587      0.8882       1.292      0.7615       0.706       0.458      0.1772      0.1238      0.0685       0.049
5438       1.799       0.274       4.183       0.571        4.68      0.8365       3.071      0.6295       1.445       0.325      0.3157       0.077      0.1206     0.03019
5446      0.5818      0.4541       1.438       1.093        2.05       1.568       1.852       1.442       1.029       0.836       0.262      0.2204      0.1017     0.08652
5450      0.7392      0.2607       1.829        0.55       2.237        0.62       1.735      0.6515      0.8878      0.3813      0.2088     0.09955     0.08007     0.03904
5459      0.4114      0.2621      0.4266      0.3408      0.2144       0.185     0.09381     0.08329      0.0338     0.03048    0.006663    0.006077    0.002484    0.002268
5464     0.09396     0.00485      0.3806      0.0366      0.7827     0.03385       0.872      0.0879      0.6855      0.1118      0.2298     0.05195      0.0939     0.02341
5484      0.4177      0.1869         1.2       0.534       1.798      0.9229       1.592       0.915      0.8966      0.5584      0.2309      0.1535     0.08901     0.05989
5509      0.7549      0.3222      0.9654      0.2026      0.7042      0.2207      0.3797      0.1551      0.1531     0.07267     0.03084     0.01633     0.01158    0.006336
5512       2.756      0.5365       6.122       0.513       7.014       1.196       4.731       1.137       2.262      0.6635      0.4972      0.1701      0.1895     0.06795
5515       1.718       0.217       3.872        0.45       4.297      0.5425        3.17       0.462       1.534       0.246      0.3399      0.0592      0.1271     0.02275
5518       0.303       0.303      0.8685      0.8685       1.377       1.377       1.277       1.277      0.7465      0.7465      0.1972      0.1972     0.07635     0.07635
5520       2.496       0.103       5.688       0.099       6.452      0.0555        4.86      0.1015       2.446      0.0875      0.5605     0.02675      0.2064      0.0102
5523      0.1544     0.00155      0.7693     0.03645       1.963       0.039       2.699       0.032       2.508      0.1065       1.087      0.0815      0.4907      0.0431
5526       3.306      0.3275       5.144       0.557       3.763       0.524       1.992      0.3095      0.7754      0.1298      0.1576     0.02805     0.05963     0.01081
5529      0.3379     0.07405       1.917       0.296       4.144      0.3045       5.009       0.469       4.098      0.5985       1.556       0.361      0.6699      0.1781
5530       6.043      0.3585       9.677      0.5135       7.506      0.7125       4.042      0.4735       1.597       0.214      0.3224      0.0479      0.1215      0.0186
5531      0.6909      0.1996      0.4728      0.1716      0.1832     0.07645     0.07032     0.03128      0.0225     0.01015    0.003969    0.001791     0.00145     0.00065
5537      0.2431      0.2431      0.3574      0.3574      0.2737      0.2737      0.1502      0.1502     0.06105     0.06105     0.01156     0.01156    0.004179    0.004179
5543      0.2153     0.08695       1.122      0.7391       3.147       1.351       5.658       0.536       7.016       2.036       5.982       3.913       4.072        3.15
5545       1.225      0.3014        2.57      0.4305       2.747      0.7105       1.762       0.544      0.8159      0.2832      0.1759      0.0672     0.06693     0.02635
