#        cooFIR         snrFIR             id         snr100         snr160         snr250         snr350         snr500         snr1160
#
              0       0.283811            421    3.14931e-05       0.283811            -99            -99            -99            -99
              0        1.91358            428    3.83304e-05        1.91358            -99            -99            -99            -99
              0        2.41674            429        2.41674      1.655e-05            -99            -99            -99            -99
              0        2.19953            430        2.14401       0.491094            -99            -99            -99            -99
              0        2.56874            431        2.26903        1.20412            -99            -99            -99            -99
              0        2.45735            432        2.43712       0.314668            -99            -99            -99            -99
              0        1.56963            433        1.43028       0.646557            -99            -99            -99    2.70648e-10
              0        3.68861            437        2.49375        1.68454            -99            -99            -99        2.13293
              1        22.7792            438         19.966        10.9038       0.766513       0.878836            -99            -99
              0       0.912971            439     3.2661e-05       0.912971            -99            -99            -99            -99
              1        11.7007            442        6.24288        9.58978        2.00355        1.39789            -99            -99
              1        16.0083            449        10.8424        11.1028         3.5875        1.60142            -99            -99
              0        3.14773            450         2.7532       0.911791        1.13116    5.17364e-08       0.466096    3.06607e-10
              0        1.38822            451              0        1.38822            -99            -99            -99            -99
              0         2.1448            468       0.815844      0.0301025    1.38319e-07        1.10624       0.374196        1.60307
              0         3.7204            481        3.20848        1.88335            -99            -99            -99            -99
              0    3.68799e-05            482    3.31572e-05    1.61472e-05            -99            -99            -99            -99
              0    4.59247e-05            490     4.4715e-05    1.04714e-05            -99            -99            -99            -99
              0        4.70468            498        0.90807        1.81676        3.93619       0.961305       0.428282        1.18646
              0         3.2475            501        1.86645        2.65756     7.8652e-08            -99            -99            -99
              0     5.6269e-05            502    5.00332e-05    2.57464e-05            -99            -99            -99            -99
              0    4.92244e-05            503    4.62957e-05    1.67256e-05            -99            -99            -99            -99
              0    4.90879e-05            505    4.73139e-05    1.30776e-05            -99            -99            -99            -99
              0         2.1665            506         2.1665    2.66885e-05            -99            -99            -99            -99
              0        1.47863            509         1.3034       0.698207            -99            -99            -99            -99
              1        22.9025            510        18.1294        13.2588        4.19725         1.5607            -99            -99
              0        3.45219            512        3.22765        1.22469            -99            -99            -99            -99
              0        2.38255            516    4.02674e-05       0.302851        1.81555        0.48496        1.25205       0.696996
