#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
385       23.17       89.75       89.75       201.1       261.8       169.5         311       164.7        2.57       0.321
390       9.125       5.396       4.667     0.04057       4.777       4.777       9.161       3.587        2.03       0.273
391       1.302       3.434       3.434       7.907       19.23        13.7       20.66       12.27        2.32       0.299
394      0.6965       4.115       4.115       5.887       15.31       14.86       16.12       15.51       1.151        0.75
398      0.6283      0.7778      0.7778      0.6481       1.468       0.987       2.149       1.079       1.044      0.1601
399       27.69        15.9        15.9         246       202.4       82.56       217.7       88.32       2.736       0.264
401      0.7097       0.682       0.682       7.651       9.316       2.332       9.887       1.761       1.251           0
407       50.43       88.75       88.75       169.4       169.6       47.02       243.6       68.09       1.521           0
409           0       0.179       0.179       3.949       3.503       1.455       3.508       1.449      0.6997        0.12
413           0      0.1129      0.1129       2.434       2.123       1.238       2.133       1.228      0.6233        0.14
414       0.303      0.6663      0.6663       7.337       10.86       5.034       11.59       5.113        1.16        0.14
416     0.01226      0.0759      0.0759       0.438      0.8054       0.553       0.839      0.5287      0.4158        0.08
418           0      0.5331      0.5331       10.42       10.54       4.416       10.57       4.388       1.292       0.108
421       0.656       1.063       1.063       3.636       8.758       6.204       9.337       6.031        1.24       0.202
428           0       1.059       1.059       3.362       8.414       6.821       8.795       6.441        1.29       0.206
429      0.5269      0.8803      0.8803       3.584       6.137       5.139       7.017       5.414       1.147      0.1903
430           0       0.149       0.149       8.441       7.271       1.224       7.411       1.084       1.253           0
431           0     0.08924     0.08924       2.721       2.642      0.5344       2.731      0.4452       0.676           0
432           0      0.3435      0.3435       1.977       3.098       2.163       3.334       2.249      0.7425        0.15
433    0.003405       8.089       8.089       0.451       64.26       64.26       66.03       66.03       1.701         1.7
437           0       6.004       6.004       71.69       113.2       75.99       116.4       72.82       3.071      0.3495
438           0       22.87       22.87       45.06       65.17       20.67        87.8       42.74        1.27       0.204
439       19.61       30.21       13.13       18.76       25.12       8.166       54.36       17.79        1.59       0.233
442           0       11.78       11.78       58.43       40.28       18.15       47.32       24.15       1.174      0.1901
449           0      0.2131      0.2131       0.852      0.6825      0.1695      0.8705      0.3571      0.1793        0.02
450       92.58        76.7       29.59       601.8       531.6       99.63       591.3       110.2       4.412       0.332
451      0.3285      0.3763      0.3763       2.365       2.847       1.027       3.223      0.6503       1.019           0
468       105.3       86.12       73.25       563.7       461.8       129.8       531.9       162.3        4.39       0.485
481     0.02309     0.02209     0.01052      0.1331      0.1127     0.07373      0.1348      0.0632       0.179           0
482           0       9.175       9.175       19.16       29.33       23.38       34.63       18.07        2.27       0.294
490           0      0.4388      0.4388       3.938       7.056       5.146        7.37       4.832       1.119      0.1899
498       196.8       227.6       118.7       571.2       586.1       135.9       817.2       223.4        4.36       0.482
501       2.385       4.529       4.529       45.62       73.58       56.66       79.28       56.94        2.41       0.307
502           0        6.65        6.65       22.87        26.2       22.17       30.15       18.22        2.36       0.302
503           0       6.628       6.628       16.57       21.33       16.91       25.58       12.66        2.26       0.293
505           0       8.824       8.824       88.92        60.5       32.71        62.3       30.92       2.816      0.2165
506     0.02771       8.605       8.605      0.3965       28.33       28.16       32.98       32.75       1.801         1.4
509      0.1229      0.1508      0.1508       1.252       1.213      0.5885       1.373      0.4667       0.452           0
510       1.803       2.372       2.372       18.44       18.79      0.9905       21.03         2.2      0.6798           0
512      0.1132      0.6737      0.6737       6.657       10.48       4.873       10.95       4.681       1.077      0.1298
516           0       176.2       176.2        2756        2758        1304        2918        1444       6.401         1.5
521           0      0.7514      0.7514       11.12        9.59       1.528       10.34      0.7766       1.037           0
530      0.5449      0.5575      0.3891        3.23       3.169       1.176       3.727      0.7866        0.64           0
532       3.259       4.591       4.591       42.98       41.83       2.506       45.71       4.017      0.9746           0
533      0.3894      0.3384      0.3384        2.42       4.404       3.187       4.748       2.855        1.03           0
540           0       19.68       19.68       66.14        56.6       41.38       67.65       30.33        2.18       0.286
541           0       1.512       1.512       12.64       12.17      0.4698       13.43       1.376       0.801           0
546        53.9       157.7       157.7       316.6       505.3       322.7       552.7       299.6        3.03       0.363
547       117.5       153.2       153.2       377.1       415.2       219.8       502.4       199.7       2.612        0.29
548       19.34       30.86       30.86       75.61       92.81       61.71       110.5       58.66        1.78        0.25
550     0.09524      0.6859      0.6859       6.669       7.701       3.145       8.247       2.598       1.239        0.07
552      0.7146       1.007       1.007       4.583        4.54       0.295       5.483      0.8411      0.5045           0
554     0.05946      0.4245      0.4245       4.902       4.692      0.2266       5.082      0.4557        0.68           0
559           0       10.33       10.33       80.73       55.96       24.77       61.61       28.77        1.26       0.203
561       6.018       3.703       3.703       11.67       14.72       12.03       16.14       10.61        1.39       0.215
562           0        8.45        8.45       62.85       73.28        57.5       82.59       51.74       2.893      0.2355
564           0       20.14       20.14        1654        1663       66.54        1694       67.63       4.055           0
581      0.4973       1.188       1.188       3.171       9.252        7.57       9.681       7.141        1.31       0.208
593           0        7.67        7.67       93.47       67.16       26.43       70.11       28.61       1.461      0.2095
597           0     0.04267     0.04267       22.68       41.43       34.21       41.46       34.17        2.28       0.295
598       20.76       21.87       21.87       27.79       29.54       13.41       53.16       19.58       1.364           0
604           0      0.2989      0.2989       1.652       3.876       3.042       3.927       3.001      0.5778        0.14
606      0.5041      0.6628      0.6628       5.627       5.353       1.149       6.016      0.4861       1.008           0
620           0      0.8421      0.8421       8.362        7.96      0.4019        8.66      0.9467         0.8           0
621       157.4       163.7       163.7       191.3       217.7       125.7       317.8       152.9        2.48       0.313
622      0.8886       1.636       1.636       11.69       12.79       9.824       13.72       9.557        1.33        0.21
628      0.2057      0.8712      0.8712       9.282       9.087       3.105       9.958       2.234       1.255           0
631           0       2.023       2.023       52.79       35.52       17.26        37.1       15.69        1.39       0.215
637      0.6461       0.793       0.793       2.803       2.751      0.2743       3.545      0.7486       0.503           0
638           0      0.3526      0.3526       20.42       18.53       1.892       18.88        1.54       0.711           0
652       7.241       6.816       5.769       35.24       37.86       9.914        46.1       6.456       1.777      0.0465
658       1.769       9.288       9.288        3436        3423       15.12        3432       6.455       4.051           0
659       37.82       28.94       24.49       616.2       646.6        55.7       679.1       47.68       4.056           0
661      0.9935       1.251       1.251       1.574       6.794       5.234       7.554        5.12        1.36       0.212
664           0       5.071       5.071       13.39       29.15       22.64       31.98       19.81        2.37       0.303
669       3.117       3.332       3.332       47.61       44.06        4.93       46.99       5.744       1.142           0
672           0      0.3085      0.3085        5.47       4.632      0.8562       4.941      0.5478      0.9452           0
689           0      0.2344      0.2344       3.319       3.319       2.058       3.523       1.854       0.713           0
692           0      0.3147      0.3147       2.463       2.416     0.04648       2.731      0.2682       0.281           0
697       26.43       25.92       4.434       72.67       73.38       6.126        99.3       1.692       2.172           0
702           0       7.597       7.597       44.28        40.6       33.32       50.85       34.58        2.22        0.29
710      0.3695      0.3956      0.3956      0.6554       2.049       1.423       2.465       1.582      0.9352      0.1698
713     0.05288      0.2168      0.2168       2.845        2.33      0.6813       2.546      0.4645      0.7762           0
714       112.6       110.4       18.87       450.7       449.6       18.33       558.5       7.432       4.058           0
718       1.991       2.312       2.312       8.248       9.257       5.982       11.11       5.719      0.9719      0.1701
719           0        5.12        5.12       14.41       15.27       10.86       18.48       7.652        2.04       0.274
721     0.06357       0.114       0.114       1.498       1.305      0.4328       1.419      0.3188      0.5953           0
729      0.5068      0.4404      0.4404       6.049        5.75       1.658       5.885       1.626       0.905           0
737      0.7849       1.856       1.856       11.94       11.87      0.4703       13.59       1.515       0.585           0
740     0.05928      0.1035      0.1035      0.3364      0.9828      0.6464       1.022       0.626      0.4158        0.08
748     0.06273      0.5175      0.5175        3.29       4.892       2.815       5.182       2.525       1.322        0.12
749           0      0.1068      0.1068       3.511       3.003      0.5086       3.056       0.455       0.708           0
753     0.03721     0.02029     0.01691      0.1741      0.2246      0.1017      0.2419     0.08817      0.3308           0
760      0.2112      0.4993      0.4993       6.297       5.322       1.582       5.728       1.177      0.8615           0
762           0      0.2477      0.2477       6.862       5.914      0.9479       6.079      0.7821       0.707           0
768           0       4.938       4.938       24.82       32.23       27.46       34.79        24.9        2.53       0.318
776           0      0.1038      0.1038       2.301       1.741       1.109       1.756       1.094      0.5687        0.14
779       29.35       28.37      0.9806       6.549       7.982       1.976       36.35      0.9954        1.45           0
786           0       1.723       1.723       17.36       17.86       9.596       19.12       8.333       2.431      0.1465
793           0       2.553       2.553       119.2       96.18       23.02       97.43       21.76       2.704       0.078
804       1.234      0.7099      0.6073       1.401       5.242       3.841       6.169       3.534       0.951        0.04
805      0.2955       1.029       1.029        30.3       26.65       13.47       27.25       12.87       1.493       0.122
807       40.06         107         107       303.7       335.5         196         433       205.8        2.65      0.3285
808       1.618       1.225       1.225       2.905        3.21      0.3049       4.506       1.228       0.473           0
809      0.1553      0.1352     0.05733      0.4574      0.6809      0.2308      0.8068      0.2014       0.476        0.02
825           0      0.2886      0.2886       7.596       6.341       1.255        6.56       1.036       1.022           0
826           0      0.3603      0.3603       5.795       3.527       2.272       3.761       2.277      0.6233        0.14
827           0        13.7        13.7       124.7       87.28       37.47       93.47       42.08       1.201        0.19
837       470.8       310.4       310.4        1914        1129       843.3        1391        1099       5.751        2.15
841        77.2       176.2       176.2        1994        1354       660.5        1487       784.8       6.351        1.55
849           0       1.156       1.156       19.87       17.36       6.191       17.45       6.099       1.522      0.2025
860       50.38       50.97        27.4       97.05       109.7       45.18         167       40.52       2.982      0.1335
866        1.81        2.47        2.47       2.675       12.23       9.558       14.01        9.53        1.27       0.204
867           0      0.3438      0.3438       6.709       7.865        3.47       7.965        3.37       1.274       0.117
870        9.03        14.4        14.4       36.81       36.15       5.498       50.09       12.24        0.84           0
872       14.61       19.07       19.07       45.77       47.23       23.83       64.34       16.86       2.057       0.202
877           0       1.758       1.758       25.43        29.2       21.55        29.3       21.58        1.45       0.221
878     0.07442     0.08145     0.01664      0.4706      0.4568     0.05282      0.5383     0.03618      0.2755           0
881       1.221       4.802       4.802       12.91       21.07       11.98       23.43       9.626        2.15       0.283
884           0       19.05       19.05       671.8       745.5         189       747.6       186.9       3.664      0.1775
885       30.36       15.52       14.84       5.267       10.25        4.98       27.12       11.22      0.9032           0
886           0     0.07057     0.07057       1.394       1.256      0.3258       1.318      0.2644       0.475           0
892      0.7887       2.218       2.218       14.54       12.55       6.867       14.95       4.833        1.45           0
893       1.387       2.665       2.665       22.88       21.27       2.115       23.37       3.358        0.94           0
899     0.04783     0.05929     0.05929      0.4242      0.5905      0.3589      0.6566      0.3295      0.4869        0.04
902       6.578       7.101       3.568       16.73       15.81       2.068       22.83       3.017       0.962           0
915           0       19.01       19.01       224.7       232.3        33.5       247.2       22.51       2.635           0
917       8.118       41.88       41.88       58.08       71.77       45.84       98.12       58.17         1.5       0.225
922       1.848       1.531       1.531       7.152        11.8       6.187          13       4.983        1.81       0.253
923           0       4.127       4.127       150.7       166.8       83.58       167.4       83.88        1.92       0.263
924     0.02897     0.06164     0.06164      0.3366      0.6951      0.4443      0.7282      0.4271      0.4641        0.09
926       0.653       2.313       2.313       23.41       27.37       19.66       28.75       19.22         1.6       0.234
928           0       0.119       0.119       1.063       1.996       1.463       2.099        1.36      0.8281        0.09
931           0       2.339       2.339       6.188       5.311       2.842       7.003       4.362      0.7425        0.15
934           0      0.1279      0.1279       3.178       3.106      0.6238       3.225      0.5044      0.7078           0
937       1.517       1.555       1.472       9.307       9.219       3.672       10.77         2.2       1.032           0
939       5.033       5.099       3.647       40.16       38.06       3.691       43.11       4.127       0.947           0
950       56.45       67.08        34.6       98.33       100.5       32.68       185.7       32.48       2.713       0.087
951           0      0.3889      0.3889      0.8865      0.7777      0.5646       1.093       0.875      0.2757         0.1
960           0     0.04067     0.04067      0.8433      0.7277      0.5469      0.7481      0.5291      0.4158        0.08
965           0       1.843       1.843       23.45       22.38       6.107       23.18       5.396        1.54      0.0645
966      0.4083      0.2042      0.2042       8.496        10.1       1.605       10.33       1.423       1.303           0
972     0.02936     0.01938     0.01938      0.3059      0.3858      0.1685      0.4031      0.1564      0.3466        0.02
974   2.424e-07   7.876e-07   7.876e-07        1024       987.3       256.6       987.3       256.6        5.73       0.606
994       4.206        5.07       4.056       5.365       11.19       7.038       15.95       8.737       1.119      0.1899
995         2.1       1.483       1.483       15.96          15       3.282       16.07       3.427       1.306           0
1002       2.298       2.292       2.292       8.729       9.246       1.287       11.26       1.759       0.948           0
1005          49       184.7       184.7         376       427.8       230.6       548.1       241.3       2.901      0.2945
1006       4.566       5.799       5.799       46.79       45.88        2.78       51.04       4.477       0.946           0
1008       1.667       2.889       2.889       29.01        26.8       2.901       29.16       3.946       1.029           0
1023           0        0.84        0.84       42.53        36.6       32.03          37       31.64        2.24       0.292
1026           0      0.7003      0.7003       16.33       18.71       4.624       19.41       3.924       1.811       0.121
1035     0.09067      0.1417      0.1417       1.544       1.487      0.5494       1.649      0.4282      0.7778           0
1036       116.8       95.13          39       560.5         491       99.79       564.6       114.8       4.273       0.373
1037       0.536      0.5928      0.5928       5.897       5.776       1.357        6.33      0.8042      0.7703           0
1042      0.1347     0.06734     0.06734       2.895       2.683      0.5112       2.734        0.46        1.06           0
1053       15.86       31.38       31.38       122.3       119.5       81.57       133.1       74.31        2.43       0.309
1058       0.629      0.3145      0.3145       5.478       4.738       2.636       5.122        2.39       1.038           0
1064           0      0.1856      0.1856       2.542       2.569       1.666       2.738       1.782      0.5869        0.14
1075       3.334       3.335       3.335        10.1       10.69       5.559       13.27       6.592       1.055      0.1802
1076        20.3       13.34       13.34       32.55        52.9       20.35       67.09       23.73       1.576        0.11
1077       2.827       2.846        1.43       13.07       13.15       2.031       15.85      0.7431       0.938           0
1081     0.02045     0.05552     0.05552      0.7278      0.5069      0.4502      0.5097      0.4474      0.2293        0.11
1084           0       4.809       4.809        58.2       55.99       6.144       59.54       7.722       1.144           0
1089      0.2156       1.407       1.407       8.286        10.2       5.553       11.55       5.819      0.9719      0.1701
1091       5.233       4.295       4.295       10.58       28.63       20.84       31.73       17.74       2.783       0.163
1094       95.71       86.75       8.965       304.6       312.5       7.884       396.6       7.136        3.53           0
1101           0       1.519       1.519       5.392       8.779       7.296       10.46       7.923       1.082        0.18
