#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
         1                   0.0586106                   0.0431581
         2                   0.0642621                   0.0484944
         3                   0.0588844                   0.0469407
         4                      0.0607                   0.0466464
         5                   0.0638156                   0.0497078
         6                   0.0568362                   0.0365069
         7                   0.0684848                   0.0529383
         8                    0.063734                    0.046931
         9                   0.0663458                   0.0501141
        10                   0.0613471                   0.0460226
        11                   0.0653941                    0.048089
        12                   0.0613383                   0.0444851
        13                   0.0624168                   0.0460744
        14                    0.062849                   0.0457461
        15                   0.0623943                   0.0468696
        16                   0.0601012                   0.0468093
        17                   0.0632479                   0.0483115
        18                   0.0597358                    0.043456
        19                   0.0579645                   0.0415582
        20                   0.0650932                   0.0507545
        21                   0.0601924                   0.0477733
        22                   0.0593351                   0.0464585
        23                   0.0591118                   0.0463847
        24                   0.0625111                   0.0471391
        25                   0.0613543                   0.0452663
        26                   0.0647789                   0.0523624
        27                   0.0641831                    0.048226
        28                    0.062129                   0.0442177
        29                   0.0612745                   0.0470098
        30                   0.0630162                   0.0519743
        31                   0.0607704                   0.0497158
        32                   0.0601753                   0.0482141
        33                   0.0601325                   0.0465928
        34                   0.0586687                   0.0463887
        35                   0.0626027                   0.0495808
        36                   0.0594694                   0.0471252
        37                    0.060932                   0.0442607
        38                   0.0613085                   0.0475486
        39                   0.0671427                   0.0543624
        40                   0.0624261                   0.0493576
        41                   0.0597347                   0.0444281
        42                   0.0681754                   0.0482843
        43                   0.0680535                   0.0542901
        44                   0.0610528                    0.043369
        45                   0.0602648                   0.0463834
        46                    0.061905                   0.0472717
        47                   0.0641352                   0.0517338
        48                   0.0657146                    0.052169
        49                   0.0599808                   0.0430366
        50                   0.0647301                   0.0505196
        51                   0.0576043                   0.0447246
        52                   0.0621676                   0.0465268
        53                   0.0653279                   0.0495544
        54                   0.0632671                   0.0489937
        55                   0.0621292                   0.0483584
        56                    0.070153                   0.0562181
        57                   0.0593071                   0.0433461
        58                   0.0633394                   0.0435122
        59                   0.0610898                   0.0454347
        60                   0.0684173                   0.0537163
        61                   0.0599851                   0.0431763
        62                   0.0587786                   0.0424645
        63                   0.0604759                   0.0444001
        64                   0.0646706                   0.0514036
        65                   0.0635988                   0.0485799
        66                    0.059352                   0.0437456
        67                   0.0607255                   0.0467248
        68                   0.0616271                   0.0424947
        69                   0.0607919                   0.0478421
        70                   0.0609566                   0.0470532
        71                   0.0646418                   0.0476333
        72                    0.060794                    0.045464
        73                   0.0604173                   0.0462639
        74                   0.0623054                   0.0503154
        75                   0.0579612                   0.0451794
        76                   0.0603877                   0.0407467
        77                   0.0606481                   0.0481643
        78                   0.0611243                   0.0460746
        79                   0.0625976                   0.0494525
        80                   0.0619253                   0.0463025
        81                   0.0600515                   0.0475299
        82                   0.0641641                   0.0479889
        83                   0.0641144                   0.0466557
        84                   0.0598045                   0.0462815
        85                   0.0669363                   0.0496577
        86                   0.0601696                   0.0449935
        87                   0.0593727                   0.0456301
        88                   0.0661139                   0.0508037
        89                    0.062099                   0.0462063
        90                   0.0608338                   0.0443377
        91                   0.0590025                   0.0447913
        92                   0.0673321                   0.0517951
        93                   0.0631009                   0.0487345
        94                   0.0575382                   0.0413543
        95                   0.0611807                   0.0439623
        96                   0.0614132                   0.0468915
        97                   0.0635318                   0.0510344
        98                   0.0606299                   0.0454548
