#   coo_zmin    coo_zmax    coo_zcen    coo_zdis         coo_zvol
#
      1.5000      1.5000      1.5000      0.0000               0
      1.5000      1.5200      1.5100      0.0200       8475.7182
      1.5000      1.5400      1.5200      0.0400       17008.624
      1.5000      1.5600      1.5300      0.0600       25596.683
      1.5000      1.5800      1.5400      0.0800       34238.018
      1.5000      1.6000      1.5500      0.1000       42930.597
      1.5000      1.6200      1.5600      0.1200       51672.785
      1.5000      1.6400      1.5700      0.1400       60462.677
      1.5000      1.6600      1.5800      0.1600       69298.241
      1.5000      1.6800      1.5900      0.1800       78178.018
      1.5000      1.7000      1.6000      0.2000       87100.301
      1.5000      1.7200      1.6100      0.2200       96063.202
      1.5000      1.7400      1.6200      0.2400       105065.56
      1.5000      1.7600      1.6300      0.2600       114105.12
      1.5000      1.7800      1.6400      0.2800       123180.96
      1.5000      1.8000      1.6500      0.3000       132290.92
      1.5000      1.8200      1.6600      0.3200        141434.3
      1.5000      1.8400      1.6700      0.3400       150609.06
      1.5000      1.8600      1.6800      0.3600       159814.07
      1.5000      1.8800      1.6900      0.3800        169047.8
      1.5000      1.9000      1.7000      0.4000       178308.84
      1.5000      1.9200      1.7100      0.4200       187596.07
      1.5000      1.9400      1.7200      0.4400       196908.24
      1.5000      1.9600      1.7300      0.4600       206243.63
      1.5000      1.9800      1.7400      0.4800       215601.74
      1.5000      2.0000      1.7500      0.5000       224981.15
      1.5000      2.0200      1.7600      0.5200       234380.51
      1.5000      2.0400      1.7700      0.5400       243798.44
      1.5000      2.0600      1.7800      0.5600       253234.68
      1.5000      2.0800      1.7900      0.5800       262687.38
      1.5000      2.1000      1.8000      0.6000       272155.61
      1.5000      2.1200      1.8100      0.6200       281638.58
      1.5000      2.1400      1.8200      0.6400       291136.09
      1.5000      2.1600      1.8300      0.6600       300645.42
      1.5000      2.1800      1.8400      0.6800       310167.21
      1.5000      2.2000      1.8500      0.7000       319699.05
      1.5000      2.2200      1.8600      0.7200       329242.25
      1.5000      2.2400      1.8700      0.7400       338793.19
      1.5000      2.2600      1.8800      0.7600       348353.36
      1.5000      2.2800      1.8900      0.7800       357920.91
      1.5000      2.3000      1.9000      0.8000       367494.12
      1.5000      2.3200      1.9100      0.8200       377074.61
      1.5000      2.3400      1.9200      0.8400       386660.33
      1.5000      2.3600      1.9300      0.8600       396248.14
      1.5000      2.3800      1.9400      0.8800       405842.63
      1.5000      2.4000      1.9500      0.9000       415438.54
      1.5000      2.4200      1.9600      0.9200       425037.65
      1.5000      2.4400      1.9700      0.9400       434636.75
      1.5000      2.4600      1.9800      0.9600       444238.67
      1.5000      2.4800      1.9900      0.9800       453840.72
      1.5000      2.5000      2.0000      1.0000       463442.52
