#                      id              ra               de
#
                      165      53.1787766     -27.6489775
                      166      53.1839778     -27.6486704
                      167      53.1460146     -27.6489688
                      168      53.1903380     -27.6488341
                      169      53.0992505     -27.6490751
                      170      53.1617465     -27.6495671
                      171      53.1685713     -27.6491731
                      172      53.1720090     -27.6492284
                      173      53.1901022     -27.6491310
                      174      53.1139922     -27.6494320
                      175      53.1388687     -27.6493029
                      176      53.1381170     -27.6498465
                      177      53.1573245     -27.6495730
                      178      53.1598683     -27.6495807
                      179      53.1160922     -27.6494612
                      180      53.1264012     -27.6494607
                      181      53.1796847     -27.6498822
                      182      53.1178950     -27.6498199
                      183      53.1427613     -27.6499109
                      184      53.1757667     -27.6500327
                      185      53.1340117     -27.6498955
                      186      53.1562216     -27.6500027
                      187      53.1893553     -27.6503313
                      188      53.1679647     -27.6502353
                      189      53.0933655     -27.6502983
                      190      53.1535338     -27.6506573
                      191      53.1864283     -27.6505741
                      192      53.1353930     -27.6506778
                      193      53.1630931     -27.6507506
                      194      53.1281565     -27.6510196
                      195      53.1292035     -27.6507748
                      196      53.1440012     -27.6509061
                      197      53.1492052     -27.6507587
                      198      53.1954624     -27.6506321
                      199      53.1233599     -27.6507349
                      200      53.1263492     -27.6509990
                      201      53.1957220     -27.6509899
                      202      53.1987522     -27.6506631
                      203      53.1177912     -27.6509937
                      204      53.1719984     -27.6509254
                      205      53.1803006     -27.6509803
                      206      53.1907035     -27.6511012
                      207      53.1940944     -27.6510477
                      208      53.0949115     -27.6510646
                      209      53.1659767     -27.6512122
                      210      53.1703317     -27.6514635
                      211      53.0943328     -27.6514605
                      212      53.1133162     -27.6515465
                      213      53.1614577     -27.6515236
                      214      53.1847931     -27.6512736
                      215      53.1879668     -27.6513389
                      216      53.1043163     -27.6516815
                      217      53.1196216     -27.6523260
                      218      53.1323046     -27.6519683
                      219      53.1426604     -27.6520465
                      220      53.1545002     -27.6516048
                      221      53.1153167     -27.6519089
                      222      53.1648736     -27.6518707
                      223      53.1750206     -27.6520108
                      224      53.1568287     -27.6520481
                      225      53.1992623     -27.6520619
                      226      53.1502763     -27.6523917
                      227      53.1522243     -27.6523175
                      228      53.1515433     -27.6525717
                      229      53.1767233     -27.6525155
                      230      53.1086817     -27.6523497
                      231      53.1085154     -27.6526831
                      232      53.1242886     -27.6521838
                      233      53.1346539     -27.6521833
                      234      53.1545490     -27.6523460
                      235      53.1577738     -27.6523827
                      236      53.1598070     -27.6523219
                      237      53.1807859     -27.6525253
                      238      53.1906269     -27.6526350
                      239      53.1918743     -27.6525878
                      240      53.1227625     -27.6527211
                      241      53.1784707     -27.6524032
                      242      53.1970540     -27.6525925
                      243      53.0784008     -27.6525101
                      244      53.1289990     -27.6525170
                      245      53.1636600     -27.6528884
                      246      53.1728125     -27.6527318
                      247      53.1845886     -27.6528029
                      248      53.1450322     -27.6528793
                      249      53.1553474     -27.6526800
                      250      53.1667219     -27.6528444
                      251      53.1665847     -27.6537872
                      252      53.1667316     -27.6545929
                      253      53.1045428     -27.6528493
                      254      53.1166452     -27.6531746
                      255      53.1259961     -27.6529229
                      256      53.1076387     -27.6533962
                      257      53.1117834     -27.6532624
                      258      53.1334481     -27.6533039
                      259      53.1857765     -27.6532700
                      260      53.1974845     -27.6530896
                      261      53.0845093     -27.6534393
                      262      53.0995417     -27.6535292
                      263      53.1417966     -27.6535158
                      264      53.1414234     -27.6540968
                      265      53.1969500     -27.6531747
