#         id100  f100_uncorr_1    f100_corr_1    f100_corr_2     f100_corr_3
#
            547         2.5694        2.50398        2.49993        2.51701
            548        2.05983        1.99115        1.99112        2.00465
            550    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            552        3.29482        3.24171        3.23995        3.23742
            554       0.915866       0.885259       0.885217       0.884776
            559        2.05983         2.0417         2.0404        2.05293
            561       0.193122       0.152009        0.15175       0.147456
            562        1.62118        1.55916        1.55834         1.5745
            564       0.701184       0.622143       0.619173       0.620669
            581    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            593        0.83528       0.788954       0.788553       0.780833
            597       0.266583       0.223277       0.221343       0.217672
            598        2.04095        1.99812        1.99727        2.01234
            604        1.32383        1.32383        1.32383        1.32383
            606    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            620        1.22979        1.16407         1.1637         1.1552
            621        2.27946        2.23299        2.23292        2.25008
            622       0.577872       0.527351       0.526844       0.529235
            628    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            631        1.03236       0.982405        0.98245       0.997593
            637        1.93122        1.88065        1.88058        1.86921
            638        4.63268        4.63268        4.63268        4.63268
            652    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            658       0.507963       0.444724       0.444801       0.445082
            659       0.450642       0.423923       0.423827       0.440968
            661       0.179404       0.141453       0.140959       0.125551
            664       0.378296       0.350797       0.350766        0.36695
            669        2.95007        2.90046        2.90054        2.90763
            672        1.14244        1.09963        1.09795        1.10997
            689       0.707672       0.679682       0.679726       0.688818
            692        5.77872        5.74115        5.74116        5.75706
            697       0.527026       0.474861       0.473972       0.458564
            702        0.10711      0.0725021      0.0717755      0.0668455
            710    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            713       0.467554       0.414185       0.414076       0.407271
            714       0.422505        0.37834       0.378384        0.37159
            718       0.434342       0.378351        0.37844       0.368567
            719       0.165132       0.116345       0.111943      0.0981879
            721       0.092434      0.0521823      0.0522847      0.0516247
            729        1.01352       0.972937       0.972965       0.975514
            737        6.45404        6.40339        6.40298        6.40251
            740        1.17444        1.19922        1.19475        1.19268
            748    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            749    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            753       0.240897       0.197243       0.197268        0.18186
            760        1.10111        1.09293        1.09304        1.10573
            762        2.34332        2.31257        2.31271        2.32493
            768     0.00707672     0.00707672     0.00707672     0.00707672
            776       0.503306        0.46128       0.460888       0.458555
            779       0.351424       0.302237       0.302265       0.286857
            786       0.338713       0.269076       0.269204       0.276273
            793    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            804       0.450642       0.438759       0.438477       0.453352
            805       0.882738        0.84535        0.84522       0.859514
            807        2.32184        2.23467         2.2344         2.2266
            808        2.84336         2.8045        2.80452        2.81161
            809       0.149222        0.10569       0.105493      0.0911747
            825       0.284336       0.239901       0.239343        0.25283
            826       0.741023       0.692682       0.692062       0.689215
            827        4.14793        4.08921        4.08824        4.09533
            837       0.367987        0.32098       0.321113       0.308685
            841       0.187859       0.140662       0.140662       0.125254
            849       0.485101       0.430587       0.430598       0.434499
            860      0.0627815      0.0170052      0.0170052      0.0170052
            866    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            867       0.118531      0.0764211      0.0764856      0.0620354
            870        7.27498        7.23566        7.23453        7.22698
            872       0.866626       0.790895       0.788774       0.804564
            877       0.289622       0.254669       0.254801       0.239393
            878        1.36092        1.31744        1.31666        1.30125
            881        0.74788       0.702579       0.702224       0.686816
            884       0.100423      0.0494318      0.0483357      0.0359068
            885        2.92302        2.87178        2.87095        2.88325
            886       0.651376       0.614484       0.613117       0.630108
            892      0.0168202      0.0168202      0.0168202      0.0168202
            893        2.61717        2.56677        2.56668         2.5614
            899       0.223785       0.181742       0.180962        0.17251
            902        1.98533        1.93573        1.93585        1.92979
            915       0.616356       0.568413       0.567373       0.551965
            917        2.66583        2.62915        2.62927        2.61435
            922       0.364613       0.316858       0.316975       0.307318
            923        2.13713        2.06592        2.05981        2.04541
            924    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            926       0.874645       0.856404       0.855465       0.872614
            928       0.182739       0.134221        0.13289       0.117482
            931        1.03236       0.957728       0.957871       0.942463
            934       0.707672       0.662206        0.66216       0.646752
            937        2.32184        2.28255        2.28261        2.26769
            939        4.46511        4.37243        4.37231        4.38909
            950        1.43824        1.43251        1.43236          1.442
            951        1.16368        1.16321        1.16272        1.17235
            960    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            965    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            966        0.30891       0.275468       0.275515       0.288181
            972        0.20037       0.153498       0.153333       0.147276
            994       0.577872       0.541467       0.541606       0.555559
            995        0.74788       0.698642       0.698763       0.711429
           1002          1.577        1.53276        1.53282        1.51842
           1005        2.32184        2.27946        2.27848        2.26307
           1006        4.89589        4.82066        4.81948        4.82007
           1008         2.5694        2.51913        2.51685         2.5134
           1023       0.323468       0.278047       0.278186        0.27785
           1026    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1035     0.00694755     0.00694755     0.00694755     0.00694755
           1036       0.108102      0.0690558      0.0690227       0.071844
           1037        1.04191       0.965675       0.965547       0.950139
           1042       0.594062       0.544455       0.543987       0.530452
           1053        1.19628        1.13379        1.13274        1.14809
           1058    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1064        1.21852        1.21425        1.21406        1.20599
           1075       0.531902       0.541908       0.541579        0.53473
           1076        1.77759        1.71948        1.71955        1.73617
           1077        1.31169         1.2885        1.28854        1.30557
           1081       0.985898       0.955314       0.955018        0.93961
           1084        3.78296        3.72993        3.72729        3.72483
           1089       0.720828        0.67203       0.672114       0.676745
           1091       0.182739       0.136893       0.136157       0.125895
           1094       0.651376       0.606095       0.603231       0.587823
           1101       0.622059       0.591226       0.591121       0.608183
           1102         2.5694        2.51996        2.51986        2.50446
           1103        3.23468        3.18262        3.18237        3.19941
           1104        2.27946        2.21982        2.21973        2.23495
           1105        2.13713        2.09689        2.09703        2.09694
           1109        1.81064        1.80806        1.80757        1.79216
           1113       0.594062       0.525655       0.525766       0.539573
           1118         2.5225        2.52472        2.52475         2.5181
           1121        1.16368        1.13939        1.13868         1.1127
           1123    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1125    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
