#     _id          _ra          _de       zp_X         f24        df24         f16        df16       radio      eradio       _fch1      _dfch1       _fch2      _dfch2       _fch3      _dfch3       _fch4      _dfch4       KtotX       MassX       distX       spezX          zq      source       distz         idz    goodArea
#
1813       189.4754639   62.3367386      1.57       21.47       4.445         -99       1e+10      0.0644       2.983       8.562        0.08       8.618       0.192       8.343       1.187        5.35       1.154        22.4       10.58      0.5615          -1         -99         -99       22.67         -99           0
1814       189.4947968   62.3367424      1.63       32.25       4.358         -99       1e+10       2.684       3.128         -99         -99         -99         -99         -99         -99       12.38       2.327       21.21        11.2       0.123          -1         -99         -99        39.4         -99           0
1818       189.2424316   62.3367157      1.54       39.44       3.296       21.71       5.147       1.714       2.647       6.702       0.039       7.693        0.07       6.039       0.429       5.412       0.491       22.18       10.32     0.02897       1.569           1          72     0.07651   2.111e+04           1
1822       189.4238586   62.3365860      0.43       46.83       4.414       30.44       10.99       6.133        2.91        8.46       0.042       7.612       0.076       5.806       0.477       12.84       0.534       21.12       9.618     0.03748          -1         -99         -99       8.652         -99           1
1824       189.4858093   62.3367424       -99          15       2.901         -99       1e+10       1.394       2.987       0.372        0.15         -99         -99         -99         -99      -0.444       1.775         -99         -99       6.286          -1         -99         -99       28.47         -99           0
1836       189.3173828   62.3363380      0.24       29.81       3.965       37.45       6.974     -0.3477       2.728       15.57       0.042       12.08        0.07       7.974       0.426       16.16       0.488       20.26       9.728      0.0255      0.2544           1          21      0.0255   2.776e+04           1
1843       189.3048401   62.3361664      0.62       59.85           3       58.34        9.34       2.656       2.738       16.68       0.043       10.95        0.07       11.47       0.425       8.942       0.487       20.83       9.968           0      0.6348           1          21           0   2.665e+04           1
1847       189.1878967   62.3360825      0.88       64.36       4.423       46.42       8.086       3.354       2.721       13.42       0.055       10.78       0.087       10.48       0.644       6.113       0.623       21.36       10.29     0.05282       0.903           1          72      0.1128   1.592e+04           1
1850       189.2561798   62.3362236       2.4       73.63       2.951        18.4       8.082        4.36        2.74       0.941       0.038       1.059       0.068       1.248       0.425       1.293       0.485       24.38       9.728      0.2924          -1         -99         -99       6.464         -99           1
1855       189.2385254   62.3361320      1.04       5.278       4.291       6.779       5.777        8.12       2.659        0.37       0.038       0.317       0.069       0.334       0.435      -0.213       0.486       24.24       8.838      0.2332          -1         -99         -99       6.786         -99           1
1859       189.4038696   62.3359375      0.56       23.07       4.696       22.86       7.471       3.557       2.871       4.991       0.039       3.555        0.07       2.659       0.436        1.97       0.492       22.01       9.348     0.05282      0.5856           1          21     0.08625   3.443e+04           1
1865       189.3817596   62.3356972      1.16        21.9       3.473       8.482       7.202       3.086       2.852       7.384        0.04       5.913       0.069         4.2       0.425        3.86       0.489       21.88       10.23     0.07773       1.153          -1          81      0.1339   3.296e+04           1
1866       189.3969727   62.3355675      1.05       109.9       5.271       95.82       5.164       9.248        2.86       21.99       0.048        17.4       0.073       13.57       0.432       15.96       0.494       20.89        10.3     0.07774       1.083           1          21      0.1029   3.402e+04           1
1870       189.1667480   62.3355827       1.8        28.2       3.681         -99       1e+10       2.468       2.749       3.429       0.084       3.316       0.112       1.391       1.034        1.24       0.852       23.13       10.14     0.06056          -1         -99         -99       13.05         -99           0
1880       189.2526855   62.3353882      0.99       121.8       4.569       92.65       6.647        23.9         2.9       39.33       0.047       28.53       0.073       24.87       0.428       19.49       0.483       20.14       10.94      0.1028       0.858           1          72      0.1124   2.214e+04           1
1886       189.2080078   62.3354988      3.19       16.46       4.193        7.65       7.207       1.812       2.742       1.211       0.044       1.684       0.073       1.775       0.505       2.076       0.526       24.02       10.03      0.4115          -1         -99         -99       4.172         -99           1
1894       189.2885437   62.3351517      0.98       43.28       5.335       20.21         6.8       3.294       2.712       7.983        0.04       5.816        0.07       4.322       0.427       3.698       0.487        21.9       9.948     0.02747       1.011           1          21     0.04845   2.525e+04           1
1899       189.1849213   62.3348694      0.99       21.31        4.62   1.903e-07       10.27       8.367       2.759        5.66       0.055       4.364       0.088       4.576       0.627       3.457       0.636       22.01       9.788      0.1099       1.015           1          72      0.1402   1.565e+04           1
1907       189.3991394   62.3348007      0.64       25.03       4.282       1.415       6.275       7.543        2.86       7.577       0.044        5.38        0.07       5.412       0.432       4.879       0.491        21.5       9.308      0.1677      0.5857           1          21      0.1518   3.412e+04           1
1908       189.4024658   62.3349113      0.54        50.9       3.822       49.43       7.453       6.296       2.856       11.21       0.042        8.43        0.07         9.7       0.433       8.379        0.49        21.1       9.638     0.04845      0.5857           1          21     0.01373   3.434e+04           1
1918       189.3544006   62.3347206      0.25       45.96       4.315       19.62       9.178       2.283       2.807       11.61       0.041       9.528        0.07       6.119       0.425       12.27        0.49       20.66       9.178     0.01373      0.2768           1          21           0    3.08e+04           1
1919       189.4440613   62.3348694      0.98       16.18       4.032          19       30.07       1.202       2.923       0.051       0.045      -0.201       0.086      -1.039       0.537      -0.639       0.607         -99       8.828      0.2113          -1         -99         -99       11.96         -99           1
1921       189.1569672   62.3346710      4.26       24.19       5.466         -99       1e+10       4.442       2.887       2.562       0.107       2.866        0.14       6.975       1.345       3.884       1.001        24.7       10.17      0.6019          -1         -99         -99       17.26         -99           0
1930       189.3247223   62.3345337      0.98       277.9       9.504       251.8       10.12        34.9         2.9       22.16       0.044       18.78       0.072       21.02       0.426       21.42        0.49       21.24       10.19     0.02897       0.937          -1          81      0.3879   2.838e+04           1
1937       189.3067780   62.3342743      0.27       19.55       1.818       16.91       10.79       1.332       2.737       4.359       0.038       3.346       0.069       2.188       0.423       2.631       0.487        21.9       8.848      0.1057      0.2777           1          21      0.2299   2.682e+04           1
1938       189.3708801   62.3343964      0.26       20.95       3.375   1.903e-07       7.654        1.03       2.796       3.621       0.038       2.677       0.069       2.005       0.421       3.111        0.49       21.82       8.578     0.01373      0.2771           1          21     0.02897   3.206e+04           1
1944       189.2333221   62.3343048      1.38       86.12       3.068       107.3       7.032       6.494       2.662       19.54       0.042       20.64       0.071       14.96       0.432       16.44       0.478        21.2       11.02      0.1211          -1         -99         -99        3.66         -99           1
1945       189.3174133   62.3344574      4.06        14.1        4.07   1.903e-07       5.885       6.505       2.705       1.634       0.038       1.204       0.069       1.518       0.425       2.421       0.486       25.48       10.65      0.2826          -1         -99         -99       4.675         -99           1
1951       189.2031097   62.3340569      0.97       83.68       5.198       69.84       8.264        3.96        2.69       15.45       0.047       11.58       0.074       8.767       0.511       8.571       0.524       21.01       10.23     0.04845       1.012           1          21      0.0412   1.725e+04           1
1960       189.1506042   62.3339806      1.05       62.77       6.711         -99       1e+10       6.705       2.903       11.28       0.127       11.79       0.157       19.51       1.559        11.7        1.08       21.52       10.14      0.7126          -1         -99         -99       25.97         -99           0
1961       189.1776581   62.3339653      0.57       62.01       5.142       35.61       11.27     -0.3255       2.775       3.236        0.06       2.638       0.093       3.734       0.719       6.286       0.682       22.55       9.218      0.4631      0.5574           2          23      0.5061          -1           1
1968       189.2276001   62.3338394      1.15       47.55        4.38       44.16       5.594       2.462       2.665       11.21       0.041       9.163        0.07       7.214       0.434       6.887       0.488       21.29       10.42     0.02897       1.145          -1          81     0.02551   1.967e+04           1
1973       189.3895416   62.3336525      1.45       57.97       4.017       36.18       5.616       6.011       2.847       10.45        0.04       10.72       0.071       7.943        0.43       8.009       0.491       22.07        10.6     0.07497       1.491           2          72     0.07497   3.355e+04           1
1990       189.1918182   62.3334312      3.31       45.04       6.484        8.29       7.654      0.3233       2.724       1.405       0.046       1.872       0.078       2.778       0.563        1.74       0.565       23.28       11.19     0.09691          -1         -99         -99       2.666         -99           1
1999       189.1653290   62.3334236      3.11       21.52       3.569         -99       1e+10       2.126        2.75        5.09       0.073       1.955       0.106       4.105       0.894       1.555       0.803       25.29       9.698      0.5442          -1         -99         -99       5.135         -99           0
2007       189.1705627   62.3330536      2.37       13.17       3.146         -99       1e+10     -0.3326       2.749       6.166       0.064       3.987       0.099       4.888       0.753       1.025       0.733       22.68       10.45      0.2312          -1         -99         -99       9.208         -99           0
2022       189.3835449   62.3328705      1.78       30.76       3.878       2.355       6.222       2.256        2.84       2.958       0.038       3.458       0.069       2.653       0.425        2.16       0.489       23.43       10.02     0.07774          -1         -99         -99        9.31         -99           1
2025       189.4387360   62.3326759      0.75       86.22       3.804        75.1       17.04       4.788         2.9       38.03        0.05       27.01       0.081       23.72       0.507       17.29       0.552       20.03        10.6           0         1.2           1          21     0.06056   3.637e+04           1
2032       189.4475403   62.3327065      1.63        19.7       3.338   1.903e-07       15.15       3.457       2.924       3.408       0.044       3.465       0.088       3.305       0.531       3.071       0.609       22.46       9.878     0.06557          -1         -99         -99       8.071         -99           1
2046       189.3154755   62.3324318      0.83       17.03       2.539       22.13       5.605       1.444       2.647         287       0.087       193.7       0.095       132.7       0.439       76.54       0.492       17.39       8.568      0.1029          -1          -1          81     0.07774    2.76e+04           1
2052       189.1588593   62.3322296      1.19       77.31       3.797         -99       1e+10        2.54       2.677        10.4       0.083       11.78       0.122       14.14       0.969       12.09        0.86       21.07       10.26     0.09691          -1         -99         -99        11.2         -99           0
2054       189.2816162   62.3322220      1.17       74.22       4.096       62.72       9.826       6.417       2.702       19.57       0.042       17.63        0.07        12.3       0.423       14.43       0.484       21.31       10.84     0.01373          -1         -99         -99       8.098         -99           1
2056       189.3371429   62.3322334      0.78       42.51       4.431       22.99       7.603       6.204       2.668       13.69       0.042       9.308        0.07       10.73       0.427       6.072       0.489       21.27       9.928     0.02897      0.7781          -1          81      0.1677   2.943e+04           1
2059       189.4506836   62.3321228       1.2       36.79       3.216         -99       1e+10      0.8449       2.923       9.313       0.046       8.848       0.089       5.738       0.539        6.47       0.628        21.7        10.5     0.04846          -1         -99         -99       6.769         -99           0
2061       189.1655121   62.3320007      0.88       235.4       9.658         -99       1e+10        17.6         2.7       34.89       0.071       23.94       0.104       22.68        0.81       17.87       0.762       20.37       10.33     0.06866      0.9015           1          23     0.05101          -1           0
2089       189.4423065   62.3316345       0.8       19.97       3.051       10.69       9.311       2.337       2.904       75.86       0.058        46.9       0.085       40.82        0.51       23.13       0.558       19.17       11.22           0        0.71           1          72     0.02551   3.656e+04           1
2094       189.3053589   62.3315735      0.34       515.8       15.88       425.2       13.24        61.9           5       74.97       0.055       70.45       0.079       58.24       0.432       159.2       0.495       18.88       10.32     0.02897      0.4379           1          21     0.03748    2.67e+04           1
2099       189.3667145   62.3308868      4.25   8.071e-08       8.536       10.43       6.478       10.89       2.866       2.605       0.039       2.247       0.069       2.837       0.419       3.625       0.485       23.59        10.5     0.05794          -1         -99         -99       2.489         -99           1
2101       189.4536133   62.3314667      1.49       33.41       4.365         -99       1e+10       2.368        2.95       7.286       0.046       7.974       0.092       5.175       0.548       5.726       0.651       22.18       10.74     0.02897          -1         -99         -99       9.086         -99           0
2106       189.4078674   62.3313141      2.29        35.7       3.316   1.903e-07       7.982       6.626       2.787       3.828        0.04        4.24       0.068       5.102       0.429       3.021        0.48       22.73       10.43      0.0824          -1         -99         -99       15.31         -99           1
2115       189.2043457   62.3311119      1.03       24.41       4.839       20.24        10.2       11.14        2.68       3.961       0.042        3.61        0.07       1.965       0.471       1.578       0.501       22.56       9.978      0.0942          -1         -99         -99       9.794         -99           1
2124       189.1492767   62.3308220      0.94       76.07       6.535         -99       1e+10      0.1165       2.676       13.48       0.098       11.47       0.127       13.59       1.117       8.889       0.938       21.05       10.55     0.02551          -1         -99         -99       23.33         -99           0
2129       189.1396179   62.3307838      1.22       34.96       7.498         -99       1e+10       3.705       2.718       7.391       0.147       7.526       0.175        10.1       1.704        5.18       1.155       22.29       10.38      0.1128          -1         -99         -99       7.246         -99           0
2135       189.2717590   62.3307953      1.15       462.2       14.96       316.8       17.52        73.9           3       52.44        0.05       38.77       0.074       37.22       0.423       35.56       0.484       20.22       10.83      0.1531          -1          -1          81      0.2153   2.381e+04           1
2137       189.3754883   62.3307533      2.39       17.75       3.734   1.903e-07       5.616       4.727       2.822       2.892       0.038       3.142       0.069       3.502       0.425        3.08       0.489       23.09       10.32     0.01373          -1         -99         -99       11.29         -99           1
2140       189.4305420   62.3306351      3.03       35.92       5.258   1.903e-07       13.85       4.442       2.943       3.197        0.04       3.706       0.072       3.868       0.456       4.452       0.506        23.1       10.44     0.02747       2.962           1          72     0.08691   3.594e+04           1
2141       189.4485931   62.3305168      0.19       305.7       10.14         223       14.19       16.38       2.926       52.96       0.054       49.46       0.089       33.58       0.514         102       0.585       18.74       10.06     0.05283       0.284           1          72     0.02551   3.691e+04           1
2144       189.4754333   62.3304710      0.36       129.3       5.672         -99       1e+10       7.282       3.011       30.02       0.067       29.27       0.124       21.61        0.77       54.65       0.865       19.43       10.24       0.102      0.3772          -1          81      0.1884          -1           0
2147       189.2371216   62.3305550      0.47       45.67       4.355       36.61       6.992       4.815       2.677       10.34        0.04       9.126       0.068       6.693       0.416       11.81       0.472       20.91       9.748     0.01373      0.4737          -1          81     0.03748    2.06e+04           1
2150       189.2099457   62.3305321      0.97       111.8       6.218       97.58       6.746        4.12       2.665        19.6       0.044       15.45       0.071       12.41       0.461       12.86       0.494       21.09       10.31      0.2457       1.016           1          21      0.2792   1.788e+04           1
2152       189.3548279   62.3303680      2.04       13.81       4.147       20.47       11.37       2.879       2.823       1.521       0.037       1.507       0.068       1.134       0.421       2.778       0.486       25.09       9.678      0.7479          -1         -99         -99        8.33         -99           1
2160       189.1883392   62.3301506         1        51.9       3.959       47.53       7.031      0.6035       2.742        9.56       0.048       6.922       0.076       6.259       0.528       4.642       0.549       21.61       10.02     0.04846       1.036           1          72     0.03748   1.595e+04           1
2163       189.2837982   62.3299141      0.28        31.7        3.71       18.13       7.994       1.331       2.673       11.25        0.04       9.664       0.069       6.929       0.423       14.79       0.482       20.67       9.278      0.1693      0.3196           1          21      0.2069   2.487e+04           1
2175       189.2303619   62.3299332      0.09       10.25       3.226       6.224       6.227       3.142       2.668       2.268       0.037       2.406       0.067       2.545       0.415       1.768       0.478       22.59       7.468     0.02897       3.239           1          34     0.02897   1.993e+04           1
2181       189.4922791   62.3297768      0.75        29.1       3.921         -99       1e+10       4.798       3.036       8.283       0.122       5.801       0.252         -99         -99       1.973       1.435       21.37         9.9      0.2097          -1         -99         -99       28.11         -99           0
2185       189.2207947   62.3296700      1.83       91.81       4.707       27.17       5.232       3.461       2.693        11.5       0.041       13.24       0.068       12.19       0.431       9.171       0.478       21.95       10.81      0.2566          -1         -99         -99       7.703         -99           1
2189       189.3818817   62.3297424      0.29        14.3       2.287   1.903e-07       8.092     -0.2328       2.816       5.647       0.038       4.617       0.069       2.506       0.423       6.168       0.489       21.35       8.858     0.02897      0.2778           1          21           0   3.297e+04           1
2192       189.2241364   62.3299026      0.62       19.58       3.659   1.903e-07       5.464     -0.3314       2.655       0.149       0.037        0.29       0.066       0.716       0.427       0.037       0.475       24.82       8.218      0.6579          -1         -99         -99       10.43         -99           1
2195       189.3708496   62.3296432      0.94       5.096       5.064       2.003       7.196       9.662       2.782       0.672       0.038       0.351       0.068       0.335       0.422       -0.33       0.488        24.6       8.978      0.0412          -1         -99         -99       7.373         -99           1
2196       189.3952026   62.3295670      1.17       22.05       4.319       13.82       12.75       3.545       2.862       6.389       0.039       5.077       0.068       4.712       0.425        6.21       0.481       22.81       9.768      0.2555          -1         -99         -99       3.676         -99           1
2197       189.3973999   62.3295250      1.18       220.6       9.018       108.2        8.77       13.22        2.86       21.75       0.043       19.02        0.07        17.6       0.427       32.56       0.481       21.11       10.83     0.02747       1.147           1          72           0   3.404e+04           1
2202       189.2106781   62.3294640      0.96       178.9        7.14       128.9       9.086       6.236       2.665       89.91       0.059       68.83       0.078        48.7       0.455       39.35       0.491       19.19       11.45     0.05283       1.016           1          21     0.07325   1.795e+04           1
2229       189.3600159   62.3290977      1.05       48.74       4.424       24.22       10.67        4.76       2.862       59.29       0.052       44.02       0.075       31.19       0.424       29.55       0.488       19.92       11.35     0.02551        1.01          -1          81     0.01373   3.124e+04           1
2231       189.3781891   62.3288231      2.08       16.56       4.862        4.75       5.563      0.6755        2.82       9.264        0.04       9.463       0.069       9.187       0.424       6.245       0.488       22.05        10.9     0.02551          -1         -99         -99       5.505         -99           1
2234       189.1991425   62.3287544      0.49       49.73       3.684       46.74       7.009       6.632       2.725       17.08       0.045       14.15       0.073       13.67       0.479       16.85       0.508       20.35       9.738     0.01373      0.5072           1          21     0.03748   1.689e+04           1
2239       189.3322754   62.3286934      0.25       18.19       4.507       1.856       7.551     -0.3611       2.656       2.061       0.038       1.345       0.068       0.915       0.424       1.533       0.489       23.15       7.928      0.2352       0.247          -1          72      0.3494   2.899e+04           1
2252       189.1933746   62.3280525      1.66       25.67       4.437   1.903e-07       8.761     -0.3155       2.714       2.032       0.043       2.376       0.071       1.635       0.484       2.441       0.514       24.13       9.718      0.2198          -1         -99         -99       6.142         -99           1
2256       189.3564606   62.3281708       0.3         973       24.84       816.9       45.78       130.9        18.4       144.5       0.067       142.7       0.089         101       0.434       413.1       0.505       17.48       10.82      0.1283      0.2775           1          21      0.2059   3.095e+04           1
2262       189.1671600   62.3281593      0.96       192.8        5.85       328.5       18.55     -0.3189       2.669         -99         -99        3726       0.304        2732       0.839        1504        0.69       13.74       13.35      0.1159          -1           1          72       0.103          -1           1
2266       189.3895721   62.3280640      0.29       330.7       11.81       266.1       11.98          36         7.3       57.37       0.051       55.01       0.076       40.28       0.425       154.1       0.485       18.86       9.928     0.05284      0.2712           1          21     0.05794   3.355e+04           1
2268       189.1443787   62.3278275      1.88       34.67       3.795         -99       1e+10       7.272       2.743       11.36       0.081       14.13       0.118       10.94       0.925       9.135       0.875       22.14       11.34       0.103          -1         -99         -99       12.83         -99           0
2272       189.3024139   62.3279266      2.04       105.6       3.791       42.07       5.903     -0.2272       2.638       6.293       0.039       6.266       0.069       7.155       0.424       7.155       0.486       22.35       10.35     0.06558       1.948           1          72      0.1499   2.643e+04           1
2290       189.1755524   62.3270988      0.82       46.86        4.22        5.52       7.208       5.579       2.643       11.41        0.05       10.04       0.079        9.33       0.554       4.877        0.57       21.64       9.958     0.08131       0.981           1          72     0.08555   1.484e+04           1
2295       189.1900482   62.3275719      0.24       97.19       5.036       31.49       7.999        43.7         5.3       35.79       0.051       32.67       0.077       26.52       0.504       26.37       0.523       19.17       9.988      0.1555      0.2767           1          21      0.3316   1.608e+04           1
2296       189.2118378   62.3276672      1.03       61.45       3.653       54.53       6.222      -0.174        2.66       11.87       0.041       9.105       0.068       5.227       0.437       6.125       0.476       21.42       10.06      0.1028       1.017           1          72     0.07497   1.808e+04           1
2297       189.3504181   62.3275185       0.8        47.2       5.461       45.56       8.372       7.393       2.828       9.621        0.04       6.335       0.069       6.396       0.423       5.959       0.487       21.84       9.688     0.02747      0.8042           1          21           0   3.051e+04           1
2314       189.3525543   62.3276405      1.11       34.77       4.774       11.31        11.9       6.876       2.784       4.193       0.039       3.483       0.069       2.538       0.424       8.384       0.488       23.76       9.478       0.103          -1         -99         -99       3.598         -99           1
2318       189.5099335   62.3272057      0.94       137.3       6.953         -99       1e+10       1.107       3.098         -99         -99         -99         -99         -99         -99       26.78       2.128       19.71       11.02      0.1683          -1         -99         -99       53.22         -99           0
2320       189.1834564   62.3273430      3.41       36.86       3.388       11.26       7.824        25.4         2.9       2.291       0.045       4.215       0.073       5.025       0.525       10.55       0.538       24.15       11.34     0.05284          -1         -99         -99       10.72         -99           1
2323       189.2227783   62.3272171      2.23       70.99       2.326       6.883       6.051       6.622       2.617       3.899       0.038       5.168       0.067       6.102       0.419       4.652       0.473       23.15       10.06       0.286          -1         -99         -99       9.256         -99           1
2324       189.2352753   62.3271065      2.15         684       19.94       256.4       11.19        39.4         2.9       10.87        0.04       14.27       0.068       22.74       0.408       48.16       0.474       22.11       11.18      0.1402        2.29          -1          45      0.4498   2.044e+04           1
2327       189.3916779   62.3270340      0.26       63.53       3.747       42.18       11.23       1.718        2.82       145.6       0.067         117       0.084       74.14        0.43       57.55       0.483       17.57       10.82     0.02897      0.2733           1          21      0.1229   3.367e+04           1
2328       189.4688721   62.3268738      0.55       335.5       8.282         -99       1e+10        48.2         7.2       60.79        0.06       64.26       0.103       47.45       0.614         158       0.703       18.79        10.7     0.07497          -1          -1          81      0.1808          -1           0
2330       189.2498474   62.3270378      1.14       33.28       4.583       47.35       10.98       3.307       2.705        10.8       0.039        8.68       0.068       7.375       0.409       6.862       0.469       21.94       10.02      0.1989       1.157           1          72      0.1857   2.184e+04           1
2331       189.2492523   62.3261528      1.34       34.09       3.779      0.3527       10.54       9.175       2.657       33.36       0.045       28.79       0.071       21.07       0.409        20.4       0.469       20.69       10.76     0.06558       1.146          -1          81     0.05795   2.178e+04           1
2336       189.1225128   62.3267822      1.06       258.7       12.07         -99       1e+10        15.8       2.713       55.68       0.193       41.99       0.236       37.58       2.041       29.17       1.539       19.67       10.97      0.1913       1.013           1          23      0.2201          -1           0
2337       189.1522675   62.3268738      4.38       17.13       2.913         -99       1e+10       5.276       2.712       1.171       0.063       1.561       0.096      -1.707       0.738       1.255       0.721       24.94       10.98     0.02897          -1         -99         -99       17.13         -99           0
2342       189.3452454   62.3267746      0.79       33.83       3.363        27.9          10       4.262       2.786       6.608        0.04       4.997       0.069       4.223       0.426       3.884       0.488       22.23       9.598     0.05284      0.8392           1          21      0.1402   3.008e+04           1
2347       189.4635620   62.3265533      1.01       41.94       4.332         -99       1e+10        2.62        2.92       6.409       0.048       4.881       0.092       4.593       0.548       4.619       0.656        22.7       10.17     0.05493          -1         -99         -99       9.093         -99           1
2357       189.2784424   62.3265114      2.21       36.18       5.975       1.784        8.11       4.082       2.654       3.252       0.039       3.213       0.068       3.864       0.416         2.5       0.479       22.67       10.21     0.06558       2.103           1          72      0.1159   2.441e+04           1
2359       189.3738708   62.3262215      0.32       76.65       3.772       63.28       8.196     -0.3536       2.745       179.7       0.074         145       0.089       94.68       0.433       73.68       0.489        17.5       10.99     0.06057      0.3186           1          21      0.3064    3.23e+04           1
2360       189.4466553   62.3262367      1.45        68.1       5.223         109       9.056       8.687       3.289       1.318       0.041       1.593       0.075       1.127       0.474       3.087       0.536       23.68       9.638     0.05102       1.491           1          72     0.07776   3.681e+04           1
2365       189.3591156   62.3264847      1.61       31.53       6.163       3.321       8.471     0.05018       2.779        2.64       0.038       2.566       0.069       2.945       0.422       6.102       0.486       24.46       9.478      0.4225          -1         -99         -99       3.701         -99           1
2369       189.3195190   62.3261147       2.7       33.54       3.811       6.473       11.69        1.07       2.684       1.583       0.038       1.556       0.068       1.106       0.422       2.804       0.486       23.81       9.928     0.07776          -1         -99         -99       12.17         -99           1
2374       189.1152039   62.3259544      1.58       73.46       5.102         -99       1e+10       4.066       2.752         -99         -99       4.729       0.305         -99         -99       5.334       1.867       23.85       10.24      0.1603          -1         -99         -99        12.4         -99           0
2376       189.1547241   62.3259087      0.49       45.78       4.196         -99       1e+10       3.524       2.705        10.2       0.059       9.001       0.091        7.55       0.658       12.06       0.679       20.95       9.708     0.05284          -1         -99         -99       18.92         -99           0
2378       189.3607788   62.3257828      0.29          30       5.135       21.51       7.272     -0.3249       2.798       15.43       0.042       12.45        0.07       8.277       0.424       19.17       0.486       20.31       9.578     0.02897      0.2775           1          25     0.02747   3.132e+04           1
2387       189.3780518   62.3252411      2.26       28.96       5.144       4.958       10.26       2.587       2.706        3.19       0.038       2.884       0.068       2.846       0.419       1.676        0.48       23.62        10.3      0.1128          -1         -99         -99       6.697         -99           1
2395       189.1308136   62.3256111      0.48       22.04       4.511         -99       1e+10       3.712       2.683        87.7       0.109       64.67       0.153       52.37        1.12        28.1       1.043       18.47        11.2     0.01373          -1         -99         -99       12.22         -99           0
2399       189.2770081   62.3256378      2.29       29.29       6.506      0.3431        7.88       1.257       2.666       2.774        0.04       3.072       0.068       3.919       0.414       3.167        0.48       23.16       10.22     0.07776          -1         -99         -99       3.938         -99           1
2408       189.2328644   62.3254395      0.53       60.59       3.832       60.84       6.055       5.883        2.64       16.65       0.042       13.56       0.068       12.24       0.408       16.21       0.468       20.57       9.768     0.02551      0.5287           1          21     0.02551   2.018e+04           1
2412       189.3352814   62.3252983      0.89       22.73       3.292       23.72       9.652     0.05745       2.677       7.956        0.04       5.661       0.069       4.948       0.426       4.911       0.487       21.73       9.998     0.02747       0.836           1          21           0   2.926e+04           1
2417       189.2190247   62.3253174      1.14       20.12       2.782   1.903e-07       8.556     -0.3135       2.658       2.529       0.037       2.111       0.066       1.286        0.42       2.104       0.468       23.27       9.598     0.02897          -1         -99         -99       4.478         -99           1
2418       189.2676239   62.3253479      1.08       96.79       4.168       97.72       5.436       2.395       2.652       19.53       0.042       14.46        0.07       11.52        0.41       10.81        0.48       20.86       10.44     0.02897       1.052           1          21     0.02747   2.349e+04           1
2432       189.4783325   62.3248940      1.27       83.77       4.213         -99       1e+10        23.6         3.6       22.44       0.058       23.44       0.113       18.17       0.707       18.42       0.808       21.29       10.83      0.1057          -1         -99         -99       17.17         -99           1
2433       189.1283417   62.3250465      0.86       36.56       4.823         -99       1e+10       2.687       2.677       11.69       0.104       7.663       0.154       10.76       1.179       4.858       1.053        21.4       10.05      0.4227          -1         -99         -99       11.79         -99           0
2440       189.4981079   62.3246193      0.83       237.8       10.74         -99       1e+10       12.54       3.001       29.31       0.108       21.97         0.2       26.44       1.723       15.78       1.242       20.29       10.62     0.05284          -1         -99         -99       43.18         -99           0
2449       189.1414337   62.3245087      0.61       134.9       5.554         -99       1e+10       6.907       2.698       83.51       0.077       60.36       0.109       53.38       0.762       42.58       0.768       18.56          11      0.1101      0.5476           1          23      0.1585          -1           0
2455       189.2958221   62.3245544      1.15       348.8       10.07       380.8        10.4        27.8         4.6       74.32       0.054       62.15       0.077       43.86       0.428       46.35       0.484       19.57        11.1     0.06558       1.145           1          21     0.05493   2.583e+04           1
2463       189.3398285   62.3242950      0.31       377.4       10.18       421.3       19.23        36.5           5       107.6       0.061       93.01       0.082       72.39       0.431       389.8       0.505       18.15       10.25     0.01373      0.2113           1          21     0.06866   2.964e+04           1
2488       189.1442413   62.3238831      0.83       266.9        10.6         -99       1e+10        73.4         2.9       84.79       0.072        61.9       0.101       49.16        0.68          46       0.707       19.24       11.38     0.06558       0.875           1          72     0.07498          -1           0
2489       189.1454010   62.3231239      2.31       120.2       10.86         -99       1e+10        85.8         5.6       18.79       0.057       18.52       0.093       25.08       0.619       23.36       0.678       22.39       11.06      0.2609          -1         -99         -99       3.367         -99           0
2500       189.2586975   62.3233299      1.66       58.32       4.178       19.68       7.035       4.285        2.64       6.793       0.038       7.317       0.067       7.743       0.403       7.034       0.468       22.41       10.39      0.2792          -1         -99         -99       2.975         -99           1
2509       189.1477966   62.3236160      1.09       28.08       5.352         -99       1e+10     -0.3079       2.675        50.3       0.063       41.53       0.094       28.04       0.609       23.06       0.668       19.84       11.18     0.07654          -1         -99         -99       5.981         -99           0
2510       189.1793671   62.3235664      0.65       16.11       2.931   1.903e-07       7.357       2.697       2.671       5.082       0.043       3.342       0.069        2.82       0.489       1.629       0.502       21.99       9.508      0.0412      0.6823           1          21           0   1.518e+04           1
2513       189.2673492   62.3234062      0.94       137.3       4.765       96.85       6.005       9.913       2.661       24.51       0.043       17.56        0.07       15.72       0.406       13.79       0.477       20.82       10.38      0.2327       1.028           1          21      0.2782   2.347e+04           1
2518       189.3957825   62.3235626      0.63       55.26       2.034       44.44       9.643       10.27       2.815       14.81       0.041       10.39       0.068       10.31       0.422       8.105       0.472       20.87       9.838     0.01373      0.6342           1          21     0.01373   3.393e+04           1
2524       189.1831207   62.3234787      1.45       33.62       3.269       40.42       7.075       1.311       2.638       8.851       0.044       8.971       0.069       5.407       0.476       5.654       0.501        21.9       10.33     0.08626       1.423           1          72     0.06057   1.549e+04           1
