#     _id          _ra          _de       zp_X         f24        df24         f16        df16       radio      eradio       _fch1      _dfch1       _fch2      _dfch2       _fch3      _dfch3       _fch4      _dfch4       KtotX       MassX       distX       spezX          zq      source       distz         idz    goodArea
#
179        189.3303680   62.3872147      1.56       140.8       4.737       10.07       10.31       2.385       3.008       8.625       0.059        10.2       0.092       10.01       0.733        7.14        0.66        21.8       10.47      0.2983          -1         -99         -99       16.58         -99           0
180        189.3639526   62.3872528      1.22       41.58       6.118         -99       1e+10       5.091       3.138       34.48       0.062       34.08       0.131       24.05       0.717       16.97       0.918        20.6        11.1      0.1157          -1         -99         -99       21.61         -99           0
185        189.2730255   62.3870239       -99       93.67        8.46         -99       1e+10     -0.3867       3.062         -99         -99       11.76       0.167         -99         -99       8.448       1.165         -99         -99         1.1          -1         -99         -99       11.91         -99           0
186        189.2921295   62.3869972      1.21       77.94       5.373         -99       1e+10       5.541       3.357       16.97       0.137       15.45       0.117       15.41       1.647       11.35       0.854       21.11        10.5     0.04843       1.259           2          21      0.1088          -1           0
207        189.3199310   62.3851814      1.84       33.06       7.474       8.847        8.47       2.747       3.057       3.389        0.06       3.351       0.089       6.999       0.741       1.382       0.632       23.77       10.11      0.7177          -1         -99         -99       12.85         -99           0
208        189.3342133   62.3858261      1.73          33       3.747   1.903e-07       11.67       2.946        2.99       3.803       0.054       4.167        0.09       4.701       0.658       2.218       0.633       22.26       10.16      0.1028          -1         -99         -99       16.81         -99           0
213        189.2788696   62.3852005      0.61       583.8       16.55         -99       1e+10       130.1         7.4         -99         -99       84.55        0.14         -99         -99       180.9       0.946       18.88       10.72      0.1989      0.5044           1          23      0.1602          -1           0
214        189.2790375   62.3842049      2.48       83.08        9.51         -99       1e+10       4.735        3.05       14.79       0.176       16.76       0.128       31.35       2.238          31       0.904       21.79          11      0.2456          -1         -99         -99       3.465         -99           0
216        189.3811798   62.3850174      0.15       136.9       5.624         -99       1e+10       4.557       3.145        20.8       0.068       17.59       0.179       13.61       0.897       36.28       1.242       19.74        8.75     0.08679       0.159          -1          81       0.191          -1           0
217        189.3233337   62.3851357      2.91       126.7       5.715       10.65       6.439       5.672       3.078       7.551       0.059       9.524       0.087       12.49       0.702       8.393       0.619       22.18       11.69      0.1829          -1         -99         -99       8.815         -99           0
227        189.3872528   62.3847237       1.1       32.54       4.543         -99       1e+10       3.287       3.074       6.687       0.077       4.959       0.283       7.548       1.059       3.745       1.549       21.92        9.72      0.8287          -1         -99         -99          10         -99           0
239        189.3011780   62.3842163      3.34       22.33       4.214   1.903e-07       7.323      0.8037       3.305       2.534       0.077       3.191       0.095       2.908        0.96       4.767       0.682       23.29       10.84      0.1373          -1         -99         -99        6.95         -99           0
242        189.3982697   62.3841057      1.31       29.35       7.816         -99       1e+10       1.421       3.075       11.46       0.103         -99         -99       15.86       2.509       9.749       2.217       21.88       10.53      0.4434          -1         -99         -99       28.52         -99           0
245        189.3617554   62.3836441      0.83        41.5       5.763   1.903e-07       14.21       4.777       3.128       6.016       0.052       4.251       0.107       5.712       0.615       3.388       0.768       22.13        9.69     0.05786          -1         -99         -99       19.13         -99           0
247        189.3082275   62.3836327      0.02       20.96       4.809   1.903e-07       7.511       1.061       3.261       84.25       0.077       54.65       0.096       37.73       0.786       21.98       0.642       18.19       7.718     0.08679          -1           1          72      0.0412   2.695e+04           0
248        189.2747192   62.3834190      1.32       34.87       5.536         -99       1e+10       2.874       3.047         -99         -99        10.3       0.135        23.3       3.129       6.604        0.94       21.89       10.21      0.2428       1.363           1          23      0.1088          -1           0
254        189.3492737   62.3831825       1.5       11.21       4.844   1.903e-07        11.1        11.9        3.03       2.668       0.049       2.558       0.094       1.092        0.59       1.707       0.672       23.19        9.78      0.1668          -1         -99         -99       23.37         -99           0
255        189.2914581   62.3830261      1.52       367.3       11.13       316.4       13.63       624.8         3.5       55.56       0.104       73.58       0.106       105.4       1.229       168.5       0.729        20.1       11.37     0.08549          -1           2          72     0.07323   2.551e+04           1
256        189.3261261   62.3830528      2.51       486.6       13.46       98.05       12.68       28.36       2.999       37.96       0.059       50.38       0.088       56.77       0.611       42.13       0.589       20.94       11.95      0.1338          -1          -1          45     0.02546   2.848e+04           1
257        189.3730469   62.3830338      1.12       183.8        5.97         -99       1e+10       27.71       3.129       20.46       0.058       21.01       0.126       14.33       0.674       19.33       0.904       21.28       10.52     0.08549       2.431           1          72      0.1582          -1           0
262        189.3527832   62.3826752      0.32       80.29       5.139       68.98       11.26     -0.4211       3.015        30.4       0.054          20       0.098       20.28       0.588       11.29       0.683       20.07       8.678      0.1228          -1         -99         -99       26.09         -99           0
264        189.3194275   62.3825989       2.5       49.52       3.938   1.903e-07       7.227       7.078        3.02       2.222       0.054       2.727       0.082         6.3       0.645       2.421        0.59       23.43       10.54     0.06551          -1         -99         -99       11.27         -99           1
270        189.2761230   62.3823051      1.39       31.62       5.976         -99       1e+10       6.029       3.023       3.152       0.155       3.949       0.121       8.611       1.979        1.92       0.874       23.13        9.85      0.1447          -1         -99         -99       4.588         -99           0
277        189.2606659   62.3821220      2.23       23.19       7.292         -99       1e+10       7.733       3.023         -99         -99       1.381       0.169         -99         -99       1.091       1.187       23.41       10.26      0.1447          -1         -99         -99       23.84         -99           0
288        189.3411255   62.3813171      0.43       81.24       4.415       62.09       18.02       6.167       3.051       20.68       0.051       18.62       0.086       15.28       0.564       26.07       0.593       20.06       10.11      0.0868          -1         -99         -99       25.82         -99           0
289        189.3540192   62.3815117      3.15        45.3       5.898       11.35        15.5       8.312       3.075       7.374       0.048       8.591       0.094       10.57       0.564       10.97       0.665       22.26       10.96     0.03745          -1         -99         -99       28.76         -99           0
309        189.4114227   62.3808670       -99       25.47        15.9         -99       1e+10       9.406       3.054         -99         -99         -99         -99         -99         -99       1.991       2.647         -99         -99       6.947          -1         -99         -99        32.9         -99           0
314        189.3889771   62.3803711       -99       75.26       5.604         -99       1e+10       1.911       3.003       2.198       0.063       11.82       0.172       5.802       0.869       2.715       1.156         -99         -99       1.265          -1         -99         -99       21.03         -99           0
316        189.3449707   62.3803024      2.17       34.05       5.048       9.529       14.68      -0.386       3.093       7.341       0.047       8.657       0.084       9.777       0.552       5.988       0.594       22.61       11.15     0.02893          -1         -99         -99       30.02         -99           0
317        189.3559875   62.3801041      0.46       93.71       4.863        97.8       11.67       4.734       2.981       68.55       0.059       60.33       0.099        47.3       0.544       56.78       0.662       18.63       10.79     0.04843          -1         -99         -99        22.9         -99           0
330        189.2572784   62.3797035      2.38        12.3       2.902         -99       1e+10       7.637        2.97         -99         -99       1.879        0.16         -99         -99       0.733       1.099       23.15        10.1      0.2094          -1         -99         -99       26.74         -99           0
337        189.3263550   62.3793564         3       14.23       2.907       17.38       6.682     -0.4011       3.011       1.072       0.048       0.862       0.077       0.841       0.566        0.64       0.551       23.34       9.928     0.06551          -1         -99         -99       9.195         -99           1
339        189.2628784   62.3790627      0.98       24.02       3.249         -99       1e+10       2.008       2.997         -99         -99       3.967       0.134         -99         -99       2.206        0.96        22.1       10.04      0.4128          -1         -99         -99       22.43         -99           1
340        189.2966461   62.3791313      1.48       24.24       3.371       13.83       6.428       1.178       3.255       5.156       0.065       5.331       0.089       1.142       0.768        3.47       0.633       22.56       10.21     0.02893          -1         -99         -99       8.351         -99           1
343        189.3441925   62.3789711      0.86       91.33       4.385       63.68        12.2       3.843       3.039       18.03       0.048       13.32       0.083        11.7       0.534       8.816       0.578       21.09       10.36     0.02893          -1         -99         -99       26.21         -99           1
356        189.3569031   62.3785439       1.3       97.34       3.829        42.5       10.52       8.599       2.975       9.297       0.046        12.9       0.091       19.51       0.531       27.72       0.642       21.51       9.718      0.0824          -1         -99         -99       17.09         -99           0
365        189.3375244   62.3778343      1.18       23.09       3.734       23.63       9.697      0.6988       2.964       5.839       0.045       5.153       0.078        4.44       0.518       2.695        0.55       22.47       9.878     0.03746          -1         -99         -99       14.77         -99           1
368        189.3711548   62.3778992      0.77       25.28       5.664       21.56       24.52       1.232       2.984       7.246       0.049       6.447       0.104       4.497       0.574       4.605       0.747        22.6         9.4      0.1099          -1         -99         -99       18.74         -99           0
371        189.3935699   62.3781815       -99      0.2576       7.926         -99       1e+10        9.29       2.994       0.094       0.062       0.768       0.175       0.891       0.883      -2.607       1.156         -99         -99       2.354          -1         -99         -99       19.52         -99           0
