#       id       zspec       zbest       ubest       chi2_min     S_chi2_min     R_chi2_min
#
       401     1.25100     1.25100       9.700       10.26568       5.156339       5.109337
       407     1.52100     1.52100     101.000     0.05396607     0.05396293    3.14486e-06
       409    -1.00000     0.69970      12.100       6.065735     0.00947839       6.056256
       413    -1.00000     0.70330       4.900       2.214389      0.0392704       2.175118
       414    -1.00000     1.02020     101.000       5.255212      0.3309137       4.924298
       416    -1.00000     0.33580       4.900       2.453575      0.0389282       2.414646
       418    -1.00000     1.27040      18.000       6.845039       1.172112       5.672927
       421    -1.00000     1.11904       6.100       4.678565      0.5445504       4.134015
       428    -1.00000     1.08390       6.100       2.688037      0.4221977       2.265839
       429    -1.00000     0.95650     101.000       4.315182       1.429433       2.885749
       430     1.25300     1.25300      18.000         9.4017       6.595544       2.806156
       431     0.67600     0.67600       9.700         15.105      0.1168778       14.98813
       432    -1.00000     0.67250       9.700       3.406326       0.255186        3.15114
       433    -1.00000     0.40100       9.700       1.899648   2.974338e-20       1.899648
       437    -1.00000     2.79552      50.000       3.831299      0.7210758       3.110223
       438    -1.00000     1.06570     101.000       1.495212      0.2284415        1.26677
       439    -1.00000     1.35690       9.700       12.30922      0.8840765       11.42514
       442    -1.00000     1.36380       9.700     0.02910285    3.08474e-18     0.02910285
       449    -1.00000     0.19930       2.200       9.000843   2.778668e-20       9.000843
       450    -1.00000     4.74430     101.000       15.54381       4.502638       11.04117
       451     1.01900     1.01900       6.100       1.932257      0.4211708       1.511086
       468    -1.00000     4.87510     101.000       9.698172       1.104105       8.594067
       481     0.17900     0.17900     101.000        9.05204   3.306216e-18        9.05204
       482    -1.00000     1.97570      25.000       1.459184      0.1489668       1.310218
       490    -1.00000     0.98920       6.100       6.694156       0.289766        6.40439
       498    -1.00000     4.31176     101.000       2.099379   2.176013e-07       2.099378
       501    -1.00000     2.10310     101.000       5.901824      0.2237853       5.678039
       502    -1.00000     2.26928      14.500        3.31509      0.6639004       2.651189
       503    -1.00000     2.14264      25.000       7.082827       6.008424       1.074403
       505    -1.00000     3.03300      30.000       4.414171       2.770957       1.643214
       506    -1.00000     0.40100     101.000       2.390817   2.224255e-20       2.390817
       509     0.45200     0.45200       4.900       2.341658       0.580356       1.761302
       510     0.67980     0.67980      12.100    0.001481087    0.001369929   0.0001111582
       512    -1.00000     0.94740       9.700       3.793005       1.881106       1.911899
       516    -1.00000     6.50100     101.000       1.446061       0.193425       1.252636
       521     1.03700     1.03700       6.100       4.186115       1.007807       3.178309
       530     0.64000     0.64000       4.900       2.390023      0.2709145       2.119108
       532     0.97460     0.97460       6.100       1.328875      0.2253339       1.103541
       533     1.03000     1.03000      18.000       8.428398      0.9799365       7.448461
       540    -1.00000     2.46620      45.000      0.9553297     0.05567583      0.8996539
       541     0.80100     0.80100       4.900       1.283372      0.6154989      0.6678728
       546    -1.00000     2.70357     101.000   0.0003555781   0.0002897982   6.577995e-05
       547    -1.00000     2.70888      40.000     0.00316604    0.003061728   0.0001043118
       548    -1.00000     1.80502     101.000     0.05700917     0.04354715     0.01346202
       550    -1.00000     1.16920       6.100       3.169587      0.6128973        2.55669
       552     0.50450     0.50450       6.100      0.0740289    0.005402665     0.06862624
       554     0.68000     0.68000       4.900       3.603399     0.03432187       3.569077
       559    -1.00000     1.46340       9.700      0.7675487   1.722061e-20      0.7675487
       561    -1.00000     1.60510       9.700       5.333369      0.3359198       4.997449
       562    -1.00000     2.73056      50.000       10.30087       3.420331       6.880544
       564     4.05500     4.05500     101.000       4.040191    0.009630968        4.03056
       581    -1.00000     1.16447       6.100       2.764852      0.1050573       2.659795
       593    -1.00000     1.62640       9.700       7.171268      0.3024081        6.86886
       597    -1.00000     2.57520      18.000       8.394206       1.553986       6.840219
       598     1.36400     1.36400     101.000     0.04996468     0.04993008   3.459569e-05
       604    -1.00000     0.43780     101.000       1.296642   3.746317e-18       1.296642
       606     1.00800     1.00800       6.100       3.953762      0.3761093       3.577653
       620     0.80000     0.80000       4.900      0.6979819     0.06353392      0.6344479
       621    -1.00000     2.73056      35.000     0.01700974     0.01694596   6.377518e-05
       622    -1.00000     1.45582      25.000       5.716014      0.3288228       5.387191
       628     1.25500     1.25500       9.700       4.149085     0.02522726       4.123858
       631    -1.00000     1.60510      12.100       12.86861       1.622421       11.24619
       637     0.50300     0.50300       3.300    0.003553971    0.001339397    0.002214574
       638     0.71100     0.71100     101.000       2.834294   5.360893e-18       2.834294
       652    -1.00000     1.82310      25.000       8.610567      0.2099369        8.40063
       658     4.05100     4.05100     101.000       598.4015     0.02457605       598.3769
       659     4.05600     4.05600      35.000       1.469451    0.009801538       1.459649
       661    -1.00000     1.16884       6.100      0.9056119   9.251962e-20      0.9056119
       664    -1.00000     2.09703      35.000       1.357106      0.5867071       0.770399
       669     1.14200     1.14200       6.100      0.0852262     0.08043531    0.004790892
       672     0.94520     0.94520      14.500       2.993148      0.7298924       2.263256
       689     0.71300     0.71300      12.100       1.603649   2.775795e-19       1.603649
