#       id        snrIR       snr100       snr160       snr250       snr350       snr500       snr1160
#
       309       2.0587     -0.02735      0.03139      0.80627       1.7541       0.6313      0.33362
       314       2.3972    -0.049378       2.3967           -0           -0           -0           -0
       316       1.4393    -0.057444       1.4382           -0           -0           -0           -0
       317       4.2803       3.7134       1.7436       1.2216           -0           -0           -0
       330       2.0623    -0.035418       1.7305       1.1211           -0           -0           -0
       337     0.080418           -0     0.080418           -0           -0           -0           -0
       339      0.71755    -0.069314      0.71419           -0           -0           -0           -0
       340       2.7558      0.66632        2.674           -0           -0           -0           -0
       343       2.2856       1.3992       1.7535      0.43743           -0           -0           -0
       356       6.3199       4.5409        4.377      0.40402           -0           -0           -0
       365      0.82379      0.22338      0.79292           -0           -0           -0           -0
       368     0.059312    -0.039158     0.044548           -0           -0           -0           -0
       371       4.4485    -0.055133      0.92558       2.2656       1.7334      0.70085       3.2095
       374       12.717       7.1943       7.2261        7.599           -0           -0           -0
       375        8.381        3.902        2.874       3.7148       5.7407           -0           -0
       376       13.366       2.6561       4.6808       8.5793       7.9265       3.3913       1.3242
       379      0.24279    -0.077778      0.06255           -0           -0           -0      0.22133
       381       1.9285       1.4968      0.47969           -0           -0           -0       1.1174
       385       17.207       3.2451       2.3628       8.9413       11.698       7.0108       3.7443
       390     0.050958    -0.050958           -0           -0           -0           -0           -0
       391      0.93231      0.38209      0.85042           -0           -0           -0           -0
       394       6.3055       1.8324       3.1615        4.124       2.0898       1.6713       1.4961
       398      0.29381      0.29381           -0           -0           -0           -0           -0
       399       5.1538       2.4587       1.6021       3.4658       2.2095        0.909      0.47947
       401      0.78739    -0.053113       0.7856           -0           -0           -0           -0
       407       28.289       14.909       9.8724       19.709       9.5337   9.6972e-08        1.081
       409       1.8362       1.4119        1.174           -0           -0           -0           -0
       413       3.5475       1.4772       3.2253           -0           -0           -0           -0
       414       1.8173       1.8027      0.23042           -0           -0           -0           -0
       416       2.2434      0.54246       2.1768           -0           -0           -0           -0
       418       3.3311       3.1861      0.97206           -0           -0           -0           -0
       421      0.26201    -0.029848       0.2603           -0           -0           -0           -0
       428       1.5908    -0.063762       1.5895           -0           -0           -0           -0
       429       2.6299       2.6293     0.057739           -0           -0           -0           -0
       430       1.9146       1.8662       0.4281           -0           -0           -0           -0
       431       3.0011       2.6784       1.3537           -0           -0           -0           -0
       432       2.9955       2.9442      0.55252           -0           -0           -0           -0
       433        1.598       1.4399      0.54182           -0           -0   9.9775e-08      0.43232
       437       3.7153       2.7423       1.2338       2.0899           -0           -0        0.627
       438       19.554       15.673       11.578       1.0048       1.2948           -0           -0
       439      0.78034    -0.046266      0.77896           -0           -0           -0           -0
       442       13.138       6.1662       10.481       4.9259      0.68524           -0           -0
       449       17.025       11.414       9.2011       7.0695       4.9942           -0           -0
       450       3.9832       3.2195       1.0519       1.8566   8.5617e-08      0.49892      0.83571
       451    0.0083269    0.0083269           -0           -0           -0           -0           -0
       468       2.1119       1.0118      0.11955           -0           -0           -0       1.8499
       481        4.123       3.7765       1.6544           -0           -0           -0           -0
       482     0.081893    -0.050267      0.06465           -0           -0           -0           -0
       490     0.066647    -0.060455     0.028054           -0           -0           -0           -0
       498        10.57      0.90475       1.4917        9.217       3.6792       2.7682       1.5899
       501       2.5362       1.8688       1.7146   9.1529e-08           -0           -0           -0
       502      0.11236    -0.060829     0.094472           -0           -0           -0           -0
       503     0.091599    -0.067232     0.062211           -0           -0           -0           -0
       505       1.0922      -0.0476     0.045522       1.0902           -0           -0           -0
       506       2.3881       2.3232      0.10436           -0           -0           -0      0.54321
       509       1.6416       1.1453      0.49499       1.0668           -0           -0           -0
       510           23       19.476       10.703       5.3891        2.466           -0           -0
       512       3.6821        3.246       1.7382           -0           -0           -0           -0
       516       5.1629    -0.056553       0.1471       2.5536       2.2547       2.2987       3.1213
       521       1.5251       1.0361       1.1191           -0           -0           -0           -0
       530       3.1603       2.3147       2.1391      0.23162           -0           -0           -0
       532       28.842       15.398        20.72       12.152       4.2199           -0           -0
       533        2.849       1.8828       2.1382           -0           -0           -0           -0
       540       1.8191       1.6073      0.60474       0.4553      0.39064           -0           -0
       541       8.2695       4.9734        5.876       3.0202           -0           -0           -0
       546       6.6913       4.0604       5.0928       1.2575      0.58228     0.067297      0.65152
       547       10.003       6.3867        6.306       4.2258      0.69668      0.59426      0.90282
       548       7.5689       4.8943            4        3.065       2.5911       1.1071           -0
       550     0.092085    -0.051212     0.076531           -0           -0           -0           -0
       552        15.24       11.501       8.0173       5.9768           -0           -0           -0
       554       5.2819       2.8356       4.4562           -0           -0           -0           -0
       559       9.9463        4.593       7.8016       2.4946      0.94462        3.139           -0
       561      0.46401      0.46081     0.054371           -0           -0           -0           -0
       562       3.5642       3.2834      0.73367      0.73713      0.91719           -0           -0
       564       41.882       2.0378       9.8872       26.473       12.682        14.06       24.348
       581       0.9237    -0.055869      0.92201           -0           -0           -0           -0
       593       11.532       1.9233       7.6699       4.8429       1.3519       3.7724       5.5636
       597      0.80275      0.79765     0.090371           -0           -0           -0           -0
       598       8.2307       6.0601       3.5711       3.8986       1.7518           -0           -0
       604      0.18516   2.1409e-05      0.18516           -0           -0           -0           -0
       606     0.071411    -0.057415     0.042462           -0           -0           -0           -0
       620       7.2987       3.9691       5.7566       2.0926           -0           -0           -0
       621       14.122       5.1052       4.7296       9.2496       6.9956       2.6113       3.1144
       622       2.0305       2.0292     0.072814           -0           -0           -0           -0
       628       3.1342    -0.059989       3.1337           -0           -0           -0           -0
       631        3.096       2.5339        1.301      0.87783      0.83768           -0           -0
       637       6.9126       4.1464       3.7794       4.0383           -0           -0           -0
       638       17.091   8.4324e-05       4.2538       9.2081       10.762       8.5671           -0
       652       5.2526     -0.07372       4.2122       3.1371           -0           -0           -0
       658       10.788       1.8678       3.0393       8.5795        5.119       1.1212       1.6089
       659       5.3501       1.5567       2.5492       0.1103      0.47668       2.3655       3.7239
       661      0.66441      0.51511      0.41965           -0           -0           -0           -0
       664       1.4027      0.95439      0.12271       1.0206           -0           -0           -0
       669       10.921       6.5452       6.9109       4.6788       2.6026           -0           -0
       672        3.891       3.7197       1.1418           -0           -0           -0           -0
       689      0.98066       0.9769     0.085843           -0           -0           -0           -0
       692       28.415       16.422       10.641       19.139       7.6307           -0           -0
       697       2.8662       1.8098       2.2163      0.16657           -0           -0           -0
       702       2.4313      0.27051       2.4162    1.161e-07           -0           -0           -0
       710     0.088313    -0.049945     0.072833           -0           -0           -0           -0
       713       1.4726       1.4698     0.089765           -0           -0           -0           -0
       714       4.7219       1.7364       2.9785       3.1755   1.3505e-07      0.40261      0.40398
       718       3.1698      0.96802       2.8152       1.0885           -0           -0           -0
       719       2.2842      0.49003        2.231           -0           -0           -0           -0
       721       3.0835      0.23758       3.0744           -0           -0           -0           -0
       729       4.0654       3.1024       2.6274           -0           -0           -0           -0
       737       25.313       21.896       10.068       5.7255       5.2126           -0           -0
       740       2.4404       2.4402     0.033624           -0           -0           -0           -0
       748     0.092882    -0.050832     0.077738           -0           -0           -0           -0
       749        1.374    -0.026306       1.3737           -0           -0           -0           -0
       753      0.67816      0.67816           -0           -0           -0           -0           -0
       760       2.7508       2.5759      0.96544           -0           -0           -0           -0
       762       2.8515       2.8444      0.20136           -0           -0           -0           -0
       768      0.21349    -0.052084      0.20704           -0           -0           -0           -0
       776       2.8483       1.4422       2.4562           -0           -0           -0           -0
       779       1.0637       1.0637           -0           -0           -0           -0           -0
       786       1.0987      0.76224      0.79128           -0           -0           -0           -0
       793      0.10602           -0      0.10602           -0           -0           -0           -0
       804       1.3964      0.80725       1.1394           -0           -0           -0           -0
       805       3.2769       1.7477      0.81365       2.6498           -0           -0           -0
       807       10.109       4.8227       6.5316       5.8079       1.4688   1.0003e-07      0.62116
       808       8.0008       7.5307       2.7021   7.1248e-08           -0           -0           -0
       809      0.46057      0.42684      0.17301           -0           -0           -0           -0
       825      0.94518      0.61288      0.71955           -0           -0           -0           -0
       826       2.7864       1.7265       2.1742      0.23662           -0           -0           -0
       827       29.714       12.175       16.074       5.6873       18.332       10.318        1.196
       837       4.1863       1.2755       1.4147       3.5305   1.2963e-07       1.1643       0.2765
       841       2.2808      0.65948       1.4397      0.81529   8.5416e-08   4.5777e-08       1.4247
       849       3.7408       1.3154     0.051296       3.5015           -0           -0           -0
       860       5.6539      0.10243       1.6895       3.3065       2.8398           -0       3.1789
       866      0.86497    -0.057532      0.86305           -0           -0           -0           -0
       867       3.6366       0.2951       3.6246           -0           -0           -0           -0
       870       22.374       16.822        13.72       5.3614      0.80388           -0           -0
       872       8.1903       2.4614     0.066667       7.4041       2.4895           -0           -0
       877       4.4734      0.47366     0.045819        4.448           -0           -0           -0
       878       5.0073       4.0917       2.8862           -0           -0           -0           -0
       881       3.0016       2.5647       1.5595           -0           -0           -0           -0
       884       7.8273      0.27693       7.8223           -0           -0           -0           -0
       885       6.6845       6.5948       1.0918           -0           -0           -0           -0
       886       2.4208       1.9561       1.4261           -0           -0           -0           -0
       892       1.2088    -0.020519       1.2086           -0           -0           -0           -0
       893       16.844       8.8506       6.7351       12.058       3.8238           -0           -0
       899      0.74528        0.743     0.058338           -0           -0           -0           -0
       902       9.9474       6.5824       6.6425       3.3913           -0           -0           -0
       915       9.3267       2.1581       8.5522       2.7885       0.7782     0.084215      0.89464
       917       15.313       5.0574        5.753       7.2288        8.352       7.3351           -0
       922       2.2218        1.046       1.9601           -0           -0           -0           -0
       923       14.845       5.5309       8.6647       9.4102        4.258       2.8086      0.36715
       924      0.35415    -0.072888      0.34657           -0           -0           -0           -0
