#       id        snr16         snr24
#
      1202       3.2367       3.5566
      1208       1.3543       5.6209
      1221       13.667       25.255
      1222      0.64052       5.8638
      1225           -0       35.941
      1235           -0       36.346
      1239       41.785       135.53
      1248           -0       43.415
      1252      0.15283        5.226
      1253       4.5539       16.543
      1262           -0    -0.057519
      1269           -0       15.719
      1270        6.333       20.382
      1273       3.0157       9.3545
      1278       4.4457       13.199
      1284       2.8534       3.1342
      1285       5.0119        37.83
      1293       13.482       22.332
      1303       1.5239        8.809
      1306       18.425       11.367
      1313           -0         24.8
      1315       6.2648       26.305
      1320       10.312       18.457
      1334       2.0043       3.9452
      1335       13.934       30.106
      1337           -0        32.14
      1338       12.215       24.863
      1341       23.116       43.576
      1342       4.5167       5.5942
      1348       1.4061       8.5327
      1350           -0       10.126
      1355           -0       8.4698
      1357        6.765       10.894
      1367       1.6144       7.1634
      1368       1.3311       55.274
      1369      0.41872        17.63
      1371       6.6189       12.069
      1384           -0       22.013
      1387           -0       10.853
      1391      0.50069       4.4927
      1393           -0       5.9982
      1394           -0       20.157
      1396       2.7653       9.0973
      1401      0.11508       6.5787
      1402       1.2447       5.1433
      1416       1.9824       3.9177
      1419       7.8178       15.186
      1420           -0       19.917
      1434       13.222       35.537
      1437       1.4178       36.897
      1445       10.782       47.286
      1449       9.0133       24.361
      1452           -0       15.111
      1458       10.919       24.323
      1469           -0       3.8708
      1475       29.048       46.386
      1476       10.857       14.092
      1477       3.2753       22.014
      1479           -0       6.8053
      1480           -0        9.998
      1490       3.6555       31.291
      1491       22.154       27.356
      1495           -0       1.4522
      1497      0.13746       16.605
      1501       14.172       23.918
      1502       1.7626       1.8614
      1513           -0       12.303
      1515        19.97       9.9894
      1520       6.9034       7.1297
      1524       6.0513       15.312
      1525       2.9389       11.667
      1532           -0       4.4316
      1533       30.378        53.37
      1543      0.53514       7.5123
      1544      0.40158       11.514
      1545           -0       5.7876
      1548       1.6292       4.3551
      1551      0.52488       4.9564
      1556        1.891        4.731
      1558           -0       8.0423
      1563           -0       6.7242
      1567       14.154       28.633
      1569           -0       24.644
      1579       10.925           25
      1592       9.3228       19.021
      1593       8.4138       15.371
      1602       3.9431       9.0068
      1604           -0       4.7235
      1606       5.2052       11.243
      1616           -0       15.489
      1618           -0       48.752
      1622       4.8955       9.9371
      1626      0.10639        4.262
      1629       2.1785       9.8102
      1631       3.6995       22.311
      1633       35.392       111.49
      1634     0.079075       5.0864
      1638        3.722       10.303
      1644       6.1196        10.22
      1648       75.251       276.59
      1650           -0      0.91174
      1651       3.1456       16.243
      1662       3.8011       4.8249
      1673           -0       16.907
      1693       6.3636       26.846
      1702      0.19098       3.7591
      1709       4.3605        7.403
      1710       1.7529       5.0144
      1711      0.11594       6.8041
      1712       2.4352       28.308
      1717       1.9174         5.24
      1724       9.5774       8.2394
      1734           -0       4.7822
      1735       3.0365       20.762
      1737       17.959       37.222
      1740       1.8285       11.792
      1741        4.841       33.891
      1747           -0       5.4071
      1753       2.9601        30.86
      1762       2.3999       38.883
      1764       1.6418       18.185
      1775       1.2171       8.3107
      1779       6.2457        6.115
      1813           -0       4.4297
      1814           -0       9.1106
      1818       4.7401       9.4844
      1822        2.806       9.5186
      1824           -0       3.5077
      1836       6.5105       8.2221
      1843       6.6307       18.724
      1847        5.144       15.932
      1850       2.7603       22.078
      1855       1.4628       1.4644
      1859       2.6919       5.6254
      1865       1.0975       5.8127
      1866       19.474       27.566
      1870           -0       6.1607
      1880       14.342       27.204
      1886       1.1918       4.3451
      1894       2.8961       7.4734
      1899      0.09839       4.9857
      1907      0.21921       5.1366
      1908       6.6779       12.753
      1918       2.9295       12.531
      1919      0.72202       4.3078
      1921           -0       3.5428
      1930       42.664         98.1
      1937       2.5048       7.2786
      1938       0.1613       5.8853
      1944       16.784       24.978
      1945      0.13205        4.449
      1951       12.334       18.009
      1960           -0       9.9842
      1961       3.1941       16.513
      1968       7.3831       12.451
      1973       6.8608       13.694
      1990       1.0855        7.913
      1999           -0         5.44
      2007           -0       3.3951
      2022      0.54836       6.7449
      2025       5.8372       18.828
      2032     0.041624       5.2342
      2046       4.2065       5.1895
      2052           -0       13.274
      2054       8.4989       13.661
      2056       4.7481       9.3239
      2059           -0       9.1891
      2061           -0       52.028
      2089        1.289       4.7915
      2094       51.703       130.48
      2099       1.7484     -0.13926
      2101           -0       7.3235
      2106      0.15858       9.7178
      2115       2.8354       4.8236
      2124           -0       12.739
      2129           -0       6.7545
      2135       48.388       122.59
      2137      0.13973       6.2009
      2140      0.11855       7.0869
      2141       11.426       64.493
      2144           -0       30.484
      2147       5.9928       11.984
      2150       12.021       18.152
      2152       2.2661       7.9425
      2160       7.8135       13.614
      2163       3.0697       6.0154
      2175       1.2223       3.6396
      2181           -0       6.6697
      2185       5.4017       35.953
      2189      0.15173       4.6374
      2192      0.14865       6.3598
      2195      0.42786       1.1689
      2196       1.6724       6.3545
      2197       11.329       75.034
      2202       13.964       25.988
