#   coo_zmin    coo_zmax    coo_zcen    coo_zdis         coo_zvol
#
      2.5000      2.5000      2.5000      0.0000               0
      2.5000      2.5100      2.5050      0.0100       4830.2717
      2.5000      2.5200      2.5100      0.0200       9660.6352
      2.5000      2.5300      2.5150      0.0300       14491.033
      2.5000      2.5400      2.5200      0.0400       19321.387
      2.5000      2.5500      2.5250      0.0500       24151.651
      2.5000      2.5600      2.5300      0.0600        28981.64
      2.5000      2.5700      2.5350      0.0700       33811.532
      2.5000      2.5800      2.5400      0.0800       38640.908
      2.5000      2.5900      2.5450      0.0900       43469.952
      2.5000      2.6000      2.5500      0.1000       48298.571
      2.5000      2.6100      2.5550      0.1100       53126.532
      2.5000      2.6200      2.5600      0.1200       57953.925
      2.5000      2.6300      2.5650      0.1300       62780.766
      2.5000      2.6400      2.5700      0.1400       67606.939
      2.5000      2.6500      2.5750      0.1500       72431.907
      2.5000      2.6600      2.5800      0.1600       77256.291
      2.5000      2.6700      2.5850      0.1700       82079.904
      2.5000      2.6800      2.5900      0.1800       86902.225
      2.5000      2.6900      2.5950      0.1900       91723.643
      2.5000      2.7000      2.6000      0.2000        96543.91
      2.5000      2.7100      2.6050      0.2100       101363.18
      2.5000      2.7200      2.6100      0.2200       106181.06
      2.5000      2.7300      2.6150      0.2300       110997.84
      2.5000      2.7400      2.6200      0.2400       115812.83
      2.5000      2.7500      2.6250      0.2500          120627
      2.5000      2.7600      2.6300      0.2600       125439.09
      2.5000      2.7700      2.6350      0.2700       130250.14
      2.5000      2.7800      2.6400      0.2800       135059.85
      2.5000      2.7900      2.6450      0.2900       139867.86
      2.5000      2.8000      2.6500      0.3000       144673.45
      2.5000      2.8100      2.6550      0.3100       149478.52
      2.5000      2.8200      2.6600      0.3200       154280.86
      2.5000      2.8300      2.6650      0.3300       159081.95
      2.5000      2.8400      2.6700      0.3400       163881.03
      2.5000      2.8500      2.6750      0.3500       168678.05
      2.5000      2.8600      2.6800      0.3600       173473.13
      2.5000      2.8700      2.6850      0.3700       178266.43
      2.5000      2.8800      2.6900      0.3800        183057.9
      2.5000      2.8900      2.6950      0.3900       187846.46
      2.5000      2.9000      2.7000      0.4000       192633.52
      2.5000      2.9100      2.7050      0.4100       197419.08
      2.5000      2.9200      2.7100      0.4200       202201.53
      2.5000      2.9300      2.7150      0.4300       206981.93
      2.5000      2.9400      2.7200      0.4400       211759.78
      2.5000      2.9500      2.7250      0.4500       216535.25
      2.5000      2.9600      2.7300      0.4600       221309.04
      2.5000      2.9700      2.7350      0.4700       226079.88
      2.5000      2.9800      2.7400      0.4800       230848.21
      2.5000      2.9900      2.7450      0.4900       235614.78
      2.5000      3.0000      2.7500      0.5000       240377.96
