#   coo_zmin    coo_zmax    coo_zcen    coo_zdis         coo_zvol
#
      3.0000      3.0000      3.0000      0.0000               0
      3.0000      3.0200      3.0100      0.0200       9525.2614
      3.0000      3.0400      3.0200      0.0400       19040.334
      3.0000      3.0600      3.0300      0.0600       28544.876
      3.0000      3.0800      3.0400      0.0800        38038.68
      3.0000      3.1000      3.0500      0.1000       47521.457
      3.0000      3.1200      3.0600      0.1200       56992.739
      3.0000      3.1400      3.0700      0.1400       66452.707
      3.0000      3.1600      3.0800      0.1600       75900.614
      3.0000      3.1800      3.0900      0.1800       85336.599
      3.0000      3.2000      3.1000      0.2000       94760.365
      3.0000      3.2200      3.1100      0.2200       104171.57
      3.0000      3.2400      3.1200      0.2400        113569.7
      3.0000      3.2600      3.1300      0.2600       122955.17
      3.0000      3.2800      3.1400      0.2800       132327.36
      3.0000      3.3000      3.1500      0.3000       141686.37
      3.0000      3.3200      3.1600      0.3200       151031.48
      3.0000      3.3400      3.1700      0.3400       160363.39
      3.0000      3.3600      3.1800      0.3600       169680.99
      3.0000      3.3800      3.1900      0.3800       178984.86
      3.0000      3.4000      3.2000      0.4000       188273.75
      3.0000      3.4200      3.2100      0.4200       197548.79
      3.0000      3.4400      3.2200      0.4400       206809.64
      3.0000      3.4600      3.2300      0.4600       216054.89
      3.0000      3.4800      3.2400      0.4800       225285.34
      3.0000      3.5000      3.2500      0.5000        234501.1
      3.0000      3.5200      3.2600      0.5200       243701.79
      3.0000      3.5400      3.2700      0.5400       252887.26
      3.0000      3.5600      3.2800      0.5600       262057.04
      3.0000      3.5800      3.2900      0.5800       271211.62
      3.0000      3.6000      3.3000      0.6000       280350.56
      3.0000      3.6200      3.3100      0.6200       289473.38
      3.0000      3.6400      3.3200      0.6400       298580.26
      3.0000      3.6600      3.3300      0.6600       307671.83
      3.0000      3.6800      3.3400      0.6800       316747.62
      3.0000      3.7000      3.3500      0.7000          325806
      3.0000      3.7200      3.3600      0.7200       334848.33
      3.0000      3.7400      3.3700      0.7400       343874.54
      3.0000      3.7600      3.3800      0.7600       352885.38
      3.0000      3.7800      3.3900      0.7800       361878.66
      3.0000      3.8000      3.4000      0.8000       370855.54
      3.0000      3.8200      3.4100      0.8200       379815.93
      3.0000      3.8400      3.4200      0.8400       388759.77
      3.0000      3.8600      3.4300      0.8600       397686.96
      3.0000      3.8800      3.4400      0.8800       406597.42
      3.0000      3.9000      3.4500      0.9000        415489.6
      3.0000      3.9200      3.4600      0.9200        424366.9
      3.0000      3.9400      3.4700      0.9400       433226.24
      3.0000      3.9600      3.4800      0.9600       442068.02
      3.0000      3.9800      3.4900      0.9800       450892.69
      3.0000      4.0000      3.5000      1.0000       459701.86
