#   coo_zmin    coo_zmax    coo_zcen    coo_zdis         coo_zvol
#
      1.5000      1.5000      1.5000      0.0000               0
      1.5000      1.5100      1.5050      0.0100        4230.594
      1.5000      1.5200      1.5100      0.0200       8475.7182
      1.5000      1.5300      1.5150      0.0300       12735.144
      1.5000      1.5400      1.5200      0.0400       17008.624
      1.5000      1.5500      1.5250      0.0500       21295.868
      1.5000      1.5600      1.5300      0.0600       25596.683
      1.5000      1.5700      1.5350      0.0700       29910.835
      1.5000      1.5800      1.5400      0.0800       34238.018
      1.5000      1.5900      1.5450      0.0900       38578.007
      1.5000      1.6000      1.5500      0.1000       42930.597
      1.5000      1.6100      1.5550      0.1100       47295.548
      1.5000      1.6200      1.5600      0.1200       51672.785
      1.5000      1.6300      1.5650      0.1300       56061.811
      1.5000      1.6400      1.5700      0.1400       60462.677
      1.5000      1.6500      1.5750      0.1500         64874.7
      1.5000      1.6600      1.5800      0.1600       69298.241
      1.5000      1.6700      1.5850      0.1700       73732.812
      1.5000      1.6800      1.5900      0.1800       78178.018
      1.5000      1.6900      1.5950      0.1900       82634.035
      1.5000      1.7000      1.6000      0.2000       87100.301
      1.5000      1.7100      1.6050      0.2100       91576.859
      1.5000      1.7200      1.6100      0.2200       96063.202
      1.5000      1.7300      1.6150      0.2300       100559.61
      1.5000      1.7400      1.6200      0.2400       105065.56
      1.5000      1.7500      1.6250      0.2500       109580.73
      1.5000      1.7600      1.6300      0.2600       114105.12
      1.5000      1.7700      1.6350      0.2700       118638.64
      1.5000      1.7800      1.6400      0.2800       123180.96
      1.5000      1.7900      1.6450      0.2900       127732.02
      1.5000      1.8000      1.6500      0.3000       132290.92
      1.5000      1.8100      1.6550      0.3100       136858.55
      1.5000      1.8200      1.6600      0.3200        141434.3
      1.5000      1.8300      1.6650      0.3300       146017.82
      1.5000      1.8400      1.6700      0.3400       150609.06
      1.5000      1.8500      1.6750      0.3500       155207.99
      1.5000      1.8600      1.6800      0.3600       159814.07
      1.5000      1.8700      1.6850      0.3700       164427.29
      1.5000      1.8800      1.6900      0.3800        169047.8
      1.5000      1.8900      1.6950      0.3900       173675.05
      1.5000      1.9000      1.7000      0.4000       178308.84
      1.5000      1.9100      1.7050      0.4100       182949.18
      1.5000      1.9200      1.7100      0.4200       187596.07
      1.5000      1.9300      1.7150      0.4300       192248.74
      1.5000      1.9400      1.7200      0.4400       196908.24
      1.5000      1.9500      1.7250      0.4500       201573.35
      1.5000      1.9600      1.7300      0.4600       206243.63
      1.5000      1.9700      1.7350      0.4700       210919.37
      1.5000      1.9800      1.7400      0.4800       215601.74
      1.5000      1.9900      1.7450      0.4900       220288.74
      1.5000      2.0000      1.7500      0.5000       224981.15
