#        cooFIR         snrFIR             id         snr100          snr160
#
              0       0.385276            661       0.385276              0
              0       0.912489            664       0.910218      0.0643324
              1        10.4438            669        6.85041        7.88316
              0        3.86989            672        3.68526        1.18107
              0        1.01116            689        1.00938      0.0600315
              1        18.8966            692        14.9727        11.5282
              0        2.01055            697        1.50955          1.328
              0        2.63586            702       0.228235        2.62596
              0    4.30769e-05            710    4.00213e-05    1.59348e-05
              0         1.5024            713         1.5024    2.18741e-05
              0        4.07987            714        1.36467        3.84487
              0        2.80078            718       0.764572         2.6944
              0        1.87117            719       0.356536        1.83688
              0        2.83835            721       0.175997        2.83289
              0        4.37115            729        3.30007        2.86644
              1        23.4537            737        19.6773        12.7624
              0        2.03723            740        2.03723    7.20039e-06
              0    3.77826e-05            748    3.39495e-05    1.65818e-05
              0        1.67035            749    1.53768e-05        1.67035
              0        0.67097            753        0.67097            -99
              0        2.67016            760        2.31866        1.32423
              0        2.98044            762        2.96178       0.332948
              0       0.652544            768      0.0237563       0.652111
              0        3.01552            776        1.53944        2.59297
              0       0.877102            779       0.877102    2.28171e-05
              0        1.29501            786       0.742343        1.06112
              0    5.69187e-05            793    5.19131e-05    2.33402e-05
              0        1.63688            804       0.846211        1.40118
              0        2.20449            805        1.95875        1.01148
              1        8.12091            807        6.34112        5.07341
              1        8.09518            808        7.81111        2.12567
              0       0.281825            809       0.281737      0.0070622
              0        1.11044            825       0.614039       0.925219
              0        3.22635            826        1.66032        2.76635
              1         17.641            827         12.761        12.1804
              0        1.56998            837        1.06448          1.154
              0       0.742818            841        0.44782       0.592652
              0        1.10139            849        1.10139    1.68991e-05
              0        1.41319            860      0.0523868        1.41222
              0        1.13951            866    3.58486e-05        1.13951
              0        2.58084            867       0.215791         2.5718
              1        20.5642            870        16.4812        12.2986
              0        2.88698            872        2.88698    1.52915e-05
              0       0.373887            877       0.373887    9.13965e-06
              0        4.69584            878        4.32226        1.83548
              0        2.22892            881        2.10481       0.733387
              1        6.77373            884       0.123999        6.77259
              1         8.2515            885        8.14637        1.31299
              0         2.5439            886        1.88653        1.70659
              0        1.57378            892      0.0591837        1.57266
              1        11.0448            893        7.95095        7.66618
              0       0.482248            899       0.482248    1.67008e-05
              1        8.97015            902        6.25202         6.4324
