#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         337.535         31.5585        0.174031       0.0934969       0.0382321               1         14.0478               1         14.0478
            8.3         299.249         44.3435        0.250395        0.148183       0.0605938               1         7.73956               1         7.73956
            8.5         265.143         62.2697        0.360268        0.234854       0.0960348               0           1e-30               0           1e-30
            8.7         234.694         87.3573        0.518353        0.372218        0.152205               0           1e-30               0           1e-30
            8.9         207.419         122.362        0.745806        0.589925        0.241228               0           1e-30               0           1e-30
            9.1         182.862          170.97         1.07306        0.934969        0.382321               3         38.6409               3         38.6409
            9.3         160.581         237.953         1.54392         1.48183        0.605938               5         20.2114               1         4.68464
            9.5          140.14         329.124          2.2214         2.34854        0.960348               9         41.9728               0           1e-30
            9.7         121.101         450.758         3.19614         3.72218         1.52205              21         160.873               0           1e-30
            9.9         103.024         607.762          4.5986         5.89925         2.41228              35         397.073               4         108.744
           10.1         85.4981         799.381         6.61646         9.34969         3.82321              50         796.016               5         251.361
           10.3         68.2188         1005.97         9.51976         14.7463         6.05938              53         765.705               2          98.635
           10.5         51.1435         1136.05          13.697          22.213         9.60348              47          788.71               0           1e-30
           10.7         34.7364         1099.81         19.7072         31.6616         15.2205              25         543.519               1         58.2521
           10.9         20.1742         861.498         28.3548         42.7029         24.1228              20         835.356               2         293.207
           11.1         9.14246         498.248         40.7968         54.4982         38.2321              12          308.23               0           1e-30
           11.3          2.7962         184.025         58.6983         65.8123         60.5938               8         139.325               0           1e-30
           11.5        0.458623         34.4896         84.4551         75.2025         96.0348               0           1e-30               0           1e-30
           11.7       0.0280219         2.27853         121.514         81.3125         152.205               0           1e-30               0           1e-30
           11.9     0.000358093       0.0297905         174.834         83.1921         241.228               0           1e-30               0           1e-30
           12.1     3.83496e-07     3.08864e-05         251.551         80.5391         382.321               0           1e-30               0           1e-30
           12.3     8.08126e-12     5.96227e-10         361.931         73.7789         605.938               0           1e-30               0           1e-30
           12.5     3.37181e-19     2.15636e-17         520.746         63.9524         960.348               0           1e-30               0           1e-30
           12.7     7.31217e-31     3.83556e-29         749.249         52.4544         1522.05               0           1e-30               0           1e-30
           12.9     2.56952e-49     1.04606e-47         1078.02         40.7105         2412.28               0           1e-30               0           1e-30
           13.1     1.55908e-78     4.66123e-77         1551.05         29.8973         3823.21               0           1e-30               0           1e-30
