#         SchechterM          SchechterP     SchechterP_log10
#
                7.87          0.00851849            -2.06964
                7.88          0.00842088            -2.07464
                7.89          0.00832437            -2.07965
                 7.9          0.00822896            -2.08466
                7.91          0.00813463            -2.08966
                7.92          0.00804138            -2.09467
                7.93          0.00794918            -2.09968
                7.94          0.00785803            -2.10469
                7.95          0.00776792             -2.1097
                7.96          0.00767883            -2.11471
                7.97          0.00759074            -2.11972
                7.98          0.00750366            -2.12473
                7.99          0.00741757            -2.12974
                   8          0.00733245            -2.13475
                8.01           0.0072483            -2.13976
                8.02          0.00716511            -2.14478
                8.03          0.00708285            -2.14979
                8.04          0.00700153            -2.15481
                8.05          0.00692113            -2.15982
                8.06          0.00684164            -2.16484
                8.07          0.00676306            -2.16986
                8.08          0.00668536            -2.17488
                8.09          0.00660854            -2.17989
                 8.1          0.00653259            -2.18491
                8.11          0.00645751            -2.18994
                8.12          0.00638327            -2.19496
                8.13          0.00630987            -2.19998
                8.14           0.0062373              -2.205
                8.15          0.00616556            -2.21003
                8.16          0.00609462            -2.21505
                8.17          0.00602449            -2.22008
                8.18          0.00595515            -2.22511
                8.19          0.00588659            -2.23014
                 8.2          0.00581881            -2.23517
                8.21          0.00575179             -2.2402
                8.22          0.00568553            -2.24523
                8.23          0.00562002            -2.25026
                8.24          0.00555524             -2.2553
                8.25           0.0054912            -2.26033
                8.26          0.00542788            -2.26537
                8.27          0.00536527            -2.27041
                8.28          0.00530337            -2.27545
                8.29          0.00524217            -2.28049
                 8.3          0.00518166            -2.28553
                8.31          0.00512183            -2.29058
                8.32          0.00506267            -2.29562
                8.33          0.00500418            -2.30067
                8.34          0.00494634            -2.30572
                8.35          0.00488916            -2.31077
                8.36          0.00483262            -2.31582
                8.37          0.00477671            -2.32087
                8.38          0.00472143            -2.32593
                8.39          0.00466678            -2.33098
                 8.4          0.00461273            -2.33604
                8.41           0.0045593             -2.3411
                8.42          0.00450646            -2.34616
                8.43          0.00445422            -2.35123
                8.44          0.00440256            -2.35629
                8.45          0.00435148            -2.36136
                8.46          0.00430097            -2.36643
                8.47          0.00425103            -2.37151
                8.48          0.00420164            -2.37658
                8.49          0.00415281            -2.38166
                 8.5          0.00410453            -2.38674
                8.51          0.00405678            -2.39182
                8.52          0.00400957             -2.3969
                8.53          0.00396288            -2.40199
                8.54          0.00391672            -2.40708
                8.55          0.00387107            -2.41217
                8.56          0.00382593            -2.41726
                8.57          0.00378129            -2.42236
                8.58          0.00373715            -2.42746
                8.59           0.0036935            -2.43256
                 8.6          0.00365034            -2.43767
                8.61          0.00360766            -2.44277
                8.62          0.00356545            -2.44789
                8.63          0.00352371              -2.453
                8.64          0.00348243            -2.45812
                8.65          0.00344161            -2.46324
                8.66          0.00340124            -2.46836
                8.67          0.00336132            -2.47349
                8.68          0.00332184            -2.47862
                8.69           0.0032828            -2.48376
                 8.7          0.00324419            -2.48889
                8.71          0.00320601            -2.49403
                8.72          0.00316825            -2.49918
                8.73          0.00313091            -2.50433
                8.74          0.00309398            -2.50948
                8.75          0.00305745            -2.51464
                8.76          0.00302133             -2.5198
                8.77           0.0029856            -2.52497
                8.78          0.00295027            -2.53014
