#         SchechterM          SchechterP     SchechterP_log10
#
                7.86           0.0109316            -1.96131
                7.87           0.0108267             -1.9655
                7.88           0.0107229            -1.96969
                7.89             0.01062            -1.97387
                 7.9           0.0105182            -1.97806
                7.91           0.0104173            -1.98224
                7.92           0.0103175            -1.98643
                7.93           0.0102186            -1.99061
                7.94           0.0101207            -1.99479
                7.95           0.0100237            -1.99897
                7.96          0.00992768            -2.00315
                7.97           0.0098326            -2.00733
                7.98          0.00973845            -2.01151
                7.99          0.00964522            -2.01569
                   8           0.0095529            -2.01986
                8.01          0.00946148            -2.02404
                8.02          0.00937095            -2.02822
                8.03          0.00928131            -2.03239
                8.04          0.00919254            -2.03656
                8.05          0.00910463            -2.04074
                8.06          0.00901757            -2.04491
                8.07          0.00893137            -2.04908
                8.08            0.008846            -2.05325
                8.09          0.00876147            -2.05742
                 8.1          0.00867775            -2.06159
                8.11          0.00859485            -2.06576
                8.12          0.00851275            -2.06993
                8.13          0.00843146             -2.0741
                8.14          0.00835095            -2.07826
                8.15          0.00827122            -2.08243
                8.16          0.00819226             -2.0866
                8.17          0.00811407            -2.09076
                8.18          0.00803664            -2.09493
                8.19          0.00795996            -2.09909
                 8.2          0.00788402            -2.10325
                8.21          0.00780881            -2.10742
                8.22          0.00773433            -2.11158
                8.23          0.00766058            -2.11574
                8.24          0.00758753             -2.1199
                8.25          0.00751519            -2.12406
                8.26          0.00744355            -2.12822
                8.27           0.0073726            -2.13238
                8.28          0.00730234            -2.13654
                8.29          0.00723275             -2.1407
                 8.3          0.00716384            -2.14485
                8.31          0.00709559            -2.14901
                8.32          0.00702799            -2.15317
                8.33          0.00696105            -2.15733
                8.34          0.00689475            -2.16148
                8.35          0.00682909            -2.16564
                8.36          0.00676406            -2.16979
                8.37          0.00669965            -2.17395
                8.38          0.00663586             -2.1781
                8.39          0.00657269            -2.18226
                 8.4          0.00651012            -2.18641
                8.41          0.00644815            -2.19056
                8.42          0.00638677            -2.19472
                8.43          0.00632599            -2.19887
                8.44          0.00626578            -2.20302
                8.45          0.00620615            -2.20718
                8.46          0.00614709            -2.21133
                8.47           0.0060886            -2.21548
                8.48          0.00603066            -2.21964
                8.49          0.00597328            -2.22379
                 8.5          0.00591644            -2.22794
