#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         208.656         19.5086        0.174031       0.0934969       0.0382321               1         14.0478               1         14.0478
            8.3         180.513         26.7489        0.250395        0.148183       0.0605938               1         7.73956               1         7.73956
            8.5         155.953         36.6261        0.360268        0.234854       0.0960348               0           1e-30               0           1e-30
            8.7         134.441         50.0414        0.518353        0.372218        0.152205               0           1e-30               0           1e-30
            8.9         115.498         68.1352        0.745806        0.589925        0.241228               0           1e-30               0           1e-30
            9.1         98.6904         92.2725         1.07306        0.934969        0.382321               3         38.6409               3         38.6409
            9.3         83.6301         123.925         1.54392         1.48183        0.605938               5         20.2114               1         4.68464
            9.5         69.9854         164.363          2.2214         2.34854        0.960348               9         41.9728               0           1e-30
            9.7         57.5164         214.086         3.19614         3.72218         1.52205              21         160.873               0           1e-30
            9.9         46.1434         272.212          4.5986         5.89925         2.41228              35         397.073               4         108.744
           10.1         36.0335         336.902         6.61646         9.34969         3.82321              50         796.016               5         251.361
           10.3          27.597         406.952         9.51976         14.7463         6.05938              53         765.705               2          98.635
           10.5         21.1396         469.574          13.697          22.213         9.60348              47          788.71               0           1e-30
           10.7         16.0499         508.166         19.7072         31.6616         15.2205              25         543.519               1         58.2521
           10.9          10.644          454.53         28.3548         42.7029         24.1228              20         835.356               2         293.207
           11.1         4.68214         255.168         40.7968         54.4982         38.2321              12          308.23               0           1e-30
           11.3        0.921016         60.6142         58.6983         65.8123         60.5938               8         139.325               0           1e-30
           11.5       0.0471582         3.54642         84.4551         75.2025         96.0348               0           1e-30               0           1e-30
           11.7      0.00028332       0.0230374         121.514         81.3125         152.205               0           1e-30               0           1e-30
           11.9     5.77133e-08     4.80129e-06         174.834         83.1921         241.228               0           1e-30               0           1e-30
           12.1     5.43405e-14     4.37653e-12         251.551         80.5391         382.321               0           1e-30               0           1e-30
           12.3     9.72569e-24     7.17551e-22         361.931         73.7789         605.938               0           1e-30               0           1e-30
           12.5     2.13002e-39      1.3622e-37         520.746         63.9524         960.348               0           1e-30               0           1e-30
           12.7     1.97137e-64     1.03407e-62         749.249         52.4544         1522.05               0           1e-30               0           1e-30
           12.9    2.53486e-104    1.03196e-102         1078.02         40.7105         2412.28               0           1e-30               0           1e-30
           13.1    9.24794e-168    2.76488e-166         1551.05         29.8973         3823.21               0           1e-30               0           1e-30
