# Merged IRAC+MIPS GOODS-N catalog
# M. Dickinson, R. Chary, + the GOODS team
#
# ra, dec    = RA,Dec from IRAC catalog (d0.35, corrected to ACSv2 reference frame: Dec(wcsv2) = Dec(wcsv1) - 0.0000889 deg
# id         = IRAC ID (d0.35)
# eflagsch?  = External bit flag in IRAC catalog for channel ?=1,2,3,4.  Bit values: [0: >50% exptime; 1: <50% exptime; 2: <20% exptime; 16: muxbleed; 64: no data]
# fch?T      = Aperture corrected "total" flux density (microJy) for channel ?; -99 if no data. 
#                 N.B.: The aperture correction assumes compact/point source; this will underestimate flux for substantially extended galaxies.
# dfch?T     = Formal flux error for ch? ; -99 if no data.  N.B.: this includes background shot noise *only* and no term for crowding/confusion.  Use carefully!
# idmips     = ID from MIPS catalog (v0.91 for CDFS; v1.0 for HDFN)  (-1 if no counterpart, CDFS catalog only)
# f24        = 24um flux density in microJy (-1 if no counterpart, CDFS catalog only).  N.B.: Flux is non-negative but may be 0.0
# df24       = 24um flux density uncertainty in microJy (-1 if no counterpart, CDFS catalog only)
# 
#      ra         dec         id  eflagsch1 fch1T     dfch1T  eflagsch2 fch2T     dfch2T  eflagsch3 fch3T     dfch3T  eflagsch4 fch4T     dfch4T  idmips      f24    df24
#
 189.3221478  62.3986201      32     3      0.027      0.208     3      0.050      0.184     3      2.274      2.846     3     -0.654      1.162      32    20.30   13.90
 189.3060303  62.3981241      33    67    -99.000    -99.000     3      0.844      0.179    67    -99.000    -99.000     3     -0.146      1.181      33     4.41    9.08
 189.3251911  62.3984180      34     3     -0.189      0.196     3      0.325      0.173     3     -0.877      2.597     3      0.154      1.175      34     7.84    9.93
 189.3341997  62.3983149      35     3     -0.230      0.128     3      0.790      0.167     3      9.472      1.737     3     -1.911      1.154      35    21.60   12.50
 189.3627301  62.3979463      36     3     41.078      0.121     3     39.267      0.455     3     38.598      2.011     3     77.151      1.858      36   177.00    9.62
 189.3611776  62.3978654      37     3      6.829      0.108     3     14.495      0.386     3     11.405      1.847     3     12.975      1.778      37     6.94    9.61
 189.3673753  62.3982151      38     3      1.808      0.152    67    -99.000    -99.000     3      7.493      2.003     3      8.538      2.339      38     0.00   20.80
 189.3104580  62.3979580      39    67    -99.000    -99.000     3      0.027      0.161     3    -99.000    -99.000     3      0.205      1.112      39     7.86   10.60
 189.3466287  62.3979349      40     3     -0.040      0.108     3     -0.062      0.214     3      2.795      1.612     3      1.166      1.330      40     0.98   10.20
 189.3589069  62.3975392      41     3      0.640      0.109     3      0.143      0.342     3      9.006      1.674     3      1.115      1.612      41    14.60   11.30
