# PERIMETERID   PERIMETERPI   PERIMETERPJ
#
           81   366.7449230   545.0667250
          445   350.9974926   525.2488390
          750   342.9986788   515.1755296
         1071   335.3354105   505.4121816
         3001   304.9353584   465.9002087
         5657   278.8494464   430.3742685
         6197   276.9505545   424.3684844
         7215   275.1935077   413.2159247
         7695   274.7475588   408.2476953
         7927   274.8261540   405.7104480
         8352   277.0691180   401.3800627
         9320   282.7257238   390.5851135
        18903   442.6641117   252.7984900
        19282   462.7901718   235.6113999
        19414   477.3267909   225.0217371
        19429   484.0752652   223.3336413
        19435   495.1192741   221.9180177
        19428   504.7432119   223.2231715
        19390   512.9513721   227.4270621
        19325   518.6043529   232.4960575
        19186   526.6473253   240.3844539
        17053   578.4193693   296.8169441
        15621   598.7099171   319.5698980
        14623   609.3846013   332.8962624
        14366   611.2319778   336.0921270
        12949   615.9722450   352.1112241
        12550   615.9236448   356.7382706
        11454   613.9472311   368.6669646
        10560   609.9386341   378.1541199
        10199   606.9170157   381.9213207
         9527   599.5987279   389.0720981
         3647   523.5061007   456.3269678
         2221   496.4410299   480.0432215
         2040   492.5943779   483.3738752
         1366   475.1684319   497.6296088
          708   452.1649122   516.4165659
          442   440.8756151   525.5115015
           87   417.0452536   544.4092806
           33   410.7066357   548.6792733
            5   399.2114060   554.3492428
            6   391.0317392   553.4378213
           10   389.1788973   552.9219881
           21   381.6536087   550.7684611
           71   371.8303745   545.7989149
           96   367.9510089   543.7821245
          232   358.6559554   534.3562275
         3159   303.3087301   463.6186082
         5450   281.3734826   432.5583262
         5687   279.8348691   430.1478152
         6351   278.0852907   422.8136374
         6964   277.6942027   416.0330624
         7593   277.8194243   408.8682643
         8594   278.4829574   398.6945767
         9431   283.7190204   390.2481274
        18735   436.1675251   258.8254697
        19377   472.5561160   228.7467620
        19425   484.3884182   224.1809884
        19433   495.1970274   222.3759326
        19432   498.2772669   222.3780625
        19430   501.0849100   222.8720402
        19404   509.6237975   226.4691731
        19384   512.2137330   228.1004630
        19258   522.3159001   236.3399436
        19118   529.5517063   243.6241552
        17566   568.9738325   286.7303982
        16621   584.9706670   304.2791726
        15729   597.4488683   318.2356888
        14765   607.4429724   331.1991931
        14540   608.6953696   333.8918378
        13407   613.3799062   346.3166778
        12207   615.0476526   360.5173903
        11658   614.1613276   366.1046795
        11091   611.8685828   372.6833347
        10449   607.8936262   378.9283878
         9917   603.4512136   385.1599424
         9081   594.3010147   393.6715058
         1998   491.4097837   484.1423226
         1830   487.7203941   487.2755131
          827   456.9871246   512.4404637
          205   426.8565987   536.5761757
           69   413.8573770   545.7201432
           25   407.4912425   550.0213577
           14   401.6119459   552.0955296
            8   396.6509960   553.1777414
