#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
6        1.13       1.965       1.965       35.48       34.68       2.084       36.59      0.3524       1.035           0
18           0       2.364       2.364       10.06       8.017       5.852       8.484       5.441       1.018      0.1799
35           0      0.3335      0.3335      0.3884      0.6008      0.5574      0.8985       0.693       0.601         0.2
36           0     0.03151     0.03151       2.382       4.078       2.418       4.082       2.414      0.3667         0.1
38    1.12e-07       13.41       13.41       317.7         349       60.15       350.8       61.95       3.716      0.3655
44       78.21       71.59       61.58       19.29        53.3        53.3       86.51       46.67        3.87       0.438
48           0       17.04       17.04       35.91       42.19       42.19       58.52       41.23        2.26       0.293
50       9.382       7.546       7.384       2.439       7.217       7.217       10.06       6.887         1.4       0.216
56           0       3.825       3.825       7.259       10.03       10.03       10.57       9.495        2.41       0.307
64           0       3.155       3.155       10.69        10.7        7.28       11.63       7.652        1.37       0.213
65       12.67       9.552       9.552           0       21.14       21.14       27.03       20.98        2.07       0.276
91     0.05148      0.1509      0.1509      0.2672      0.5199      0.5199       0.566      0.4818       0.475        0.11
95       4.727       5.072       5.072        2.05        18.4        18.4       19.76       17.04        2.16       0.284
106        2.67       4.586       4.586       39.26       49.33       19.33        52.7       15.97        2.01       0.271
107       0.052      0.2684      0.2684       1.528       2.724       1.595       2.976       1.716      0.6233        0.14
112      0.1529       2.446       2.446       17.63       11.62       6.529       11.69       6.458       1.045      0.1798
123       20.26       15.78       15.78       1.007       33.75       33.75       45.98       28.61       2.683       0.078
126       4.672       5.285       3.338           0       2.444       2.444       6.406       2.782       1.419       0.208
127           0     0.06742     0.06742       10.04       9.936      0.1012       9.995     0.04172       0.582           0
130       207.3       221.7       221.7       654.9       651.7       49.17       873.3       172.5       3.956      0.0245
132       2.516       3.071       1.519           0       1.564       1.564       4.062       1.714       1.321           0
135       4.608       4.218       4.218       2.456       8.784       8.784       9.791       7.777        1.39       0.215
142       33.78       37.98       37.98       81.92       99.43       37.19       122.6       37.67       2.308      0.2335
145     0.06032     0.05606     0.04877      0.7812      0.7902      0.1245      0.8386     0.08477        0.28           0
152     0.03805      0.1307      0.1307         4.4       3.788       1.626       3.808       1.607      0.4377        0.08
158           0       1.754       1.754       143.1       141.8       1.231       143.3      0.7751       1.687           0
162           0      0.5322      0.5322       220.2       219.1       1.086       219.5      0.6816       1.256           0
169       4.446       7.081       7.081       7.148       20.74       20.74       23.77       18.17        2.04       0.274
175       5.362       6.196       6.196       56.06        59.2        9.05       62.55       7.937       1.738       0.118
179       2.809       3.758       3.758       50.25       49.32       4.995       52.32       2.001       1.767       0.023
180           0       3.027       3.027       13.65       9.556       7.134       10.07       6.621        1.21        0.19
185       176.5       153.3       91.28       324.5       348.5       43.58       510.3       73.18       3.701         0.2
186       4.712       4.416       4.074       10.76       11.94       5.371       15.55       3.177       1.259           0
207           0       2.437       2.437       17.51       11.22       11.22       13.23       9.216        1.84       0.256
208           0       1.477       1.477       14.72       15.35         4.9       16.21       4.039       1.829      0.1475
213           0     0.02689     0.02689       36.63        36.6     0.02755       36.63    0.005266      0.5044           0
214       30.48       31.77       31.77       119.1       132.7       56.74       145.5       56.07       2.699       0.094
216     0.01848     0.01964     0.01308       0.252      0.2526     0.04742      0.2711      0.0354       0.159           0
217       46.23       60.53       57.75       79.79       87.58       55.01       161.2       61.24       2.839      0.2815
227      0.2678       0.483       0.483       6.517       5.428       2.656        5.52       2.564       0.921        0.01
239   1.126e-07       1.084       1.084       218.5       218.1       75.49       218.1        75.5       3.575      0.1565
242       1.701        3.95        3.95     0.09791       6.469       6.469       7.329       5.786       1.341       0.177
245           0      0.4917      0.4917       2.684        3.22       1.507       3.665       1.766      0.7953        0.13
247           0    0.000415    0.000415   1.207e-06     0.00557     0.00557     0.00557     0.00557       0.051        0.05
248       2.278       2.604       2.604       4.232       7.537       7.537        9.47       6.731       1.363           0
254           0       1.026       1.026       12.75       12.57       8.973       12.57       8.965         1.5       0.225
255       29.42       29.29        15.4       31.35       32.51       11.31       62.76       6.112       1.316       0.023
256           0       41.82       41.82       311.6       380.7        99.8       407.4       110.5       2.415       0.221
257       81.89        80.3       13.73       256.6       257.5       7.341       337.8       6.386       2.431           0
262      0.1266       0.215      0.1471      0.2179      0.4171      0.4171       0.577      0.4078      0.3712        0.05
264       10.19       15.76       15.76       94.93       111.5       43.72       129.8       49.74       2.515      0.2995
270       2.931       2.505       1.889        6.86       7.064       3.603       8.998       3.496        1.25       0.075
277       8.673       9.188       9.188       44.34       36.19       26.08       37.71       25.93        2.23       0.291
288     0.01453      0.1496      0.1496      0.7223         1.3      0.8197       1.426      0.8911      0.4013         0.1
289       27.86       38.51       38.51       119.6       187.3       81.95       198.3       89.49        3.15       0.374
309           0       11.75       11.75       88.78       92.21       71.32       92.28       71.26       2.151        0.95
314      0.1661      0.1726      0.1094      0.5255      0.5266      0.3572      0.6846      0.2801       0.401           0
316           0       10.59       10.59       16.17       19.91       19.91          30       17.94        2.17       0.285
317     0.04387     0.07513     0.07513      0.9043       1.407      0.7128       1.482      0.6904      0.3886        0.06
330        1.86       5.372       5.372       27.51       29.98       27.77       31.78       25.97        2.38       0.304
337       8.208       10.16       10.16      0.2346        34.2        34.2       38.41       29.99           3        0.36
339      0.4108        1.08        1.08       1.381       2.033       2.033       2.405       1.833      0.9719      0.1701
340       1.524       2.013       2.013       7.902        9.83       6.672       10.65       5.856       1.457      0.1115
343       1.204       1.818       1.818       4.802       5.154       3.499       6.839       3.266      0.8628      0.1502
356       2.779       4.607        2.64       20.24       23.77       6.764       28.12       6.763       1.248       0.093
365       1.497        2.01        2.01       3.031       4.531       4.531       5.131       3.931       1.174      0.1901
368      0.6646      0.6059      0.6059      0.1309       1.499       1.499         1.8       1.535      0.7607        0.15
371           0         118         118       337.1       270.3       109.6       361.6       198.4       5.801           2
374       1.272       1.387      0.9511       11.91       11.81      0.9355       13.19      0.0224      0.8178           0
375           0       2.542       2.542       44.37        39.3       5.066       39.74       4.631       1.432      0.0305
376       1.984       73.01       73.01       423.8       418.8       141.6       458.6       172.6        2.83       0.345
379   1.316e-07   3.971e-07   3.971e-07       202.3       213.3       11.53       213.3       11.53       3.969      0.0725
381         106       152.9       75.96       131.3       125.7       54.95       264.3       82.78       4.022      0.2815
385           0       50.19       50.19       287.4         319       102.3       345.4       121.3       2.554       0.305
390       7.216       6.316       3.427           0        3.74        3.74       7.284       4.394       1.961      0.2045
391       1.515       8.474       8.474       10.06       27.06       27.06       32.46       25.82        2.32       0.299
394       118.7        1009       964.2       149.5       123.3       123.3        1102         872       5.701         2.2
398      0.3654       1.285       1.285       1.099       1.591       1.591       2.468       1.775       1.054      0.1701
399           0       20.93       20.93       134.3       103.8       30.48       120.8       36.74        2.67        0.33
401      0.5013      0.9311      0.9311       7.706       7.546       3.874       8.477       2.942       1.251           0
407       7.854        9.26       7.863       192.5       192.6       6.203       201.8       1.695       1.521           0
409           0       0.382       0.382       3.715       4.726       2.954       4.834       2.972      0.6697        0.15
413           0      0.2076      0.2076       3.151       2.074       1.414       2.227       1.477      0.6233        0.14
414      0.5985      0.9725      0.9725       3.281       8.339       8.339       8.861       8.046        1.21        0.19
416      0.0151     0.08995     0.08995      0.4181      0.7212      0.5293      0.7471      0.5034      0.4158        0.08
418           0       1.483       1.483       9.402       9.854       4.689       11.04       4.989       1.292       0.108
421       2.651       2.777       2.282      0.1423       7.178       7.178       8.778       7.038        1.24       0.202
428       1.163       2.335       2.335       3.665       5.904       5.904       6.671        5.64        1.29       0.206
429       0.391       1.409       1.409        3.66       6.549       5.284       7.377        5.27       1.147      0.1903
430           0      0.4462      0.4462       8.164        11.5       5.754       11.63       5.624       1.253           0
431    0.007978      0.1308      0.1308       2.552       2.351      0.6419       2.465       0.528       0.676           0
432      0.3846      0.4584      0.4584       3.163       3.018       2.008       3.171       2.062      0.7425        0.15
433     0.02142       426.1       426.1       0.394       55.07       55.07       426.1       426.1       3.951        3.95
437       15.56       14.39       14.39       66.72        87.3       46.22       90.26       43.27       3.016      0.2945
438           0       1.027       1.027       42.12       51.34       14.19       51.52       14.13       1.178       0.112
439       19.67       26.13        11.2           0       4.275       4.275       27.15       10.18        1.52       0.163
442           0      0.7396      0.7396       43.98       40.69       4.149       40.75       4.091       1.324        0.04
449     0.07047      0.0697     0.03699      0.8007      0.7989     0.05158       0.867      0.0199      0.1993           0
450       95.74       64.01       53.77       164.8         153       69.18       201.4       78.02        4.27       0.474
451      0.5686      0.6966      0.6966       1.323       1.676       1.676       2.214       1.139       1.019           0
468       94.13        89.9       73.34       206.9       195.3       94.51       246.2       105.3        4.39       0.485
481     0.01724     0.01808     0.01056      0.1488      0.1507     0.04633      0.1678     0.03682       0.179           0
482           0       11.13       11.13       24.25       26.55       26.55        39.9       25.34        2.27       0.294
490           0      0.7997      0.7997       4.193       5.431       5.431       6.124       4.738       1.109      0.1799
498       141.5         150       44.75         303       320.3       21.45       480.1       49.45       4.022      0.1445
