#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
       188                    0.049294                   0.0399164
       189                    0.045582                   0.0341453
       190                   0.0434334                   0.0360899
       191                   0.0408297                   0.0334855
       192                   0.0474726                   0.0357954
       193                   0.0437778                   0.0334961
       194                   0.0442344                   0.0363743
       195                   0.0461883                   0.0380215
       196                   0.0503389                   0.0430636
       197                   0.0534508                   0.0460411
       198                   0.0414193                   0.0352159
       199                   0.0435551                   0.0330475
       200                   0.0462449                   0.0359773
       201                   0.0428644                   0.0338059
       202                   0.0503233                   0.0385927
       203                   0.0453238                   0.0361066
       204                   0.0478627                   0.0418723
       205                   0.0455828                   0.0405915
       206                    0.040594                   0.0322103
       207                   0.0483522                   0.0345076
       208                   0.0455513                   0.0334068
       209                   0.0477446                   0.0389608
       210                   0.0511948                   0.0411433
       211                   0.0427019                   0.0352513
       212                   0.0498403                   0.0403073
       213                   0.0421588                   0.0339387
       214                   0.0420585                   0.0363371
       215                   0.0472554                    0.039662
       216                   0.0445313                    0.034569
       217                   0.0487721                   0.0377997
       218                   0.0479739                    0.036995
       219                   0.0448675                   0.0367282
       220                   0.0466482                   0.0397628
       221                   0.0479536                   0.0359225
       222                   0.0427397                   0.0320998
       223                   0.0442557                   0.0351405
       224                   0.0453229                   0.0385977
       225                    0.046395                   0.0397286
       226                   0.0496766                   0.0417395
       227                   0.0412993                   0.0358819
       228                   0.0445939                    0.035856
       229                   0.0425498                   0.0381597
       230                   0.0468699                   0.0358662
       231                   0.0406272                   0.0342221
       232                   0.0451097                   0.0370212
       233                    0.046748                   0.0350505
       234                   0.0407865                   0.0303355
       235                   0.0422887                   0.0355522
       236                   0.0529235                   0.0369655
       237                   0.0404763                   0.0333878
       238                   0.0465626                   0.0382561
       239                   0.0468018                   0.0399495
       240                   0.0436294                   0.0336573
       241                   0.0451139                   0.0332728
       242                    0.040423                   0.0326091
       243                   0.0463742                   0.0367204
       244                   0.0509359                   0.0402494
       245                    0.042953                   0.0382149
       246                    0.042108                   0.0361378
       247                   0.0478011                   0.0363642
       248                   0.0413636                   0.0323784
       249                   0.0457028                   0.0385146
       250                   0.0438237                   0.0376261
       251                    0.038336                   0.0329299
       252                   0.0473721                   0.0404195
       253                   0.0464339                   0.0374219
       254                   0.0429956                   0.0375839
       255                   0.0470493                   0.0366385
       256                   0.0405306                   0.0335249
       257                   0.0437711                   0.0365604
       258                   0.0406452                     0.03418
       259                   0.0490787                   0.0349778
       260                   0.0361991                   0.0305348
       261                   0.0463174                   0.0359772
       262                   0.0436935                   0.0341498
       263                    0.039981                   0.0331056
       264                   0.0471212                   0.0361193
       265                   0.0457877                    0.036018
