#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
       188                   0.0267449                   0.0252773
       189                    0.031267                   0.0299506
       190                   0.0248323                   0.0235091
       191                   0.0257728                   0.0232844
       192                   0.0269731                   0.0266177
       193                   0.0291074                   0.0277145
       194                   0.0251529                   0.0236512
       195                   0.0266301                   0.0261544
       196                   0.0281247                   0.0255192
       197                    0.029706                   0.0282807
       198                   0.0282024                    0.027837
       199                    0.027397                    0.025053
       200                   0.0243754                    0.021921
       201                    0.025848                     0.02427
       202                   0.0322401                   0.0308896
       203                    0.029174                    0.029174
       204                   0.0309381                   0.0292429
       205                   0.0307016                   0.0267456
       206                   0.0276751                   0.0238703
       207                   0.0290899                   0.0264911
       208                   0.0255324                   0.0253812
       209                    0.026108                   0.0247848
       210                    0.025699                   0.0231699
       211                   0.0274195                   0.0261031
       212                     0.02845                   0.0283055
       213                   0.0252483                   0.0239658
       214                   0.0249943                    0.024663
       215                   0.0294541                   0.0291992
       216                   0.0258223                   0.0255607
       217                   0.0289443                   0.0259276
       218                   0.0256507                   0.0205908
       219                   0.0261831                   0.0247903
       220                    0.031852                   0.0317839
       221                   0.0310755                   0.0286975
       222                   0.0267253                   0.0252984
       223                   0.0267286                    0.026433
       224                   0.0287869                   0.0275468
       225                   0.0249612                   0.0243972
       226                   0.0286685                   0.0283796
       227                   0.0251771                    0.025143
       228                   0.0295626                   0.0290394
       229                   0.0314361                   0.0278861
       230                   0.0316799                    0.031425
       231                   0.0371344                   0.0358943
       232                   0.0305937                   0.0303321
       233                   0.0432218                   0.0408098
       234                   0.0269826                   0.0257426
       235                   0.0269247                   0.0244704
       236                   0.0248087                   0.0234582
       237                   0.0273971                   0.0270607
       238                   0.0258629                   0.0244361
       239                   0.0296038                   0.0280614
       240                    0.029949                   0.0273842
       241                   0.0244607                    0.020724
       242                    0.039453                    0.039385
       243                   0.0306893                   0.0280497
       244                   0.0253358                   0.0250061
       245                    0.024195                    0.021783
       246                   0.0288232                   0.0262244
       247                   0.0284529                   0.0259985
       248                   0.0410917                   0.0409472
       249                   0.0268254                   0.0267913
       250                   0.0310022                   0.0306658
       251                   0.0265864                   0.0248232
       252                    0.020603                   0.0179974
       253                   0.0234842                   0.0228589
       254                   0.0229644                   0.0212011
       255                   0.0309051                   0.0307199
       256                   0.0305843                   0.0302479
       257                   0.0294154                   0.0278373
       258                   0.0399783                   0.0386959
       259                   0.0253189                    0.023892
       260                   0.0259094                   0.0242142
       261                   0.0294782                   0.0282722
       262                   0.0267642                   0.0263225
       263                   0.0313013                   0.0310124
       264                   0.0263607                   0.0226255
       265                   0.0375294                   0.0362213
       266                   0.0254603                   0.0252751
       267                   0.0377117                   0.0349973
       268                   0.0250739                   0.0236063
       269                   0.0311699                   0.0295918
       270                   0.0270546                   0.0258486
       271                   0.0354947                   0.0314148
       272                   0.0283397                   0.0282716
       273                   0.0283074                   0.0267701
       274                   0.0294298                   0.0291002
       275                   0.0329122                    0.029177
       276                   0.0284534                    0.028343
       277                   0.0245501                      0.0218
       278                   0.0385997                   0.0373173
       279                   0.0286041                   0.0258201
       280                    0.030418                   0.0279637
       281                   0.0280092                    0.027418
       282                   0.0378257                   0.0366197
       283                   0.0290602                   0.0289581
       284                   0.0302088                   0.0300643
       285                   0.0304684                   0.0302559
       286                   0.0350405                   0.0312357
       287                   0.0246802                   0.0228472
       288                    0.024415                   0.0240497
       289                   0.0328441                   0.0325077
       290                   0.0252664                   0.0237647
       291                   0.0232704                   0.0216923
       292                   0.0344238                   0.0319694
       293                   0.0256241                   0.0244521
       294                    0.027896                   0.0265048
       295                   0.0289868                    0.026196
       296                   0.0235543                   0.0232654
       297                   0.0252909                   0.0214453
       298                   0.0296473                   0.0272353
       299                   0.0297767                    0.028275
       300                   0.0322556                   0.0298012
       301                   0.0261642                   0.0208442
       302                   0.0323776                   0.0322671
       303                     0.02787                    0.025492
       304                   0.0323037                   0.0272794
       305                   0.0337436                   0.0333443
       306                    0.035373                   0.0350009
       307                   0.0276031                   0.0274587
       308                   0.0326312                   0.0309851
       309                   0.0272325                   0.0271221
       310                   0.0231244                   0.0226436
       311                   0.0295863                   0.0272083
       312                   0.0279975                   0.0279635
       313                   0.0233546                   0.0220041
       314                   0.0327006                   0.0324798
       315                   0.0253731                   0.0226231
       316                    0.032835                   0.0314422
       317                    0.031066                     0.02933
       318                   0.0242249                   0.0240805
       319                   0.0277038                   0.0261749
       320                   0.0254526                   0.0229983
       321                   0.0289193                   0.0288089
       322                   0.0305456                   0.0257133
       323                   0.0215967                    0.017296
       324                   0.0320585                   0.0283981
       325                   0.0276896                   0.0263325
       326                   0.0322036                   0.0295233
       327                   0.0311283                   0.0299563
       328                   0.0288931                   0.0274255
       329                   0.0305234                   0.0277394
       330                   0.0308096                   0.0304799
       331                   0.0247498                   0.0231377
       332                   0.0280355                    0.026651
       333                   0.0300081                   0.0297889
       334                   0.0285469                   0.0272645
       335                   0.0243431                   0.0229926
       336                   0.0300157                   0.0286925
       337                   0.0220754                   0.0218137
       338                   0.0259101                   0.0242913
