#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         356.767         46.7533        0.325062        0.131047       0.0721265               0           1e-30               0           1e-30
            8.3          294.44         61.1539        0.467699        0.207696        0.114313               0           1e-30               0           1e-30
            8.5         243.129         80.0324        0.672924        0.329176        0.181174               0           1e-30               0           1e-30
            8.7         200.812         104.765        0.968203        0.521709        0.287141               0           1e-30               0           1e-30
            8.9         165.832         137.119         1.39305        0.826853        0.455088               0           1e-30               0           1e-30
            9.1         136.833         179.316         2.00432         1.31047        0.721265               0           1e-30               0           1e-30
            9.3         112.702         234.077         2.88381         2.07696         1.14313               1         43.4003               1         43.4003
            9.5         92.5245         304.568         4.14922         3.29176         1.81174               2         48.9179               1         30.6263
            9.7         75.5536          394.17         5.96989         5.21709         2.87141               3         108.405               1         62.6553
            9.9         61.1858         505.917         8.58947         8.26853         4.55088               8          269.84               3         142.024
           10.1         48.9436         641.393         12.3585         13.1047         7.21265              22          638.49               0           1e-30
           10.3          38.454         798.675         17.7814         20.7696         11.4313              30         1394.81               3         378.069
           10.5         29.4073         966.971         25.5839          32.882         18.1174              30         1288.46               1         114.844
           10.7         21.4933         1077.74           36.81         50.1429         28.7141              30         1483.11               0           1e-30
           10.9         14.3989         1041.82         52.9622         72.3537         45.5088              21         1699.58               1          414.84
           11.1         8.07799         798.023          76.202         98.7898         72.1265              11         655.553               0           1e-30
           11.3         3.20679         409.292         109.639         127.633         114.313               3         260.191               0           1e-30
           11.5         0.68591         107.024         157.749         156.032         181.174               0           1e-30               0           1e-30
           11.7       0.0531389         9.59131         226.969         180.495         287.141               0           1e-30               0           1e-30
           11.9     0.000896658        0.177151         326.563         197.568         455.088               0           1e-30               0           1e-30
           12.1     1.89236e-06     0.000387233         469.858         204.629         721.265               0           1e-30               0           1e-30
           12.3     1.78197e-10     3.57372e-08         676.031         200.548         1143.13               0           1e-30               0           1e-30
           12.5     8.40142e-17     1.56251e-14         972.672         185.982         1811.74               0           1e-30               0           1e-30
           12.7     7.44601e-27     1.21519e-24         1399.48           163.2         2871.41               0           1e-30               0           1e-30
           12.9     8.06473e-43     1.09285e-40         2013.57          135.51         4550.88               0           1e-30               0           1e-30
           13.1     3.70044e-68     3.93982e-66         2897.12         106.469         7212.65               0           1e-30               0           1e-30
