#         SchechterM          SchechterP     SchechterP_log10
#
                7.87          0.00877352            -2.05683
                7.88          0.00872953            -2.05901
                7.89          0.00868575            -2.06119
                 7.9          0.00864218            -2.06338
                7.91          0.00859883            -2.06556
                7.92           0.0085557            -2.06774
                7.93          0.00851277            -2.06993
                7.94          0.00847005            -2.07211
                7.95          0.00842754             -2.0743
                7.96          0.00838524            -2.07648
                7.97          0.00834314            -2.07867
                7.98          0.00830125            -2.08086
                7.99          0.00825956            -2.08304
                   8          0.00821807            -2.08523
                8.01          0.00817679            -2.08742
                8.02           0.0081357             -2.0896
                8.03          0.00809482            -2.09179
                8.04          0.00805413            -2.09398
                8.05          0.00801364            -2.09617
                8.06          0.00797335            -2.09836
                8.07          0.00793325            -2.10055
                8.08          0.00789334            -2.10274
                8.09          0.00785363            -2.10493
                 8.1          0.00781411            -2.10712
                8.11          0.00777478            -2.10931
                8.12          0.00773563             -2.1115
                8.13          0.00769668             -2.1137
                8.14          0.00765791            -2.11589
                8.15          0.00761933            -2.11808
                8.16          0.00758093            -2.12028
                8.17          0.00754272            -2.12247
                8.18          0.00750469            -2.12467
                8.19          0.00746684            -2.12686
                 8.2          0.00742917            -2.12906
                8.21          0.00739168            -2.13126
                8.22          0.00735437            -2.13345
                8.23          0.00731724            -2.13565
                8.24          0.00728028            -2.13785
                8.25           0.0072435            -2.14005
                8.26          0.00720689            -2.14225
                8.27          0.00717045            -2.14445
                8.28          0.00713419            -2.14666
                8.29           0.0070981            -2.14886
                 8.3          0.00706218            -2.15106
                8.31          0.00702642            -2.15327
                8.32          0.00699084            -2.15547
                8.33          0.00695542            -2.15768
                8.34          0.00692016            -2.15988
                8.35          0.00688507            -2.16209
                8.36          0.00685015             -2.1643
                8.37          0.00681538            -2.16651
                8.38          0.00678078            -2.16872
                8.39          0.00674634            -2.17093
                 8.4          0.00671206            -2.17314
                8.41          0.00667794            -2.17536
                8.42          0.00664397            -2.17757
                8.43          0.00661016            -2.17979
                8.44          0.00657651              -2.182
                8.45            0.006543            -2.18422
                8.46          0.00650966            -2.18644
                8.47          0.00647646            -2.18866
                8.48          0.00644342            -2.19088
                8.49          0.00641052            -2.19311
                 8.5          0.00637778            -2.19533
                8.51          0.00634518            -2.19756
                8.52          0.00631273            -2.19978
                8.53          0.00628043            -2.20201
                8.54          0.00624827            -2.20424
                8.55          0.00621626            -2.20647
                8.56          0.00618438             -2.2087
                8.57          0.00615265            -2.21094
                8.58          0.00612107            -2.21317
                8.59          0.00608962            -2.21541
                 8.6          0.00605831            -2.21765
                8.61          0.00602713            -2.21989
                8.62           0.0059961            -2.22213
                8.63           0.0059652            -2.22438
                8.64          0.00593443            -2.22662
                8.65           0.0059038            -2.22887
                8.66           0.0058733            -2.23112
                8.67          0.00584293            -2.23337
                8.68          0.00581269            -2.23562
                8.69          0.00578259            -2.23788
                 8.7          0.00575261            -2.24014
                8.71          0.00572276            -2.24239
                8.72          0.00569303            -2.24466
                8.73          0.00566343            -2.24692
                8.74          0.00563395            -2.24919
                8.75           0.0056046            -2.25146
                8.76          0.00557537            -2.25373
                8.77          0.00554626              -2.256
                8.78          0.00551727            -2.25828
                8.79           0.0054884            -2.26055
                 8.8          0.00545965            -2.26284
                8.81          0.00543102            -2.26512
                8.82           0.0054025            -2.26741
                8.83          0.00537409            -2.26969
                8.84           0.0053458            -2.27199
                8.85          0.00531763            -2.27428
                8.86          0.00528956            -2.27658
                8.87           0.0052616            -2.27888
                8.88          0.00523376            -2.28119
                8.89          0.00520602            -2.28349
                 8.9          0.00517839            -2.28581
                8.91          0.00515087            -2.28812
                8.92          0.00512345            -2.29044
                8.93          0.00509613            -2.29276
                8.94          0.00506892            -2.29508
                8.95          0.00504181            -2.29741
                8.96           0.0050148            -2.29975
                8.97          0.00498789            -2.30208
                8.98          0.00496108            -2.30442
                8.99          0.00493437            -2.30677
                   9          0.00490775            -2.30912
                9.01          0.00488123            -2.31147
                9.02           0.0048548            -2.31383
                9.03          0.00482847            -2.31619
                9.04          0.00480223            -2.31856
                9.05          0.00477608            -2.32093
                9.06          0.00475001            -2.32331
                9.07          0.00472404            -2.32569
                9.08          0.00469815            -2.32807
                9.09          0.00467235            -2.33046
                 9.1          0.00464663            -2.33286
                9.11            0.004621            -2.33526
                9.12          0.00459545            -2.33767
                9.13          0.00456998            -2.34009
                9.14           0.0045446             -2.3425
                9.15          0.00451929            -2.34493
                9.16          0.00449405            -2.34736
                9.17           0.0044689             -2.3498
                9.18          0.00444382            -2.35224
                9.19          0.00441881            -2.35469
                 9.2          0.00439388            -2.35715
                9.21          0.00436902            -2.35962
                9.22          0.00434423            -2.36209
                9.23          0.00431951            -2.36457
                9.24          0.00429486            -2.36705
                9.25          0.00427027            -2.36954
                9.26          0.00424575            -2.37205
                9.27          0.00422129            -2.37455
                9.28           0.0041969            -2.37707
                9.29          0.00417256             -2.3796
                 9.3          0.00414829            -2.38213
                9.31          0.00412408            -2.38467
                9.32          0.00409992            -2.38722
                9.33          0.00407582            -2.38978
                9.34          0.00405178            -2.39235
                9.35          0.00402779            -2.39493
                9.36          0.00400385            -2.39752
                9.37          0.00397997            -2.40012
                9.38          0.00395613            -2.40273
                9.39          0.00393234            -2.40535
                 9.4           0.0039086            -2.40798
                9.41          0.00388491            -2.41062
                9.42          0.00386126            -2.41327
                9.43          0.00383765            -2.41593
                9.44          0.00381408            -2.41861
                9.45          0.00379056             -2.4213
                9.46          0.00376707              -2.424
                9.47          0.00374362            -2.42671
                9.48          0.00372021            -2.42943
                9.49          0.00369683            -2.43217
                 9.5          0.00367348            -2.43492
                9.51          0.00365017            -2.43769
                9.52          0.00362689            -2.44047
                9.53          0.00360363            -2.44326
                9.54          0.00358041            -2.44607
                9.55          0.00355721            -2.44889
                9.56          0.00353403            -2.45173
                9.57          0.00351088            -2.45458
                9.58          0.00348775            -2.45746
                9.59          0.00346464            -2.46034
                 9.6          0.00344155            -2.46325
                9.61          0.00341847            -2.46617
                9.62          0.00339542            -2.46911
                9.63          0.00337237            -2.47206
                9.64          0.00334934            -2.47504
                9.65          0.00332633            -2.47804
                9.66          0.00330332            -2.48105
                9.67          0.00328032            -2.48408
                9.68          0.00325733            -2.48714
                9.69          0.00323434            -2.49021
                 9.7          0.00321136            -2.49331
                9.71          0.00318838            -2.49643
                9.72          0.00316541            -2.49957
                9.73          0.00314243            -2.50273
                9.74          0.00311945            -2.50592
                9.75          0.00309647            -2.50913
                9.76          0.00307349            -2.51237
                9.77           0.0030505            -2.51563
                9.78           0.0030275            -2.51892
                9.79           0.0030045            -2.52223
                 9.8          0.00298148            -2.52557
                9.81          0.00295846            -2.52893
                9.82          0.00293542            -2.53233
                9.83          0.00291237            -2.53575
                9.84           0.0028893            -2.53921
                9.85          0.00286622            -2.54269
                9.86          0.00284312            -2.54621
                9.87             0.00282            -2.54975
                9.88          0.00279686            -2.55333
                9.89           0.0027737            -2.55694
                 9.9          0.00275051            -2.56059
                9.91          0.00272731            -2.56427
                9.92          0.00270407            -2.56798
                9.93          0.00268082            -2.57173
                9.94          0.00265753            -2.57552
                9.95          0.00263422            -2.57935
                9.96          0.00261088            -2.58321
                9.97           0.0025875            -2.58712
                9.98           0.0025641            -2.59107
                9.99          0.00254066            -2.59505
                  10           0.0025172            -2.59908
               10.01          0.00249369            -2.60316
               10.02          0.00247016            -2.60728
               10.03          0.00244659            -2.61144
               10.04          0.00242298            -2.61565
               10.05          0.00239933            -2.61991
               10.06          0.00237565            -2.62422
               10.07          0.00235193            -2.62857
               10.08          0.00232818            -2.63298
               10.09          0.00230438            -2.63745
                10.1          0.00228055            -2.64196
               10.11          0.00225668            -2.64653
               10.12          0.00223276            -2.65116
               10.13          0.00220881            -2.65584
               10.14          0.00218482            -2.66058
               10.15          0.00216079            -2.66539
               10.16          0.00213673            -2.67025
               10.17          0.00211262            -2.67518
               10.18          0.00208847            -2.68017
               10.19          0.00206429            -2.68523
                10.2          0.00204007            -2.69035
               10.21          0.00201581            -2.69555
               10.22          0.00199152            -2.70082
               10.23          0.00196719            -2.70615
               10.24          0.00194283            -2.71157
               10.25          0.00191843            -2.71705
               10.26            0.001894            -2.72262
               10.27          0.00186954            -2.72827
               10.28          0.00184505            -2.73399
               10.29          0.00182053             -2.7398
                10.3          0.00179599             -2.7457
               10.31          0.00177142            -2.75168
               10.32          0.00174683            -2.75775
               10.33          0.00172222            -2.76391
               10.34          0.00169759            -2.77017
               10.35          0.00167295            -2.77652
               10.36          0.00164829            -2.78297
               10.37          0.00162362            -2.78951
               10.38          0.00159895            -2.79617
               10.39          0.00157427            -2.80292
                10.4          0.00154959            -2.80978
               10.41          0.00152491            -2.81676
               10.42          0.00150023            -2.82384
               10.43          0.00147557            -2.83104
               10.44          0.00145091            -2.83836
               10.45          0.00142628             -2.8458
               10.46          0.00140166            -2.85336
               10.47          0.00137708            -2.86104
               10.48          0.00135252            -2.86886
               10.49          0.00132799             -2.8768
                10.5          0.00130351            -2.88489
               10.51          0.00127907            -2.89311
               10.52          0.00125468            -2.90147
               10.53          0.00123035            -2.90997
               10.54          0.00120607            -2.91863
               10.55          0.00118187            -2.92743
               10.56          0.00115773            -2.93639
               10.57          0.00113368            -2.94551
               10.58          0.00110971            -2.95479
               10.59          0.00108583            -2.96424
                10.6          0.00106205            -2.97385
               10.61          0.00103838            -2.98365
               10.62          0.00101481            -2.99361
               10.63         0.000991371            -3.00376
               10.64         0.000968054             -3.0141
               10.65         0.000944871            -3.02463
               10.66         0.000921828            -3.03535
               10.67         0.000898935            -3.04627
               10.68         0.000876198             -3.0574
               10.69         0.000853625            -3.06873
                10.7         0.000831224            -3.08028
               10.71         0.000809004            -3.09205
               10.72         0.000786971            -3.10404
               10.73         0.000765135            -3.11626
               10.74         0.000743503            -3.12872
               10.75         0.000722083            -3.14141
               10.76         0.000700885            -3.15435
               10.77         0.000679915            -3.16755
               10.78         0.000659182            -3.18099
               10.79         0.000638694            -3.19471
                10.8          0.00061846            -3.20869
               10.81         0.000598487            -3.22295
               10.82         0.000578783            -3.23748
               10.83         0.000559356            -3.25231
               10.84         0.000540214            -3.26743
               10.85         0.000521364            -3.28286
               10.86         0.000502813            -3.29859
               10.87          0.00048457            -3.31464
               10.88         0.000466641            -3.33102
               10.89         0.000449033            -3.34772
                10.9         0.000431751            -3.36477
               10.91         0.000414804            -3.38216
               10.92         0.000398196             -3.3999
               10.93         0.000381934            -3.41801
               10.94         0.000366023            -3.43649
               10.95         0.000350467            -3.45535
               10.96         0.000335272             -3.4746
               10.97         0.000320442            -3.49425
               10.98          0.00030598            -3.51431
               10.99         0.000291891            -3.53478
                  11         0.000278177            -3.55568
               11.01         0.000264841            -3.57701
               11.02         0.000251886             -3.5988
               11.03         0.000239312            -3.62104
               11.04          0.00022712            -3.64374
               11.05         0.000215313            -3.66693
               11.06         0.000203889            -3.69061
               11.07         0.000192849            -3.71478
               11.08         0.000182191            -3.73947
               11.09         0.000171914            -3.76469
                11.1         0.000162016            -3.79044
               11.11         0.000152495            -3.81674
               11.12         0.000143348            -3.84361
               11.13         0.000134572            -3.87105
               11.14         0.000126161            -3.89908
               11.15         0.000118112            -3.92771
               11.16          0.00011042            -3.95695
               11.17         0.000103078            -3.98683
               11.18         9.60823e-05            -4.01736
               11.19         8.94249e-05            -4.04854
                11.2         8.30994e-05             -4.0804
               11.21         7.70984e-05            -4.11295
               11.22         7.14142e-05            -4.14622
               11.23         6.60389e-05             -4.1802
               11.24         6.09641e-05            -4.21493
               11.25          5.6181e-05            -4.25041
               11.26         5.16808e-05            -4.28667
               11.27         4.74542e-05            -4.32373
               11.28         4.34918e-05            -4.36159
               11.29          3.9784e-05            -4.40029
                11.3         3.63211e-05            -4.43984
               11.31         3.30932e-05            -4.48026
               11.32         3.00904e-05            -4.52157
               11.33         2.73027e-05             -4.5638
               11.34           2.472e-05            -4.60695
               11.35         2.23326e-05            -4.65106
               11.36         2.01304e-05            -4.69615
               11.37         1.81037e-05            -4.74223
               11.38         1.62427e-05            -4.78934
               11.39         1.45379e-05             -4.8375
                11.4           1.298e-05            -4.88672
               11.41         1.15599e-05            -4.93705
               11.42         1.02686e-05            -4.98849
               11.43         9.09747e-06            -5.04108
               11.44         8.03815e-06            -5.09484
               11.45         7.08257e-06            -5.14981
               11.46         6.22295e-06              -5.206
               11.47         5.45185e-06            -5.26346
               11.48         4.76217e-06            -5.32219
               11.49         4.14715e-06            -5.38225
                11.5         3.60036e-06            -5.44365
               11.51         3.11576e-06            -5.50644
               11.52         2.68764e-06            -5.57063
               11.53         2.31065e-06            -5.63627
               11.54          1.9798e-06            -5.70338
               11.55         1.69043e-06              -5.772
               11.56         1.43822e-06            -5.84217
               11.57         1.21919e-06            -5.91393
               11.58         1.02967e-06             -5.9873
               11.59         8.66303e-07            -6.06233
                11.6         7.26014e-07            -6.13905
               11.61         6.06019e-07            -6.21751
               11.62         5.03793e-07            -6.29775
               11.63         4.17063e-07             -6.3798
               11.64         3.43791e-07            -6.46371
               11.65         2.82153e-07            -6.54952
               11.66         2.30531e-07            -6.63727
               11.67         1.87493e-07            -6.72702
               11.68         1.51776e-07             -6.8188
               11.69         1.22275e-07            -6.91266
                11.7         9.80257e-08            -7.00866
               11.71         7.81917e-08            -7.10684
               11.72          6.2051e-08            -7.20725
               11.73         4.89839e-08            -7.30995
               11.74          3.8461e-08            -7.41498
               11.75         3.00329e-08             -7.5224
               11.76           2.332e-08            -7.63227
               11.77         1.80035e-08            -7.74464
               11.78         1.38173e-08            -7.85958
               11.79         1.05407e-08            -7.97713
