#         SchechterM          SchechterP     SchechterP_log10
#
                7.87          0.00446628            -2.35005
                7.88          0.00438913            -2.35762
                7.89          0.00431333            -2.36519
                 7.9          0.00423885            -2.37275
                7.91          0.00416567            -2.38032
                7.92          0.00409377            -2.38788
                7.93          0.00402312            -2.39544
                7.94          0.00395371            -2.40299
                7.95          0.00388551            -2.41055
                7.96           0.0038185            -2.41811
                7.97          0.00375266            -2.42566
                7.98          0.00368796            -2.43321
                7.99           0.0036244            -2.44076
                   8          0.00356194            -2.44831
                8.01          0.00350057            -2.45586
                8.02          0.00344026            -2.46341
                8.03          0.00338101            -2.47095
                8.04          0.00332279             -2.4785
                8.05          0.00326558            -2.48604
                8.06          0.00320936            -2.49358
                8.07          0.00315412            -2.50112
                8.08          0.00309985            -2.50866
                8.09          0.00304651             -2.5162
                 8.1          0.00299411            -2.52373
                8.11          0.00294261            -2.53127
                8.12            0.002892             -2.5388
                8.13          0.00284228            -2.54633
                8.14          0.00279342            -2.55386
                8.15           0.0027454            -2.56139
                8.16          0.00269822            -2.56892
                8.17          0.00265185            -2.57645
                8.18          0.00260629            -2.58398
                8.19          0.00256152             -2.5915
                 8.2          0.00251752            -2.59903
                8.21          0.00247429            -2.60655
                8.22           0.0024318            -2.61407
                8.23          0.00239005            -2.62159
                8.24          0.00234902            -2.62911
                8.25           0.0023087            -2.63663
                8.26          0.00226907            -2.64415
                8.27          0.00223014            -2.65167
                8.28          0.00219187            -2.65919
                8.29          0.00215426             -2.6667
                 8.3          0.00211731            -2.67422
                8.31          0.00208099            -2.68173
                8.32           0.0020453            -2.68924
                8.33          0.00201022            -2.69676
                8.34          0.00197575            -2.70427
                8.35          0.00194188            -2.71178
                8.36          0.00190859            -2.71929
                8.37          0.00187587             -2.7268
                8.38          0.00184371            -2.73431
                8.39          0.00181211            -2.74182
                 8.4          0.00178105            -2.74932
                8.41          0.00175053            -2.75683
                8.42          0.00172053            -2.76434
                8.43          0.00169105            -2.77184
                8.44          0.00166207            -2.77935
                8.45          0.00163359            -2.78686
                8.46          0.00160561            -2.79436
                8.47           0.0015781            -2.80187
                8.48          0.00155106            -2.80937
                8.49          0.00152449            -2.81687
                 8.5          0.00149838            -2.82438
                8.51          0.00147271            -2.83188
                8.52          0.00144748            -2.83939
                8.53          0.00142269            -2.84689
                8.54          0.00139832            -2.85439
                8.55          0.00137436             -2.8619
                8.56          0.00135082             -2.8694
                8.57          0.00132768            -2.87691
                8.58          0.00130494            -2.88441
                8.59          0.00128259            -2.89191
                 8.6          0.00126061            -2.89942
                8.61          0.00123902            -2.90692
                8.62          0.00121779            -2.91443
                8.63          0.00119693            -2.92193
                8.64          0.00117642            -2.92944
                8.65          0.00115626            -2.93694
                8.66          0.00113645            -2.94445
                8.67          0.00111697            -2.95196
                8.68          0.00109783            -2.95946
                8.69          0.00107901            -2.96697
                 8.7          0.00106052            -2.97448
                8.71          0.00104234            -2.98199
                8.72          0.00102447             -2.9895
                8.73           0.0010069            -2.99701
                8.74         0.000989631            -3.00453
                8.75         0.000972657            -3.01204
                8.76         0.000955972            -3.01955
                8.77         0.000939571            -3.02707
                8.78         0.000923448            -3.03459
                8.79           0.0009076            -3.04211
                 8.8          0.00089202            -3.04963
                8.81         0.000876705            -3.05715
                8.82         0.000861651            -3.06467
                8.83         0.000846851            -3.07219
                8.84         0.000832303            -3.07972
                8.85         0.000818001            -3.08725
                8.86         0.000803942            -3.09478
                8.87         0.000790121            -3.10231
                8.88         0.000776535            -3.10984
                8.89         0.000763178            -3.11737
                 8.9         0.000750047            -3.12491
                8.91         0.000737138            -3.13245
                8.92         0.000724448            -3.13999
                8.93         0.000711973            -3.14754
                8.94         0.000699708            -3.15508
                8.95          0.00068765            -3.16263
                8.96         0.000675796            -3.17018
                8.97         0.000664142            -3.17774
                8.98         0.000652685             -3.1853
                8.99         0.000641421            -3.19286
                   9         0.000630346            -3.20042
                9.01         0.000619459            -3.20799
                9.02         0.000608755            -3.21556
                9.03         0.000598231            -3.22313
                9.04         0.000587884            -3.23071
                9.05         0.000577712            -3.23829
                9.06          0.00056771            -3.24587
                9.07         0.000557877            -3.25346
                9.08         0.000548208            -3.26105
                9.09         0.000538703            -3.26865
                 9.1         0.000529356            -3.27625
                9.11         0.000520167            -3.28386
                9.12         0.000511132            -3.29147
                9.13         0.000502248            -3.29908
                9.14         0.000493513             -3.3067
                9.15         0.000484925            -3.31433
                9.16          0.00047648            -3.32196
                9.17         0.000468177            -3.32959
                9.18         0.000460013            -3.33723
                9.19         0.000451985            -3.34488
                 9.2         0.000444091            -3.35253
                9.21         0.000436329            -3.36019
                9.22         0.000428697            -3.36785
                9.23         0.000421192            -3.37552
                9.24         0.000413813             -3.3832
                9.25         0.000406556            -3.39088
                9.26         0.000399421            -3.39857
                9.27         0.000392404            -3.40627
                9.28         0.000385505            -3.41397
                9.29          0.00037872            -3.42168
                 9.3         0.000372048             -3.4294
                9.31         0.000365486            -3.43713
                9.32         0.000359034            -3.44486
                9.33         0.000352689            -3.45261
                9.34          0.00034645            -3.46036
                9.35         0.000340314            -3.46812
                9.36          0.00033428            -3.47589
                9.37         0.000328345            -3.48367
                9.38          0.00032251            -3.49146
